Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
ADBL,2025-12-11,293,293,288,292,0.21 %,"26,009.00","7,529,284.40"
ADBL,2025-12-10,297,297,290,291.4,-0.31 %,"24,514.00","7,124,583.70"
ADBL,2025-12-09,298.9,298.9,292,292.3,-1.45 %,"37,931.00","11,132,498.70"
ADBL,2025-12-08,302,302,295,296.6,-0.77 %,"24,934.00","7,391,367.60"
ADBL,2025-12-07,304,304,295.5,298.9,0.23 %,"22,681.00","6,735,304.10"
ADBL,2025-12-03,304,304,298.1,298.2,-0.93 %,"23,796.00","7,133,576.80"
ADBL,2025-12-02,302.9,302.9,300,301,-0.95 %,"40,658.00","12,222,393.70"
ADBL,2025-12-01,305,306,300.3,303.9,-1.01 %,"56,148.00","16,981,122.60"
ADBL,2025-11-30,322.4,322.4,306,307,-3.63 %,"67,768.00","20,956,928.80"
ADBL,2025-11-27,330,330,322.1,328.9,1.36 %,"192,110.00","62,835,151.20"
ADBL,2025-11-26,325,325,321,324.5,1.41 %,"63,588.00","20,576,015.00"
ADBL,2025-11-25,319,321,316.3,320,0.95 %,"48,790.00","15,555,151.10"
ADBL,2025-11-24,317.9,318,312,317,0.32 %,"33,678.00","10,682,338.50"
ADBL,2025-11-23,315,316,313.2,316,1.15 %,"61,239.00","19,272,047.00"
ADBL,2025-11-20,312,313.9,312,312.4,-0.13 %,"23,008.00","7,195,946.30"
ADBL,2025-11-19,315,315,312,312.8,-0.54 %,"22,061.00","6,893,003.70"
ADBL,2025-11-18,314,316.9,311.6,314.5,0.26 %,"24,019.00","7,533,338.60"
ADBL,2025-11-17,318.2,318.2,310.1,313.7,0.54 %,"24,424.00","7,619,221.40"
ADBL,2025-11-16,313,314.5,310.1,312,0.00 %,"22,740.00","7,086,510.60"
ADBL,2025-11-13,313,313.9,311.5,312,-0.32 %,"39,923.00","12,469,171.30"
ADBL,2025-11-12,313,316.9,312,313,-0.25 %,"19,975.00","6,242,919.60"
ADBL,2025-11-11,312,314,312,313.8,0.38 %,"29,052.00","9,089,277.50"
ADBL,2025-11-10,315,315,312,312.6,-0.76 %,"60,370.00","18,863,894.30"
ADBL,2025-11-09,318,318.8,312,315,-0.94 %,"121,484.00","38,117,064.40"
