Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
AHL,2025-09-18,617,629,616.5,616.5,1.89 %,90.00,"55,615.00"
AHL,2025-09-08,601.1,613,577.4,605.05,-1.35 %,"9,453.00","5,696,419.50"
AHL,2025-09-07,610.5,635,601,613.31,-1.54 %,"3,092.00","1,888,281.60"
AHL,2025-09-04,618,627,612,622.89,-1.10 %,"7,829.00","4,849,386.10"
AHL,2025-09-03,624.2,648.9,615,629.79,-1.11 %,"4,873.00","3,063,507.00"
AHL,2025-09-02,624.9,637,612.6,636.84,-0.11 %,"2,117.00","1,329,404.90"
AHL,2025-09-01,634,658,626.1,637.56,0.60 %,"8,335.00","5,290,143.80"
AHL,2025-08-31,643,655.8,630.2,633.74,-3.32 %,"2,411.00","1,532,617.20"
AHL,2025-08-28,626.5,677,626.5,655.52,2.54 %,"9,444.00","6,073,765.00"
AHL,2025-08-27,630,642.6,630,639.26,1.70 %,"5,548.00","3,545,720.40"
AHL,2025-08-26,624,656,620.2,628.6,-0.66 %,"1,500.00","949,489.00"
AHL,2025-08-25,624,637.2,621.1,632.79,-0.13 %,"4,769.00","3,003,336.30"
AHL,2025-08-24,630.1,646.7,624,633.61,-1.12 %,"3,905.00","2,467,725.40"
AHL,2025-08-21,645,652.8,640,640.79,-2.35 %,"2,201.00","1,414,198.00"
AHL,2025-08-20,638,660,638,656.22,0.85 %,"3,652.00","2,390,064.40"
AHL,2025-08-19,626,655,626,650.68,2.02 %,"12,860.00","8,310,979.20"
AHL,2025-08-18,625,642,620,637.81,1.61 %,"5,057.00","3,201,686.10"
AHL,2025-08-17,626,651,622.3,627.73,-1.63 %,"8,551.00","5,392,554.70"
AHL,2025-08-14,622,670,622,638.11,0.66 %,"4,396.00","2,795,263.50"
AHL,2025-08-13,623.5,648.6,623.5,633.95,-0.35 %,"9,308.00","5,918,748.60"
AHL,2025-08-12,623,645,623,636.17,0.15 %,"6,082.00","3,847,302.20"
AHL,2025-08-11,640,657.5,633,635.19,-2.17 %,"9,409.00","6,054,632.00"
AHL,2025-08-07,640,657.7,640,649.29,0.16 %,"5,054.00","3,276,594.00"
AHL,2025-08-06,649,660,635,648.24,1.75 %,"14,892.00","9,666,035.10"
AHL,2025-08-05,645,669,631,637.11,-0.97 %,"5,562.00","3,570,751.90"
AHL,2025-08-04,645,655.9,624,643.33,-1.11 %,"7,228.00","4,635,698.50"
