Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
AHPC,2025-12-11,277,281.9,276.3,278.5,-0.04 %,"59,136.00","16,475,226.20"
AHPC,2025-12-10,279,282,278.2,278.6,-0.14 %,"39,724.00","11,079,956.70"
AHPC,2025-12-09,280,282,278.5,279,-0.21 %,"39,433.00","11,018,527.00"
AHPC,2025-12-08,280.3,282.5,279.6,279.6,-0.50 %,"63,987.00","17,952,857.10"
AHPC,2025-12-07,280.2,286.4,280.1,281,-0.18 %,"62,480.00","17,568,695.60"
AHPC,2025-12-03,290.5,290.5,281.4,281.5,-1.19 %,"107,813.00","30,677,095.10"
AHPC,2025-12-02,289.6,289.6,283.5,284.9,0.32 %,"93,441.00","26,658,860.40"
AHPC,2025-12-01,282,286.7,281.1,284,0.18 %,"82,268.00","23,293,926.90"
AHPC,2025-11-30,285,287.7,282.1,283.5,-0.53 %,"132,840.00","37,785,105.30"
AHPC,2025-11-27,286,287,284,285,-0.31 %,"75,785.00","21,647,986.80"
AHPC,2025-11-26,281,288.5,281,285.9,0.32 %,"88,195.00","25,215,485.90"
AHPC,2025-11-25,280.5,287.9,280.5,285,0.32 %,"91,457.00","26,055,374.00"
AHPC,2025-11-24,281.9,287,281.9,284.1,0.78 %,"138,711.00","39,551,156.90"
AHPC,2025-11-23,275.5,283,275.5,281.9,1.99 %,"68,286.00","19,237,811.10"
AHPC,2025-11-20,286.5,286.5,275,276.4,-1.64 %,"118,171.00","32,726,203.70"
AHPC,2025-11-19,281,283,277.4,281,0.00 %,"61,261.00","17,104,208.60"
AHPC,2025-11-18,281.7,283,279.3,281,0.93 %,"52,839.00","14,878,102.70"
AHPC,2025-11-17,275,281,275,278.4,-0.07 %,"89,428.00","24,931,483.50"
AHPC,2025-11-16,277,280,276.2,278.6,0.22 %,"44,579.00","12,362,166.60"
AHPC,2025-11-13,278,282,277,278,0.18 %,"69,455.00","19,326,218.00"
AHPC,2025-11-12,280,282.5,277.2,277.5,-0.89 %,"62,592.00","17,415,724.50"
AHPC,2025-11-11,282,282,278,280,0.36 %,"68,507.00","19,172,428.90"
AHPC,2025-11-10,280,283.8,278,279,-1.06 %,"94,024.00","26,324,042.80"
AHPC,2025-11-09,282.5,287,280,282,-0.88 %,"109,890.00","30,994,852.00"
AHPC,2025-11-06,283,290.5,283,284.5,-0.84 %,"83,996.00","23,940,060.00"
AHPC,2025-11-05,286,287,283.2,286.9,0.14 %,"82,543.00","23,517,693.40"
AHPC,2025-11-04,285.3,291.4,283.3,286.5,-1.14 %,"200,812.00","57,509,692.60"
AHPC,2025-11-03,290,295,287,289.8,-1.40 %,"171,557.00","49,695,824.20"
AHPC,2025-11-02,290,295.5,287,293.9,2.44 %,"300,058.00","87,576,545.80"
AHPC,2025-10-30,281.1,288,280,286.9,2.10 %,"216,839.00","61,654,867.30"
AHPC,2025-10-29,285,287,279,281,0.14 %,"256,816.00","72,750,765.60"
AHPC,2025-10-28,274,283,274,280.6,3.54 %,"94,325.00","26,338,586.60"
AHPC,2025-10-26,269,273,268,271,-0.18 %,"60,504.00","16,368,494.70"
AHPC,2025-10-19,274,286,269.9,271.5,0.48 %,"88,132.00","23,959,490.50"
AHPC,2025-10-16,271.7,278.5,270,270.2,-1.75 %,"115,412.00","31,296,099.00"
AHPC,2025-10-15,280,281.5,273.4,275,-1.72 %,"113,658.00","31,256,976.90"
AHPC,2025-10-14,283.9,283.9,276.3,279.8,-0.43 %,"65,045.00","18,148,964.20"
AHPC,2025-10-13,279,284,274,281,1.66 %,"200,931.00","55,884,528.80"
AHPC,2025-10-12,281.3,285,276.2,276.4,-3.69 %,"226,547.00","63,139,063.70"
AHPC,2025-10-09,287.2,297,285,287,1.92 %,"238,019.00","68,948,454.10"
AHPC,2025-10-08,290,290,278.7,281.6,-2.22 %,"241,869.00","68,306,579.90"
AHPC,2025-10-07,295.6,297.9,285.1,288,-2.57 %,"163,794.00","47,281,877.10"
AHPC,2025-09-28,294,295.7,291.2,295.6,1.23 %,"112,326.00","33,037,676.40"
AHPC,2025-09-25,293.9,293.9,288.3,292,0.34 %,"99,815.00","29,081,862.90"
AHPC,2025-09-24,295,296.8,288.5,291,-0.31 %,"121,635.00","35,570,598.00"
AHPC,2025-09-23,290,295,286.4,291.9,1.06 %,"191,653.00","56,031,256.90"
AHPC,2025-09-21,268,290.6,267,288.85,7.78 %,"272,691.00","76,860,503.00"
AHPC,2025-09-18,277,277,260.8,268,-5.05 %,"45,206.00","12,055,123.70"
AHPC,2025-09-08,287,287,280.1,282.24,-1.48 %,"112,714.00","31,854,826.00"
AHPC,2025-09-07,285,288,283,286.47,1.09 %,"108,049.00","30,840,636.90"
