Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
AKJCL,2025-09-18,188,188,173,173,-9.58 %,"12,385.00","2,232,859.00"
AKJCL,2025-09-08,195.2,197,191.1,191.33,-2.40 %,"107,453.00","20,721,941.10"
AKJCL,2025-09-07,193.2,200.1,193.2,196.04,-0.54 %,"36,273.00","7,141,951.80"
AKJCL,2025-09-04,200,200,196,197.11,-0.95 %,"96,919.00","19,088,123.20"
AKJCL,2025-09-03,200.2,202,198.5,199.01,-0.70 %,"70,689.00","14,137,502.20"
AKJCL,2025-09-02,204.9,204.9,200.1,200.42,-1.23 %,"47,363.00","9,532,992.90"
AKJCL,2025-09-01,200,203.4,200,202.91,0.72 %,"36,184.00","7,317,705.80"
AKJCL,2025-08-31,203.1,205.5,201,201.46,-1.28 %,"80,087.00","16,224,314.20"
AKJCL,2025-08-28,210,210,203.5,204.08,-1.81 %,"80,486.00","16,495,473.10"
AKJCL,2025-08-27,204,208,202,207.85,2.04 %,"66,153.00","13,614,772.40"
AKJCL,2025-08-26,201,205.9,201,203.69,-0.16 %,"40,922.00","8,339,266.20"
AKJCL,2025-08-25,200.4,207,200.4,204.01,0.11 %,"61,146.00","12,446,230.30"
AKJCL,2025-08-24,203.5,207,203.5,203.78,-0.65 %,"53,345.00","10,894,647.40"
AKJCL,2025-08-21,201.1,208,201.1,205.11,-0.01 %,"65,229.00","13,391,284.00"
AKJCL,2025-08-20,205,207,205,205.13,-0.60 %,"85,931.00","17,663,854.00"
AKJCL,2025-08-19,208,208.1,206,206.37,0.07 %,"64,374.00","13,331,813.80"
AKJCL,2025-08-18,205,207.9,205,206.22,-0.01 %,"99,015.00","20,444,915.70"
AKJCL,2025-08-17,206.3,208.7,206,206.25,-0.46 %,"75,642.00","15,644,523.90"
AKJCL,2025-08-14,209.7,209.7,206,207.2,0.29 %,"98,372.00","20,355,253.80"
AKJCL,2025-08-13,208.9,209,206,206.6,-0.55 %,"83,007.00","17,222,753.50"
AKJCL,2025-08-12,209.5,211,207,207.75,-0.61 %,"116,097.00","24,106,512.30"
AKJCL,2025-08-11,212,215,208.9,209.03,-1.35 %,"151,537.00","31,990,933.80"
AKJCL,2025-08-07,209.1,213.8,209.1,211.89,1.07 %,"132,711.00","28,111,287.90"
AKJCL,2025-08-06,215.5,215.5,209.1,209.65,-0.78 %,"120,120.00","25,279,745.00"
AKJCL,2025-08-05,219,219,210.1,211.3,-1.76 %,"111,453.00","23,681,983.50"
AKJCL,2025-08-04,207.7,218.1,207.7,215.09,1.50 %,"156,500.00","33,441,777.00"
AKJCL,2025-08-03,215,216,211.1,211.92,-1.60 %,"206,019.00","43,850,917.50"
AKJCL,2025-07-31,218,219,215,215.36,-1.13 %,"308,795.00","66,953,923.00"
AKJCL,2025-07-30,219,226,217.5,217.82,-2.23 %,"295,474.00","64,916,827.10"
AKJCL,2025-07-29,228,228,221.1,222.78,-0.76 %,"262,559.00","58,931,908.20"
AKJCL,2025-07-28,223,226,218.1,224.48,1.05 %,"397,960.00","87,983,641.30"
AKJCL,2025-07-27,230,232.9,221,222.15,-2.82 %,"703,373.00","159,918,584.80"
AKJCL,2025-07-24,219.9,233.5,219.9,228.59,1.90 %,"487,211.00","111,009,939.10"
AKJCL,2025-07-23,218,227.5,218,224.33,2.76 %,"709,719.00","158,636,992.70"
AKJCL,2025-07-22,215,220,215,218.31,1.46 %,"365,860.00","79,681,665.90"
AKJCL,2025-07-21,216,217.6,212.5,215.16,0.47 %,"280,927.00","60,359,191.10"
AKJCL,2025-07-20,220,223,213,214.16,-1.13 %,"526,184.00","115,130,521.60"
AKJCL,2025-07-17,210,218.7,208.2,216.61,4.04 %,"479,214.00","102,844,003.70"
AKJCL,2025-07-16,212.6,212.6,206.1,208.2,-0.15 %,"136,500.00","28,483,247.60"
AKJCL,2025-07-15,203,209.5,203,208.52,0.68 %,"153,945.00","31,928,785.90"
AKJCL,2025-07-14,211,211,206.7,207.12,-0.47 %,"111,586.00","23,149,682.30"
AKJCL,2025-07-13,210.9,214.9,207.9,208.09,0.60 %,"155,264.00","32,493,152.70"
AKJCL,2025-07-10,210,211.4,206.4,206.84,-0.72 %,"166,632.00","34,585,819.20"
