Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
AKPL,2025-09-18,247.7,247.7,227.5,238,-5.81 %,"27,541.00","6,442,790.00"
AKPL,2025-09-08,255,256.9,250.7,252.68,-1.13 %,"177,195.00","44,874,335.20"
AKPL,2025-09-07,255,259.7,255,255.57,-0.03 %,"108,601.00","27,897,104.10"
AKPL,2025-09-04,261,261,252,255.64,-0.96 %,"237,317.00","60,317,277.20"
AKPL,2025-09-03,260,264,258,258.11,-0.94 %,"106,451.00","27,590,760.40"
AKPL,2025-09-02,265,268.7,260.1,260.56,-1.30 %,"128,478.00","33,823,087.20"
AKPL,2025-09-01,268,268,252.7,264,0.43 %,"93,412.00","24,615,266.50"
AKPL,2025-08-31,270,270,261,262.88,-2.11 %,"194,026.00","51,458,610.40"
AKPL,2025-08-28,274,275.7,268,268.55,-0.03 %,"540,030.00","146,930,020.30"
AKPL,2025-08-27,256.2,269.9,256.1,268.64,4.28 %,"202,517.00","53,497,973.60"
AKPL,2025-08-26,260,261,257,257.62,-0.54 %,"98,307.00","25,376,389.90"
AKPL,2025-08-25,257,259.7,255,259.03,1.23 %,"106,914.00","27,583,169.20"
AKPL,2025-08-24,257.1,262,255,255.89,-0.63 %,"113,831.00","29,331,514.10"
AKPL,2025-08-21,262,262.6,257,257.5,-1.54 %,"217,596.00","56,332,224.60"
AKPL,2025-08-20,262.1,265,261,261.54,-0.52 %,"102,817.00","27,052,200.10"
AKPL,2025-08-19,262.9,268,262.3,262.91,0.32 %,"173,077.00","45,752,152.20"
AKPL,2025-08-18,264,265.4,259,262.06,0.70 %,"166,540.00","43,536,305.10"
AKPL,2025-08-17,265,267.9,260,260.23,-1.56 %,"228,275.00","59,949,946.10"
AKPL,2025-08-14,268,269,263.6,264.35,-0.10 %,"164,126.00","43,476,897.70"
AKPL,2025-08-13,265,275.3,264,264.62,0.57 %,"222,208.00","59,311,227.10"
AKPL,2025-08-12,265,268,262.3,263.11,-0.99 %,"194,489.00","51,354,113.40"
AKPL,2025-08-11,274,275,265.1,265.73,-2.74 %,"177,842.00","47,875,880.70"
AKPL,2025-08-07,268,276,264.1,273.21,3.21 %,"342,723.00","92,767,056.10"
AKPL,2025-08-06,269,269,264,264.7,-0.48 %,"172,387.00","45,810,292.10"
AKPL,2025-08-05,277,277,265.1,265.98,-2.24 %,"235,126.00","63,182,868.50"
AKPL,2025-08-04,276,276,267.1,272.08,0.41 %,"241,200.00","65,540,339.70"
AKPL,2025-08-03,280.2,280.2,270,270.96,-1.39 %,"437,809.00","119,967,270.50"
AKPL,2025-07-31,285.6,285.6,273.5,274.78,-1.88 %,"486,879.00","134,674,065.70"
AKPL,2025-07-30,292,292,279.1,280.05,-3.83 %,"727,716.00","206,849,096.20"
