Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
ALICL,2025-12-11,460.8,467.1,460.7,464.5,0.02 %,"30,006.00","13,932,752.70"
ALICL,2025-12-10,473.9,473.9,462,464.4,-0.13 %,"31,400.00","14,578,311.80"
ALICL,2025-12-09,459,469,459,465,1.09 %,"37,516.00","17,459,842.50"
ALICL,2025-12-08,451,469,451,460,0.00 %,"55,454.00","25,549,290.10"
ALICL,2025-12-07,463,472.2,456.5,460,-1.08 %,"47,246.00","21,735,293.60"
ALICL,2025-12-03,473.4,476,463.6,465,-1.77 %,"48,017.00","22,455,151.60"
ALICL,2025-12-02,470,480,468.5,473.4,-1.27 %,"53,560.00","25,264,704.00"
ALICL,2025-12-01,480.1,483.9,476,479.5,-0.70 %,"42,091.00","20,133,180.10"
ALICL,2025-11-30,476.3,495,476.3,482.9,-0.64 %,"74,236.00","36,156,951.10"
ALICL,2025-11-27,493,493,481.4,486,-1.02 %,"58,238.00","28,387,254.30"
ALICL,2025-11-26,486,498,486,491,-0.57 %,"77,847.00","38,227,579.00"
ALICL,2025-11-25,495,495.7,480,493.8,0.00 %,"119,828.00","58,843,583.60"
ALICL,2025-11-24,465.7,493.9,465.7,493.8,6.03 %,"168,986.00","81,634,387.00"
ALICL,2025-11-23,450,470,450,465.7,3.95 %,"88,621.00","40,951,576.70"
ALICL,2025-11-20,445.1,452.9,445.1,448,-0.67 %,"28,268.00","12,685,339.40"
ALICL,2025-11-19,442,459.1,442,451,0.00 %,"55,285.00","24,891,218.90"
ALICL,2025-11-18,450.1,458.8,445.1,451,0.22 %,"60,161.00","27,212,531.30"
ALICL,2025-11-17,457.9,457.9,446.1,450,-0.55 %,"80,971.00","36,518,172.50"
ALICL,2025-11-16,463,463,452.2,452.5,-1.03 %,"31,321.00","14,256,670.70"
ALICL,2025-11-13,472,472,457.2,457.2,-1.68 %,"37,148.00","17,078,531.40"
ALICL,2025-11-12,460.1,473.9,459.6,465,-0.60 %,"28,335.00","13,082,631.70"
ALICL,2025-11-11,471,473,460,467.8,0.82 %,"31,018.00","14,383,219.20"
ALICL,2025-11-10,462.3,471.2,460,464,-0.90 %,"44,226.00","20,599,227.50"
ALICL,2025-11-09,472,473.8,465.7,468.2,-1.06 %,"17,031.00","7,954,239.30"
ALICL,2025-11-06,465.5,479.8,465,473.2,-0.36 %,"59,211.00","27,912,114.40"
ALICL,2025-11-05,478,482,469,474.9,-2.48 %,"47,131.00","22,260,280.50"
ALICL,2025-11-04,500,500,485.3,487,-2.79 %,"18,311.00","8,994,514.40"
ALICL,2025-11-03,494,502,490,501,0.40 %,"28,449.00","14,086,983.40"
ALICL,2025-11-02,485,500,476,499,4.61 %,"82,692.00","40,482,109.50"
ALICL,2025-10-30,458,484,458,477,3.92 %,"39,214.00","18,578,039.90"
ALICL,2025-10-29,465,469.6,457.2,459,-0.89 %,"17,034.00","7,871,780.20"
ALICL,2025-10-28,446,468,446,463.1,3.93 %,"15,787.00","7,249,924.00"
ALICL,2025-10-26,440.1,447,440.1,445.6,-0.31 %,"3,656.00","1,620,438.40"
ALICL,2025-10-19,445,451.8,442,447,-0.22 %,"10,243.00","4,561,433.00"
ALICL,2025-10-16,444.2,452,444.2,448,0.00 %,"7,845.00","3,501,760.50"
ALICL,2025-10-15,450,453.8,444,448,-0.88 %,"5,789.00","2,596,558.70"
ALICL,2025-10-14,450.8,466,430,452,-1.74 %,"9,541.00","4,332,866.00"
ALICL,2025-10-13,442,461,442,460,2.36 %,"30,752.00","13,936,614.80"
ALICL,2025-10-12,459,459,442.5,449.4,-2.69 %,"33,450.00","14,923,667.80"
ALICL,2025-10-09,463,481,456.6,461.8,1.72 %,"16,419.00","7,567,569.00"
ALICL,2025-10-08,460,460,451.2,454,-2.66 %,"4,899.00","2,228,905.50"
ALICL,2025-10-07,473,473,458,466.4,-1.40 %,"20,718.00","9,561,571.40"
ALICL,2025-09-28,469.7,479.4,469.7,473,-1.05 %,"7,357.00","3,479,855.10"
ALICL,2025-09-25,470,478,469,478,0.63 %,"10,683.00","5,037,789.50"
ALICL,2025-09-24,475,483,470.4,475,-0.63 %,"7,234.00","3,427,653.00"
ALICL,2025-09-23,481,485,475,478,-0.51 %,"13,364.00","6,444,562.20"
ALICL,2025-09-21,453.6,484,444.6,480.46,3.82 %,"42,312.00","19,630,716.30"
ALICL,2025-09-18,462.8,462.8,462.8,462.8,-1.99 %,220.00,"101,816.00"
ALICL,2025-09-08,477,479,471,472.22,-1.49 %,"11,695.00","5,551,320.60"
ALICL,2025-09-07,479.1,485,476,479.37,-0.18 %,"7,494.00","3,590,364.50"
ALICL,2025-09-04,480.2,484,478.5,480.24,-0.17 %,"14,943.00","7,177,802.80"
ALICL,2025-09-03,481.2,484.4,480.5,481.05,0.02 %,"17,001.00","8,189,053.10"
ALICL,2025-09-02,486,489,480.6,480.95,-0.88 %,"25,419.00","12,252,981.50"
ALICL,2025-09-01,495.3,495.3,483,485.24,-0.08 %,"9,597.00","4,652,627.10"
ALICL,2025-08-31,490,494,480.1,485.65,-0.96 %,"18,169.00","8,808,812.90"
ALICL,2025-08-28,493,507,490,490.37,-2.37 %,"19,572.00","9,664,370.70"
ALICL,2025-08-27,487,503.9,487,502.28,2.29 %,"31,312.00","15,558,084.70"
ALICL,2025-08-26,495,495,484.4,491.03,-0.05 %,"9,539.00","4,664,755.30"
ALICL,2025-08-25,487,493,484.2,491.27,1.06 %,"12,385.00","6,056,378.80"
ALICL,2025-08-24,478.8,489.9,478.8,486.1,-0.51 %,"27,800.00","13,499,573.50"
ALICL,2025-08-21,478,490,478,488.57,0.53 %,"18,981.00","9,257,709.60"
ALICL,2025-08-20,485,490,481,486,0.22 %,"14,053.00","6,818,271.10"
ALICL,2025-08-19,484,493,484,484.93,0.29 %,"31,799.00","15,509,162.30"
ALICL,2025-08-18,481.1,488.8,481.1,483.55,-0.32 %,"20,034.00","9,705,369.10"
ALICL,2025-08-17,501,501,483.7,485.11,-1.36 %,"31,293.00","15,234,974.10"
ALICL,2025-08-14,491.9,493,487.2,491.78,0.16 %,"22,428.00","11,000,652.70"
ALICL,2025-08-13,494.9,496,486,490.98,0.64 %,"44,103.00","21,695,819.60"
ALICL,2025-08-12,496,496,486.5,487.88,-0.77 %,"20,920.00","10,220,166.50"
ALICL,2025-08-11,500,509,490,491.68,-1.65 %,"31,558.00","15,653,428.90"
ALICL,2025-08-07,497.2,502,496.3,499.91,0.34 %,"13,889.00","6,948,940.60"
ALICL,2025-08-06,501.1,504.8,498,498.2,-0.29 %,"16,310.00","8,152,117.10"
ALICL,2025-08-05,511.9,511.9,498,499.67,-1.10 %,"27,694.00","13,877,757.70"
ALICL,2025-08-04,514.5,514.5,500,505.23,-0.01 %,"26,482.00","13,344,752.60"
ALICL,2025-08-03,517,520,500.3,505.3,-2.18 %,"34,694.00","17,622,751.60"
ALICL,2025-07-31,531,531,516,516.58,-1.20 %,"30,999.00","16,117,144.00"
ALICL,2025-07-30,516.1,540,516.1,522.87,-0.71 %,"42,257.00","22,141,109.90"
ALICL,2025-07-29,531.5,537,525,526.63,-0.10 %,"80,840.00","42,888,025.20"
ALICL,2025-07-28,530,538.9,520.1,527.14,-1.19 %,"63,316.00","33,290,289.40"
ALICL,2025-07-27,545,549,532,533.48,-0.94 %,"84,624.00","45,634,109.00"
ALICL,2025-07-24,548,548,533.1,538.53,0.05 %,"104,627.00","56,278,095.60"
ALICL,2025-07-23,549.8,550,533,538.26,-0.65 %,"85,321.00","46,097,199.70"
ALICL,2025-07-22,519.9,545,519.9,541.77,4.20 %,"110,093.00","58,797,010.00"
ALICL,2025-07-21,518.5,523,515,519.91,0.31 %,"67,185.00","34,881,992.20"
ALICL,2025-07-20,519.8,530,513.7,518.3,0.95 %,"193,517.00","101,360,310.90"
ALICL,2025-07-17,505,516,500,513.4,3.02 %,"107,474.00","55,075,084.10"
ALICL,2025-07-16,493.5,510.8,493.5,498.36,1.31 %,"165,956.00","82,702,317.60"
ALICL,2025-07-15,500,500,488.3,491.92,0.31 %,"86,690.00","42,578,121.30"
ALICL,2025-07-14,503,503,489.9,490.38,-1.88 %,"90,841.00","44,679,808.10"
ALICL,2025-07-13,509.7,509.7,498.6,499.79,0.02 %,"55,831.00","27,979,398.20"
ALICL,2025-07-10,500,505.9,498,499.71,0.01 %,"15,764.00","7,882,619.40"
ALICL,2025-07-09,503,505.7,497.1,499.64,0.05 %,"25,793.00","12,882,837.80"
ALICL,2025-07-08,500,503,496.7,499.41,-0.07 %,"14,604.00","7,295,201.00"
ALICL,2025-07-07,510.1,510.1,495,499.75,-0.07 %,"39,615.00","19,749,083.70"
ALICL,2025-07-06,519,519.9,499.9,500.12,-3.78 %,"122,839.00","62,075,885.10"
ALICL,2025-07-03,527.9,545,525,538.44,4.02 %,"153,206.00","82,176,191.20"
ALICL,2025-07-02,503,520,502.1,517.63,3.20 %,"42,747.00","21,889,588.00"
ALICL,2025-07-01,500,503,496,501.56,0.95 %,"14,458.00","7,247,611.90"
ALICL,2025-06-30,499,499,495.4,496.82,0.09 %,"16,406.00","8,153,374.70"
