Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
BARUN,2025-09-18,309.4,310.0,298.0,298.0,-5.61 %,"4,220.00","1,296,440.00",1.3
BARUN,2025-09-08,328.0,328.9,315.0,315.7,-3.60 %,"58,850.00","18,781,565.60",0.5
BARUN,2025-09-07,328.0,331.8,325.6,327.5,-0.96 %,"28,502.00","9,365,594.60",2.0
BARUN,2025-09-04,340.0,340.0,328.1,330.66,-1.00 %,"40,126.00","13,259,006.80",2.0
BARUN,2025-09-03,345.0,345.0,333.0,334.0,-2.70 %,"36,573.00","12,347,505.20",2.0
BARUN,2025-09-02,352.0,354.0,343.0,343.26,-1.71 %,"30,393.00","10,471,619.40",1.0
BARUN,2025-09-01,348.0,359.9,346.0,349.24,-0.66 %,"58,359.00","20,343,435.20",1.0
BARUN,2025-08-31,357.0,360.0,351.0,351.56,-1.60 %,"41,907.00","14,839,256.90",1.0
BARUN,2025-08-28,370.0,370.0,356.8,357.29,-1.86 %,"55,432.00","20,055,505.60",1.0
BARUN,2025-08-27,350.0,367.0,350.0,364.08,2.17 %,"46,788.00","17,007,913.80",1.0
BARUN,2025-08-26,363.9,363.9,355.1,356.33,-0.37 %,"26,685.00","9,551,283.20",1.0
BARUN,2025-08-25,359.0,365.1,351.0,357.64,0.58 %,"42,812.00","15,310,786.60",1.0
BARUN,2025-08-24,369.8,369.8,354.0,355.57,-2.29 %,"62,759.00","22,503,598.70",1.0
BARUN,2025-08-21,376.0,376.0,363.0,363.91,-1.31 %,"45,896.00","16,747,923.80",1.0
BARUN,2025-08-20,365.5,372.7,365.5,368.75,0.26 %,"40,547.00","14,965,813.40",1.0
BARUN,2025-08-19,378.0,378.0,366.1,367.81,-0.75 %,"68,083.00","25,198,664.30",1.0
BARUN,2025-08-18,374.0,379.3,364.7,370.59,0.96 %,"61,525.00","22,797,403.20",1.0
BARUN,2025-08-17,379.0,385.3,366.0,367.05,-2.85 %,"92,414.00","34,432,147.10",
BARUN,2025-08-14,385.0,385.8,372.0,377.82,-0.13 %,"50,776.00","19,108,325.20",
BARUN,2025-08-13,378.0,389.9,367.6,378.32,1.98 %,"94,905.00","36,035,532.80",
BARUN,2025-08-12,389.3,389.3,366.1,370.98,-2.81 %,"133,205.00","49,662,292.10",
BARUN,2025-08-11,399.0,407.1,379.4,381.72,-2.48 %,"96,404.00","37,561,332.81",
BARUN,2025-08-07,363.6,392.1,363.0,391.41,9.78 %,"252,997.00","96,945,083.60",
BARUN,2025-08-06,362.6,367.0,355.0,356.54,-1.65 %,"73,727.00","26,634,164.10",
BARUN,2025-08-05,378.0,380.0,361.0,362.53,-3.26 %,"91,324.00","33,602,431.00",
BARUN,2025-08-04,375.0,383.9,368.0,374.73,-0.65 %,"100,911.00","37,748,031.00",
