Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
BBC,2025-12-11,4883.8,4887,4806.3,4879.9,0.02 %,"163.00","790,972.00"
BBC,2025-12-10,4895,4895,4733.7,4879,-0.08 %,"1,220.00","5,874,790.40"
BBC,2025-12-09,4925,4925,4842.3,4883,0.06 %,"161.00","784,042.00"
BBC,2025-12-08,4840,4903.5,4840,4879.9,0.41 %,"160.00","778,954.00"
BBC,2025-12-07,4920,4920,4831,4860,-1.32 %,"289.00","1,405,668.40"
BBC,2025-12-03,4985,4985,4840.3,4924.9,-0.27 %,"599.00","2,920,998.00"
BBC,2025-12-02,4835,4940,4835,4938,0.78 %,"110.00","539,020.00"
BBC,2025-12-01,4997,4997,4802.1,4900,-0.09 %,"1,302.00","6,335,621.00"
BBC,2025-11-30,4855,5398,4855,4904.3,-0.48 %,"1,406.00","7,048,319.10"
BBC,2025-11-27,4990,5000,4890.1,4928,-0.22 %,"251.00","1,239,018.00"
BBC,2025-11-26,4989,4989,4890.3,4939,0.79 %,"177.00","874,927.00"
BBC,2025-11-25,5000,5000,4900.1,4900.1,-1.34 %,"324.00","1,595,961.60"
BBC,2025-11-24,4960,4996,4862.1,4966.8,0.77 %,"433.00","2,137,558.30"
BBC,2025-11-23,4832,4990,4832,4929,0.18 %,"350.00","1,718,365.00"
BBC,2025-11-20,4823,4939.9,4823,4920,0.11 %,"270.00","1,321,209.00"
BBC,2025-11-19,4994,4994,4857,4914.6,0.34 %,"333.00","1,634,186.50"
BBC,2025-11-18,4935,4935,4868,4898,0.06 %,"81.00","396,810.00"
BBC,2025-11-17,4814,4939.8,4811,4895,0.00 %,"479.00","2,333,037.00"
BBC,2025-11-16,4945,4945,4804,4895,-0.10 %,"170.00","831,062.00"
BBC,2025-11-13,4939,4939,4783,4900,0.82 %,"438.00","2,132,413.00"
BBC,2025-11-12,4892,4947,4785.4,4860,-2.43 %,"879.00","4,247,100.20"
BBC,2025-11-11,4998,4998,4800,4981,0.63 %,"341.00","1,658,610.00"
BBC,2025-11-10,5023,5023,4792.1,4950,0.46 %,"601.00","2,912,850.00"
BBC,2025-11-09,5047,5047,4855,4927.4,-0.50 %,"370.00","1,817,343.80"
BBC,2025-11-06,5050,5458,4952.3,4952.3,-0.20 %,"977.00","4,945,227.00"
BBC,2025-11-05,4974,5432,4925.3,4962,0.47 %,"1,491.00","7,485,218.30"
BBC,2025-11-04,4852,4953.9,4852,4939,-0.16 %,"484.00","2,375,316.00"
BBC,2025-11-03,4980,4980,4881,4947,1.02 %,"231.00","1,135,107.00"
BBC,2025-11-02,4863,5024,4854,4897.1,-1.07 %,"401.00","1,978,832.10"
BBC,2025-10-30,4817,5294,4817,4950,0.81 %,"621.00","3,111,019.00"
BBC,2025-10-29,4895,4978,4879,4910,2.27 %,"1,616.00","7,932,014.00"
BBC,2025-10-28,4849,4939.9,4795,4801,-0.91 %,"1,630.00","7,860,432.90"
BBC,2025-10-26,4750,4845,4660.1,4845,0.94 %,"430.00","2,056,516.00"
BBC,2025-10-19,4815,4819.9,4731,4800,0.73 %,"70.00","336,210.00"
BBC,2025-10-16,4872,4872,4700,4765,-0.31 %,"551.00","2,620,929.00"
BBC,2025-10-15,4805,4897,4707,4780,-2.23 %,"594.00","2,853,755.00"
BBC,2025-10-14,4899,5090,4801.1,4889,1.64 %,"1,878.00","9,334,521.80"
BBC,2025-10-13,4582,4986,4582,4810,3.09 %,"1,859.00","8,932,794.00"
BBC,2025-10-12,4750,4905,4480,4666,-2.99 %,"1,433.00","6,796,608.00"
BBC,2025-10-09,4983,5180,4810,4810,-1.56 %,"1,923.00","9,456,636.00"
BBC,2025-10-08,4825,4995,4741,4886,-0.45 %,"860.00","4,142,651.00"
BBC,2025-10-07,5000,5062,4871.1,4908,-1.10 %,"823.00","4,080,969.00"
BBC,2025-09-28,5137,5137,4955,4962.8,-1.53 %,"317.00","1,592,326.00"
BBC,2025-09-25,4974,5041.9,4950,5040,1.43 %,"372.00","1,855,785.00"
BBC,2025-09-24,5145,5145,4881.1,4969,-1.60 %,"646.00","3,223,854.40"
BBC,2025-09-23,5058,5058,4970,5050,1.83 %,"527.00","2,645,008.00"
BBC,2025-09-21,4657.4,5020,4582.1,4959.28,8.61 %,"1,536.00","7,343,425.90"
BBC,2025-09-18,4945.5,5100,4565,4566.1,-9.52 %,340.00,"1,650,464.00"
BBC,2025-09-08,5150,5200,4899,5046.38,-3.60 %,"2,459.00","12,522,647.20"
BBC,2025-09-07,5277,5277,5152,5234.9,-0.20 %,360.00,"1,877,796.00"
BBC,2025-09-04,5107,5290,5107,5245.36,0.67 %,394.00,"2,057,509.00"
BBC,2025-09-03,5200,5298.8,5100,5210.46,0.21 %,592.00,"3,070,492.00"
BBC,2025-09-02,5418.9,5418.9,5131,5199.73,-2.22 %,"7,018.00","36,556,112.20"
BBC,2025-09-01,5480.2,5480.2,5300,5317.85,-1.02 %,261.00,"1,395,908.00"
BBC,2025-08-31,5440,5447.7,5300,5372.8,-0.33 %,345.00,"1,844,274.00"
BBC,2025-08-28,5473.9,5520,5360,5390.7,-1.34 %,450.00,"2,440,681.40"
BBC,2025-08-27,5375,5500,5375,5463.75,2.86 %,678.00,"3,698,963.00"
BBC,2025-08-26,5366,5397,5312,5312,0.03 %,280.00,"1,502,048.90"
BBC,2025-08-25,5275,5373.9,5275,5310.66,0.04 %,337.00,"1,788,049.80"
BBC,2025-08-24,5409.5,5409.6,5302,5308.32,-0.25 %,520.00,"2,769,311.00"
BBC,2025-08-21,5437,5437,5310,5321.86,-0.72 %,381.00,"2,032,766.60"
BBC,2025-08-20,5422.18,5422.18,5321.1,5360.33,-1.14 %,495.00,"2,651,109.00"
BBC,2025-08-19,5498.9,5498.9,5389,5422.18,0.24 %,180.00,"977,136.00"
BBC,2025-08-18,5444,5444,5320,5409.45,1.31 %,498.00,"2,678,631.00"
BBC,2025-08-17,5395,5518,5330,5339.43,-1.71 %,"1,146.00","6,149,213.50"
