Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
BEDC,2025-09-18,611.2,611.2,577.0,577.0,-7.47 %,600.00,"366,024.00",0.0
BEDC,2025-09-08,627.0,633.0,620.0,623.58,-2.09 %,"9,876.00","6,192,672.20",0.0
BEDC,2025-09-07,648.0,648.0,633.0,636.88,-1.65 %,"26,539.00","16,883,587.40",0.0
BEDC,2025-09-04,646.0,669.9,644.9,647.58,-1.51 %,"7,108.00","4,612,794.00",0.0
BEDC,2025-09-03,663.0,675.0,653.7,657.53,-2.43 %,"7,333.00","4,849,457.60",0.0
BEDC,2025-09-02,691.2,704.0,669.0,673.88,-2.44 %,"19,923.00","13,702,588.50",0.0
BEDC,2025-09-01,684.1,704.9,681.0,690.71,-0.75 %,"4,443.00","3,044,554.80",0.0
BEDC,2025-08-31,715.0,718.0,692.0,695.94,-2.47 %,"7,602.00","5,325,202.50",0.0
BEDC,2025-08-28,716.2,730.0,711.2,713.53,-2.35 %,"10,001.00","7,208,059.00",0.0
BEDC,2025-08-27,712.0,743.0,712.0,730.68,0.83 %,"14,428.00","10,557,125.10",0.0
BEDC,2025-08-26,725.0,738.9,710.5,724.63,0.27 %,"2,887.00","2,082,351.00",0.0
BEDC,2025-08-25,702.0,729.5,702.0,722.69,0.90 %,"6,382.00","4,609,283.10",0.0
BEDC,2025-08-24,745.2,745.2,708.0,716.24,-1.97 %,"8,801.00","6,343,692.50",0.0
BEDC,2025-08-21,739.9,740.0,715.0,730.61,-1.01 %,"14,777.00","10,745,976.80",0.0
BEDC,2025-08-20,730.0,744.9,730.0,738.03,-0.63 %,"5,425.00","4,005,116.70",0.0
BEDC,2025-08-19,769.0,774.9,741.1,742.7,-1.58 %,"2,812.00","2,104,424.40",0.0
BEDC,2025-08-18,760.0,765.0,751.3,754.66,-0.71 %,"13,071.00","9,914,927.10",0.0
BEDC,2025-08-17,765.0,766.0,745.0,760.05,0.64 %,"66,989.00","50,897,513.00",0.0
BEDC,2025-08-14,743.0,760.0,716.1,755.24,3.48 %,"11,814.00","8,881,857.10",0.0
BEDC,2025-08-13,730.0,750.0,728.0,729.81,-1.37 %,"3,254.00","2,384,549.60",0.0
BEDC,2025-08-12,735.1,750.0,735.0,739.95,-1.29 %,"18,402.00","13,642,566.60",0.0
BEDC,2025-08-11,752.0,765.0,741.6,749.63,-1.44 %,"16,227.00","12,178,583.00",0.0
BEDC,2025-08-07,735.0,775.0,735.0,760.57,2.61 %,"16,475.00","12,614,090.20",0.0
BEDC,2025-08-06,755.0,760.0,735.0,741.23,-1.98 %,"12,158.00","9,076,901.00",0.0
BEDC,2025-08-05,745.0,790.0,745.0,756.2,-0.50 %,"62,214.00","48,026,873.90",0.0
BEDC,2025-08-04,782.0,812.0,745.1,759.99,-0.97 %,"22,920.00","17,587,909.30",0.0
BEDC,2025-08-03,778.0,780.0,765.0,767.46,-3.26 %,"30,894.00","23,866,374.00",0.0
BEDC,2025-07-31,836.9,836.9,778.0,793.3,-7.10 %,"17,173.00","13,689,534.30",0.0
BEDC,2025-07-30,838.9,872.0,787.5,853.95,3.82 %,"77,813.00","63,450,415.30",0.0
BEDC,2025-07-29,806.0,842.5,806.0,822.5,2.44 %,"93,954.00","77,653,749.30",0.0
BEDC,2025-07-28,772.0,810.0,765.2,802.89,3.61 %,"105,914.00","84,125,072.40",0.0
BEDC,2025-07-27,752.0,800.7,752.0,774.91,2.58 %,"64,694.00","50,103,767.90",0.0
BEDC,2025-07-24,760.0,768.9,745.0,755.43,-0.91 %,"32,595.00","24,669,212.30",0.0
BEDC,2025-07-23,789.1,789.1,752.2,762.37,-5.32 %,"35,267.00","26,947,089.90",0.0
BEDC,2025-07-22,780.4,817.0,755.0,805.2,5.24 %,"91,463.00","71,410,206.40",0.0
BEDC,2025-07-21,720.0,770.0,720.0,765.1,6.33 %,"72,353.00","54,123,511.20",0.0
BEDC,2025-07-20,699.0,753.7,685.0,719.52,3.55 %,"70,081.00","50,340,751.80",0.0
BEDC,2025-07-17,676.8,708.9,670.0,694.84,4.64 %,"46,219.00","31,937,623.00",0.0
BEDC,2025-07-16,665.0,686.5,657.1,664.05,-0.96 %,"14,300.00","9,608,276.30",0.0
BEDC,2025-07-15,643.0,675.0,643.0,670.46,2.64 %,"13,126.00","8,728,796.40",0.0
BEDC,2025-07-14,684.0,684.0,650.1,653.24,-2.61 %,"13,497.00","8,870,084.20",0.0
BEDC,2025-07-13,691.0,693.0,665.0,670.74,-1.09 %,"15,080.00","10,219,169.30",0.0
BEDC,2025-07-10,673.1,701.0,673.1,678.1,-1.27 %,"15,256.00","10,414,284.00",0.0
BEDC,2025-07-09,690.0,715.0,685.1,686.8,0.10 %,"28,865.00","20,025,627.60",0.0
BEDC,2025-07-08,700.0,715.0,680.0,686.13,-3.92 %,"13,973.00","9,719,695.90",0.0
BEDC,2025-07-07,696.3,739.5,683.0,714.12,0.52 %,"134,452.00","96,080,834.90",0.0
BEDC,2025-07-06,696.4,724.0,675.7,710.42,-0.02 %,"85,454.00","59,668,374.50",0.0
BEDC,2025-07-03,660.0,715.0,660.0,710.59,6.78 %,"61,465.00","42,675,726.80",0.0
BEDC,2025-07-02,665.9,671.0,640.2,665.46,1.92 %,"25,454.00","16,751,681.90",0.0
BEDC,2025-07-01,663.7,663.7,647.0,652.94,0.33 %,"7,489.00","4,904,531.40",0.0
BEDC,2025-06-30,638.0,656.0,633.1,650.78,2.79 %,"12,868.00","8,299,946.10",0.0
BEDC,2025-06-29,631.3,660.0,630.0,633.1,2.29 %,"16,955.00","10,829,809.30",0.0
BEDC,2025-06-26,629.0,640.0,616.5,618.94,-2.09 %,"9,369.00","5,852,744.60",0.0
BEDC,2025-06-25,646.0,646.0,626.0,632.15,-0.32 %,"7,663.00","4,832,023.00",0.0
BEDC,2025-06-24,640.1,652.0,628.2,634.16,-0.13 %,"16,885.00","10,825,826.20",0.0
BEDC,2025-06-23,650.0,659.8,622.0,635.01,-2.30 %,"18,249.00","11,612,020.50",0.0
