Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
BFC,2025-12-11,482,482,468,468,-1.47 %,"16,313.00","7,694,962.50"
BFC,2025-12-10,477,487,473,475,-2.04 %,"17,136.00","8,220,077.20"
BFC,2025-12-09,487,492,480.1,484.9,0.21 %,"56,531.00","27,295,615.40"
BFC,2025-12-08,490,490,480.1,483.9,-0.23 %,"26,559.00","12,859,463.20"
BFC,2025-12-07,487,500,477,485,-0.61 %,"148,405.00","72,226,885.60"
BFC,2025-12-03,472.1,494,472.1,488,2.67 %,"73,282.00","35,714,512.70"
BFC,2025-12-02,470,478.6,468.4,475.3,0.49 %,"11,640.00","5,506,613.90"
BFC,2025-12-01,470,478.9,461.2,473,1.09 %,"19,245.00","9,062,761.20"
BFC,2025-11-30,478.9,480,464,467.9,-1.06 %,"27,890.00","13,091,718.30"
BFC,2025-11-27,467,483.9,467,472.9,-0.65 %,"15,579.00","7,371,108.00"
BFC,2025-11-26,486.5,486.5,470,476,-0.21 %,"12,196.00","5,761,325.50"
BFC,2025-11-25,468,485.3,468,477,-0.10 %,"31,924.00","15,155,206.40"
BFC,2025-11-24,481,481,466,477.5,1.17 %,"20,360.00","9,632,502.90"
BFC,2025-11-23,458.7,486,458.7,472,0.85 %,"26,914.00","12,641,996.20"
BFC,2025-11-20,483,483,460,468,-1.27 %,"20,081.00","9,319,798.30"
BFC,2025-11-19,480,487.6,465,474,0.64 %,"26,426.00","12,401,869.70"
BFC,2025-11-18,474,494,465,471,1.29 %,"14,445.00","6,903,416.00"
BFC,2025-11-17,470,479,465,465,-1.90 %,"14,642.00","6,918,322.60"
BFC,2025-11-16,486,490,465,474,-0.71 %,"20,668.00","9,822,479.90"
BFC,2025-11-13,483.3,512,475,477.4,-3.18 %,"38,753.00","18,838,941.20"
BFC,2025-11-12,478.3,527.3,478.3,493.1,1.05 %,"69,293.00","34,226,210.40"
BFC,2025-11-11,477.3,496.5,477.3,488,0.21 %,"18,958.00","9,153,202.90"
BFC,2025-11-10,485.3,499,470,487,-1.44 %,"40,762.00","19,746,930.50"
BFC,2025-11-09,488,504,482.6,494.1,-0.76 %,"45,093.00","22,168,348.90"
BFC,2025-11-06,479.4,508.9,473.1,497.9,5.91 %,"116,375.00","57,689,723.00"
BFC,2025-11-05,464,477.9,446,470.1,3.30 %,"24,142.00","11,222,262.80"
BFC,2025-11-04,476.3,482.9,455,455.1,-2.55 %,"16,334.00","7,590,249.50"
BFC,2025-11-03,479.8,487,466.1,467,-0.95 %,"12,631.00","6,021,897.70"
BFC,2025-11-02,445,478.9,445,471.5,4.55 %,"23,596.00","11,025,704.40"
BFC,2025-10-30,452,452,435,451,1.69 %,"7,662.00","3,414,126.60"
BFC,2025-10-29,454,459.9,436.5,443.5,-0.72 %,"6,516.00","2,944,557.70"
BFC,2025-10-28,441.5,446.9,441,446.7,3.16 %,"2,189.00","972,760.50"
BFC,2025-10-26,430,433,427,433,-0.46 %,"4,149.00","1,776,907.00"
BFC,2025-10-19,422,445,422,435,1.14 %,"4,945.00","2,140,467.30"
BFC,2025-10-16,443,443,430,430.1,-1.13 %,"9,685.00","4,179,921.10"
BFC,2025-10-15,432,439.9,432,435,-1.11 %,"4,178.00","1,817,491.80"
BFC,2025-10-14,436,451,436,439.9,-0.95 %,"5,483.00","2,420,523.50"
BFC,2025-10-13,438,450,434,444.1,1.35 %,"6,513.00","2,877,637.30"
BFC,2025-10-12,446,454.9,437,438.2,-3.69 %,"13,374.00","5,892,814.90"
BFC,2025-10-09,452.8,485,452,455,2.48 %,"13,321.00","6,186,847.70"
BFC,2025-10-08,466,466,439,444,-3.44 %,"17,276.00","7,647,739.80"
BFC,2025-10-07,471,471,457,459.8,-2.38 %,"8,435.00","3,899,029.00"
BFC,2025-09-28,476,476,466.5,471,0.86 %,"6,550.00","3,068,675.70"
BFC,2025-09-25,456,470,456,467,0.43 %,"6,030.00","2,792,992.90"
BFC,2025-09-24,479,479,463,465,-1.48 %,"11,069.00","5,165,589.40"
BFC,2025-09-23,465,478,460,472,3.42 %,"7,792.00","3,663,435.70"
BFC,2025-09-21,411.5,460,411.5,456.39,8.72 %,"27,520.00","12,164,278.70"
BFC,2025-09-18,455.8,455.8,419.8,419.8,-9.74 %,"1,986.00","859,382.00"
BFC,2025-09-08,484,484,464,465.09,-2.06 %,"12,021.00","5,600,675.50"
BFC,2025-09-07,477.9,487,467,474.89,0.83 %,"7,029.00","3,345,438.20"
BFC,2025-09-04,479.5,479.5,464.6,470.99,0.19 %,"13,876.00","6,500,531.60"
BFC,2025-09-03,477,477,470,470.12,-1.09 %,"16,362.00","7,713,200.10"
BFC,2025-09-02,480,486,475,475.31,-0.82 %,"8,018.00","3,821,688.90"
BFC,2025-09-01,490,490,474,479.24,-0.33 %,"9,444.00","4,525,137.70"
BFC,2025-08-31,500,500,475,480.81,-2.38 %,"19,638.00","9,472,630.60"
BFC,2025-08-28,513,513,490,492.55,-2.18 %,"19,508.00","9,698,274.40"
BFC,2025-08-27,500,505,496,503.54,1.52 %,"17,592.00","8,817,569.10"
BFC,2025-08-26,499,499,491,496,0.16 %,"4,766.00","2,353,911.50"
BFC,2025-08-25,494,499,490,495.2,0.49 %,"7,791.00","3,847,699.60"
BFC,2025-08-24,495,503,490,492.79,-1.31 %,"13,099.00","6,488,009.60"
BFC,2025-08-21,489.5,507,489.5,499.32,0.07 %,"13,726.00","6,854,328.50"
BFC,2025-08-20,500,509,498,498.98,-0.38 %,"18,196.00","9,097,929.40"
BFC,2025-08-19,495,510,495,500.86,-0.75 %,"12,384.00","6,232,706.00"
BFC,2025-08-18,502,512,500,504.66,-0.11 %,"20,496.00","10,332,062.60"
