Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
BGWT,2025-09-18,864.9,864.9,850.0,850.0,-3.68 %,20.00,"17,149.00",0.0
BGWT,2025-09-08,890.0,895.0,857.1,882.5,-1.41 %,"4,635.00","4,051,689.50",0.0
BGWT,2025-09-07,906.0,906.0,891.0,895.16,-1.36 %,"1,430.00","1,286,348.60",0.0
BGWT,2025-09-04,895.0,909.0,880.0,907.51,0.30 %,"4,663.00","4,160,146.30",0.0
BGWT,2025-09-03,896.0,905.0,890.2,904.78,0.35 %,"3,210.00","2,889,227.00",0.0
BGWT,2025-09-02,905.0,912.5,894.0,901.66,-0.44 %,"1,793.00","1,615,152.70",0.0
BGWT,2025-09-01,900.0,909.0,900.0,905.64,-0.11 %,"1,439.00","1,296,787.20",0.0
BGWT,2025-08-31,924.7,924.7,905.0,906.6,0.00 %,"1,998.00","1,824,505.80",0.0
BGWT,2025-08-28,906.0,909.0,905.2,906.6,0.17 %,"1,028.00","931,692.20",0.0
BGWT,2025-08-27,900.0,912.0,900.0,905.05,0.48 %,"3,895.00","3,528,920.80",0.0
BGWT,2025-08-26,887.6,906.1,887.6,900.75,-0.54 %,"1,516.00","1,367,648.00",0.0
BGWT,2025-08-25,882.3,909.9,882.3,905.63,0.60 %,887.00,"799,881.30",0.0
BGWT,2025-08-24,915.0,915.0,900.0,900.22,-0.53 %,"4,193.00","3,779,898.90",0.0
BGWT,2025-08-21,908.5,917.0,902.3,905.0,-0.81 %,"1,442.00","1,313,288.00",0.0
BGWT,2025-08-20,920.0,930.0,910.0,912.38,-0.89 %,"1,794.00","1,648,549.00",0.0
BGWT,2025-08-19,910.0,927.0,910.0,920.55,0.51 %,737.00,"677,413.50",0.0
BGWT,2025-08-18,900.0,937.0,900.0,915.85,1.60 %,"3,419.00","3,131,094.10",0.0
BGWT,2025-08-17,900.0,910.0,900.0,901.41,0.13 %,"2,375.00","2,144,950.30",0.0
BGWT,2025-08-14,902.0,910.0,893.0,900.23,-0.11 %,"2,500.00","2,250,777.70",0.0
BGWT,2025-08-13,900.0,917.9,900.0,901.18,-0.02 %,"2,370.00","2,148,444.40",0.0
BGWT,2025-08-12,919.0,919.0,900.0,901.34,-1.41 %,"4,944.00","4,469,147.50",0.0
BGWT,2025-08-11,932.0,935.0,911.4,914.21,-2.04 %,"5,954.00","5,476,937.80",0.0
BGWT,2025-08-07,928.0,946.8,910.0,933.21,0.53 %,"5,138.00","4,754,980.50",0.0
BGWT,2025-08-06,945.0,945.0,926.4,928.33,-0.13 %,"3,451.00","3,212,115.20",0.0
BGWT,2025-08-05,955.0,955.0,929.0,929.54,-1.29 %,"4,619.00","4,311,281.20",0.0
BGWT,2025-08-04,926.0,945.0,926.0,941.66,0.49 %,"4,795.00","4,469,914.30",0.0
BGWT,2025-08-03,941.0,957.0,929.5,937.07,-1.19 %,"8,132.00","7,653,136.10",0.0
BGWT,2025-07-31,945.0,957.0,945.0,948.39,-0.88 %,"4,157.00","3,943,209.90",0.0
BGWT,2025-07-30,977.9,977.9,948.1,956.8,-0.55 %,"6,912.00","6,637,933.90",0.0
BGWT,2025-07-29,976.2,977.9,950.0,962.13,0.52 %,"9,081.00","8,723,328.00",0.0
BGWT,2025-07-28,940.0,992.0,933.4,957.17,0.84 %,"14,028.00","13,256,345.00",0.0
