Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
BHPL,2025-12-11,615,623,605,623,0.16 %,"874.00","536,148.00"
BHPL,2025-12-10,644,644,608,622,-2.03 %,"3,397.00","2,115,564.00"
BHPL,2025-12-09,622,637.9,616,634.9,1.10 %,"4,235.00","2,638,554.50"
BHPL,2025-12-08,626.3,644,626.3,628,-1.41 %,"1,928.00","1,213,892.60"
BHPL,2025-12-07,659,660,635,637,-2.75 %,"4,107.00","2,648,049.30"
BHPL,2025-12-03,660,660,650,655,-1.06 %,"2,695.00","1,762,372.10"
BHPL,2025-12-02,657.1,662,651.5,662,-0.15 %,"3,004.00","1,978,538.50"
BHPL,2025-12-01,661,667,658.2,663,0.44 %,"1,333.00","883,129.20"
BHPL,2025-11-30,667.6,675,660,660.1,-1.12 %,"5,765.00","3,840,920.50"
BHPL,2025-11-27,658,678.9,658,667.6,-0.37 %,"2,303.00","1,546,445.40"
BHPL,2025-11-26,667,678,666,670.1,0.60 %,"2,739.00","1,833,439.00"
BHPL,2025-11-25,677,677,665,666.1,0.17 %,"2,489.00","1,665,068.80"
BHPL,2025-11-24,662.1,670,655.7,665,-0.15 %,"2,103.00","1,397,455.00"
BHPL,2025-11-23,668.1,671,656,666,1.68 %,"2,444.00","1,620,752.50"
BHPL,2025-11-20,653,659.5,650,655,-0.46 %,"2,035.00","1,328,148.00"
BHPL,2025-11-19,670,670,656.6,658,-1.33 %,"432.00","285,686.80"
BHPL,2025-11-18,660,668.3,655.6,666.9,1.03 %,"1,505.00","1,001,600.40"
BHPL,2025-11-17,653,664,651,660.1,1.09 %,"2,077.00","1,363,066.90"
BHPL,2025-11-16,677.7,677.7,652.5,653,-1.80 %,"2,258.00","1,483,371.50"
BHPL,2025-11-13,680.7,680.7,653.1,665,-0.75 %,"925.00","610,835.00"
BHPL,2025-11-12,661,681,660,670,-0.45 %,"851.00","565,768.60"
BHPL,2025-11-11,665,677,665,673,0.45 %,"675.00","450,999.00"
BHPL,2025-11-10,680,689,662,670,0.00 %,"815.00","547,498.00"
BHPL,2025-11-09,682,682,660.1,670,-0.31 %,"954.00","638,236.50"
BHPL,2025-11-06,677,683.3,667,672.1,1.22 %,"2,068.00","1,389,238.80"
BHPL,2025-11-05,682.9,682.9,663,664,-0.90 %,"1,216.00","811,579.10"
BHPL,2025-11-04,693,693,660,670,-1.63 %,"494.00","331,129.50"
BHPL,2025-11-03,690,715,660,681.1,-2.14 %,"5,920.00","3,974,762.30"
BHPL,2025-11-02,715,715.5,692,696,-0.85 %,"1,263.00","899,628.00"
BHPL,2025-10-30,678.3,702,678.2,702,1.45 %,"1,480.00","1,024,912.70"
BHPL,2025-10-29,698.7,730,681,692,1.02 %,"1,200.00","849,898.00"
BHPL,2025-10-28,673,713,672,685,3.79 %,"1,122.00","774,684.90"
BHPL,2025-10-26,660,675,660,660,-1.64 %,"1,343.00","888,911.00"
BHPL,2025-10-19,660,678,660,671,2.18 %,"398.00","268,232.70"
BHPL,2025-10-16,667,680.3,656.7,656.7,-1.54 %,"1,007.00","675,113.00"
BHPL,2025-10-15,664,670.1,662,667,0.69 %,"1,121.00","745,416.00"
BHPL,2025-10-14,675.1,688.6,662,662.4,-3.72 %,"1,067.00","712,213.90"
BHPL,2025-10-13,665,688,664,688,3.76 %,"868.00","587,456.70"
BHPL,2025-10-12,697.2,697.2,662,663.1,-4.75 %,"1,365.00","927,441.70"
BHPL,2025-10-09,706,748,696,696.2,0.58 %,"1,308.00","935,533.00"
BHPL,2025-10-08,737.2,737.2,688,692.2,-4.23 %,"980.00","689,019.00"
BHPL,2025-10-07,733,733,710.1,722.8,-1.39 %,"1,131.00","819,076.00"
BHPL,2025-09-28,745,775,731,733,-3.55 %,"1,624.00","1,208,219.20"
BHPL,2025-09-25,741.8,760,731,760,0.41 %,"1,290.00","969,484.60"
BHPL,2025-09-24,729,789,710,756.9,5.42 %,"2,421.00","1,763,312.30"
BHPL,2025-09-23,707.8,718,699,718,3.46 %,"2,558.00","1,808,517.70"
BHPL,2025-09-21,651,710,651,694,5.14 %,"4,102.00","2,846,780.20"
BHPL,2025-09-18,660.1,660.1,660.1,660.1,-1.71 %,90.00,"59,409.00"
BHPL,2025-09-08,705,705,667.6,671.55,-5.28 %,"5,124.00","3,478,608.10"
BHPL,2025-09-07,714,715,709,709,-1.53 %,"1,635.00","1,162,856.30"
BHPL,2025-09-04,745,745,719.6,720.02,-3.83 %,"2,500.00","1,811,845.80"
BHPL,2025-09-03,750,754,745.1,748.7,-0.31 %,557.00,"416,776.00"
BHPL,2025-09-02,769,770,750,751.05,-2.33 %,"1,856.00","1,404,643.20"
BHPL,2025-09-01,754,779.9,752,769,0.39 %,"1,641.00","1,247,192.80"
BHPL,2025-08-31,786.3,788.5,764,766,-0.67 %,"2,270.00","1,760,987.00"
BHPL,2025-08-28,784,794.8,771,771.2,-1.63 %,"3,418.00","2,650,082.90"
BHPL,2025-08-27,786.4,786.4,772,784,1.69 %,"2,203.00","1,718,480.60"
BHPL,2025-08-26,786.9,800,771,771,-0.07 %,621.00,"480,842.00"
BHPL,2025-08-25,766.4,781.4,766.3,771.53,-0.41 %,"1,865.00","1,445,693.10"
BHPL,2025-08-24,801.4,814.8,770,774.69,-1.40 %,"3,589.00","2,805,790.30"
BHPL,2025-08-21,783.1,804,782,785.71,-1.34 %,"2,756.00","2,173,261.10"
BHPL,2025-08-20,797,812.9,794.1,796.41,-1.72 %,"2,237.00","1,786,927.40"
BHPL,2025-08-19,797.2,820,797.2,810.37,1.61 %,"1,983.00","1,608,552.50"
BHPL,2025-08-18,772,813,772,797.54,3.43 %,"6,144.00","4,900,463.40"
BHPL,2025-08-17,789,800,771,771.1,-0.33 %,"3,056.00","2,391,564.30"
BHPL,2025-08-14,775.6,777,771.6,773.68,-0.86 %,"2,648.00","2,047,588.00"
BHPL,2025-08-13,786,800,778.2,780.36,-0.79 %,"1,312.00","1,035,351.60"
BHPL,2025-08-12,782.4,806,782.4,786.54,-1.15 %,"2,226.00","1,766,635.90"
BHPL,2025-08-11,808,815,795.5,795.67,-1.49 %,"2,635.00","2,123,129.50"
BHPL,2025-08-07,780.1,809.9,780.1,807.72,2.15 %,"4,597.00","3,677,182.00"
BHPL,2025-08-06,803.5,803.5,784,790.75,0.34 %,635.00,"503,203.00"
BHPL,2025-08-05,800,834,781,788.08,0.26 %,"3,047.00","2,429,352.60"
BHPL,2025-08-04,792,800.8,775.3,786.04,-1.07 %,"3,572.00","2,807,782.60"
BHPL,2025-08-03,795.5,812,790,794.52,-2.11 %,"4,654.00","3,722,667.60"
BHPL,2025-07-31,820.2,821.9,805.5,811.61,-1.04 %,"3,240.00","2,637,697.20"
BHPL,2025-07-30,836,836,820,820.14,-1.81 %,"8,568.00","7,059,740.30"
BHPL,2025-07-29,815,842,815,835.25,2.98 %,"5,052.00","4,201,932.40"
BHPL,2025-07-28,848,848,807.1,811.05,-2.45 %,"12,171.00","9,926,927.40"
