Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
BNL,2025-09-07,15754.0,15754.0,15753.5,15753.75,-2.00 %,20.00,"315,075.00",0.0
BNL,2025-09-03,16400.0,16400.0,16075.0,16075.0,-0.04 %,50.00,"807,000.00",0.0
BNL,2025-08-28,16084.0,16084.0,16082.0,16082.0,-2.00 %,32.00,"514,656.00",0.0
BNL,2025-08-27,16400.0,16410.0,16400.0,16410.0,1.48 %,20.00,"328,100.00",0.0
BNL,2025-08-26,16500.0,16500.0,16170.1,16170.1,-2.00 %,20.00,"326,701.00",0.0
BNL,2025-08-18,16711.0,16711.0,16500.0,16500.0,-1.26 %,20.00,"332,110.00",0.0
BNL,2025-08-12,17052.0,17052.0,16711.0,16711.0,-3.96 %,20.00,"337,630.00",0.0
BNL,2025-08-11,17400.0,17400.0,17100.0,17400.0,1.16 %,180.00,"3,092,990.00",0.0
BNL,2025-08-06,17200.0,17200.0,17200.0,17200.0,1.60 %,10.00,"172,000.00",0.0
BNL,2025-08-05,17275.0,17275.0,16929.5,16929.5,-0.70 %,20.00,"342,045.00",0.0
BNL,2025-08-04,16999.3,17099.0,16999.3,17049.15,2.30 %,20.00,"340,983.00",0.0
BNL,2025-08-03,16666.0,16666.0,16666.0,16666.0,-1.96 %,25.00,"416,650.00",0.0
BNL,2025-07-31,16700.0,17000.0,16700.0,17000.0,0.11 %,20.00,"337,000.00",0.0
BNL,2025-07-29,17201.0,17300.0,16960.0,16980.5,-1.85 %,40.00,"684,620.00",0.0
BNL,2025-07-28,17300.0,17300.0,17000.0,17300.0,-1.10 %,30.00,"516,000.00",0.0
BNL,2025-07-24,17151.0,17493.0,17150.0,17493.0,-0.04 %,40.00,"689,440.00",0.0
BNL,2025-07-23,17200.0,17500.0,17200.0,17500.0,0.57 %,25.00,"431,280.00",0.0
BNL,2025-07-22,17500.0,17500.0,17150.0,17400.6,-2.46 %,145.00,"2,527,104.00",0.0
BNL,2025-07-20,17840.1,17840.1,17840.1,17840.1,-2.00 %,10.00,"178,401.00",0.0
BNL,2025-07-17,17150.0,18204.0,17100.0,18204.0,4.03 %,120.00,"2,105,001.00",0.0
BNL,2025-07-16,17498.0,17498.0,17498.0,17498.0,2.00 %,10.00,"174,980.00",0.0
BNL,2025-07-15,16855.0,17189.0,16855.0,17155.42,3.81 %,100.00,"1,712,010.00",0.0
BNL,2025-07-14,16800.0,18399.9,16525.0,16525.0,-1.21 %,190.00,"3,321,671.00",0.0
BNL,2025-07-13,16727.9,16727.9,16727.9,16727.9,2.00 %,10.00,"167,279.00",0.0
BNL,2025-07-10,16400.0,16407.0,16400.0,16400.0,1.96 %,30.00,"492,070.00",0.0
BNL,2025-07-09,16316.8,16412.0,16085.1,16085.4,0.53 %,80.00,"1,301,220.00",0.0
BNL,2025-07-08,16000.0,16000.0,16000.0,16000.0,1.27 %,10.00,"160,000.00",0.0
BNL,2025-07-07,16000.4,16000.4,15800.0,15800.05,-3.19 %,50.00,"796,008.00",0.0
BNL,2025-07-06,16000.0,16320.0,16000.0,16320.0,3.29 %,30.00,"483,200.00",0.0
BNL,2025-07-03,15800.0,15800.0,15800.0,15800.0,-0.33 %,10.00,"158,000.00",0.0
BNL,2025-07-02,15851.8,15851.8,15851.8,15851.8,0.00 %,10.00,"158,518.00",0.0
BNL,2025-07-01,15541.1,15851.8,15541.0,15851.8,0.01 %,30.00,"469,339.00",0.0
BNL,2025-06-30,15600.0,15850.0,15600.0,15850.0,2.59 %,30.00,"472,000.00",0.0
BNL,2025-06-29,15450.0,15450.0,15450.0,15450.0,0.13 %,20.00,"309,000.00",0.0
BNL,2025-06-26,15430.0,15430.0,15430.0,15430.0,-0.99 %,10.00,"154,300.00",0.0
BNL,2025-06-24,15584.1,15584.1,15584.0,15584.05,-1.99 %,20.00,"311,681.00",0.0
BNL,2025-06-23,16200.0,16200.0,15900.0,15900.5,-3.63 %,40.00,"640,010.00",0.0
BNL,2025-06-22,16500.0,16500.0,16500.0,16500.0,0.82 %,10.00,"165,000.00",0.0
BNL,2025-06-19,16366.0,16366.0,16366.0,16366.0,-2.00 %,10.00,"163,660.00",0.0
BNL,2025-06-18,16700.0,16700.0,16700.0,16700.0,0.00 %,10.00,"167,000.00",0.0
BNL,2025-06-16,16208.0,17000.4,16208.0,16700.0,5.09 %,70.00,"1,171,064.00",0.0
BNL,2025-06-15,15891.0,15891.0,15891.0,15891.0,2.00 %,10.00,"158,910.00",0.0
BNL,2025-06-12,15898.0,15898.0,15580.0,15580.0,-2.00 %,170.00,"2,655,004.00",0.0
BNL,2025-06-11,16550.0,16550.0,15896.0,15898.1,-3.89 %,70.00,"1,129,025.00",0.0
BNL,2025-06-10,16542.3,16542.3,16542.3,16542.3,2.00 %,10.00,"165,423.00",0.0
BNL,2025-06-09,16218.0,16218.0,16218.0,16218.0,2.00 %,10.00,"162,180.00",0.0
BNL,2025-06-08,16000.1,16000.1,15900.0,15900.0,-1.76 %,153.00,"2,435,922.00",0.0
BNL,2025-06-05,16185.1,16185.1,16185.1,16185.1,-1.99 %,10.00,"161,851.00",0.0
BNL,2025-06-04,16526.0,16526.0,16513.0,16513.0,-2.00 %,50.00,"826,150.00",0.0
BNL,2025-06-03,16850.0,16850.0,16850.0,16850.0,1.50 %,10.00,"168,500.00",0.0
BNL,2025-06-02,16910.0,16910.0,16601.0,16601.0,-3.20 %,40.00,"670,120.00",0.0
BNL,2025-05-26,16840.2,17150.0,16840.2,17150.0,3.88 %,20.00,"339,902.00",0.0
BNL,2025-05-25,16900.0,16900.0,16505.0,16510.0,-1.96 %,55.00,"917,700.00",0.0
BNL,2025-05-22,17088.0,17100.0,16420.0,16840.0,0.52 %,80.00,"1,356,960.00",0.0
BNL,2025-05-21,17444.0,17444.0,16753.3,16753.3,-5.88 %,40.00,"683,885.00",0.0
BNL,2025-05-19,17800.0,17800.0,17800.0,17800.0,0.00 %,40.00,"712,000.00",0.0
BNL,2025-05-15,17800.0,17800.0,17800.0,17800.0,-1.49 %,10.00,"178,000.00",0.0
BNL,2025-05-14,18071.2,18071.2,18070.0,18070.0,-2.01 %,210.00,"3,794,940.00",0.0
BNL,2025-04-29,18440.0,18440.0,18440.0,18440.0,-0.05 %,10.00,"184,400.00",0.0
BNL,2025-04-23,17731.2,18450.0,17731.2,18450.0,1.97 %,20.00,"361,812.00",0.0
BNL,2025-04-22,18093.0,18093.0,18093.0,18093.0,1.99 %,10.00,"180,930.00",0.0
BNL,2025-04-21,17835.1,18000.0,17478.4,17739.2,-2.53 %,30.00,"533,135.00",0.0
BNL,2025-04-20,17494.0,18199.0,17494.0,18199.0,6.11 %,30.00,"535,368.00",0.0
BNL,2025-04-17,17600.0,17600.0,17151.0,17151.0,-4.46 %,40.00,"698,440.00",0.0
BNL,2025-04-16,17952.0,17952.0,17952.0,17952.0,2.00 %,10.00,"179,520.00",0.0
BNL,2025-04-15,17250.7,17600.0,17250.7,17600.0,-0.02 %,35.00,"612,457.00",0.0
BNL,2025-04-13,17575.0,17926.5,17575.0,17602.75,-1.83 %,60.00,"1,059,125.00",0.0
BNL,2025-04-10,18375.0,18375.0,17647.4,17930.93,-4.37 %,81.00,"1,460,187.00",0.0
BNL,2025-04-09,18000.0,19060.0,18000.0,18750.0,5.16 %,100.00,"1,865,752.00",0.0
BNL,2025-04-08,16533.5,17830.3,16533.5,17830.2,10.00 %,100.00,"1,747,184.00",0.0
BNL,2025-04-07,16217.1,16541.4,15580.0,16209.4,-2.05 %,80.00,"1,287,665.00",0.0
BNL,2025-04-03,17228.3,17228.3,16548.0,16548.0,-5.87 %,50.00,"844,279.00",0.0
BNL,2025-04-02,19142.5,19142.5,17579.8,17579.8,-10.00 %,70.00,"1,271,201.00",0.0
BNL,2025-03-30,19533.1,19533.1,19533.1,19533.1,-2.00 %,10.00,"195,331.00",0.0
BNL,2025-03-25,19931.69,19931.69,19931.69,19931.69,-2.00 %,10.00,"199,316.90",0.0
BNL,2025-03-12,20338.4,20338.4,20338.4,20338.4,-2.00 %,20.00,"406,768.00",0.0
BNL,2025-03-11,21176.9,21176.9,20753.4,20753.4,-3.96 %,50.00,"1,054,610.00",0.0
BNL,2025-03-05,21609.0,21609.0,21609.0,21609.0,-2.00 %,10.00,"216,090.00",0.0
BNL,2025-03-04,22149.0,22500.0,22050.0,22050.0,-0.94 %,897.00,"19,872,282.00",0.0
BNL,2025-03-03,21500.0,22368.0,19564.0,22260.0,5.46 %,791.00,"17,061,866.40",0.0
BNL,2025-03-02,19400.0,21107.9,19000.0,21107.9,8.80 %,630.00,"12,428,027.30",0.0
BNL,2025-02-27,18100.0,19580.0,17892.9,19400.0,8.99 %,"1,068.00","20,185,575.00",0.0
BNL,2025-02-25,18600.0,18600.0,17451.0,17800.0,-4.04 %,80.00,"1,431,665.00",0.0
BNL,2025-02-24,17500.0,18550.0,16807.0,18550.0,8.06 %,569.00,"10,285,701.50",0.0
BNL,2025-02-23,16320.0,17166.6,15680.0,17166.6,7.29 %,220.00,"3,603,901.00",0.0
BNL,2025-02-20,16200.0,16200.0,16000.0,16000.0,-2.82 %,94.00,"1,510,698.00",0.0
BNL,2025-02-18,17137.0,17137.0,16464.0,16464.0,-5.84 %,129.00,"2,152,200.00",0.0
BNL,2025-02-17,17143.2,17486.0,17143.2,17486.0,-0.04 %,30.00,"517,724.00",0.0
BNL,2025-02-13,17493.0,17493.0,17493.0,17493.0,-2.00 %,10.00,"174,930.00",0.0
BNL,2025-02-12,17850.0,17850.0,17850.0,17850.0,1.40 %,21.00,"374,850.00",0.0
BNL,2025-02-11,17604.0,17604.0,17604.0,17604.0,0.00 %,10.00,"176,040.00",0.0
BNL,2025-02-10,19168.69,19168.7,17603.9,17604.0,-10.00 %,230.00,"4,106,119.90",0.0
BNL,2025-01-28,18885.0,20366.2,18885.0,19559.8,5.64 %,70.00,"1,377,213.00",0.0
BNL,2025-01-27,17105.0,18514.8,17105.0,18514.8,8.24 %,100.00,"1,752,645.00",0.0
BNL,2025-01-26,18625.5,18625.5,17105.1,17105.1,-10.00 %,110.00,"1,929,431.00",0.0
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,5.59 %,100.00,"1,914,607.00",0.0
BNL,2025-01-21,18000.0,18000.0,18000.0,18000.0,-1.37 %,20.00,"360,000.00",0.0
BNL,2025-01-20,18389.5,19831.0,18208.4,18250.0,1.23 %,210.00,"3,931,889.50",0.0
BNL,2025-01-19,16717.0,18029.0,16717.0,18029.0,10.00 %,292.00,"5,208,148.20",0.0
BNL,2025-01-16,15198.0,16390.0,15198.0,16390.0,10.00 %,140.00,"2,259,360.00",0.0
BNL,2025-01-13,14900.0,14960.0,14900.0,14900.0,-1.19 %,50.00,"746,100.00",0.0
BNL,2025-01-12,15386.0,15386.0,15078.3,15080.0,-3.95 %,50.00,"760,103.00",0.0
BNL,2025-01-07,15700.0,15700.0,15700.0,15700.0,-1.94 %,10.00,"157,000.00",0.0
BNL,2025-01-05,16012.0,16012.0,16011.0,16011.0,-1.98 %,20.00,"320,230.00",0.0
BNL,2025-01-02,16335.0,16335.0,16335.0,16335.0,2.00 %,10.00,"163,350.00",0.0
BNL,2024-12-31,16014.8,16014.8,16014.8,16014.8,-2.00 %,10.00,"160,148.00",0.0
BNL,2024-12-29,16500.0,16500.0,16341.6,16341.6,-2.00 %,20.00,"328,416.00",0.0
BNL,2024-12-24,16700.0,16700.0,16660.0,16675.0,-1.91 %,39.00,"650,290.00",0.0
BNL,2024-12-23,16500.0,17000.0,16500.0,17000.0,1.80 %,103.00,"1,723,500.00",0.0
BNL,2024-12-16,16500.0,16793.0,16500.0,16700.0,1.43 %,53.00,"882,360.00",0.0
BNL,2024-12-12,16464.0,16464.0,16464.0,16464.0,-2.00 %,10.00,"164,640.00",0.0
BNL,2024-12-09,16999.0,17000.0,16800.0,16800.0,0.63 %,40.00,"676,240.00",0.0
BNL,2024-12-08,16367.0,16694.0,16050.0,16694.0,1.98 %,50.00,"815,321.00",0.0
BNL,2024-12-05,16700.0,16700.0,16370.0,16370.0,-1.39 %,32.00,"527,801.00",0.0
BNL,2024-12-04,16600.0,16600.0,16600.0,16600.0,0.00 %,68.00,"1,128,800.00",0.0
BNL,2024-12-03,16350.0,16600.0,16350.0,16600.0,1.97 %,110.00,"1,808,500.00",0.0
BNL,2024-12-02,16200.0,16280.0,16200.0,16280.0,0.49 %,58.00,"940,400.00",0.0
BNL,2024-12-01,16200.0,16200.0,16200.0,16200.0,0.00 %,10.00,"162,000.00",0.0
BNL,2024-11-28,16300.0,16300.0,16200.0,16200.0,-0.61 %,81.00,"1,318,300.00",0.0
BNL,2024-11-27,16210.0,16600.0,16209.2,16300.0,-1.45 %,252.00,"4,129,334.00",0.0
BNL,2024-11-26,16550.0,16550.0,16540.0,16540.0,-0.06 %,43.00,"711,550.00",0.0
BNL,2024-11-25,16550.0,16550.0,16550.0,16550.0,-0.90 %,10.00,"165,500.00",0.0
BNL,2024-11-24,16400.0,16700.0,16400.0,16700.0,1.83 %,20.00,"331,000.00",0.0
BNL,2024-11-21,16700.0,16700.0,16366.0,16400.0,-1.57 %,110.00,"1,810,300.00",0.0
BNL,2024-11-19,16800.0,16800.0,16662.0,16662.0,-1.99 %,21.00,"351,282.00",0.0
BNL,2024-11-14,17340.0,17686.0,17000.0,17000.0,0.00 %,50.00,"866,920.00",0.0
BNL,2024-11-13,17100.0,17100.0,17000.0,17000.0,-1.16 %,29.00,"494,900.00",0.0
BNL,2024-11-12,17002.0,17200.0,17001.0,17200.0,0.00 %,30.00,"512,030.00",0.0
BNL,2024-11-11,17200.0,17200.0,17200.0,17200.0,-0.58 %,21.00,"361,200.00",0.0
BNL,2024-11-10,17093.0,17300.0,17093.0,17300.0,3.23 %,20.00,"343,930.00",0.0
BNL,2024-11-06,17100.0,17100.0,16758.0,16758.0,-1.42 %,20.00,"338,580.00",0.0
BNL,2024-10-30,17600.0,17600.0,17000.0,17000.0,-1.52 %,51.00,"876,110.00",0.0
BNL,2024-10-24,17263.0,17263.0,17263.0,17263.0,-2.00 %,10.00,"172,630.00",0.0
BNL,2024-10-22,17297.0,17615.0,16951.1,17615.0,-0.20 %,51.00,"887,886.00",0.0
BNL,2024-10-21,17750.0,17750.0,17650.0,17650.0,-0.73 %,20.00,"354,000.00",0.0
BNL,2024-10-17,17780.0,17780.0,17780.0,17780.0,1.94 %,10.00,"177,800.00",0.0
