Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
BNT,2025-12-10,11900,12000,11900,12000,0.84 %,"40.00","477,000.00"
BNT,2025-12-09,11880,12000,11875,11900,-0.39 %,"64.00","762,610.00"
BNT,2025-12-08,12190,12190,11946.2,11946.2,-0.04 %,"185.00","2,218,391.00"
BNT,2025-12-07,11920,12340,11920,11951,0.26 %,"180.00","2,179,843.00"
BNT,2025-12-03,12299.8,12299.8,11911,11920,-1.49 %,"145.00","1,737,207.00"
BNT,2025-12-02,11870,12138.1,11864,12100,1.68 %,"209.00","2,511,646.00"
BNT,2025-12-01,11900,12090,11900,11900.1,0.00 %,"144.00","1,727,281.00"
BNT,2025-11-30,11950.1,12000,11702,11900,-2.30 %,"242.00","2,882,040.00"
BNT,2025-11-27,12140,12350,12140,12180,-0.16 %,"377.00","4,601,660.80"
BNT,2025-11-26,12230.1,12351,12200,12200,-0.25 %,"151.00","1,848,526.20"
BNT,2025-11-25,12450,12450,12222.2,12230.1,-0.57 %,"200.00","2,462,035.00"
BNT,2025-11-24,12250.1,12470,12250,12300,-0.81 %,"243.00","2,994,661.00"
BNT,2025-11-23,12270,12760,12270,12400,2.48 %,"872.00","10,906,803.00"
BNT,2025-11-20,11790,12240,11790,12100,4.40 %,"1,320.00","15,960,116.00"
BNT,2025-11-19,11499,11590,11350.1,11590,2.79 %,"190.00","2,183,686.00"
BNT,2025-11-18,11210,11570,11210,11275,-1.10 %,"171.00","1,940,903.00"
BNT,2025-11-17,11350,11570,11350,11400,1.15 %,"295.00","3,376,492.00"
BNT,2025-11-16,10997.9,11550,10997.9,11270,4.35 %,"670.00","7,502,221.00"
BNT,2025-11-13,10800,11000,10780.1,10800,0.00 %,"247.00","2,688,465.00"
BNT,2025-11-12,10900,10900,10800,10800,-0.92 %,"90.00","976,752.00"
BNT,2025-11-11,10701,10990,10701,10900,0.00 %,"90.00","982,860.00"
BNT,2025-11-10,11073,11073,10830,10900,0.37 %,"60.00","655,821.00"
BNT,2025-11-09,11010,11019,10800,10860,-1.27 %,"192.00","2,096,112.00"
BNT,2025-11-06,11188.7,11188.8,10871,11000,-0.67 %,"180.00","1,983,042.00"
BNT,2025-11-05,10900,11074.7,10900,11074.7,3.38 %,"124.00","1,365,258.00"
BNT,2025-11-04,10900,11099.9,10700,10713,-1.61 %,"130.00","1,412,382.00"
BNT,2025-11-03,11001,11001,10888,10888,-1.02 %,"55.00","602,795.00"
BNT,2025-11-02,11000,11194.9,10852,11000,0.00 %,"134.00","1,478,029.00"
BNT,2025-10-30,10890,11000,10760.1,11000,1.01 %,"91.00","996,724.10"
BNT,2025-10-29,11099.9,11099.9,10890.1,10890.1,-1.89 %,"23.00","252,940.00"
BNT,2025-10-28,10800,11099.9,10780,11099.9,0.94 %,"150.00","1,641,257.00"
BNT,2025-10-26,11195,11195,10660,10996.9,-0.91 %,"170.00","1,847,407.00"
BNT,2025-10-19,10690,11098,10690,11098,1.74 %,"30.00","324,780.00"
BNT,2025-10-16,10800,10908,10700,10908,1.93 %,"80.00","861,470.00"
BNT,2025-10-15,10924.3,10924.3,10701,10701,-0.08 %,"100.00","1,076,613.00"
BNT,2025-10-14,10913,10914,10710.1,10710.1,0.09 %,"40.00","434,371.00"
BNT,2025-10-13,11000,11300,10666.1,10700,-1.65 %,"1,238.00","13,625,985.00"
BNT,2025-10-12,11001.1,11100,10810,10880,-2.86 %,"190.00","2,080,691.00"
BNT,2025-10-09,11130.2,11299,10951,11200,2.64 %,"170.00","1,900,872.00"
BNT,2025-10-08,11111.1,11130,10900,10912,-3.69 %,"200.00","2,201,841.00"
BNT,2025-10-07,11526,11526,11195,11330,0.27 %,"160.00","1,816,665.00"
BNT,2025-09-28,11212,11520,11212,11300,0.78 %,"222.00","2,526,487.00"
BNT,2025-09-25,10979,11420,10979,11212,0.11 %,"80.00","897,415.00"
BNT,2025-09-24,11200,11600,11115,11200,0.00 %,"515.00","5,786,670.00"
BNT,2025-09-23,11220,11220,11111,11200,1.81 %,"188.00","2,105,187.20"
BNT,2025-09-21,10997.6,11220,10900,11000.66,-1.97 %,523.00,"5,769,884.00"
BNT,2025-09-08,11550,11550,11450,11451,-0.86 %,93.00,"1,070,860.00"
BNT,2025-09-07,11500,11550,11500,11550,0.04 %,51.00,"586,815.00"
BNT,2025-09-04,11700,11700,11500,11545,-1.24 %,263.00,"3,033,742.00"
BNT,2025-09-03,11600,11750,11600,11689.5,0.24 %,122.00,"1,425,591.00"
BNT,2025-09-02,11800,11950,11660,11661.33,-2.01 %,350.00,"4,111,193.00"
BNT,2025-09-01,11900.1,11900.1,11850,11900,0.00 %,100.00,"1,188,701.00"
BNT,2025-08-31,12151,12151,11850,11900,-0.42 %,95.00,"1,136,180.00"
