Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
BPCL,2025-12-11,700,727,700,706.7,-1.02 %,"70,379.00","49,880,441.90"
BPCL,2025-12-10,715,722,710,714,0.14 %,"70,843.00","50,782,282.40"
BPCL,2025-12-09,712,719.9,702,713,1.28 %,"75,455.00","53,655,067.20"
BPCL,2025-12-08,693,716,693,704,-0.35 %,"60,693.00","42,825,090.80"
BPCL,2025-12-07,704,716,704,706.5,-1.60 %,"53,453.00","37,836,840.00"
BPCL,2025-12-03,729,729,710,718,0.42 %,"99,098.00","70,762,374.30"
BPCL,2025-12-02,701,726,701,715,0.00 %,"54,441.00","39,005,090.70"
BPCL,2025-12-01,721.3,729.8,715,715,-0.75 %,"53,031.00","38,189,626.00"
BPCL,2025-11-30,712.5,739.5,712.5,720.4,-0.91 %,"94,847.00","69,306,916.90"
BPCL,2025-11-27,730.6,747,725.4,727,-1.10 %,"52,545.00","38,509,250.10"
BPCL,2025-11-26,759.9,759.9,730,735.1,-1.33 %,"77,321.00","57,330,271.30"
BPCL,2025-11-25,738,760,734,745,0.95 %,"94,283.00","70,773,241.60"
BPCL,2025-11-24,749.7,750.1,721,738,0.41 %,"114,242.00","84,950,116.10"
BPCL,2025-11-23,725,739,725,735,2.58 %,"95,813.00","70,245,320.10"
BPCL,2025-11-20,719.7,726.9,713,716.5,-0.44 %,"99,693.00","71,525,649.80"
BPCL,2025-11-19,716.4,743,715.2,719.7,-1.55 %,"80,104.00","57,899,031.90"
BPCL,2025-11-18,740,755,730,731,-0.81 %,"122,730.00","91,289,879.60"
BPCL,2025-11-17,726.9,741.5,706.5,737,3.41 %,"154,072.00","112,592,349.10"
BPCL,2025-11-16,701,713,697,712.7,1.67 %,"49,411.00","34,761,994.20"
BPCL,2025-11-13,691,715,691,701,-0.57 %,"107,021.00","75,608,261.90"
BPCL,2025-11-12,739.5,739.5,700,705,-2.76 %,"110,673.00","78,630,007.70"
BPCL,2025-11-11,751.7,751.7,721,725,-1.63 %,"51,279.00","37,328,187.00"
BPCL,2025-11-10,736,747.6,719.1,737,0.14 %,"106,665.00","77,566,939.20"
BPCL,2025-11-09,762,769,730.1,736,-3.41 %,"184,087.00","136,868,323.60"
BPCL,2025-11-06,790.5,790.5,751,762,-1.68 %,"228,775.00","176,643,567.90"
BPCL,2025-11-05,769.2,780,743,775,2.76 %,"121,049.00","91,851,681.00"
