Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CBBL,2025-12-11,1000,1012,1000,1007,0.60 %,"17,545.00","17,672,112.10"
CBBL,2025-12-10,1000.1,1008,1000,1001,-0.37 %,"9,309.00","9,343,673.10"
CBBL,2025-12-09,1013.5,1013.5,1000,1004.7,0.37 %,"9,324.00","9,351,125.50"
CBBL,2025-12-08,1000.5,1012,994.1,1001,0.00 %,"30,309.00","30,306,027.20"
CBBL,2025-12-07,1018,1020,997.5,1001,-1.92 %,"30,844.00","31,067,084.00"
CBBL,2025-12-03,1032.2,1040,1019.5,1020.6,-1.12 %,"11,079.00","11,342,657.60"
CBBL,2025-12-02,1045,1048,1030.6,1032.2,-0.75 %,"9,267.00","9,590,308.80"
CBBL,2025-12-01,1054.9,1054.9,1037.1,1040,-0.67 %,"29,309.00","30,577,137.90"
CBBL,2025-11-30,1037.7,1049,1036.1,1047,0.90 %,"50,069.00","52,214,825.80"
CBBL,2025-11-27,1030,1044,1020,1037.7,0.45 %,"26,714.00","27,761,460.60"
CBBL,2025-11-26,1029.9,1046,1020.6,1033,0.30 %,"23,664.00","24,503,494.20"
CBBL,2025-11-25,1032,1037,1020,1029.9,-0.20 %,"25,955.00","26,659,607.00"
CBBL,2025-11-24,1011,1032,1010,1032,2.10 %,"23,239.00","23,733,406.10"
CBBL,2025-11-23,1010,1017,1005.4,1010.8,1.28 %,"16,482.00","16,688,687.60"
CBBL,2025-11-20,999,1001,995,998,-0.20 %,"6,464.00","6,454,617.80"
CBBL,2025-11-19,1005,1007.4,999,1000,-0.20 %,"9,538.00","9,545,985.20"
CBBL,2025-11-18,1004,1006.9,999,1002,0.90 %,"12,046.00","12,086,686.20"
CBBL,2025-11-17,1000,1000,990,993.1,-0.18 %,"13,025.00","12,946,279.60"
CBBL,2025-11-16,1000,1004,991,994.9,-0.26 %,"12,555.00","12,504,211.70"
CBBL,2025-11-13,990,999,990,997.5,0.45 %,"6,258.00","6,221,761.80"
CBBL,2025-11-12,991,998.5,990.1,993,0.00 %,"11,855.00","11,760,734.20"
CBBL,2025-11-11,1005,1005,991,993,0.28 %,"8,253.00","8,202,454.50"
CBBL,2025-11-10,1008,1008,990,990.2,-0.09 %,"8,683.00","8,615,997.40"
CBBL,2025-11-09,1014,1014,991.1,991.1,-0.88 %,"15,012.00","14,950,759.70"
CBBL,2025-11-06,1022,1022,998.2,999.9,-0.41 %,"11,096.00","11,123,692.70"
CBBL,2025-11-05,993,1007,993,1004,0.43 %,"9,875.00","9,850,303.60"
CBBL,2025-11-04,1032,1032,999.7,999.7,-1.99 %,"24,288.00","24,559,168.50"
CBBL,2025-11-03,995,1020,995,1020,2.20 %,"26,898.00","26,980,520.40"
CBBL,2025-11-02,995,1005,985,998,1.51 %,"15,349.00","15,269,913.80"
CBBL,2025-10-30,992,992,969,983.2,0.58 %,"10,997.00","10,788,250.40"
CBBL,2025-10-29,982,990.9,970,977.5,0.46 %,"12,194.00","11,978,816.30"
CBBL,2025-10-28,960,986,942.5,973,2.01 %,"9,596.00","9,323,444.90"
