Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CGH,2025-12-11,882,900,880,882.5,-0.72 %,"18,368.00","16,322,733.10"
CGH,2025-12-10,889.5,893,879,888.9,0.44 %,"21,640.00","19,119,481.10"
CGH,2025-12-09,879,887.4,864,885,1.72 %,"11,291.00","9,925,473.00"
CGH,2025-12-08,871,880,870,870,-1.27 %,"12,519.00","10,918,357.00"
CGH,2025-12-07,907.8,907.8,879.3,881.2,-0.99 %,"10,493.00","9,252,083.40"
CGH,2025-12-03,885,894,878,890,1.16 %,"32,652.00","28,989,984.90"
CGH,2025-12-02,866,897,866,879.8,1.32 %,"8,586.00","7,557,044.00"
CGH,2025-12-01,867.2,877,867,868.3,-0.42 %,"17,233.00","15,029,713.80"
CGH,2025-11-30,882.5,891,870,872,-1.14 %,"22,713.00","20,010,944.00"
CGH,2025-11-27,880.1,898.8,875.4,882.1,0.00 %,"26,762.00","23,588,250.80"
CGH,2025-11-26,899.9,903,882,882.1,-0.55 %,"27,343.00","24,419,110.10"
CGH,2025-11-25,890,890,880,887,0.77 %,"9,377.00","8,285,179.00"
CGH,2025-11-24,887.9,892.8,880.1,880.2,0.25 %,"20,797.00","18,437,100.80"
CGH,2025-11-23,861,892,860,878,2.81 %,"27,836.00","24,461,745.60"
CGH,2025-11-20,861,862,848,854,-0.80 %,"19,828.00","16,896,612.10"
CGH,2025-11-19,863,868,855,860.9,-0.01 %,"19,354.00","16,584,427.80"
CGH,2025-11-18,860,869.9,850,861,0.46 %,"19,039.00","16,384,313.90"
CGH,2025-11-17,858,867,851,857.1,-0.34 %,"5,843.00","5,000,514.00"
CGH,2025-11-16,875,878,845,860,-1.71 %,"19,416.00","16,640,417.90"
CGH,2025-11-13,842.8,877,842.8,875,1.74 %,"21,701.00","18,772,026.50"
CGH,2025-11-12,874,887.9,823,860,-2.05 %,"46,302.00","39,738,102.80"
CGH,2025-11-11,907.8,907.8,872.5,878,-1.35 %,"18,223.00","16,130,940.20"
CGH,2025-11-10,905,910,887,890,-1.11 %,"26,236.00","23,500,769.00"
CGH,2025-11-09,937.3,937.3,896,900,-2.07 %,"35,827.00","32,518,435.00"
CGH,2025-11-06,918,954.7,900,919,2.09 %,"52,667.00","48,036,792.10"
CGH,2025-11-05,926,926,892,900.2,-2.67 %,"24,362.00","22,080,322.60"
CGH,2025-11-04,891.8,983,891.8,924.9,1.64 %,"169,476.00","153,132,430.50"
CGH,2025-11-03,892,913,891.8,910,0.00 %,"49,209.00","44,186,539.70"
CGH,2025-11-02,860,910,852,910,4.84 %,"189,689.00","166,877,139.70"
CGH,2025-10-30,840,921,831.1,868,2.97 %,"29,001.00","24,797,005.90"
CGH,2025-10-29,847,912.9,839.1,843,-0.24 %,"14,951.00","12,773,546.50"
CGH,2025-10-28,815,860,815,845,1.81 %,"21,556.00","18,057,602.60"
CGH,2025-10-26,811,830,800.2,830,0.36 %,"17,093.00","13,854,765.20"
CGH,2025-10-19,820,833,817.5,827,0.39 %,"6,013.00","4,943,912.10"
CGH,2025-10-16,827,830,805,823.8,-0.39 %,"20,696.00","16,806,981.40"
CGH,2025-10-15,854,854,824,827,-1.31 %,"13,864.00","11,462,984.60"
CGH,2025-10-14,856.8,857,830,838,-1.87 %,"18,907.00","15,898,407.40"
CGH,2025-10-13,810,854,803,854,4.15 %,"27,248.00","22,690,278.30"
CGH,2025-10-12,864,864,810,820,-5.09 %,"44,601.00","37,139,187.30"
CGH,2025-10-09,877.2,925,864,864,0.47 %,"26,288.00","23,018,144.80"
CGH,2025-10-08,885,899,850,860,-0.93 %,"23,921.00","20,500,242.20"
CGH,2025-10-07,917.8,917.8,867,868.1,-3.65 %,"36,060.00","31,685,863.70"
CGH,2025-09-28,917.1,929,900.1,901,-3.63 %,"16,549.00","15,029,815.10"
CGH,2025-09-25,920,934.9,905,934.9,0.11 %,"29,932.00","27,543,042.70"
CGH,2025-09-24,933,945,915.6,933.9,0.10 %,"27,970.00","25,830,351.70"
CGH,2025-09-23,898.1,934,885,933,4.59 %,"51,005.00","46,543,001.80"
CGH,2025-09-21,870.3,940,803,892.08,0.46 %,"123,737.00","106,475,438.60"
CGH,2025-09-18,1005,1005,888,888,-9.98 %,"2,808.00","2,630,445.50"
CGH,2025-09-08,1018.9,1018.9,982,986.47,-2.36 %,"28,180.00","27,921,220.90"
CGH,2025-09-07,1012,1029,1000,1010.31,-0.29 %,"22,357.00","22,561,724.00"
CGH,2025-09-04,1003,1020,1002.5,1013.24,0.19 %,"29,890.00","30,173,730.70"
CGH,2025-09-03,1035,1035,1006,1011.28,-1.16 %,"24,679.00","25,154,834.10"
CGH,2025-09-02,1060,1060,1022,1023.2,-1.89 %,"29,620.00","30,535,133.70"
CGH,2025-09-01,1042,1050,1021.5,1042.87,1.51 %,"50,624.00","52,173,655.20"
CGH,2025-08-31,1046.6,1055.5,1025,1027.38,-2.76 %,"38,015.00","39,434,753.40"
CGH,2025-08-28,1055,1104,1042.4,1056.49,-0.58 %,"178,031.00","189,023,634.00"
CGH,2025-08-27,1058.9,1070.7,1038,1062.66,2.36 %,"116,127.00","122,566,297.90"
CGH,2025-08-26,1035,1044,1030,1038.15,-0.18 %,"22,195.00","22,966,711.20"
CGH,2025-08-25,1025,1055,1010,1040.04,1.53 %,"124,829.00","129,663,888.60"
CGH,2025-08-24,1058.5,1058.5,1021,1024.41,-3.18 %,"94,909.00","98,038,758.00"
CGH,2025-08-21,1065,1068,1041,1058.06,0.36 %,"96,275.00","101,517,570.70"
CGH,2025-08-20,982.1,1063,982.1,1054.3,7.42 %,"187,779.00","194,066,813.10"
