Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
CHCL,2025-09-18,488.0,490.0,456.0,464.0,-6.71 %,"10,795.00","5,092,344.40",0.0
CHCL,2025-09-08,491.5,505.0,491.5,497.36,-0.82 %,"27,390.00","13,646,413.80",0.0
CHCL,2025-09-07,493.2,503.0,493.2,501.49,-0.34 %,"35,260.00","17,644,236.40",0.0
CHCL,2025-09-04,502.0,511.0,499.0,503.2,-0.21 %,"49,479.00","24,864,362.70",0.0
CHCL,2025-09-03,501.0,507.9,501.0,504.28,-0.09 %,"33,681.00","16,965,765.10",0.0
CHCL,2025-09-02,518.3,518.3,502.0,504.71,-0.69 %,"29,145.00","14,720,776.00",0.0
CHCL,2025-09-01,516.1,516.1,500.0,508.22,0.42 %,"40,378.00","20,353,713.50",0.0
CHCL,2025-08-31,510.0,516.9,504.0,506.07,-0.80 %,"36,802.00","18,618,180.30",0.0
CHCL,2025-08-28,519.0,525.0,509.9,510.16,-1.47 %,"45,569.00","23,359,321.00",0.0
CHCL,2025-08-27,518.4,518.5,509.0,517.78,1.87 %,"25,894.00","13,346,562.90",0.0
CHCL,2025-08-26,506.8,511.0,506.0,508.27,0.40 %,"12,023.00","6,112,093.60",0.0
CHCL,2025-08-25,514.0,514.0,505.0,506.26,0.07 %,"32,131.00","16,284,671.30",0.0
CHCL,2025-08-24,510.2,514.0,504.0,505.9,-1.11 %,"48,808.00","24,808,170.50",0.0
CHCL,2025-08-21,511.1,516.7,510.0,511.59,-0.33 %,"42,766.00","21,899,322.30",0.0
CHCL,2025-08-20,520.0,520.0,512.0,513.28,-0.68 %,"28,963.00","14,891,103.00",0.0
CHCL,2025-08-19,517.1,526.9,515.6,516.8,-0.08 %,"45,365.00","23,530,821.10",0.0
CHCL,2025-08-18,516.0,524.0,516.0,517.23,0.27 %,"30,589.00","15,857,692.00",0.0
CHCL,2025-08-17,524.1,529.0,515.1,515.83,-1.43 %,"50,050.00","26,012,447.50",0.0
CHCL,2025-08-14,520.0,525.0,516.5,523.31,0.68 %,"53,005.00","27,577,032.80",0.0
CHCL,2025-08-13,520.0,527.9,518.0,519.77,-0.07 %,"62,525.00","32,624,317.50",0.0
CHCL,2025-08-12,530.0,530.0,518.3,520.12,-1.28 %,"81,995.00","42,839,930.10",0.0
CHCL,2025-08-11,539.8,539.8,525.2,526.85,-0.52 %,"49,883.00","26,428,228.70",0.0
CHCL,2025-08-07,530.0,540.0,528.5,529.59,-0.03 %,"64,889.00","34,413,183.60",0.0
CHCL,2025-08-06,532.0,538.0,528.6,529.75,-0.31 %,"80,655.00","42,840,752.40",0.0
CHCL,2025-08-05,549.8,549.8,528.3,531.38,-1.57 %,"75,256.00","40,231,033.60",0.0
CHCL,2025-08-04,540.0,548.3,533.0,539.83,0.27 %,"120,171.00","64,764,914.30",0.0
CHCL,2025-08-03,537.0,550.0,535.0,538.36,0.22 %,"108,426.00","58,670,170.30",0.0
CHCL,2025-07-31,545.0,548.9,535.0,537.2,-1.42 %,"121,812.00","65,896,188.60",0.0
CHCL,2025-07-30,563.9,563.9,544.1,544.93,-1.73 %,"124,042.00","67,956,550.10",0.0
CHCL,2025-07-29,565.9,565.9,553.2,554.55,-0.21 %,"135,350.00","75,308,060.10",0.0
CHCL,2025-07-28,565.0,565.0,545.2,555.69,-0.61 %,"141,313.00","78,205,209.00",0.0
CHCL,2025-07-27,580.0,583.0,557.0,559.11,-2.37 %,"260,859.00","148,652,465.50",0.0
CHCL,2025-07-24,560.0,584.0,555.0,572.71,3.32 %,"335,023.00","191,517,362.50",0.0
CHCL,2025-07-23,560.0,565.0,549.0,554.3,-0.68 %,"137,844.00","76,580,027.60",0.0
CHCL,2025-07-22,554.0,564.0,546.0,558.08,2.16 %,"223,193.00","124,411,636.20",0.0
CHCL,2025-07-21,544.0,550.0,540.0,546.26,0.41 %,"113,277.00","61,793,550.30",0.0
CHCL,2025-07-20,553.8,557.9,543.2,544.03,-0.66 %,"228,991.00","125,880,363.10",0.0
CHCL,2025-07-17,538.0,550.0,538.0,547.62,2.66 %,"181,607.00","99,240,283.70",0.0
CHCL,2025-07-16,530.0,540.0,529.0,533.45,1.01 %,"196,002.00","104,603,930.70",0.0
CHCL,2025-07-15,520.0,529.0,518.2,528.09,1.56 %,"122,790.00","64,522,714.90",0.0
CHCL,2025-07-14,523.0,528.0,519.0,520.0,-0.31 %,"98,968.00","51,683,948.00",0.0
CHCL,2025-07-13,534.7,544.0,520.0,521.61,-0.50 %,"113,645.00","59,642,397.20",0.0
CHCL,2025-07-10,526.0,532.0,520.5,524.22,-0.50 %,"113,946.00","60,078,227.80",0.0
CHCL,2025-07-09,525.0,534.9,525.0,526.85,-0.29 %,"72,841.00","38,562,995.50",0.0
CHCL,2025-07-08,538.6,538.6,515.2,528.37,0.05 %,"120,957.00","63,400,251.20",0.0
CHCL,2025-07-07,535.0,535.0,527.1,528.08,-1.21 %,"101,078.00","53,703,410.40",0.0
CHCL,2025-07-06,538.1,542.0,532.0,534.56,-0.40 %,"147,550.00","79,347,009.70",0.0
CHCL,2025-07-03,554.7,554.7,536.0,536.72,-1.32 %,"222,807.00","120,568,888.80",0.0
CHCL,2025-07-02,559.9,559.9,543.1,543.91,-0.92 %,"165,118.00","90,347,191.60",0.0
CHCL,2025-07-01,550.0,554.9,546.0,548.94,0.87 %,"142,578.00","78,418,802.00",0.0
CHCL,2025-06-30,542.0,563.0,542.0,544.22,-0.45 %,"167,366.00","92,020,161.90",0.0
CHCL,2025-06-29,545.0,551.0,538.5,546.67,0.90 %,"185,970.00","101,075,046.90",0.0
CHCL,2025-06-26,547.0,558.9,541.0,541.78,-0.71 %,"284,064.00","156,738,541.10",0.0
CHCL,2025-06-25,536.0,550.0,533.0,545.68,1.95 %,"202,235.00","110,053,654.20",0.0
CHCL,2025-06-24,553.7,555.0,535.0,535.25,-1.41 %,"197,323.00","107,255,758.40",0.0
CHCL,2025-06-23,541.0,547.9,532.0,542.91,0.35 %,"144,302.00","78,268,583.70",0.0
CHCL,2025-06-22,570.0,570.0,539.1,540.99,-4.14 %,"226,790.00","124,546,688.00",0.0
CHCL,2025-06-19,563.6,585.0,560.0,564.36,-1.83 %,"384,294.00","221,360,532.80",0.0
CHCL,2025-06-18,577.0,582.1,571.0,574.9,0.13 %,"306,230.00","176,668,559.10",0.0
CHCL,2025-06-17,570.0,578.0,563.3,574.13,-0.14 %,"344,830.00","196,681,373.00",0.0
