Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
CHDC,2025-09-18,2431.2,2431.2,2235.0,2245.0,-9.50 %,"17,867.00","40,446,340.00",0.0
CHDC,2025-09-08,2534.0,2534.0,2460.0,2480.79,-1.42 %,"22,969.00","57,239,641.80",0.0
CHDC,2025-09-07,2527.0,2540.0,2511.3,2516.63,-0.45 %,"13,160.00","33,242,177.00",0.0
CHDC,2025-09-04,2532.41,2539.0,2505.5,2527.9,-0.18 %,"18,260.00","46,071,016.70",0.0
CHDC,2025-09-03,2550.0,2552.0,2530.0,2532.41,-0.56 %,"14,402.00","36,546,769.70",0.0
CHDC,2025-09-02,2542.8,2575.0,2517.1,2546.6,0.15 %,"15,354.00","39,289,942.40",0.0
CHDC,2025-09-01,2522.0,2560.0,2501.0,2542.82,0.80 %,"20,069.00","50,698,531.30",0.0
CHDC,2025-08-31,2610.0,2610.0,2500.0,2522.61,-2.39 %,"44,540.00","112,429,588.20",0.0
CHDC,2025-08-28,2675.0,2675.0,2580.0,2584.49,-2.12 %,"27,548.00","71,929,715.90",0.0
CHDC,2025-08-27,2600.0,2649.8,2555.0,2640.4,3.16 %,"27,551.00","72,130,866.20",0.0
CHDC,2025-08-26,2545.0,2574.0,2545.0,2559.6,0.64 %,"9,661.00","24,713,891.50",0.0
CHDC,2025-08-25,2520.0,2568.9,2505.0,2543.36,0.59 %,"20,099.00","50,857,093.60",0.0
CHDC,2025-08-24,2574.0,2590.0,2500.0,2528.42,-1.77 %,"33,789.00","85,763,768.30",0.0
CHDC,2025-08-21,2566.0,2610.0,2566.0,2574.03,-0.59 %,"11,074.00","28,540,793.80",0.0
CHDC,2025-08-20,2580.0,2614.9,2575.2,2589.29,-0.15 %,"25,104.00","65,021,060.50",0.0
CHDC,2025-08-19,2599.11,2630.0,2581.0,2593.18,-0.23 %,"31,152.00","81,069,187.00",0.0
CHDC,2025-08-18,2589.0,2620.0,2582.0,2599.11,0.00 %,"22,746.00","59,192,201.10",0.0
CHDC,2025-08-17,2678.7,2678.7,2595.0,2599.02,-1.04 %,"43,786.00","114,496,213.80",0.0
CHDC,2025-08-14,2710.9,2710.9,2620.0,2626.25,-1.19 %,"34,622.00","91,519,311.80",0.0
CHDC,2025-08-13,2641.1,2704.0,2641.1,2657.79,-0.20 %,"32,655.00","87,207,341.30",0.0
CHDC,2025-08-12,2682.05,2698.0,2635.0,2663.15,-0.70 %,"30,434.00","81,012,476.70",0.0
CHDC,2025-08-11,2730.0,2745.0,2675.0,2682.05,-1.48 %,"23,279.00","62,755,150.70",0.0
CHDC,2025-08-07,2750.0,2773.0,2700.0,2722.41,-0.35 %,"24,984.00","68,028,386.80",0.0
CHDC,2025-08-06,2724.1,2784.0,2680.0,2731.94,1.51 %,"30,068.00","82,182,080.80",0.0
CHDC,2025-08-05,2795.0,2840.0,2686.0,2691.39,-1.79 %,"31,103.00","84,405,656.50",0.0
CHDC,2025-08-04,2800.0,2800.0,2710.0,2740.56,-0.43 %,"32,157.00","88,217,977.50",0.0
CHDC,2025-08-03,2791.0,2809.0,2745.0,2752.43,-2.17 %,"27,706.00","76,861,316.60",0.0
CHDC,2025-07-31,2875.0,2879.0,2805.0,2813.38,-0.52 %,"27,056.00","76,305,685.50",0.0
CHDC,2025-07-30,2913.0,2913.0,2820.0,2828.06,-1.34 %,"30,303.00","86,204,893.10",0.0
CHDC,2025-07-29,2843.0,2900.0,2843.0,2866.4,0.07 %,"54,240.00","155,565,325.00",0.0
CHDC,2025-07-28,2869.0,2894.0,2840.0,2864.44,-0.53 %,"34,123.00","97,553,609.30",0.0
CHDC,2025-07-27,2945.0,2997.9,2844.0,2879.8,-2.02 %,"40,668.00","119,359,370.20",0.0
CHDC,2025-07-24,2870.0,2958.0,2856.0,2939.21,3.02 %,"49,303.00","144,360,473.30",0.0
CHDC,2025-07-23,2811.0,2880.0,2775.0,2853.14,0.94 %,"46,507.00","132,299,805.80",0.0
CHDC,2025-07-22,2801.0,2870.0,2801.0,2826.7,0.11 %,"58,350.00","166,021,154.60",0.0
CHDC,2025-07-21,2790.0,2865.0,2772.0,2823.66,1.48 %,"36,826.00","103,905,513.70",0.0
CHDC,2025-07-20,2760.0,2869.0,2741.0,2782.53,1.19 %,"106,726.00","299,377,312.90",0.0
CHDC,2025-07-17,2650.2,2774.0,2650.0,2749.86,4.08 %,"104,947.00","285,438,528.50",0.0
CHDC,2025-07-16,2700.0,2700.0,2633.1,2641.99,-0.39 %,"80,083.00","212,264,168.30",0.0
CHDC,2025-07-15,2650.0,2680.0,2631.3,2652.38,0.49 %,"43,949.00","116,678,073.30",0.0
CHDC,2025-07-14,2698.0,2698.0,2630.0,2639.38,-0.79 %,"53,410.00","141,489,146.20",0.0
CHDC,2025-07-13,2761.1,2761.1,2655.0,2660.28,-1.73 %,"92,395.00","248,865,404.70",0.0
CHDC,2025-07-10,2700.0,2765.0,2680.0,2706.98,-0.27 %,"72,539.00","198,378,793.20",0.0
CHDC,2025-07-09,2645.0,2730.0,2620.0,2714.37,3.88 %,"99,025.00","267,028,320.80",0.0
CHDC,2025-07-08,2624.0,2640.0,2590.39,2613.08,0.72 %,"69,661.00","182,165,247.57",0.0
CHDC,2025-07-07,2651.0,2651.0,2579.1,2594.37,-0.18 %,"45,841.00","119,169,250.70",0.0
CHDC,2025-07-06,2620.0,2634.0,2595.0,2599.11,-0.80 %,"27,884.00","72,821,753.40",0.0
CHDC,2025-07-03,2729.1,2729.1,2600.1,2620.16,-2.07 %,"47,864.00","126,318,500.90",0.0
CHDC,2025-07-02,2622.0,2710.0,2622.0,2675.65,1.23 %,"73,335.00","196,210,656.20",0.0
CHDC,2025-07-01,2570.0,2651.0,2565.0,2643.26,3.06 %,"59,096.00","155,119,356.60",0.0
CHDC,2025-06-30,2523.0,2620.0,2511.0,2564.86,0.57 %,"27,535.00","70,778,366.00",0.0
CHDC,2025-06-29,2600.0,2620.0,2541.5,2550.24,-0.86 %,"32,959.00","84,404,033.60",0.0
CHDC,2025-06-26,2620.0,2648.5,2559.0,2572.29,-1.62 %,"39,107.00","101,625,445.60",0.0
CHDC,2025-06-25,2600.0,2659.0,2566.0,2614.64,0.27 %,"53,087.00","139,382,180.50",0.0
CHDC,2025-06-24,2598.0,2627.0,2551.0,2607.69,2.38 %,"48,833.00","127,022,350.50",0.0
CHDC,2025-06-23,2549.0,2563.0,2490.0,2547.07,1.80 %,"33,764.00","85,274,162.90",0.0
CHDC,2025-06-22,2525.0,2530.0,2485.0,2502.15,-1.18 %,"36,216.00","90,821,324.20",0.0
CHDC,2025-06-19,2550.0,2565.0,2520.0,2531.97,-0.36 %,"35,297.00","89,391,610.30",0.0
CHDC,2025-06-18,2598.8,2598.8,2538.1,2541.09,-0.93 %,"39,919.00","101,985,507.20",0.0
CHDC,2025-06-17,2590.0,2620.0,2555.0,2564.97,-0.59 %,"24,490.00","63,027,504.70",0.0
CHDC,2025-06-16,2575.1,2624.0,2575.0,2580.21,-0.50 %,"44,005.00","114,174,168.30",0.0
CHDC,2025-06-15,2679.0,2679.0,2585.0,2593.05,-2.03 %,"61,549.00","161,142,915.80",0.0
CHDC,2025-06-12,2640.0,2687.9,2616.6,2646.88,-0.23 %,"74,608.00","197,179,611.50",0.0
CHDC,2025-06-11,2730.0,2730.0,2645.0,2653.09,-2.39 %,"87,188.00","232,683,847.30",0.0
CHDC,2025-06-10,2780.0,2829.0,2710.0,2717.92,-0.64 %,"94,662.00","260,976,175.80",0.0
CHDC,2025-06-09,2526.0,2745.0,2526.0,2735.51,6.40 %,"141,407.00","377,916,030.70",0.0
CHDC,2025-06-08,2510.0,2580.0,2505.0,2571.05,2.42 %,"69,324.00","175,987,583.90",0.0
CHDC,2025-06-05,2555.1,2555.1,2488.0,2510.3,-0.61 %,"80,637.00","202,530,505.80",0.0
CHDC,2025-06-04,2500.0,2606.0,2485.2,2525.8,0.90 %,"42,731.00","107,875,085.30",0.0
CHDC,2025-06-03,2475.0,2547.0,2475.0,2503.39,-0.68 %,"41,844.00","105,444,885.90",0.0
CHDC,2025-06-02,2559.0,2565.0,2511.0,2520.57,0.46 %,"29,280.00","74,342,407.40",0.0
CHDC,2025-05-28,2511.0,2530.0,2496.0,2509.08,-0.30 %,"42,499.00","106,634,508.20",0.0
CHDC,2025-05-27,2520.0,2560.0,2505.0,2516.56,-0.52 %,"57,643.00","145,728,655.90",0.0
CHDC,2025-05-26,2605.8,2650.0,2525.0,2529.84,-0.98 %,"36,194.00","92,333,424.80",0.0
CHDC,2025-05-25,2560.0,2607.8,2549.0,2554.76,-1.71 %,"26,248.00","67,446,924.00",0.0
CHDC,2025-05-22,2625.0,2647.0,2595.0,2599.27,-0.83 %,"46,800.00","122,391,634.70",0.0
CHDC,2025-05-21,2645.0,2697.0,2592.0,2620.99,0.98 %,"35,306.00","92,424,159.50",0.0
CHDC,2025-05-20,2599.9,2609.0,2525.2,2595.54,1.38 %,"30,806.00","79,458,039.80",0.0
CHDC,2025-05-19,2521.1,2598.0,2521.1,2560.22,1.29 %,"30,490.00","78,257,115.30",0.0
CHDC,2025-05-18,2507.0,2575.0,2507.0,2527.52,0.02 %,"35,704.00","90,665,645.30",0.0
CHDC,2025-05-15,2547.7,2570.0,2518.1,2527.06,-0.81 %,"30,896.00","78,370,780.80",0.0
CHDC,2025-05-14,2640.0,2640.0,2534.0,2547.71,-2.32 %,"51,736.00","133,757,347.70",0.0
CHDC,2025-05-13,2656.0,2696.0,2602.2,2608.32,0.16 %,"63,239.00","165,891,700.00",0.0
CHDC,2025-05-11,2610.0,2673.4,2600.0,2604.19,-0.26 %,"51,290.00","134,627,374.20",0.0
CHDC,2025-05-08,2600.0,2675.0,2536.0,2610.85,1.14 %,"119,248.00","310,823,755.10",0.0
CHDC,2025-05-07,2501.0,2590.0,2482.0,2581.4,3.23 %,"57,692.00","145,820,954.20",0.0
CHDC,2025-05-06,2525.0,2544.0,2490.0,2500.63,-0.95 %,"81,516.00","204,359,403.20",0.0
CHDC,2025-05-05,2585.0,2585.0,2520.0,2524.62,-1.47 %,"76,674.00","195,162,632.70",0.0
CHDC,2025-05-04,2565.0,2614.5,2520.5,2562.33,1.56 %,"78,482.00","202,239,633.30",0.0
CHDC,2025-04-30,2540.0,2568.9,2510.0,2522.88,-0.78 %,"65,188.00","164,906,183.80",0.0
CHDC,2025-04-29,2580.0,2610.0,2540.0,2542.82,-1.85 %,"48,455.00","124,033,418.60",0.0
