Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CHL,2025-09-18,242,242,229,229,-5.74 %,"1,169.00","273,639.00"
CHL,2025-09-08,244.7,246.8,242.2,242.94,-0.72 %,"27,063.00","6,589,938.90"
CHL,2025-09-07,243,249.9,243,244.69,-0.64 %,"45,246.00","11,152,506.70"
CHL,2025-09-04,243,250.6,241.4,246.26,1.14 %,"50,491.00","12,403,423.60"
CHL,2025-09-03,260,260.1,242,243.49,-6.45 %,"130,407.00","32,534,390.90"
CHL,2025-09-02,266.3,269.8,259.8,260.27,-0.34 %,"25,428.00","6,654,954.90"
CHL,2025-09-01,265,270.3,259,261.15,-1.52 %,"42,340.00","11,066,913.70"
CHL,2025-08-31,279.7,280,264,265.18,-7.07 %,"180,266.00","48,555,150.00"
CHL,2025-08-28,288.3,291,285,285.36,-2.99 %,"41,002.00","11,784,434.40"
CHL,2025-08-27,290,295.9,289,294.15,1.32 %,"19,433.00","5,701,982.00"
CHL,2025-08-26,289.3,295,289.3,290.32,-1.63 %,"11,452.00","3,333,557.00"
CHL,2025-08-25,294,296,290,295.13,0.34 %,"8,372.00","2,449,480.80"
CHL,2025-08-24,295,300.9,292,294.12,-1.04 %,"11,608.00","3,436,126.90"
CHL,2025-08-21,303,304,297,297.2,-1.45 %,"11,309.00","3,372,411.30"
CHL,2025-08-20,300,310.5,299.6,301.58,-1.13 %,"19,889.00","5,996,423.90"
CHL,2025-08-19,303,310,302,305.04,-0.16 %,"9,400.00","2,878,189.20"
CHL,2025-08-18,303.9,307,298,305.54,2.42 %,"21,959.00","6,615,316.00"
CHL,2025-08-17,303.1,305,296,298.31,-1.43 %,"14,242.00","4,263,873.60"
CHL,2025-08-14,295,305,295,302.65,0.55 %,"12,227.00","3,690,717.30"
CHL,2025-08-13,308,308,300,300.99,-0.46 %,"15,550.00","4,700,280.60"
CHL,2025-08-12,312,312,301,302.37,-2.48 %,"19,983.00","6,079,236.20"
CHL,2025-08-11,320,320,309,310.06,-1.66 %,"11,137.00","3,475,372.80"
CHL,2025-08-07,302,319,302,315.28,4.09 %,"22,627.00","7,073,178.50"
CHL,2025-08-06,301,308.8,301,302.9,-0.78 %,"13,002.00","3,952,549.20"
CHL,2025-08-05,310,314.9,305,305.29,-1.93 %,"18,223.00","5,589,369.40"
CHL,2025-08-04,317,317,308,311.29,-0.16 %,"17,077.00","5,316,310.20"
CHL,2025-08-03,320,322.3,311,311.8,-1.38 %,"25,484.00","8,033,310.30"
CHL,2025-07-31,324.8,324.8,313,316.16,-0.92 %,"42,102.00","13,421,827.00"
CHL,2025-07-30,333.8,333.9,316,319.11,-2.55 %,"48,443.00","15,663,307.60"
CHL,2025-07-29,335,335.3,326.6,327.47,-0.41 %,"39,004.00","12,879,330.30"
CHL,2025-07-28,333,333,324,328.82,-0.40 %,"51,536.00","16,881,204.80"
CHL,2025-07-27,335,342,329.1,330.14,-1.58 %,"81,238.00","27,213,694.70"
CHL,2025-07-24,335.8,340.4,327,335.44,1.74 %,"108,339.00","36,183,053.00"
