Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
CIT,2025-09-18,1858.0,1858.0,1765.0,1766.0,-6.85 %,"4,074.00","7,331,353.00",0.0
CIT,2025-09-08,1906.0,1906.0,1890.0,1895.86,-0.33 %,"12,339.00","23,435,209.70",0.0
CIT,2025-09-07,1905.94,1909.0,1900.5,1902.08,-0.20 %,"8,887.00","16,924,728.20",0.0
CIT,2025-09-04,1912.1,1915.0,1902.5,1905.94,-0.34 %,"9,056.00","17,271,909.80",0.0
CIT,2025-09-03,1914.96,1920.0,1912.0,1912.51,-0.13 %,"4,190.00","8,017,308.50",0.0
CIT,2025-09-02,1914.0,1924.9,1912.2,1914.96,-0.33 %,"10,861.00","20,803,166.00",0.0
CIT,2025-09-01,1957.6,1957.6,1910.1,1921.31,0.11 %,"6,352.00","12,166,122.60",0.0
CIT,2025-08-31,1920.2,1943.0,1915.0,1919.26,-0.33 %,"14,660.00","28,192,676.80",0.0
CIT,2025-08-28,1932.0,1940.0,1925.0,1925.61,-0.78 %,"10,344.00","19,955,098.90",0.0
CIT,2025-08-27,1925.0,1945.0,1925.0,1940.81,0.78 %,"9,539.00","18,451,104.70",0.0
CIT,2025-08-26,1928.0,1934.9,1924.0,1925.71,0.01 %,"7,557.00","14,564,252.90",0.0
CIT,2025-08-25,1929.0,1932.3,1910.0,1925.5,-0.04 %,"8,901.00","17,127,825.70",0.0
CIT,2025-08-24,1960.0,1960.0,1925.2,1926.18,-0.35 %,"6,312.00","12,197,820.70",0.0
CIT,2025-08-21,1935.0,1949.8,1932.0,1932.99,-0.10 %,"5,105.00","9,882,424.90",0.0
CIT,2025-08-20,1938.2,1950.0,1930.0,1934.97,-0.45 %,"5,132.00","9,945,412.40",0.0
CIT,2025-08-19,1935.0,1949.0,1930.0,1943.8,0.46 %,"6,602.00","12,827,595.10",0.0
CIT,2025-08-18,1931.1,1939.0,1925.0,1934.89,0.05 %,"5,321.00","10,279,708.90",0.0
CIT,2025-08-17,1955.0,1956.0,1931.1,1933.97,-0.59 %,"11,591.00","22,487,840.00",0.0
CIT,2025-08-14,1945.0,1949.0,1936.1,1945.54,0.07 %,"9,738.00","18,919,579.60",0.0
CIT,2025-08-13,1943.0,1955.0,1935.1,1944.19,0.19 %,"11,203.00","21,763,257.80",0.0
CIT,2025-08-12,1970.0,1975.0,1940.0,1940.53,-0.88 %,"11,721.00","22,796,323.60",0.0
CIT,2025-08-11,1973.0,1989.0,1951.8,1957.72,-0.66 %,"18,858.00","37,069,087.20",0.0
CIT,2025-08-07,1970.0,1975.0,1960.0,1970.79,0.51 %,"13,914.00","27,391,199.60",0.0
CIT,2025-08-06,2010.0,2010.0,1960.0,1960.78,-0.60 %,"17,572.00","34,639,337.10",0.0
CIT,2025-08-05,2020.0,2020.0,1970.0,1972.54,-1.31 %,"19,431.00","38,488,068.10",0.0
CIT,2025-08-04,2019.9,2025.0,1980.0,1998.64,-0.18 %,"26,213.00","52,252,857.70",0.0
CIT,2025-08-03,2046.0,2046.0,2000.0,2002.26,-2.15 %,"39,035.00","78,754,807.10",0.0
CIT,2025-07-31,2079.0,2090.0,2040.1,2046.32,-1.57 %,"30,253.00","62,193,161.90",0.0
CIT,2025-07-30,2142.1,2168.0,2060.0,2078.89,-1.01 %,"52,945.00","111,366,982.00",0.0
CIT,2025-07-29,2045.1,2111.0,2045.1,2100.17,2.87 %,"95,384.00","199,797,741.40",0.0
CIT,2025-07-28,2068.0,2070.0,2020.0,2041.54,-1.30 %,"36,874.00","75,160,880.60",0.0
CIT,2025-07-27,2089.7,2130.0,2056.0,2068.45,0.96 %,"54,435.00","113,373,804.00",0.0
CIT,2025-07-24,2079.0,2079.0,2039.0,2048.82,-0.08 %,"28,057.00","57,514,038.50",0.0
CIT,2025-07-23,2040.0,2081.0,2030.0,2050.55,1.21 %,"36,364.00","74,632,826.20",0.0
CIT,2025-07-22,1992.7,2032.0,1992.7,2026.13,1.68 %,"45,820.00","92,314,222.80",0.0
CIT,2025-07-21,2019.0,2019.0,1980.0,1992.7,-0.39 %,"24,967.00","49,749,296.90",0.0
CIT,2025-07-20,2019.9,2025.0,1995.0,2000.59,-0.01 %,"29,646.00","59,533,778.30",0.0
CIT,2025-07-17,1975.72,2015.0,1975.72,2000.87,1.27 %,"29,942.00","59,803,357.60",0.0
CIT,2025-07-16,1944.0,1990.0,1935.0,1975.72,1.62 %,"16,029.00","31,459,321.50",0.0
CIT,2025-07-15,1930.0,1961.0,1920.0,1944.13,1.18 %,"9,678.00","18,727,964.40",0.0
CIT,2025-07-14,1934.0,1945.3,1915.0,1921.51,-0.61 %,"10,793.00","20,789,623.20",0.0
CIT,2025-07-13,1960.0,1964.0,1927.0,1933.22,0.39 %,"20,869.00","40,438,533.70",0.0
CIT,2025-07-10,1926.0,1937.0,1921.9,1925.78,-0.01 %,"9,634.00","18,582,503.50",0.0
CIT,2025-07-09,1912.0,1949.0,1912.0,1925.95,0.70 %,"9,904.00","19,052,638.80",0.0
CIT,2025-07-08,1915.0,1927.9,1901.0,1912.54,-0.22 %,"7,698.00","14,745,754.90",0.0
CIT,2025-07-07,1925.0,1933.9,1912.0,1916.74,-1.01 %,"9,171.00","17,634,853.70",0.0
CIT,2025-07-06,1923.0,1957.0,1921.0,1936.32,0.68 %,"21,047.00","40,838,602.10",0.0
CIT,2025-07-03,1910.0,1948.0,1900.0,1923.18,-0.03 %,"10,966.00","21,048,813.10",0.0
CIT,2025-07-02,1932.1,1940.0,1894.0,1923.8,1.56 %,"15,936.00","30,530,570.00",0.0
CIT,2025-07-01,1900.0,1900.0,1889.2,1894.29,0.24 %,"10,157.00","19,245,400.50",0.0
CIT,2025-06-30,1892.0,1900.0,1882.0,1889.82,-0.16 %,"3,586.00","6,774,243.00",0.0
CIT,2025-06-29,1877.39,1898.0,1869.0,1892.92,0.83 %,"9,924.00","18,627,549.00",0.0
CIT,2025-06-26,1880.0,1890.0,1876.0,1877.39,-0.09 %,"6,523.00","12,269,552.90",0.0
CIT,2025-06-25,1882.0,1884.0,1871.0,1879.07,0.03 %,"5,216.00","9,798,282.70",0.0
CIT,2025-06-24,1896.0,1896.0,1877.0,1878.48,-0.35 %,"10,739.00","20,202,354.30",0.0
CIT,2025-06-23,1900.0,1900.0,1880.0,1885.11,-0.02 %,"6,234.00","11,758,414.80",0.0
CIT,2025-06-22,1877.1,1895.0,1877.1,1885.41,-0.02 %,"11,025.00","20,783,117.50",0.0
CIT,2025-06-19,1891.1,1893.0,1885.0,1885.88,-0.23 %,"15,611.00","29,468,489.40",0.0
CIT,2025-06-18,1886.0,1898.0,1886.0,1890.21,-0.17 %,"10,782.00","20,392,986.20",0.0
CIT,2025-06-17,1900.0,1910.0,1886.0,1893.47,0.11 %,"6,814.00","12,896,240.10",0.0
CIT,2025-06-16,1895.0,1903.0,1885.0,1891.33,-0.03 %,"12,562.00","23,770,722.40",0.0
CIT,2025-06-15,1907.0,1914.0,1890.0,1891.95,-0.66 %,"19,938.00","37,784,061.20",0.0
CIT,2025-06-12,1906.0,1915.0,1902.0,1904.52,0.03 %,"11,190.00","21,342,410.40",0.0
CIT,2025-06-11,1928.0,1945.0,1902.2,1903.92,-0.17 %,"10,807.00","20,634,212.80",0.0
CIT,2025-06-10,1910.0,1921.0,1905.0,1907.22,-0.02 %,"9,130.00","17,434,987.30",0.0
CIT,2025-06-09,1910.0,1910.9,1903.0,1907.69,-0.06 %,"7,087.00","13,517,261.30",0.0
CIT,2025-06-08,1929.9,1929.9,1905.1,1908.92,0.09 %,"6,983.00","13,328,415.90",0.0
CIT,2025-06-05,1902.0,1910.0,1900.0,1907.26,0.10 %,"6,870.00","13,087,804.60",0.0
CIT,2025-06-04,1910.0,1910.0,1900.1,1905.28,-0.18 %,"8,135.00","15,490,298.50",0.0
CIT,2025-06-03,1916.0,1920.0,1905.0,1908.69,-0.24 %,"9,717.00","18,547,269.70",0.0
CIT,2025-06-02,1948.6,1987.1,1910.0,1913.24,0.15 %,"15,194.00","29,219,695.30",0.0
CIT,2025-05-28,1919.0,1919.0,1907.0,1910.46,-0.46 %,"13,345.00","25,493,849.00",0.0
CIT,2025-05-27,1910.1,1926.0,1910.1,1919.32,-0.07 %,"5,571.00","10,690,299.10",0.0
CIT,2025-05-26,1960.0,1960.6,1920.0,1920.58,-0.08 %,"7,458.00","14,374,257.90",0.0
CIT,2025-05-25,1930.8,1949.9,1918.0,1922.2,-0.45 %,"6,850.00","13,201,471.40",0.0
CIT,2025-05-22,1930.0,1940.0,1930.0,1930.8,-0.04 %,"7,971.00","15,413,373.20",0.0
CIT,2025-05-21,1960.0,2001.0,1925.0,1931.59,0.41 %,"9,571.00","18,608,753.60",0.0
CIT,2025-05-20,1906.0,1930.0,1905.1,1923.76,0.88 %,"10,236.00","19,632,598.00",0.0
CIT,2025-05-19,1909.0,1927.0,1905.0,1906.95,-0.12 %,"9,619.00","18,395,302.30",0.0
CIT,2025-05-18,1912.0,1925.0,1900.1,1909.27,-0.29 %,"16,787.00","32,038,687.50",0.0
CIT,2025-05-15,1929.0,1929.0,1913.1,1914.83,-0.11 %,"10,536.00","20,186,994.10",0.0
CIT,2025-05-14,1920.0,1929.0,1915.1,1916.85,-0.19 %,"8,004.00","15,357,561.70",0.0
CIT,2025-05-13,1930.2,1934.0,1920.0,1920.47,-0.17 %,"9,092.00","17,482,336.40",0.0
CIT,2025-05-11,1953.0,1954.0,1919.0,1923.77,0.11 %,"8,354.00","16,082,797.60",0.0
CIT,2025-05-08,1930.0,1930.0,1919.0,1921.63,-0.29 %,"10,400.00","19,986,578.40",2.0
CIT,2025-05-07,1911.1,1930.0,1911.1,1927.23,0.29 %,"16,423.00","31,546,942.00",2.0
CIT,2025-05-06,1928.0,1928.0,1919.1,1921.66,-0.35 %,"11,078.00","21,282,293.40",2.0
CIT,2025-05-05,1935.0,1935.0,1920.0,1928.32,0.25 %,"6,644.00","12,799,006.60",2.0
CIT,2025-05-04,1950.0,1950.0,1919.0,1923.42,-0.07 %,"17,588.00","33,855,694.90",2.0
CIT,2025-04-30,1925.0,1935.0,1920.0,1924.72,0.05 %,"11,714.00","22,522,722.80",2.0
CIT,2025-04-29,1953.8,1953.8,1920.0,1923.74,-0.68 %,"15,913.00","30,733,394.50",2.0
CIT,2025-04-28,1950.0,1954.0,1935.0,1936.92,-0.69 %,"12,800.00","24,837,393.70",2.0
CIT,2025-04-27,1955.0,1978.0,1940.0,1950.38,0.07 %,"20,566.00","40,050,113.40",2.0
CIT,2025-04-24,1947.0,1960.0,1940.0,1949.07,-0.10 %,"13,123.00","25,541,427.10",2.0
CIT,2025-04-23,1970.0,1970.9,1945.0,1951.1,-0.89 %,"15,043.00","29,323,118.60",2.0
CIT,2025-04-22,1971.85,1980.0,1960.0,1968.65,-0.16 %,"11,234.00","22,088,824.70",2.0
CIT,2025-04-21,1961.0,1990.0,1961.0,1971.85,-0.44 %,"8,776.00","17,364,063.80",2.0
CIT,2025-04-20,2003.7,2013.0,1970.0,1980.48,-0.50 %,"9,867.00","19,603,272.30",2.0
CIT,2025-04-17,1965.0,2015.0,1950.0,1990.47,1.48 %,"28,841.00","57,226,620.00",2.0
CIT,2025-04-16,1972.0,1972.0,1950.0,1961.51,0.02 %,"8,319.00","16,333,457.70",2.0
CIT,2025-04-15,1955.0,1973.9,1946.0,1961.06,0.87 %,"9,506.00","18,648,539.40",2.0
CIT,2025-04-13,1936.0,1955.0,1936.0,1944.14,0.11 %,"6,837.00","13,305,814.00",2.0
CIT,2025-04-10,1958.0,1958.0,1936.0,1942.1,-0.45 %,"18,055.00","35,103,742.70",2.0
CIT,2025-04-09,1980.0,1980.0,1940.0,1950.96,0.50 %,"5,325.00","10,400,084.50",2.0
CIT,2025-04-08,1940.5,1954.0,1939.1,1941.22,-0.67 %,"14,116.00","27,492,158.70",2.0
CIT,2025-04-07,1970.0,1990.0,1940.0,1954.41,-0.82 %,"22,248.00","43,346,361.90",2.0
CIT,2025-04-03,1985.0,1989.9,1968.0,1970.54,-0.47 %,"7,029.00","13,886,068.20",0.0
CIT,2025-04-02,1994.0,1994.9,1965.0,1979.76,-0.03 %,"3,501.00","6,939,106.40",0.0
CIT,2025-04-01,1988.0,1999.0,1970.0,1980.33,-0.35 %,"5,040.00","9,969,456.30",0.0
CIT,2025-03-30,1960.67,2000.0,1960.0,1987.22,1.35 %,"10,007.00","19,886,419.00",0.0
CIT,2025-03-27,1974.0,1975.0,1950.0,1960.67,0.44 %,"5,958.00","11,674,737.60",0.0
CIT,2025-03-26,1980.0,1980.0,1940.0,1952.13,0.29 %,"9,527.00","18,567,583.70",0.0
CIT,2025-03-25,1969.0,1969.0,1940.0,1946.43,-0.72 %,"18,731.00","36,459,288.90",0.0
CIT,2025-03-24,1952.7,1961.0,1935.0,1960.54,0.40 %,"9,593.00","18,739,557.50",0.0
CIT,2025-03-23,1970.0,1970.0,1950.0,1952.7,-0.90 %,"12,075.00","23,612,179.80",0.0
CIT,2025-03-20,1980.0,1980.0,1970.0,1970.5,-0.20 %,"8,395.00","16,578,725.40",0.0
CIT,2025-03-19,1975.0,1991.0,1972.0,1974.5,-0.13 %,"7,147.00","14,122,931.60",0.0
CIT,2025-03-18,2020.6,2020.6,1975.0,1977.0,-0.20 %,"6,778.00","13,431,757.80",0.0
CIT,2025-03-17,1970.0,1990.0,1970.0,1981.0,0.25 %,"7,342.00","14,543,983.90",0.0
CIT,2025-03-16,1998.0,1998.0,1970.0,1976.0,-1.10 %,"13,309.00","26,397,470.30",0.0
CIT,2025-03-12,1995.0,2002.0,1990.0,1998.0,0.40 %,"11,015.00","21,973,390.40",0.0
CIT,2025-03-11,2009.3,2014.0,1985.0,1990.0,-0.60 %,"10,924.00","21,801,819.80",0.0
CIT,2025-03-10,2011.2,2039.0,2000.0,2002.0,-1.14 %,"12,210.00","24,633,692.70",0.0
CIT,2025-03-09,2065.0,2072.0,2020.0,2025.0,-1.70 %,"12,862.00","26,251,125.00",0.0
CIT,2025-03-06,2095.8,2095.8,2055.0,2060.0,0.05 %,"7,878.00","16,274,139.20",0.0
