Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CITY,2025-11-06,530,530.2,517,524.9,-0.91 %,"5,002.00","2,629,923.40"
CITY,2025-11-05,533,533,515,529.7,0.67 %,"3,741.00","1,941,443.60"
CITY,2025-11-04,542,585,526.1,526.2,-2.92 %,"5,905.00","3,173,049.30"
CITY,2025-11-03,542,552,536,542,0.00 %,"4,402.00","2,389,874.20"
CITY,2025-11-02,520.1,555,520,542,2.63 %,"5,377.00","2,902,112.80"
CITY,2025-10-30,530,534.9,525,528.1,-0.36 %,"4,652.00","2,466,465.90"
CITY,2025-10-29,534.5,577,528.1,530,0.38 %,"6,859.00","3,664,629.90"
CITY,2025-10-28,502.8,529.9,502.8,528,2.92 %,"2,049.00","1,070,413.10"
CITY,2025-10-26,515,518,503,513,-1.33 %,"1,318.00","673,017.40"
CITY,2025-10-19,510,552,510,519.9,0.37 %,"1,613.00","843,059.90"
CITY,2025-10-16,513.6,520,509,518,0.88 %,"5,762.00","2,956,045.70"
CITY,2025-10-15,522.1,527.4,512,513.5,-3.11 %,"6,046.00","3,130,033.50"
CITY,2025-10-14,530.5,536.5,523.3,530,-0.62 %,"2,170.00","1,144,153.00"
CITY,2025-10-13,520,535,506.1,533.3,1.97 %,"3,601.00","1,875,644.10"
CITY,2025-10-12,550,550,510,523,-3.15 %,"8,552.00","4,491,280.70"
CITY,2025-10-09,547.7,590.7,540,540,0.56 %,"8,901.00","4,899,897.40"
CITY,2025-10-08,555.3,564,534,537,-5.16 %,"10,516.00","5,744,087.50"
CITY,2025-10-07,580,582,565,566.2,-2.71 %,"7,329.00","4,178,791.90"
CITY,2025-09-28,599,599,576.3,582,-3.00 %,"9,159.00","5,331,326.50"
CITY,2025-09-25,636.1,636.1,588,600,-7.55 %,"60,922.00","36,458,959.40"
CITY,2025-09-24,580,649,580,649,10.00 %,"14,778.00","8,844,846.00"
