Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CLI,2025-09-18,447,447,412,412,-9.46 %,"3,632.00","1,516,126.90"
CLI,2025-09-08,458.5,461,454,455.07,-1.27 %,"21,810.00","9,964,243.90"
CLI,2025-09-07,460.1,465,460,460.92,-0.44 %,"12,299.00","5,675,025.60"
CLI,2025-09-04,467.83,467.83,461.4,462.95,-1.04 %,"28,983.00","13,428,689.40"
CLI,2025-09-03,465,473,465,467.83,-0.32 %,"11,181.00","5,229,325.30"
CLI,2025-09-02,468,470,468,469.34,-0.26 %,"17,077.00","8,011,165.70"
CLI,2025-09-01,470,473,466.7,470.57,-0.34 %,"8,486.00","3,987,552.00"
CLI,2025-08-31,468,475,468,472.19,-0.22 %,"14,040.00","6,628,694.60"
CLI,2025-08-28,490.6,490.6,471.1,473.22,-1.62 %,"20,473.00","9,817,811.00"
CLI,2025-08-27,477,483,473,481,1.13 %,"17,738.00","8,492,142.10"
CLI,2025-08-26,477.9,478,471.5,475.64,-0.02 %,"8,212.00","3,897,546.70"
CLI,2025-08-25,470,482.2,470,475.74,0.23 %,"16,206.00","7,677,123.10"
CLI,2025-08-24,470.9,480,470.2,474.67,-0.37 %,"14,349.00","6,817,258.10"
CLI,2025-08-21,477,484.9,476,476.45,-0.67 %,"13,474.00","6,426,981.80"
CLI,2025-08-20,480,484.5,475.1,479.67,-0.06 %,"13,164.00","6,316,434.00"
CLI,2025-08-19,476,484,476,479.98,0.66 %,"19,832.00","9,547,104.80"
CLI,2025-08-18,482.4,482.4,471,476.83,0.81 %,"17,603.00","8,364,861.30"
CLI,2025-08-17,477,482,472,472.99,-1.02 %,"30,430.00","14,486,807.90"
CLI,2025-08-14,476.1,480,476.1,477.85,-0.38 %,"17,474.00","8,348,541.10"
CLI,2025-08-13,480,483,479,479.65,-0.60 %,"40,480.00","19,495,130.80"
CLI,2025-08-12,481,484,480,482.56,-0.88 %,"19,723.00","9,503,373.30"
CLI,2025-08-11,485.5,499.8,485,486.85,-0.43 %,"21,121.00","10,343,416.30"
CLI,2025-08-07,494.9,495,484,488.96,0.77 %,"33,008.00","16,095,145.40"
