Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
CZBIL,2025-12-11,188,191.6,188,191.6,0.10 %,"20,610.00","3,926,100.60"
CZBIL,2025-12-10,188.1,194.2,188.1,191.4,-0.26 %,"12,454.00","2,387,692.70"
CZBIL,2025-12-09,189.5,193,189.5,191.9,-0.52 %,"25,138.00","4,813,368.20"
CZBIL,2025-12-08,192,193.9,192,192.9,-1.03 %,"44,029.00","8,473,636.00"
CZBIL,2025-12-07,193,195,192.2,194.9,-0.56 %,"20,974.00","4,065,674.40"
CZBIL,2025-12-03,193.1,200,190.1,196,1.50 %,"53,400.00","10,288,397.50"
CZBIL,2025-12-02,193.1,195,193.1,193.1,-1.48 %,"34,331.00","6,663,641.40"
CZBIL,2025-12-01,195.8,198.9,193.1,196,-1.80 %,"61,257.00","11,986,740.00"
CZBIL,2025-11-30,200,202,198.1,199.6,-0.20 %,"107,194.00","21,410,227.80"
CZBIL,2025-11-27,194,200.1,194,200,2.04 %,"79,270.00","15,677,361.40"
CZBIL,2025-11-26,195,196.9,193.1,196,0.56 %,"94,842.00","18,523,531.80"
CZBIL,2025-11-25,193,194.9,188.2,194.9,1.78 %,"35,242.00","6,749,376.20"
CZBIL,2025-11-24,183.1,192.3,183.1,191.5,2.52 %,"43,742.00","8,317,247.10"
CZBIL,2025-11-23,185,189,184.6,186.8,0.43 %,"99,232.00","18,431,606.90"
CZBIL,2025-11-20,186.1,187,183,186,-1.59 %,"58,849.00","10,898,253.70"
CZBIL,2025-11-19,188,189,186.3,189,-0.53 %,"16,324.00","3,055,653.10"
CZBIL,2025-11-18,188.2,190,186.5,190,1.55 %,"39,601.00","7,473,364.00"
CZBIL,2025-11-17,186.4,190.5,185,187.1,-1.01 %,"45,428.00","8,517,546.70"
CZBIL,2025-11-16,189.1,192.5,188.5,189,-1.56 %,"43,799.00","8,317,577.80"
CZBIL,2025-11-13,187,195,186.3,192,1.86 %,"62,716.00","11,833,748.30"
CZBIL,2025-11-12,193.2,193.2,187.8,188.5,-0.53 %,"22,238.00","4,194,058.20"
CZBIL,2025-11-11,190.3,193,189.1,189.5,-1.30 %,"30,528.00","5,807,173.70"
CZBIL,2025-11-10,192,194.9,190.7,192,-1.13 %,"37,700.00","7,218,412.80"
CZBIL,2025-11-09,197,197,194,194.2,-2.90 %,"54,757.00","10,667,404.00"
CZBIL,2025-11-06,200.5,202.5,200,200,0.00 %,"22,521.00","4,519,072.90"
CZBIL,2025-11-05,203.9,203.9,199,200,-1.09 %,"15,890.00","3,181,296.60"
CZBIL,2025-11-04,201,202.3,199,202.2,0.10 %,"46,494.00","9,296,756.80"
CZBIL,2025-11-03,202,203.9,200.4,202,0.00 %,"50,517.00","10,228,909.50"
CZBIL,2025-11-02,210,212.8,209.3,212.1,1.24 %,"134,705.00","28,477,463.50"
CZBIL,2025-10-30,207.8,210.3,207.8,209.5,-0.10 %,"40,383.00","8,463,496.00"
CZBIL,2025-10-29,206.5,209.9,206.3,209.7,1.16 %,"97,689.00","20,396,123.90"
CZBIL,2025-10-28,206.9,208.9,205.1,207.3,0.53 %,"47,287.00","9,794,903.60"
CZBIL,2025-10-26,206.5,206.5,202.3,206.2,-0.15 %,"40,852.00","8,361,565.60"
CZBIL,2025-10-19,203,207.5,201.1,206.5,2.23 %,"142,518.00","29,272,139.50"
CZBIL,2025-10-16,200.2,202.1,200.1,202,0.95 %,"28,700.00","5,779,925.80"
CZBIL,2025-10-15,201.1,203.7,200,200.1,-1.43 %,"42,452.00","8,523,032.70"
CZBIL,2025-10-14,204,204,201.1,203,-0.49 %,"49,541.00","10,034,659.50"
CZBIL,2025-10-13,207.7,207.7,201,204,0.15 %,"37,819.00","7,685,864.30"
CZBIL,2025-10-12,207.8,207.8,202,203.7,-1.97 %,"121,914.00","24,725,480.40"
CZBIL,2025-10-09,209.6,213.7,206,207.8,1.12 %,"53,891.00","11,203,613.70"
CZBIL,2025-10-08,209,209,204.9,205.5,-0.72 %,"71,981.00","14,812,219.10"
CZBIL,2025-10-07,210,210.7,206.3,207,-1.43 %,"65,982.00","13,763,666.30"
CZBIL,2025-09-28,208,211,208,210,2.94 %,"53,482.00","11,186,904.40"
CZBIL,2025-09-25,202,204,202,204,0.59 %,"42,794.00","8,688,954.20"
CZBIL,2025-09-24,203.1,204.8,202,202.8,-1.55 %,"31,793.00","6,451,578.00"
CZBIL,2025-09-23,206.9,206.9,200.3,206,0.79 %,"49,608.00","10,158,090.60"
CZBIL,2025-09-21,197,205.9,197,204.38,3.75 %,"130,062.00","26,291,546.30"
CZBIL,2025-09-18,200.5,200.5,196,197,-3.68 %,"3,576.00","707,188.00"
CZBIL,2025-09-08,205.2,207,204.1,204.53,-0.70 %,"50,300.00","10,331,820.10"
CZBIL,2025-09-07,206.53,207.9,205.8,205.98,-0.27 %,"24,335.00","5,021,913.00"
CZBIL,2025-09-04,207,207.9,205.5,206.53,0.08 %,"34,937.00","7,204,670.50"
CZBIL,2025-09-03,205,208.9,205,206.36,-0.38 %,"27,528.00","5,690,404.30"
CZBIL,2025-09-02,212.9,212.9,206.5,207.14,-0.79 %,"20,699.00","4,301,830.90"
CZBIL,2025-09-01,210.2,210.2,204.5,208.78,1.28 %,"66,482.00","13,700,842.80"
CZBIL,2025-08-31,206.2,210.3,205.1,206.15,-1.48 %,"70,488.00","14,565,834.00"
CZBIL,2025-08-28,210,211,207.4,209.24,-0.87 %,"53,507.00","11,175,393.30"
CZBIL,2025-08-27,206.4,212,206.4,211.08,1.90 %,"47,700.00","10,011,219.30"
CZBIL,2025-08-26,208.4,210,206.6,207.14,-1.15 %,"30,372.00","6,302,268.00"
CZBIL,2025-08-25,206.7,209.9,205.5,209.55,1.18 %,"31,247.00","6,453,667.40"
CZBIL,2025-08-24,207.1,210,206.3,207.11,-0.54 %,"36,167.00","7,502,119.30"
CZBIL,2025-08-21,210,211.6,207.1,208.23,-0.22 %,"91,865.00","19,198,532.60"
CZBIL,2025-08-20,208.5,212,208.4,208.69,-0.83 %,"41,326.00","8,667,676.20"
CZBIL,2025-08-19,211,213.8,208.9,210.43,0.03 %,"49,607.00","10,472,474.70"
CZBIL,2025-08-18,209,211,208.2,210.36,0.21 %,"27,058.00","5,679,150.10"
CZBIL,2025-08-17,214,214,208.1,209.91,-0.69 %,"59,848.00","12,517,098.50"
CZBIL,2025-08-14,212.7,214.3,211.1,211.37,-0.74 %,"53,482.00","11,362,456.00"
CZBIL,2025-08-13,215.2,216,212.4,212.95,-1.11 %,"47,911.00","10,253,987.70"
