Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
DDBL,2025-09-18,844.1,844.1,812.0,812.0,-5.72 %,370.00,"307,380.00",0.0
DDBL,2025-09-08,861.1,869.0,855.0,861.27,-0.64 %,"7,329.00","6,322,772.00",0.0
DDBL,2025-09-07,858.1,882.0,858.1,866.8,-0.58 %,"5,386.00","4,681,933.50",0.0
DDBL,2025-09-04,868.0,888.0,865.0,871.88,0.06 %,"11,543.00","10,049,255.20",0.0
DDBL,2025-09-03,870.5,880.0,870.5,871.39,-1.06 %,"5,443.00","4,751,017.60",0.0
DDBL,2025-09-02,878.2,891.0,873.0,880.71,-0.45 %,"8,787.00","7,723,997.20",0.0
DDBL,2025-09-01,876.0,890.0,876.0,884.68,0.18 %,"5,286.00","4,674,128.60",0.0
DDBL,2025-08-31,885.1,900.0,881.0,883.07,-1.08 %,"11,244.00","10,006,737.70",0.0
DDBL,2025-08-28,913.0,913.0,890.1,892.68,-2.25 %,"29,669.00","26,710,476.70",0.0
DDBL,2025-08-27,903.0,914.0,903.0,913.26,1.28 %,"12,508.00","11,373,309.40",0.0
DDBL,2025-08-26,915.0,915.0,900.0,901.73,-0.90 %,"6,268.00","5,670,941.30",0.0
DDBL,2025-08-25,915.0,941.0,904.1,909.95,0.91 %,"28,248.00","25,810,943.70",0.0
DDBL,2025-08-24,900.0,930.3,898.1,901.72,0.83 %,"10,382.00","9,399,600.00",0.0
DDBL,2025-08-21,900.0,901.1,889.0,894.29,-0.58 %,"12,738.00","11,384,442.10",0.0
DDBL,2025-08-20,910.0,913.9,898.0,899.47,-0.29 %,"9,975.00","9,015,244.50",0.0
DDBL,2025-08-19,903.51,920.0,900.0,902.05,-0.16 %,"7,740.00","7,008,822.80",0.0
DDBL,2025-08-18,902.0,917.6,898.0,903.51,-0.29 %,"13,384.00","12,084,759.60",0.0
DDBL,2025-08-17,920.0,920.0,901.0,906.14,-0.55 %,"15,120.00","13,741,229.70",0.0
DDBL,2025-08-14,908.0,914.0,904.0,911.18,0.28 %,"3,041.00","2,764,736.60",0.8
DDBL,2025-08-13,910.0,927.9,900.0,908.64,0.17 %,"11,228.00","10,232,643.60",0.8
DDBL,2025-08-12,922.0,922.0,903.6,907.06,-0.48 %,"37,888.00","34,304,928.90",0.8
DDBL,2025-08-11,927.0,944.0,909.5,911.4,-1.59 %,"25,625.00","23,618,594.50",0.8
DDBL,2025-08-07,920.1,935.0,920.1,926.16,0.59 %,"13,473.00","12,514,905.60",0.8
DDBL,2025-08-06,906.1,933.0,902.1,920.75,0.38 %,"17,569.00","16,141,193.20",0.8
DDBL,2025-08-05,928.0,928.0,905.0,917.24,0.23 %,"25,491.00","23,352,589.00",0.8
DDBL,2025-08-04,928.0,932.0,898.0,915.17,0.15 %,"41,178.00","37,533,414.80",0.8
DDBL,2025-08-03,943.2,981.0,910.0,913.8,-3.12 %,"55,538.00","51,317,522.60",0.8
DDBL,2025-07-31,965.0,975.0,931.0,943.27,-1.23 %,"50,265.00","47,804,700.40",0.8
DDBL,2025-07-30,992.0,996.0,946.0,955.0,-3.74 %,"59,962.00","58,180,877.90",0.8
DDBL,2025-07-29,998.9,1010.0,985.0,992.08,0.72 %,"60,987.00","60,881,937.70",0.8
DDBL,2025-07-28,992.1,996.9,971.3,984.96,-0.17 %,"70,865.00","69,678,152.20",0.8
DDBL,2025-07-27,971.0,1007.0,970.0,986.64,1.57 %,"110,451.00","109,621,395.60",0.8
DDBL,2025-07-24,963.0,986.0,961.0,971.4,0.03 %,"57,145.00","55,520,164.30",0.8
DDBL,2025-07-23,986.0,995.0,952.3,971.1,-0.49 %,"58,529.00","56,686,630.00",0.8
DDBL,2025-07-22,953.0,980.0,953.0,975.87,3.56 %,"76,898.00","74,595,318.70",0.8
DDBL,2025-07-21,919.0,946.6,907.0,942.32,2.54 %,"54,060.00","50,322,636.30",0.8
DDBL,2025-07-20,909.0,938.0,901.0,919.02,1.66 %,"66,222.00","61,138,232.90",0.8
DDBL,2025-07-17,864.7,914.9,864.7,904.0,2.47 %,"46,301.00","41,890,625.30",0.8
DDBL,2025-07-16,849.4,896.0,849.4,882.25,1.80 %,"58,218.00","51,535,479.80",0.8
DDBL,2025-07-15,843.9,895.4,843.9,866.69,0.66 %,"31,058.00","27,022,041.20",0.8
DDBL,2025-07-14,856.2,894.0,856.2,861.05,-1.44 %,"60,408.00","51,966,864.60",0.8
DDBL,2025-07-13,858.3,892.0,858.3,873.66,3.82 %,"56,642.00","49,533,890.40",0.8
DDBL,2025-07-10,839.0,848.0,832.0,841.55,1.46 %,"34,328.00","28,809,283.80",0.8
DDBL,2025-07-09,818.0,833.0,816.0,829.44,0.92 %,"17,148.00","14,194,074.30",0.8
DDBL,2025-07-08,809.0,825.0,804.0,821.87,1.59 %,"14,637.00","11,967,325.10",0.8
DDBL,2025-07-07,815.0,819.9,806.0,808.97,-0.83 %,"12,160.00","9,874,258.00",0.8
DDBL,2025-07-06,811.0,827.0,811.0,815.77,0.07 %,"11,923.00","9,767,762.20",0.8
DDBL,2025-07-03,815.0,820.0,811.1,815.22,-0.06 %,"8,852.00","7,222,586.80",0.8
DDBL,2025-07-02,818.0,833.0,809.0,815.72,-0.20 %,"27,634.00","22,653,208.70",0.8
DDBL,2025-07-01,806.0,825.0,801.1,817.35,1.48 %,"18,062.00","14,706,445.40",0.8
DDBL,2025-06-30,805.0,809.0,795.0,805.41,0.80 %,"12,615.00","10,146,584.80",0.8
DDBL,2025-06-29,776.0,800.7,776.0,798.99,2.60 %,"12,277.00","9,747,386.30",0.8
DDBL,2025-06-26,780.1,780.1,775.5,778.71,-0.18 %,"5,235.00","4,072,442.50",0.8
DDBL,2025-06-25,781.0,788.0,775.0,780.1,-0.71 %,"5,396.00","4,202,817.50",0.8
DDBL,2025-06-24,788.0,793.0,784.0,785.67,0.46 %,"1,784.00","1,404,620.90",0.8
DDBL,2025-06-23,785.2,790.0,780.0,782.11,-0.35 %,"3,398.00","2,659,787.70",0.8
DDBL,2025-06-22,782.0,788.0,782.0,784.87,-0.90 %,"4,184.00","3,282,641.60",0.8
