Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
EBL,2025-09-18,698.0,698.0,656.6,671.1,-5.69 %,"17,943.00","11,976,122.40",0.0
EBL,2025-09-08,724.0,724.0,703.9,711.56,-1.70 %,"90,889.00","64,872,426.30",0.0
EBL,2025-09-07,742.0,742.0,715.0,723.88,-2.32 %,"307,228.00","221,592,043.70",2.0
EBL,2025-09-04,744.0,753.9,737.0,741.06,-1.24 %,"125,233.00","93,152,532.80",2.0
EBL,2025-09-03,760.0,762.0,748.2,750.39,-1.45 %,"74,732.00","56,279,892.40",0.0
EBL,2025-09-02,780.6,780.6,760.0,761.41,-0.51 %,"79,636.00","60,946,260.90",0.0
EBL,2025-09-01,766.7,777.0,747.1,765.33,1.81 %,"319,582.00","244,488,803.60",0.0
EBL,2025-08-31,746.1,754.0,740.1,751.71,0.54 %,"169,668.00","127,118,094.40",0.0
EBL,2025-08-28,745.0,755.0,745.0,747.67,-0.52 %,"80,293.00","60,081,358.70",0.0
EBL,2025-08-27,749.0,753.0,746.2,751.56,0.42 %,"95,651.00","71,777,378.90",0.0
EBL,2025-08-26,754.0,754.0,734.0,748.45,0.74 %,"110,366.00","82,556,555.70",0.0
EBL,2025-08-25,738.9,753.0,722.0,742.98,1.37 %,"108,125.00","79,972,344.70",0.0
EBL,2025-08-24,748.0,754.0,729.0,732.96,-1.98 %,"104,700.00","77,188,872.40",0.0
EBL,2025-08-21,740.0,750.0,735.9,747.77,1.17 %,"170,311.00","126,693,728.70",0.0
EBL,2025-08-20,739.5,741.0,728.0,739.14,0.63 %,"130,752.00","96,462,190.00",0.0
EBL,2025-08-19,730.0,736.0,721.0,734.54,1.22 %,"77,985.00","57,151,302.70",0.0
EBL,2025-08-18,724.9,730.0,718.3,725.71,0.81 %,"83,163.00","60,266,060.40",0.0
EBL,2025-08-17,722.0,725.0,710.4,719.87,0.58 %,"108,739.00","78,129,292.00",0.0
EBL,2025-08-14,722.0,722.0,714.0,715.69,0.08 %,"84,348.00","60,566,064.30",0.0
EBL,2025-08-13,714.0,719.0,712.0,715.14,0.80 %,"79,983.00","57,222,944.80",0.0
EBL,2025-08-12,715.0,718.0,701.1,709.49,-0.01 %,"143,996.00","101,772,278.70",0.0
EBL,2025-08-11,721.0,735.5,708.0,709.53,0.28 %,"196,948.00","140,969,023.30",0.0
EBL,2025-08-07,701.0,717.0,701.0,707.57,0.27 %,"71,174.00","50,495,190.60",1.0
EBL,2025-08-06,703.8,713.9,703.8,705.66,-0.63 %,"46,603.00","33,000,320.60",1.0
EBL,2025-08-05,725.0,725.0,705.0,710.14,-0.94 %,"81,510.00","58,069,861.80",1.0
EBL,2025-08-04,715.0,719.9,700.0,716.91,0.83 %,"109,388.00","77,693,168.20",1.0
EBL,2025-08-03,731.4,731.4,710.1,711.01,-0.85 %,"98,110.00","70,049,148.40",0.0
EBL,2025-07-31,715.0,729.3,713.0,717.09,-0.70 %,"156,655.00","112,588,247.30",0.0
EBL,2025-07-30,749.9,749.9,719.0,722.16,-1.94 %,"125,621.00","91,433,913.20",0.0
EBL,2025-07-29,740.0,750.0,734.0,736.48,0.02 %,"173,450.00","128,289,147.60",0.0
EBL,2025-07-28,750.0,750.0,728.0,736.35,-1.15 %,"205,878.00","151,162,154.90",0.0
EBL,2025-07-27,756.0,760.0,742.0,744.89,-1.56 %,"366,891.00","274,786,215.70",0.0
EBL,2025-07-24,766.0,766.0,745.1,756.72,-1.06 %,"264,650.00","199,156,713.30",0.0
EBL,2025-07-23,770.0,770.0,750.0,764.84,0.12 %,"292,455.00","221,828,784.20",0.0
EBL,2025-07-22,745.0,775.0,745.0,763.92,2.51 %,"283,754.00","215,831,624.80",0.0
EBL,2025-07-21,722.0,750.0,722.0,745.19,1.34 %,"283,558.00","209,983,681.00",0.0
EBL,2025-07-20,735.0,747.0,725.1,735.33,0.60 %,"283,091.00","209,195,095.00",0.0
EBL,2025-07-17,702.0,735.0,695.0,730.96,4.19 %,"231,952.00","166,604,695.90",0.0
EBL,2025-07-16,705.0,707.9,692.1,701.56,1.01 %,"380,520.00","265,780,976.00",0.0
EBL,2025-07-15,688.0,696.0,683.0,694.53,0.71 %,"80,041.00","55,235,389.40",0.0
EBL,2025-07-14,700.0,700.0,682.0,689.66,-1.51 %,"116,806.00","80,290,585.70",0.0
EBL,2025-07-13,683.6,704.0,680.0,700.22,4.47 %,"358,057.00","248,585,581.50",0.0
EBL,2025-07-10,666.0,678.0,660.8,670.29,1.46 %,"108,835.00","72,895,371.80",0.0
EBL,2025-07-09,665.0,665.0,656.0,660.66,0.47 %,"64,837.00","42,820,684.30",0.0
EBL,2025-07-08,667.9,667.9,652.0,657.54,0.37 %,"78,838.00","51,808,586.80",0.0
EBL,2025-07-07,664.8,666.0,653.0,655.14,-0.68 %,"118,386.00","78,175,719.80",0.0
EBL,2025-07-06,655.0,662.8,648.0,659.61,0.42 %,"73,221.00","48,122,376.90",0.0
EBL,2025-07-03,645.1,662.9,640.3,656.82,1.08 %,"100,633.00","65,824,785.40",0.0
EBL,2025-07-02,645.1,651.0,644.1,649.79,0.99 %,"43,324.00","28,026,889.20",0.0
EBL,2025-07-01,642.5,647.9,640.1,643.42,0.14 %,"29,297.00","18,815,603.30",0.0
EBL,2025-06-30,650.0,650.0,635.0,642.5,-0.21 %,"22,403.00","14,385,231.50",0.0
EBL,2025-06-29,640.0,645.0,636.1,643.87,1.37 %,"22,263.00","14,253,815.90",0.0
EBL,2025-06-26,635.0,637.0,634.0,635.17,-0.02 %,"28,083.00","17,834,016.90",0.0
EBL,2025-06-25,636.0,638.0,631.0,635.28,-0.01 %,"38,444.00","24,336,493.30",0.0
