Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
FMDBL,2025-09-18,807.3,807.3,762.0,777.0,-5.67 %,"4,446.00","3,450,426.00",0.0
FMDBL,2025-09-08,836.0,843.0,820.1,823.74,-1.42 %,"27,402.00","22,657,164.20",0.0
FMDBL,2025-09-07,835.0,855.0,835.0,835.64,-0.85 %,"32,611.00","27,376,064.60",0.0
FMDBL,2025-09-04,835.7,855.0,835.7,842.81,0.06 %,"29,503.00","24,878,834.00",0.0
FMDBL,2025-09-03,850.5,869.0,841.1,842.32,-1.65 %,"28,942.00","24,531,856.70",0.0
FMDBL,2025-09-02,860.7,875.0,855.1,856.46,-1.17 %,"21,812.00","18,761,042.30",0.0
FMDBL,2025-09-01,870.0,874.6,857.0,866.62,-0.48 %,"26,545.00","23,006,738.50",0.0
FMDBL,2025-08-31,881.0,896.0,864.0,870.76,-2.00 %,"46,515.00","40,696,407.60",0.0
FMDBL,2025-08-28,900.0,912.0,883.0,888.49,-1.06 %,"90,750.00","81,688,671.30",0.0
FMDBL,2025-08-27,876.0,902.0,870.0,897.97,2.61 %,"99,951.00","88,957,502.90",0.0
FMDBL,2025-08-26,870.0,880.0,848.0,875.17,1.05 %,"70,977.00","61,572,862.70",0.0
FMDBL,2025-08-25,881.4,897.6,863.0,866.09,0.22 %,"40,346.00","35,192,343.20",0.0
FMDBL,2025-08-24,870.0,880.0,862.2,864.21,-0.74 %,"27,569.00","23,968,267.00",0.0
FMDBL,2025-08-21,877.0,892.0,866.0,870.69,-1.58 %,"38,423.00","33,758,894.70",0.0
FMDBL,2025-08-20,890.0,895.0,880.0,884.7,-0.68 %,"41,811.00","37,093,231.30",0.0
FMDBL,2025-08-19,900.0,910.0,887.0,890.73,-0.49 %,"33,395.00","29,975,768.70",0.0
FMDBL,2025-08-18,900.0,909.0,890.0,895.09,0.99 %,"90,569.00","81,416,815.50",0.0
FMDBL,2025-08-17,885.0,910.0,880.1,886.35,-0.09 %,"70,488.00","63,141,533.60",0.0
FMDBL,2025-08-14,911.0,911.0,880.1,887.13,-0.69 %,"56,779.00","50,473,534.90",0.0
FMDBL,2025-08-13,900.0,914.8,890.0,893.26,0.15 %,"51,310.00","46,187,926.40",0.0
FMDBL,2025-08-12,920.6,920.6,891.0,891.89,-1.19 %,"63,014.00","56,831,552.10",0.0
FMDBL,2025-08-11,928.0,928.0,884.0,902.62,-2.09 %,"205,708.00","185,958,139.10",0.0
FMDBL,2025-08-07,921.0,942.9,920.0,921.86,-0.66 %,"84,272.00","78,450,709.10",0.0
FMDBL,2025-08-06,945.0,952.0,925.0,928.01,-1.81 %,"123,210.00","115,420,412.90",0.0
FMDBL,2025-08-05,970.0,970.0,938.1,945.09,-1.39 %,"102,536.00","97,614,379.80",0.0
FMDBL,2025-08-04,966.0,971.0,935.0,958.42,1.11 %,"97,980.00","93,810,893.50",0.0
FMDBL,2025-08-03,962.0,974.0,943.0,947.91,-1.48 %,"150,890.00","144,817,740.60",0.0
FMDBL,2025-07-31,978.0,990.1,956.0,962.18,-1.33 %,"162,386.00","157,867,387.90",0.0
FMDBL,2025-07-30,1005.0,1020.0,970.2,975.14,-3.54 %,"200,441.00","199,027,582.60",0.0
FMDBL,2025-07-29,995.0,1038.8,986.2,1010.97,2.59 %,"364,075.00","367,531,310.30",0.0
FMDBL,2025-07-28,981.0,1000.0,965.0,985.43,-0.41 %,"198,920.00","195,251,768.40",0.0
FMDBL,2025-07-27,995.0,1025.0,972.0,989.48,0.18 %,"322,122.00","321,803,948.00",0.0
FMDBL,2025-07-24,971.0,990.4,963.0,987.68,1.77 %,"289,719.00","282,126,223.90",0.0
FMDBL,2025-07-23,995.0,995.0,950.8,970.46,-1.89 %,"403,643.00","388,966,552.30",0.0
FMDBL,2025-07-22,950.0,1020.0,950.0,989.11,3.99 %,"334,269.00","333,428,754.00",0.0
FMDBL,2025-07-21,872.0,958.0,870.0,951.14,8.99 %,"563,412.00","517,191,161.30",0.0
FMDBL,2025-07-20,839.0,893.5,814.0,872.65,5.45 %,"500,151.00","433,541,780.10",0.0
FMDBL,2025-07-17,815.0,850.6,802.0,827.55,3.56 %,"146,596.00","120,695,305.50",0.0
FMDBL,2025-07-16,794.0,811.0,794.0,799.08,0.61 %,"183,687.00","147,067,996.00",0.0
FMDBL,2025-07-15,740.6,824.0,740.6,794.22,5.10 %,"129,816.00","101,795,798.20",0.0
FMDBL,2025-07-14,775.1,775.1,750.0,755.7,-2.73 %,"26,434.00","20,176,444.00",0.0
FMDBL,2025-07-13,779.9,794.5,769.0,776.9,1.60 %,"36,631.00","28,499,973.20",0.0
FMDBL,2025-07-10,765.0,765.7,755.0,764.65,1.35 %,"27,362.00","20,853,472.50",0.0
FMDBL,2025-07-09,752.0,758.0,750.5,754.43,0.03 %,"10,048.00","7,571,051.40",0.0
FMDBL,2025-07-08,750.0,756.0,750.0,754.18,0.29 %,"10,911.00","8,216,710.00",0.0
FMDBL,2025-07-07,749.1,761.0,749.1,751.99,-0.40 %,"16,759.00","12,616,191.50",0.0
FMDBL,2025-07-06,755.0,758.0,749.1,755.0,0.43 %,"17,323.00","13,059,520.00",0.0
FMDBL,2025-07-03,751.0,761.0,750.0,751.79,-0.81 %,"15,910.00","12,008,338.60",0.0
FMDBL,2025-07-02,766.9,768.0,755.0,757.95,-0.14 %,"19,469.00","14,821,572.00",0.0
FMDBL,2025-07-01,745.0,760.0,738.0,759.0,3.28 %,"18,531.00","13,893,417.60",0.0
FMDBL,2025-06-30,743.21,750.0,732.0,734.89,-1.12 %,"15,136.00","11,186,826.30",0.0
FMDBL,2025-06-29,733.0,744.4,732.0,743.21,0.63 %,"6,931.00","5,122,227.20",0.0
FMDBL,2025-06-26,745.0,745.0,731.0,738.58,-0.20 %,"7,620.00","5,587,677.60",0.0
FMDBL,2025-06-25,731.5,744.9,730.4,740.04,0.64 %,"6,203.00","4,556,359.40",0.0
FMDBL,2025-06-24,740.0,750.0,735.0,735.36,-0.06 %,"9,868.00","7,318,443.70",0.0
FMDBL,2025-06-23,735.1,741.0,730.3,735.78,0.51 %,"10,799.00","7,928,656.20",0.0
FMDBL,2025-06-22,731.4,741.0,731.3,732.04,-1.67 %,"12,670.00","9,299,680.50",0.0
FMDBL,2025-06-19,751.0,758.0,743.0,744.49,-1.55 %,"28,265.00","21,076,351.50",0.0
FMDBL,2025-06-18,771.1,772.0,756.0,756.23,-0.94 %,"20,225.00","15,435,486.20",0.0
FMDBL,2025-06-17,737.0,773.0,731.0,763.39,3.70 %,"87,603.00","66,703,208.70",0.0
FMDBL,2025-06-16,740.0,740.0,732.0,736.15,-0.78 %,"12,898.00","9,506,215.10",0.0
FMDBL,2025-06-15,736.0,743.0,734.0,741.93,-0.19 %,"12,858.00","9,500,584.30",0.0
FMDBL,2025-06-12,740.0,747.9,735.2,743.36,0.49 %,"22,158.00","16,441,009.10",0.0
FMDBL,2025-06-11,735.2,746.0,735.0,739.74,-0.06 %,"13,621.00","10,034,306.40",0.0
FMDBL,2025-06-10,746.0,747.0,740.0,740.22,0.36 %,"11,648.00","8,669,911.70",0.0
FMDBL,2025-06-09,754.3,754.3,732.1,737.59,-0.27 %,"5,215.00","3,850,589.70",0.0
FMDBL,2025-06-08,730.15,745.0,728.2,739.58,1.29 %,"19,381.00","14,225,647.70",0.0
FMDBL,2025-06-05,730.0,745.0,730.0,730.15,-0.12 %,"16,604.00","12,186,365.80",0.0
FMDBL,2025-06-04,748.0,750.0,730.0,731.04,-0.95 %,"15,325.00","11,232,523.00",0.0
FMDBL,2025-06-03,757.0,757.0,737.1,738.04,-1.22 %,"15,162.00","11,222,580.20",0.0
FMDBL,2025-06-02,766.5,780.0,742.1,747.19,-0.58 %,"10,909.00","8,208,289.50",0.0
FMDBL,2025-05-28,754.0,755.0,750.0,751.53,-0.76 %,"17,047.00","12,813,842.20",0.0
FMDBL,2025-05-27,754.0,764.0,754.0,757.29,-1.17 %,"6,265.00","4,750,872.90",0.0
FMDBL,2025-05-26,780.0,784.0,765.0,766.26,-0.51 %,"24,343.00","18,673,236.30",0.0
FMDBL,2025-05-25,778.0,782.1,760.1,770.21,0.34 %,"36,459.00","28,232,172.70",0.0
