Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
GBBL,2025-12-11,379.9,379.9,376,377.9,0.51 %,"19,407.00","7,307,482.70"
GBBL,2025-12-10,375.3,380,375.1,376,0.00 %,"7,565.00","2,849,932.70"
GBBL,2025-12-09,375,380,374.9,376,-0.27 %,"12,512.00","4,721,354.80"
GBBL,2025-12-08,375.3,380,375.2,377,-0.26 %,"8,266.00","3,118,605.70"
GBBL,2025-12-07,383,383,376.8,378,-0.74 %,"18,193.00","6,886,228.40"
GBBL,2025-12-03,381,381,378.3,380.8,-0.05 %,"20,031.00","7,604,231.60"
GBBL,2025-12-02,385,388,380,381,-0.26 %,"22,429.00","8,541,635.50"
GBBL,2025-12-01,384,385.9,381.1,382,-0.78 %,"6,602.00","2,527,450.50"
GBBL,2025-11-30,388,392.9,381.6,385,-0.49 %,"24,845.00","9,631,624.00"
GBBL,2025-11-27,385.6,390,385,386.9,-0.41 %,"22,844.00","8,849,304.70"
GBBL,2025-11-26,383.5,389,383.5,388.5,0.39 %,"16,980.00","6,560,301.70"
GBBL,2025-11-25,388,390,384.1,387,-0.41 %,"16,887.00","6,517,874.40"
GBBL,2025-11-24,383,388.6,383,388.6,1.99 %,"53,478.00","20,547,609.70"
GBBL,2025-11-23,376,382,372.4,381,2.04 %,"21,928.00","8,286,838.00"
GBBL,2025-11-20,372.3,374,368,373.4,-0.16 %,"27,745.00","10,286,945.50"
GBBL,2025-11-19,378,380,372.1,374,-0.27 %,"16,556.00","6,189,939.20"
GBBL,2025-11-18,374,378.4,370,375,1.11 %,"36,662.00","13,676,128.50"
GBBL,2025-11-17,371,374,367.4,370.9,-0.03 %,"38,796.00","14,356,246.30"
GBBL,2025-11-16,369,372,368,371,0.27 %,"22,495.00","8,316,488.10"
GBBL,2025-11-13,374,374.9,368,370,-0.80 %,"26,601.00","9,855,725.80"
GBBL,2025-11-12,380,380,370,373,-0.80 %,"24,064.00","8,970,827.90"
GBBL,2025-11-11,384.9,385,373,376,-1.29 %,"37,017.00","13,918,016.30"
GBBL,2025-11-10,385,385.9,377,380.9,-0.55 %,"21,783.00","8,286,145.70"
GBBL,2025-11-09,394.2,394.2,382.2,383,-0.91 %,"20,641.00","7,933,230.90"
GBBL,2025-11-06,390,392,379.3,386.5,-0.13 %,"31,796.00","12,234,662.00"
GBBL,2025-11-05,387.1,392,385,387,-1.30 %,"21,710.00","8,402,103.50"
GBBL,2025-11-04,393.4,402.9,389,392.1,-0.33 %,"37,516.00","14,783,192.10"
GBBL,2025-11-03,422.9,422.9,416.2,417,0.46 %,"71,195.00","29,780,952.50"
GBBL,2025-11-02,423.8,425,413.1,415.1,-0.22 %,"66,309.00","27,792,589.00"
GBBL,2025-10-30,422.6,422.6,412,416,0.24 %,"46,354.00","19,275,411.00"
GBBL,2025-10-29,419.7,424.3,415,415,0.22 %,"44,443.00","18,592,801.60"
GBBL,2025-10-28,404,418,402,414.1,2.50 %,"35,629.00","14,636,588.90"
GBBL,2025-10-26,397,404.4,397,404,-0.22 %,"31,682.00","12,665,371.70"
GBBL,2025-10-19,404,408,400,404.9,0.47 %,"27,160.00","10,940,064.90"
GBBL,2025-10-16,410,415,401.8,403,-1.71 %,"50,045.00","20,462,168.10"
GBBL,2025-10-15,417,422.9,405,410,-1.18 %,"24,986.00","10,267,616.60"
GBBL,2025-10-14,416,420,411,414.9,-0.74 %,"31,779.00","13,128,671.00"
GBBL,2025-10-13,406,418,406,418,1.98 %,"24,213.00","10,021,780.90"
GBBL,2025-10-12,412.6,418,405,409.9,-2.38 %,"85,262.00","34,826,622.20"
GBBL,2025-10-09,425.4,441,417.1,419.9,0.67 %,"39,313.00","16,763,480.40"
GBBL,2025-10-08,421,425,412.9,417.1,-1.63 %,"48,034.00","20,113,885.50"
GBBL,2025-10-07,428,430,422.1,424,-1.62 %,"28,695.00","12,186,836.10"
GBBL,2025-09-28,430,433,428,431,0.94 %,"13,886.00","5,965,339.10"
GBBL,2025-09-25,426,432,425.1,427,0.00 %,"33,594.00","14,341,700.50"
GBBL,2025-09-24,432.5,439.4,426,427,-1.39 %,"30,583.00","13,127,991.60"
GBBL,2025-09-23,420,437,420,433,2.46 %,"28,135.00","12,171,081.60"
GBBL,2025-09-21,395,428,395,422.61,6.99 %,"52,934.00","21,870,254.00"
GBBL,2025-09-18,418,418,395,395,-7.38 %,"1,898.00","786,612.00"
GBBL,2025-09-08,430.1,434.9,423,426.47,-0.93 %,"56,215.00","24,037,745.50"
GBBL,2025-09-07,428.1,435.8,428.1,430.46,0.25 %,"28,322.00","12,227,426.40"
GBBL,2025-09-04,430,436.8,425.1,429.4,-0.69 %,"53,248.00","22,878,648.20"
GBBL,2025-09-03,433,436,428,432.37,0.21 %,"74,056.00","32,063,223.10"
GBBL,2025-09-02,431,435,427,431.45,0.91 %,"28,738.00","12,356,139.00"
GBBL,2025-09-01,425,432.9,422,427.56,0.35 %,"63,901.00","27,321,759.20"
GBBL,2025-08-31,435,435,425.2,426.06,-1.68 %,"26,896.00","11,502,153.40"
