Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
GBIME,2025-12-11,226,226,222.6,223.5,-0.04 %,"66,611.00","14,884,476.80"
GBIME,2025-12-10,223.1,225,223.1,223.6,-0.13 %,"63,538.00","14,229,048.30"
GBIME,2025-12-09,227,227,223,223.9,-0.27 %,"64,370.00","14,458,423.70"
GBIME,2025-12-08,229.8,229.8,223.1,224.5,-0.66 %,"49,425.00","11,093,041.10"
GBIME,2025-12-07,221,226,221,226,0.44 %,"89,809.00","20,069,044.20"
GBIME,2025-12-03,228.5,228.5,224.1,225,-1.10 %,"91,971.00","20,700,677.20"
GBIME,2025-12-02,227,229,226.2,227.5,0.22 %,"60,803.00","13,787,911.30"
GBIME,2025-12-01,230,230,226.9,227,-1.30 %,"52,719.00","12,014,154.60"
GBIME,2025-11-30,230,234.8,229.9,230,-0.30 %,"97,589.00","22,587,779.90"
GBIME,2025-11-27,230.9,232,228,230.7,0.44 %,"91,962.00","21,207,493.30"
GBIME,2025-11-26,228,231.8,226.7,229.7,0.39 %,"79,063.00","18,108,264.40"
GBIME,2025-11-25,227.1,229,225,228.8,0.39 %,"101,726.00","23,138,737.90"
GBIME,2025-11-24,224,228,224,227.9,1.97 %,"102,265.00","23,156,475.80"
GBIME,2025-11-23,222,224,221,223.5,0.72 %,"105,301.00","23,421,359.00"
GBIME,2025-11-20,223.9,224.8,218.9,221.9,-0.89 %,"277,777.00","61,325,025.80"
GBIME,2025-11-19,226.9,226.9,223,223.9,-0.27 %,"56,872.00","12,742,741.60"
GBIME,2025-11-18,224.1,227,224.1,224.5,0.00 %,"52,253.00","11,778,335.90"
GBIME,2025-11-17,225.1,227.7,224.4,224.5,-0.66 %,"92,697.00","20,863,717.80"
GBIME,2025-11-16,227,228.4,224,226,-0.04 %,"102,360.00","23,174,024.50"
GBIME,2025-11-13,226,228.3,225.1,226.1,0.27 %,"88,086.00","19,999,561.10"
GBIME,2025-11-12,227,228.9,223.5,225.5,-0.66 %,"136,513.00","30,926,985.90"
GBIME,2025-11-11,229,231.9,226.6,227,0.04 %,"164,406.00","37,438,423.20"
GBIME,2025-11-10,229,232,226.1,226.9,-0.92 %,"102,425.00","23,359,931.90"
GBIME,2025-11-09,231.5,233,228.4,229,-0.43 %,"194,076.00","44,695,138.90"
GBIME,2025-11-06,232,235,230,230,-2.13 %,"77,053.00","17,818,506.80"
