Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
GBLBS,2025-09-18,738.9,738.9,724.2,724.2,-3.94 %,30.00,"22,020.00",0.0
GBLBS,2025-09-08,774.0,774.0,746.2,753.93,-0.77 %,"4,835.00","3,643,187.90",0.0
GBLBS,2025-09-07,782.0,783.1,757.2,759.8,-1.08 %,"5,003.00","3,821,772.50",0.0
GBLBS,2025-09-04,756.0,770.0,755.1,768.12,0.61 %,"4,572.00","3,475,668.50",0.0
GBLBS,2025-09-03,765.0,773.0,762.0,763.46,-0.54 %,"2,942.00","2,251,754.50",0.0
GBLBS,2025-09-02,780.0,780.0,767.0,767.62,-0.54 %,"7,933.00","6,100,055.90",0.0
GBLBS,2025-09-01,760.0,774.0,760.0,771.81,0.78 %,"2,250.00","1,728,181.40",0.0
GBLBS,2025-08-31,791.9,791.9,764.5,765.87,-1.37 %,"8,461.00","6,519,979.50",0.0
GBLBS,2025-08-28,783.0,789.0,776.0,776.51,-1.83 %,"8,015.00","6,255,797.60",0.0
GBLBS,2025-08-27,780.0,793.9,780.0,791.02,1.39 %,"9,117.00","7,175,991.40",0.0
GBLBS,2025-08-26,775.1,799.0,775.1,780.21,-1.23 %,"8,000.00","6,268,288.00",0.0
GBLBS,2025-08-25,797.3,813.0,775.1,789.91,1.03 %,"9,153.00","7,203,881.60",0.0
GBLBS,2025-08-24,792.0,792.0,780.1,781.84,-0.62 %,"4,564.00","3,570,527.80",0.0
GBLBS,2025-08-21,798.5,798.5,785.0,786.75,-1.16 %,"4,996.00","3,942,022.30",0.0
GBLBS,2025-08-20,805.0,810.0,795.2,795.99,-0.59 %,"3,167.00","2,527,807.00",0.0
GBLBS,2025-08-19,819.6,819.6,800.0,800.71,-0.72 %,"5,493.00","4,425,094.40",0.0
GBLBS,2025-08-18,800.1,812.0,800.1,806.53,0.78 %,"5,255.00","4,243,373.30",0.0
GBLBS,2025-08-17,825.0,825.0,800.0,800.3,-1.96 %,"12,457.00","10,071,060.20",0.0
GBLBS,2025-08-14,843.0,876.0,815.0,816.33,-1.34 %,"9,882.00","8,117,126.70",0.0
GBLBS,2025-08-13,850.0,852.8,825.0,827.39,-1.05 %,"5,105.00","4,234,706.70",0.0
GBLBS,2025-08-12,842.0,842.0,831.0,836.17,-0.66 %,"5,938.00","4,969,775.50",0.0
GBLBS,2025-08-11,860.0,860.0,840.0,841.69,-1.99 %,"8,101.00","6,871,460.10",0.0
GBLBS,2025-08-07,860.6,869.0,858.0,858.8,-0.83 %,"9,048.00","7,797,517.20",0.0
