Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
GFCL,2025-12-11,585,587.5,577,577,-0.52 %,"5,237.00","3,036,244.10"
GFCL,2025-12-10,591,591,577.4,580,-2.52 %,"9,505.00","5,559,683.10"
GFCL,2025-12-09,590.1,596,590,595,0.02 %,"1,691.00","999,660.30"
GFCL,2025-12-08,585.2,600,583.1,594.9,0.15 %,"3,266.00","1,926,000.80"
GFCL,2025-12-07,609.5,609.5,591,594,-0.82 %,"9,001.00","5,396,217.80"
GFCL,2025-12-03,600,605,590.1,598.9,1.17 %,"28,075.00","16,824,358.40"
GFCL,2025-12-02,590,595,583,592,0.34 %,"5,379.00","3,187,616.00"
GFCL,2025-12-01,580,595,577.3,590,0.68 %,"6,504.00","3,794,859.30"
GFCL,2025-11-30,590.1,605,585,586,-0.68 %,"6,594.00","3,909,744.60"
GFCL,2025-11-27,598.8,600,589,590,-1.17 %,"11,137.00","6,606,729.00"
GFCL,2025-11-26,595,600,590,597,-0.17 %,"4,955.00","2,950,614.50"
GFCL,2025-11-25,600,612,588,598,-0.17 %,"8,062.00","4,831,973.10"
GFCL,2025-11-24,593,599.8,588.1,599,1.87 %,"8,541.00","5,077,923.00"
GFCL,2025-11-23,584,590,574,588,2.60 %,"7,072.00","4,113,816.00"
GFCL,2025-11-20,572,580,572,573.1,-0.85 %,"6,080.00","3,490,425.60"
GFCL,2025-11-19,579.1,582,575,578,0.16 %,"5,013.00","2,896,450.10"
GFCL,2025-11-18,587,588,577.1,577.1,0.19 %,"4,798.00","2,799,209.00"
GFCL,2025-11-17,566,580,561.5,576,1.05 %,"2,145.00","1,230,015.30"
GFCL,2025-11-16,573.4,575,569,570,-1.72 %,"10,535.00","6,028,447.00"
GFCL,2025-11-13,562.6,582.5,562.6,580,1.05 %,"5,028.00","2,908,999.53"
GFCL,2025-11-12,578.1,600,571.4,574,-2.50 %,"8,811.00","5,093,432.10"
GFCL,2025-11-11,592,592,579.2,588.7,-0.39 %,"6,646.00","3,888,724.00"
GFCL,2025-11-10,589,608.5,587,591,-1.34 %,"6,383.00","3,769,218.80"
GFCL,2025-11-09,605.5,607,595,599,-2.76 %,"7,990.00","4,806,233.00"
GFCL,2025-11-06,627,631,610,616,-0.47 %,"15,088.00","9,376,823.20"
GFCL,2025-11-05,590.1,619,586.1,618.9,3.36 %,"11,165.00","6,696,229.80"
GFCL,2025-11-04,605,609,590,598.8,-1.51 %,"5,485.00","3,276,821.20"
GFCL,2025-11-03,597,623,597,608,1.84 %,"15,408.00","9,431,932.60"
GFCL,2025-11-02,583,600,583,597,4.10 %,"19,310.00","11,497,186.00"
GFCL,2025-10-30,570.1,580,560.4,573.5,0.60 %,"6,092.00","3,490,400.50"
GFCL,2025-10-29,580,589.9,570,570.1,-0.85 %,"4,724.00","2,717,705.80"
GFCL,2025-10-28,569,580,569,575,2.68 %,"4,418.00","2,526,469.80"
GFCL,2025-10-26,555,560,550,560,-0.88 %,"4,799.00","2,670,121.50"
GFCL,2025-10-19,572,572,561,565,0.71 %,"7,494.00","4,238,595.40"
GFCL,2025-10-16,589,589.5,560,561,-2.94 %,"12,064.00","6,820,787.40"
GFCL,2025-10-15,580,590,574,578,-1.28 %,"6,094.00","3,529,502.50"
GFCL,2025-10-14,593,599,585,585.5,-1.78 %,"5,522.00","3,247,705.00"
GFCL,2025-10-13,597,608,591,596.1,-0.15 %,"10,186.00","6,093,035.50"
GFCL,2025-10-12,601.4,621,590,597,-2.55 %,"12,513.00","7,555,453.70"
GFCL,2025-10-09,612.1,637.7,609,612.6,2.08 %,"12,497.00","7,696,033.30"
GFCL,2025-10-08,615.1,621,593,600.1,-4.29 %,"16,301.00","9,790,969.20"
GFCL,2025-10-07,605.1,627,593,627,1.62 %,"4,864.00","2,978,162.50"
GFCL,2025-09-28,610,617,609,617,0.15 %,"3,687.00","2,268,563.60"
GFCL,2025-09-25,641,641,615,616.1,-2.05 %,"3,964.00","2,444,634.20"
GFCL,2025-09-24,635,640,611,629,-1.72 %,"9,510.00","5,950,267.90"
GFCL,2025-09-23,617.1,650,617.1,640,5.79 %,"20,737.00","13,257,737.10"
GFCL,2025-09-21,550,605,528.3,605,10.00 %,"19,904.00","11,671,687.00"
GFCL,2025-09-18,586.5,586.5,550,550,-8.09 %,"1,465.00","842,421.50"
GFCL,2025-09-08,615,615,597,598.4,-1.64 %,"12,328.00","7,431,643.00"
GFCL,2025-09-07,608,616,605,608.4,-0.13 %,"7,681.00","4,678,499.30"
GFCL,2025-09-04,625,626,608,609.21,-0.61 %,"10,300.00","6,311,999.10"
GFCL,2025-09-03,615,623,610,612.94,-0.28 %,"7,634.00","4,687,634.80"
GFCL,2025-09-02,623.96,623.96,613,614.64,-1.49 %,"6,572.00","4,057,915.40"
GFCL,2025-09-01,630,630,620.1,623.96,0.51 %,"7,761.00","4,839,826.80"
GFCL,2025-08-31,632,643,620.4,620.79,-1.54 %,"6,879.00","4,296,687.80"
GFCL,2025-08-28,642,643.9,630,630.53,-1.37 %,"8,776.00","5,565,787.30"
GFCL,2025-08-27,630,645,630,639.3,1.80 %,"9,660.00","6,169,396.40"
GFCL,2025-08-26,635,637.9,628,628,-0.70 %,"4,321.00","2,727,077.00"
GFCL,2025-08-25,630.1,636,624,632.42,-0.05 %,"8,383.00","5,283,191.80"
GFCL,2025-08-24,625,643.8,625,632.75,0.24 %,"4,182.00","2,648,106.40"
GFCL,2025-08-21,640,641,631,631.24,-1.37 %,"11,329.00","7,180,771.40"
GFCL,2025-08-20,635.7,654,635.7,640,-0.25 %,"5,836.00","3,750,956.60"
GFCL,2025-08-19,657,657,641,641.62,-0.48 %,"14,371.00","9,264,100.40"
GFCL,2025-08-18,658,669.9,638.3,644.69,-0.19 %,"8,931.00","5,760,853.30"
GFCL,2025-08-17,660.9,661,643,645.89,-1.32 %,"12,277.00","8,001,459.10"
GFCL,2025-08-14,673.9,673.9,653.1,654.55,-1.03 %,"8,407.00","5,535,923.90"
GFCL,2025-08-13,652,677.3,652,661.35,-0.50 %,"9,792.00","6,542,585.20"
GFCL,2025-08-12,680,680,662.3,664.69,-1.72 %,"12,030.00","8,025,117.50"
GFCL,2025-08-11,697.7,697.7,675,676.35,-1.12 %,"13,541.00","9,209,488.40"
GFCL,2025-08-07,684,685,675,684.02,1.38 %,"9,921.00","6,773,401.60"
GFCL,2025-08-06,680,685,665,674.72,-0.35 %,"16,375.00","11,099,574.00"
GFCL,2025-08-05,685,705,675,677.07,-2.54 %,"21,386.00","14,624,886.20"
GFCL,2025-08-04,716,716.5,684,694.74,-1.10 %,"43,709.00","30,276,306.20"
GFCL,2025-08-03,708,730,701.2,702.46,-0.89 %,"26,017.00","18,381,460.90"
GFCL,2025-07-31,701.2,748.6,695,708.8,0.45 %,"78,804.00","56,293,332.00"
GFCL,2025-07-30,718,735,703,705.6,-2.14 %,"27,941.00","19,885,591.20"
GFCL,2025-07-29,740.9,740.9,720,721.04,-0.74 %,"28,352.00","20,625,731.50"
GFCL,2025-07-28,695,730,695,726.38,3.11 %,"57,195.00","40,826,775.00"
GFCL,2025-07-27,721,739,700.3,704.47,-3.17 %,"71,629.00","51,364,995.70"
GFCL,2025-07-24,738,750,725,727.53,-1.50 %,"33,090.00","24,197,417.20"
GFCL,2025-07-23,732,756.8,717,738.61,1.14 %,"61,567.00","45,347,886.00"
GFCL,2025-07-22,719.5,734,715,730.29,3.30 %,"56,338.00","40,906,168.20"
GFCL,2025-07-21,709,717.5,705.1,706.93,-0.50 %,"58,833.00","41,816,372.70"
GFCL,2025-07-20,710,724.8,710,710.5,-1.93 %,"115,934.00","82,872,420.90"
GFCL,2025-07-17,728.6,729,711.2,724.47,1.41 %,"56,418.00","40,596,364.80"
GFCL,2025-07-16,709.9,717,703.1,714.37,2.63 %,"50,552.00","35,979,561.90"
GFCL,2025-07-15,684,710,672,696.09,3.10 %,"98,379.00","68,228,340.10"
GFCL,2025-07-14,666,679.2,662,675.13,0.99 %,"36,337.00","24,393,816.00"
