Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
HATHY,2025-09-18,981.2,981.2,920.0,920.0,-8.11 %,511.00,"485,419.00",-0.5
HATHY,2025-09-08,1058.9,1058.9,997.1,1001.19,-3.63 %,"12,715.00","12,847,572.00",2.0
HATHY,2025-09-07,1070.0,1070.0,1034.0,1038.9,-1.94 %,"10,513.00","10,982,868.90",2.0
HATHY,2025-09-04,1062.0,1083.1,1053.6,1059.41,-1.12 %,"10,363.00","10,970,819.40",2.0
HATHY,2025-09-03,1090.0,1090.0,1070.0,1071.42,-1.85 %,"5,647.00","6,081,308.50",2.0
HATHY,2025-09-02,1107.0,1115.0,1090.1,1091.66,-1.57 %,"7,546.00","8,278,060.60",2.0
HATHY,2025-09-01,1144.0,1148.0,1105.0,1109.1,-1.85 %,"9,519.00","10,627,427.00",2.0
HATHY,2025-08-31,1140.0,1162.8,1125.0,1129.99,0.52 %,"36,340.00","41,552,639.50",2.0
HATHY,2025-08-28,1275.0,1280.0,1255.6,1258.99,-0.49 %,"55,660.00","70,301,860.80",2.0
HATHY,2025-08-27,1245.0,1270.0,1236.5,1265.23,2.06 %,"26,106.00","32,801,013.10",0.0
HATHY,2025-08-26,1246.0,1246.0,1230.1,1239.71,-0.53 %,"8,010.00","9,933,563.70",0.0
HATHY,2025-08-25,1245.0,1249.0,1232.2,1246.37,0.53 %,"12,843.00","15,914,603.90",0.0
HATHY,2025-08-24,1240.0,1259.0,1235.0,1239.74,-0.19 %,"8,106.00","10,065,307.50",0.0
HATHY,2025-08-21,1264.8,1264.8,1240.0,1242.15,-0.40 %,"16,262.00","20,228,240.10",0.0
HATHY,2025-08-20,1259.2,1280.0,1236.0,1247.09,1.02 %,"23,030.00","28,695,403.70",0.0
HATHY,2025-08-19,1266.5,1287.0,1230.0,1234.55,-0.58 %,"26,496.00","32,994,682.68",2.0
HATHY,2025-08-18,1238.0,1252.5,1232.1,1241.77,0.39 %,"18,420.00","22,844,658.00",0.0
HATHY,2025-08-17,1245.0,1245.0,1215.0,1236.98,0.63 %,"21,818.00","26,775,890.90",0.0
HATHY,2025-08-14,1220.0,1241.9,1194.2,1229.29,0.88 %,"22,105.00","26,937,915.30",0.0
HATHY,2025-08-13,1214.98,1234.7,1214.98,1218.52,0.29 %,"10,892.00","13,315,031.70",0.0
HATHY,2025-08-12,1215.0,1227.8,1210.0,1214.98,-1.03 %,"14,457.00","17,596,347.50",0.0
HATHY,2025-08-11,1248.2,1255.0,1225.0,1227.65,-1.63 %,"12,971.00","16,034,802.30",0.0
HATHY,2025-08-07,1230.0,1265.0,1230.0,1248.05,0.68 %,"13,208.00","16,553,471.00",0.0
HATHY,2025-08-06,1247.0,1265.0,1230.0,1239.68,0.47 %,"12,582.00","15,682,731.10",0.0
HATHY,2025-08-05,1280.0,1280.0,1231.0,1233.84,-1.71 %,"15,530.00","19,286,825.10",0.0
HATHY,2025-08-04,1280.0,1280.0,1246.0,1255.34,-0.42 %,"19,568.00","24,603,694.70",0.0
HATHY,2025-08-03,1267.3,1318.0,1258.0,1260.61,-2.51 %,"25,234.00","32,076,769.50",0.0
HATHY,2025-07-31,1332.3,1332.3,1286.0,1293.07,-1.00 %,"42,140.00","54,783,372.60",0.0
HATHY,2025-07-30,1349.9,1355.0,1300.0,1306.19,-2.14 %,"51,158.00","68,350,414.00",0.0
HATHY,2025-07-29,1324.0,1354.0,1305.1,1334.69,2.76 %,"54,054.00","72,433,367.90",0.0
HATHY,2025-07-28,1276.0,1309.9,1265.0,1298.88,0.06 %,"47,180.00","60,804,263.10",0.0
HATHY,2025-07-27,1342.0,1351.0,1285.0,1298.07,-3.12 %,"42,965.00","56,734,882.80",0.0
HATHY,2025-07-24,1316.1,1355.0,1316.1,1339.82,-0.11 %,"46,037.00","61,710,927.80",0.0
HATHY,2025-07-23,1382.4,1382.4,1314.2,1341.34,-1.03 %,"46,549.00","62,472,289.60",0.0
HATHY,2025-07-22,1285.0,1360.0,1285.0,1355.32,6.38 %,"57,954.00","76,749,962.20",0.0
HATHY,2025-07-21,1225.9,1289.0,1225.9,1274.02,1.85 %,"51,044.00","64,809,343.50",0.0
HATHY,2025-07-20,1285.5,1300.0,1245.0,1250.91,-0.75 %,"48,474.00","61,961,564.50",0.0
HATHY,2025-07-17,1223.0,1275.0,1223.0,1260.33,3.29 %,"47,772.00","60,297,311.50",0.0
HATHY,2025-07-16,1228.0,1238.0,1215.0,1220.14,-0.17 %,"20,319.00","24,932,084.60",0.0
HATHY,2025-07-15,1211.0,1235.0,1211.0,1222.24,0.93 %,"14,716.00","17,972,958.00",0.0
HATHY,2025-07-14,1233.0,1236.0,1206.1,1211.03,-1.53 %,"20,730.00","25,414,301.30",0.0
HATHY,2025-07-13,1247.5,1250.0,1225.0,1229.82,0.55 %,"26,880.00","33,201,620.70",0.0
HATHY,2025-07-10,1224.0,1236.0,1215.0,1223.05,0.70 %,"31,151.00","38,153,987.70",0.0
HATHY,2025-07-09,1204.0,1225.0,1204.0,1214.55,0.87 %,"12,977.00","15,789,543.90",0.0
HATHY,2025-07-08,1205.0,1217.9,1197.0,1204.09,-0.27 %,"23,192.00","27,918,397.90",0.0
HATHY,2025-07-07,1252.7,1252.7,1200.0,1207.37,-1.70 %,"22,908.00","27,810,280.50",0.0
HATHY,2025-07-06,1240.0,1240.0,1200.5,1228.22,0.47 %,"24,323.00","29,762,684.40",0.0
HATHY,2025-07-03,1246.1,1246.1,1220.0,1222.42,-1.34 %,"21,666.00","26,598,303.20",0.0
HATHY,2025-07-02,1241.7,1265.0,1220.0,1239.0,1.77 %,"49,162.00","61,282,942.30",0.0
HATHY,2025-07-01,1193.68,1230.0,1180.3,1217.44,1.99 %,"26,273.00","31,399,699.80",0.0
HATHY,2025-06-30,1228.5,1228.5,1189.9,1193.68,-0.89 %,"20,087.00","23,999,510.40",0.0
HATHY,2025-06-29,1202.0,1217.7,1200.0,1204.43,0.20 %,"11,750.00","14,136,911.90",0.0
HATHY,2025-06-26,1210.3,1220.0,1201.0,1202.08,-0.68 %,"9,229.00","11,163,083.70",0.0
HATHY,2025-06-25,1229.9,1229.9,1205.0,1210.3,-0.19 %,"7,860.00","9,509,528.10",0.0
HATHY,2025-06-24,1215.0,1225.0,1206.0,1212.55,0.51 %,"8,086.00","9,802,899.40",0.0
HATHY,2025-06-23,1201.1,1225.0,1201.1,1206.36,-0.53 %,"9,899.00","11,988,985.70",0.0
HATHY,2025-06-22,1216.32,1229.9,1210.0,1212.74,-0.29 %,"10,785.00","13,114,047.50",0.0
HATHY,2025-06-19,1243.0,1243.0,1215.2,1216.32,-0.40 %,"22,379.00","27,337,032.10",0.0
HATHY,2025-06-18,1235.0,1241.0,1220.0,1221.15,-0.88 %,"12,626.00","15,471,268.90",0.0
HATHY,2025-06-17,1220.1,1245.0,1220.1,1231.95,0.18 %,"16,653.00","20,479,271.70",0.0
HATHY,2025-06-16,1194.6,1244.0,1194.6,1229.77,1.20 %,"21,740.00","26,483,028.60",0.0
HATHY,2025-06-15,1227.0,1234.0,1211.0,1215.13,-0.73 %,"13,589.00","16,603,614.90",0.0
HATHY,2025-06-12,1235.0,1235.0,1220.0,1224.08,-0.95 %,"21,767.00","26,657,346.00",0.0
HATHY,2025-06-11,1246.1,1267.0,1235.0,1235.86,-1.98 %,"8,129.00","10,123,658.90",0.0
HATHY,2025-06-10,1274.8,1275.0,1250.0,1260.78,0.88 %,"14,039.00","17,744,512.70",0.0
HATHY,2025-06-09,1220.0,1260.0,1213.0,1249.82,2.61 %,"21,565.00","26,606,777.90",0.0
HATHY,2025-06-08,1226.0,1233.0,1212.1,1218.06,-0.74 %,"8,621.00","10,518,468.50",0.0
HATHY,2025-06-05,1240.0,1240.0,1223.1,1227.11,0.04 %,"10,770.00","13,221,589.20",0.0
HATHY,2025-06-04,1222.0,1240.0,1222.0,1226.65,-0.48 %,"6,621.00","8,134,621.70",0.0
HATHY,2025-06-03,1248.99,1250.0,1230.0,1232.52,-1.32 %,"12,353.00","15,273,491.60",0.0
HATHY,2025-06-02,1260.0,1266.0,1241.1,1248.99,1.08 %,"12,403.00","15,541,168.30",0.0
HATHY,2025-05-28,1259.2,1259.2,1198.0,1235.67,0.09 %,"12,899.00","15,936,336.00",0.0
HATHY,2025-05-27,1255.0,1255.0,1230.0,1234.6,-0.67 %,"14,535.00","17,971,366.50",0.0
HATHY,2025-05-26,1271.6,1297.0,1240.0,1242.97,-0.30 %,"11,033.00","13,822,487.90",0.0
HATHY,2025-05-25,1283.7,1283.7,1240.0,1246.7,-0.94 %,"9,846.00","12,323,711.90",0.0
HATHY,2025-05-22,1268.38,1290.0,1255.0,1258.56,-0.77 %,"8,281.00","10,473,483.20",0.0
