Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
HBL,2025-12-11,185,188.1,185,187.1,0.05 %,"44,937.00","8,407,535.00"
HBL,2025-12-10,185,189.8,185,187,-0.43 %,"59,137.00","11,053,265.10"
HBL,2025-12-09,186.8,188.4,184,187.8,0.54 %,"77,438.00","14,396,483.60"
HBL,2025-12-08,186.3,188,186,186.8,-0.48 %,"49,847.00","9,305,443.10"
HBL,2025-12-07,190,190.2,186.9,187.7,-1.52 %,"89,161.00","16,742,626.20"
HBL,2025-12-03,193,194.9,190,190.6,-1.70 %,"47,380.00","9,099,501.40"
HBL,2025-12-02,194,194.9,192.7,193.9,-1.32 %,"36,363.00","7,031,270.40"
HBL,2025-12-01,193,203,190.4,196.5,0.00 %,"92,905.00","18,149,261.20"
HBL,2025-11-30,195,198.5,193.3,196.5,-1.21 %,"73,933.00","14,488,030.10"
HBL,2025-11-27,193,200,190.2,198.9,3.06 %,"101,590.00","19,950,438.10"
HBL,2025-11-26,190,195.8,189.3,193,0.05 %,"113,085.00","21,852,789.60"
HBL,2025-11-25,193,196,190.1,192.9,0.00 %,"68,073.00","13,059,957.40"
HBL,2025-11-24,184.6,193.3,184.6,192.9,2.44 %,"77,323.00","14,787,439.60"
HBL,2025-11-23,186,190,185.3,188.3,0.21 %,"39,605.00","7,444,274.20"
HBL,2025-11-20,185.9,190,185.9,187.9,0.70 %,"70,636.00","13,220,232.70"
HBL,2025-11-19,190.9,190.9,185.9,186.6,-0.32 %,"53,277.00","9,984,265.80"
HBL,2025-11-18,185,189.5,185,187.2,0.16 %,"42,111.00","7,902,597.70"
HBL,2025-11-17,187,190,184.3,186.9,-0.48 %,"44,806.00","8,384,877.90"
HBL,2025-11-16,186,188,186,187.8,-0.63 %,"45,026.00","8,412,889.40"
HBL,2025-11-13,189.8,191,186.3,189,-0.68 %,"103,061.00","19,370,192.90"
HBL,2025-11-12,191,192,189.8,190.3,-1.60 %,"95,427.00","18,169,322.90"
HBL,2025-11-11,190.1,193.4,190.1,193.4,0.21 %,"36,302.00","6,953,014.00"
HBL,2025-11-10,193,195,190.6,193,-0.26 %,"150,598.00","29,139,893.90"
HBL,2025-11-09,204,204,192.8,193.5,-3.25 %,"69,290.00","13,467,991.50"
HBL,2025-11-06,195.1,202.7,195.1,200,0.50 %,"84,074.00","16,776,752.60"
HBL,2025-11-05,196.5,200,196.3,199,0.00 %,"50,104.00","9,885,308.60"
HBL,2025-11-04,197,199,197,199,0.00 %,"67,980.00","13,438,005.50"
HBL,2025-11-03,198,202,197,199,-0.50 %,"49,743.00","9,898,040.70"
HBL,2025-11-02,199,202.4,198,200,0.25 %,"72,555.00","14,549,372.50"
