Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
HDL,2025-09-18,1342.7,1342.7,1289.9,1298.0,-5.26 %,"31,517.00","40,878,592.50",0.0
HDL,2025-09-08,1417.6,1417.6,1363.5,1370.04,-1.43 %,"105,991.00","145,782,478.30",0.0
HDL,2025-09-07,1360.0,1409.0,1360.0,1389.86,0.16 %,"115,065.00","160,510,739.70",0.0
HDL,2025-09-04,1359.0,1400.0,1359.0,1387.6,0.08 %,"113,372.00","157,176,836.60",0.0
HDL,2025-09-03,1419.7,1419.7,1383.1,1386.49,-0.39 %,"86,112.00","119,771,725.40",0.0
HDL,2025-09-02,1380.5,1434.0,1380.5,1391.87,-1.19 %,"101,739.00","142,690,461.60",0.0
HDL,2025-09-01,1395.0,1414.0,1384.0,1408.63,1.27 %,"155,571.00","218,118,788.10",0.0
HDL,2025-08-31,1447.0,1447.0,1389.0,1390.98,-2.00 %,"187,677.00","263,326,384.20",0.0
HDL,2025-08-28,1440.0,1459.0,1416.1,1419.3,-1.44 %,"243,935.00","350,421,793.40",0.0
HDL,2025-08-27,1404.0,1443.4,1387.0,1440.03,2.96 %,"305,367.00","434,007,681.10",0.0
HDL,2025-08-26,1424.0,1424.0,1390.0,1398.6,-0.52 %,"120,204.00","168,409,343.00",0.0
HDL,2025-08-25,1420.0,1422.2,1395.0,1405.87,-1.08 %,"146,976.00","206,600,376.00",0.0
HDL,2025-08-24,1344.5,1474.0,1344.5,1421.28,3.60 %,"1,274,225.00","1,757,930,386.40",0.0
HDL,2025-08-21,1362.0,1378.0,1352.5,1371.91,0.74 %,"95,557.00","130,824,447.20",0.0
HDL,2025-08-20,1400.0,1403.0,1360.0,1361.85,-2.37 %,"76,962.00","105,719,087.90",0.0
HDL,2025-08-19,1370.0,1408.0,1370.0,1394.92,1.41 %,"203,014.00","283,766,228.50",0.0
HDL,2025-08-18,1331.0,1384.9,1331.0,1375.52,3.30 %,"130,428.00","176,672,866.20",0.0
HDL,2025-08-17,1370.0,1370.0,1330.0,1331.6,-1.06 %,"115,887.00","155,154,864.90",0.0
HDL,2025-08-14,1360.1,1360.1,1339.0,1345.83,0.92 %,"134,746.00","181,526,125.80",0.0
HDL,2025-08-13,1326.0,1350.0,1326.0,1333.51,0.09 %,"74,775.00","99,828,926.20",0.0
HDL,2025-08-12,1350.0,1351.89,1330.0,1332.27,-1.45 %,"117,650.00","157,465,152.60",0.0
HDL,2025-08-11,1395.0,1401.0,1350.0,1351.89,-1.60 %,"195,027.00","267,095,331.80",0.0
HDL,2025-08-07,1355.0,1385.0,1340.2,1373.93,2.51 %,"109,838.00","150,299,326.30",0.0
HDL,2025-08-06,1359.0,1359.9,1330.0,1340.33,-0.60 %,"131,256.00","176,505,433.80",0.0
HDL,2025-08-05,1400.0,1400.0,1345.0,1348.37,-2.85 %,"138,867.00","189,271,388.00",0.0
HDL,2025-08-04,1401.0,1420.0,1354.0,1387.99,-0.70 %,"271,656.00","375,851,164.40",0.0
HDL,2025-08-03,1489.0,1489.0,1385.2,1397.72,-4.25 %,"416,417.00","588,285,216.30",0.0
HDL,2025-07-31,1486.0,1496.0,1450.1,1459.83,-1.79 %,"471,530.00","690,951,767.50",0.0
HDL,2025-07-30,1556.1,1556.1,1481.0,1486.43,-2.57 %,"485,702.00","732,984,967.90",0.0
HDL,2025-07-29,1491.2,1540.0,1489.2,1525.68,4.36 %,"424,463.00","644,138,275.10",0.0
HDL,2025-07-28,1382.0,1475.0,1381.0,1461.99,5.80 %,"544,215.00","769,914,556.20",0.0
HDL,2025-07-27,1325.0,1418.0,1325.0,1381.88,4.60 %,"386,101.00","532,548,837.70",0.0
HDL,2025-07-24,1330.0,1342.0,1305.0,1321.12,-0.42 %,"89,508.00","118,323,594.80",0.0
HDL,2025-07-23,1310.0,1362.0,1310.0,1326.63,-0.67 %,"111,384.00","148,462,358.10",0.0
HDL,2025-07-22,1271.1,1362.0,1271.1,1335.6,5.30 %,"224,831.00","295,899,690.90",0.0
HDL,2025-07-21,1273.0,1280.0,1255.3,1268.38,-0.37 %,"74,212.00","93,977,138.20",0.0
HDL,2025-07-20,1275.0,1305.0,1266.0,1273.13,0.24 %,"119,461.00","154,037,514.50",0.0
HDL,2025-07-17,1250.0,1275.0,1241.0,1270.14,2.72 %,"94,208.00","118,949,953.80",0.0
HDL,2025-07-16,1235.0,1245.0,1230.0,1236.54,0.43 %,"41,553.00","51,414,194.00",0.0
HDL,2025-07-15,1240.0,1240.0,1226.0,1231.22,-0.34 %,"26,619.00","32,743,066.60",0.0
HDL,2025-07-14,1249.0,1250.0,1225.0,1235.4,-0.35 %,"32,677.00","40,246,835.10",0.0
HDL,2025-07-13,1249.0,1268.0,1230.0,1239.75,1.23 %,"52,379.00","64,933,342.80",0.0
HDL,2025-07-10,1225.0,1229.5,1216.0,1224.64,0.33 %,"38,039.00","46,474,463.10",0.0
HDL,2025-07-09,1220.0,1227.0,1214.0,1220.62,0.18 %,"38,106.00","46,417,955.90",0.0
HDL,2025-07-08,1212.1,1220.0,1210.0,1218.46,0.20 %,"30,108.00","36,615,333.00",0.0
HDL,2025-07-07,1244.0,1247.0,1215.0,1216.02,-1.31 %,"52,595.00","64,332,629.80",0.0
HDL,2025-07-06,1203.0,1240.0,1203.0,1232.12,2.49 %,"83,384.00","101,620,151.10",0.0
HDL,2025-07-03,1210.0,1210.0,1196.0,1202.2,0.32 %,"33,804.00","40,621,807.20",0.0
HDL,2025-07-02,1201.0,1204.8,1194.0,1198.42,0.57 %,"33,813.00","40,489,588.60",0.0
HDL,2025-07-01,1198.0,1205.0,1188.0,1191.66,-0.43 %,"35,865.00","42,768,424.60",0.0
HDL,2025-06-30,1185.0,1200.0,1185.0,1196.82,1.48 %,"23,639.00","28,204,639.60",0.0
HDL,2025-06-29,1178.0,1188.0,1174.1,1179.31,0.19 %,"32,059.00","37,783,026.80",0.0
HDL,2025-06-26,1180.0,1181.0,1175.3,1177.12,0.01 %,"28,039.00","33,021,431.90",0.0
HDL,2025-06-25,1185.0,1185.0,1175.3,1176.97,-0.32 %,"24,712.00","29,143,170.80",0.0
HDL,2025-06-24,1185.0,1195.0,1179.0,1180.69,-0.14 %,"31,114.00","36,813,059.00",0.0
HDL,2025-06-23,1200.0,1200.0,1180.1,1182.3,-0.21 %,"18,365.00","21,763,620.10",0.0
HDL,2025-06-22,1190.0,1194.0,1181.0,1184.83,-0.36 %,"33,978.00","40,372,012.00",0.0
HDL,2025-06-19,1200.0,1202.0,1188.0,1189.14,-0.31 %,"38,168.00","45,450,374.70",0.0
HDL,2025-06-18,1200.0,1209.0,1190.0,1192.81,-0.09 %,"22,772.00","27,184,920.40",0.0
HDL,2025-06-17,1205.0,1205.0,1192.0,1193.83,-0.16 %,"23,991.00","28,711,808.00",0.0
HDL,2025-06-16,1200.0,1202.0,1190.2,1195.69,0.12 %,"40,151.00","48,064,196.80",0.0
HDL,2025-06-15,1200.0,1200.0,1190.0,1194.25,0.01 %,"32,333.00","38,619,382.00",0.0
HDL,2025-06-12,1199.0,1206.0,1194.0,1194.16,-0.41 %,"43,114.00","51,613,105.60",0.0
