Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
HIDCL,2025-09-18,265.0,265.0,245.0,250.3,-7.39 %,"22,665.00","5,682,290.10",0.0
HIDCL,2025-09-08,270.7,281.5,269.0,270.26,-2.14 %,"127,024.00","34,439,785.60",0.0
HIDCL,2025-09-07,272.5,282.5,272.5,276.17,-0.68 %,"94,277.00","26,102,352.80",0.0
HIDCL,2025-09-04,279.3,283.0,275.7,278.06,-0.77 %,"134,860.00","37,533,101.40",0.0
HIDCL,2025-09-03,287.0,287.0,279.29,280.22,-0.51 %,"128,999.00","36,200,292.40",0.0
HIDCL,2025-09-02,283.0,284.9,280.2,281.66,-0.58 %,"144,639.00","40,871,690.00",0.0
HIDCL,2025-09-01,277.5,287.0,277.5,283.29,0.05 %,"83,065.00","23,480,455.70",0.0
HIDCL,2025-08-31,285.1,288.8,282.3,283.14,-1.54 %,"170,986.00","48,490,262.70",0.0
HIDCL,2025-08-28,291.0,296.0,287.0,287.56,-2.33 %,"151,856.00","44,086,393.30",0.0
HIDCL,2025-08-27,279.8,296.0,279.8,294.41,3.25 %,"184,316.00","53,515,267.40",0.0
HIDCL,2025-08-26,282.5,288.0,282.5,285.14,-0.33 %,"137,054.00","39,105,425.90",0.0
HIDCL,2025-08-25,280.0,286.9,280.0,286.07,0.69 %,"78,353.00","22,298,987.10",0.0
HIDCL,2025-08-24,280.3,289.0,280.3,284.12,-0.65 %,"100,316.00","28,538,797.40",0.0
HIDCL,2025-08-21,285.0,288.6,284.2,285.97,-0.14 %,"218,215.00","62,342,478.20",0.0
HIDCL,2025-08-20,282.5,290.0,282.5,286.37,-0.63 %,"273,321.00","78,457,799.20",0.0
HIDCL,2025-08-19,280.8,292.0,280.8,288.18,0.59 %,"177,968.00","51,352,136.10",0.0
HIDCL,2025-08-18,290.0,290.0,282.1,286.48,0.42 %,"169,780.00","48,487,468.60",0.0
HIDCL,2025-08-17,288.0,291.4,284.0,285.27,-1.39 %,"181,589.00","51,974,565.30",0.0
HIDCL,2025-08-14,290.0,291.8,285.0,289.29,0.33 %,"193,740.00","55,848,434.40",0.0
HIDCL,2025-08-13,282.3,292.0,282.3,288.33,0.10 %,"137,270.00","39,702,228.10",0.0
HIDCL,2025-08-12,282.8,292.0,282.8,288.04,-0.18 %,"164,752.00","47,625,018.20",0.0
HIDCL,2025-08-11,298.9,298.9,288.0,288.56,-1.91 %,"290,368.00","84,458,340.00",0.0
HIDCL,2025-08-07,290.0,295.0,289.0,294.19,1.27 %,"164,637.00","48,126,666.10",0.0
HIDCL,2025-08-06,283.9,293.5,283.9,290.49,0.28 %,"163,840.00","47,644,649.40",0.0
HIDCL,2025-08-05,295.0,298.0,289.0,289.69,-2.01 %,"298,941.00","87,175,931.80",0.0
HIDCL,2025-08-04,289.6,300.7,289.6,295.63,0.05 %,"290,388.00","85,703,902.50",0.0
HIDCL,2025-08-03,294.7,305.0,294.7,295.48,-1.74 %,"313,020.00","93,121,182.80",0.0
HIDCL,2025-07-31,300.7,309.8,299.0,300.7,-1.97 %,"488,131.00","148,132,602.10",0.0
HIDCL,2025-07-30,312.0,316.0,306.0,306.74,-1.74 %,"332,023.00","102,764,620.80",0.0
HIDCL,2025-07-29,309.0,324.8,309.0,312.18,-0.48 %,"499,824.00","157,476,616.70",0.0
HIDCL,2025-07-28,304.0,314.7,304.0,313.67,1.13 %,"459,931.00","142,248,134.60",0.0
HIDCL,2025-07-27,322.0,325.0,308.0,310.18,-3.32 %,"695,153.00","219,444,963.70",0.0
HIDCL,2025-07-24,330.3,330.3,318.3,320.84,-0.94 %,"500,892.00","161,256,554.80",0.0
HIDCL,2025-07-23,325.0,329.4,317.2,323.89,0.31 %,"846,769.00","274,073,809.00",0.0
HIDCL,2025-07-22,312.0,326.5,310.0,322.88,4.24 %,"1,150,088.00","365,879,926.70",0.0
HIDCL,2025-07-21,301.2,312.0,301.2,309.75,0.79 %,"392,558.00","120,822,374.10",0.0
HIDCL,2025-07-20,307.0,319.0,306.9,307.32,0.40 %,"781,600.00","245,155,723.60",0.0
HIDCL,2025-07-17,292.0,310.0,292.0,306.09,4.61 %,"470,440.00","144,186,541.30",0.0
HIDCL,2025-07-16,287.4,298.9,287.4,292.61,-0.06 %,"390,367.00","114,946,874.30",0.0
HIDCL,2025-07-15,285.0,296.5,285.0,292.79,0.87 %,"247,287.00","72,207,670.80",0.0
HIDCL,2025-07-14,290.8,296.6,290.0,290.26,-2.16 %,"206,794.00","60,408,713.10",0.0
HIDCL,2025-07-13,302.5,307.0,295.7,296.67,0.03 %,"289,421.00","86,186,810.60",0.0
HIDCL,2025-07-10,289.2,299.8,289.2,296.59,0.53 %,"218,803.00","64,955,195.60",0.0
HIDCL,2025-07-09,285.7,299.0,285.7,295.02,1.21 %,"393,796.00","116,194,315.10",0.0
HIDCL,2025-07-08,286.5,295.0,286.5,291.49,-0.21 %,"124,860.00","36,327,931.90",0.0
HIDCL,2025-07-07,293.6,297.8,290.6,292.09,-0.52 %,"162,411.00","47,535,966.30",0.0
HIDCL,2025-07-06,285.4,298.0,285.4,293.62,0.83 %,"290,983.00","85,828,862.20",0.0
HIDCL,2025-07-03,288.1,304.9,288.1,291.2,-0.92 %,"162,900.00","47,565,040.20",0.0
HIDCL,2025-07-02,303.3,303.3,293.1,293.91,-1.17 %,"179,721.00","53,232,632.00",0.0
HIDCL,2025-07-01,278.8,299.9,278.8,297.39,4.57 %,"332,209.00","96,897,756.60",0.0
HIDCL,2025-06-30,285.0,288.0,283.0,284.39,0.14 %,"210,365.00","59,903,183.10",0.0
