Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
HRL,2025-12-11,820,840,820,828.7,0.45 %,"73,622.00","60,935,855.90"
HRL,2025-12-10,844.5,844.5,820,825,-0.36 %,"79,909.00","66,024,748.00"
HRL,2025-12-09,822,838,811,828,0.24 %,"99,970.00","82,802,954.30"
HRL,2025-12-08,816.3,837,816.3,826,0.36 %,"69,824.00","57,778,313.30"
HRL,2025-12-07,835.1,849.9,816.5,823,-1.79 %,"162,370.00","134,088,664.70"
HRL,2025-12-03,868,868,837,838,-1.53 %,"210,555.00","178,106,901.10"
HRL,2025-12-02,850,867,850,851,-0.61 %,"124,651.00","106,923,594.90"
HRL,2025-12-01,859,870,851,856.2,-0.33 %,"178,799.00","153,857,937.80"
HRL,2025-11-30,852.8,887,852.8,859,-1.26 %,"265,314.00","230,559,947.60"
HRL,2025-11-27,887.4,887.4,863,870,0.00 %,"182,927.00","159,723,388.50"
HRL,2025-11-26,877.7,877.9,850,870,1.10 %,"217,922.00","189,462,034.40"
HRL,2025-11-25,863.9,866,841,860.5,1.59 %,"281,519.00","240,496,498.30"
HRL,2025-11-24,836,847,823,847,3.28 %,"248,108.00","207,625,423.50"
HRL,2025-11-23,790,830,790,820.1,3.68 %,"182,506.00","149,179,658.50"
HRL,2025-11-20,795,801,790.2,791,-0.38 %,"53,239.00","42,169,989.30"
HRL,2025-11-19,812.9,812.9,793,794,-0.38 %,"72,103.00","57,528,298.40"
HRL,2025-11-18,792.1,806,792.1,797,0.62 %,"73,378.00","58,826,252.90"
HRL,2025-11-17,800,800,791,792.1,-0.11 %,"56,503.00","44,924,110.60"
HRL,2025-11-16,790.6,802.9,789,793,0.30 %,"70,302.00","55,887,761.70"
HRL,2025-11-13,806.8,806.8,789,790.6,-0.05 %,"76,817.00","60,932,122.30"
HRL,2025-11-12,813.9,813.9,790,791,-0.88 %,"60,853.00","48,339,955.00"
HRL,2025-11-11,815.8,815.8,796,798,-0.24 %,"68,472.00","54,780,743.20"
HRL,2025-11-10,820,820,790,799.9,-0.51 %,"108,683.00","86,851,107.20"
HRL,2025-11-09,831.3,831.3,803,804,-1.35 %,"100,562.00","81,109,956.30"
HRL,2025-11-06,810,826,810,815,-0.24 %,"120,514.00","98,230,117.00"
HRL,2025-11-05,833.3,833.3,810,817,0.00 %,"133,265.00","108,605,318.40"
HRL,2025-11-04,850,850,814,817,-2.62 %,"158,133.00","130,671,603.30"
HRL,2025-11-03,803.6,850,803.6,839,2.33 %,"281,018.00","235,995,285.70"
HRL,2025-11-02,824.1,824.1,801,819.9,1.47 %,"220,545.00","179,681,233.10"
HRL,2025-10-30,783,813,783,808,1.25 %,"148,727.00","119,597,024.90"
HRL,2025-10-29,822.1,822.1,797.1,798,-0.99 %,"226,763.00","183,483,374.70"
HRL,2025-10-28,799.6,815,788,806,2.03 %,"208,835.00","168,059,642.90"
HRL,2025-10-26,794.4,799.8,769.4,790,1.43 %,"101,459.00","79,254,700.00"
HRL,2025-10-19,790.5,792.9,771.1,778.9,0.50 %,"115,303.00","90,090,241.60"
HRL,2025-10-16,812.9,812.9,771,775,-2.76 %,"123,658.00","96,445,773.40"
HRL,2025-10-15,803,812,795,797,-0.50 %,"168,225.00","134,991,106.20"
HRL,2025-10-14,810,819.8,798,801,-1.35 %,"199,839.00","160,912,361.00"
HRL,2025-10-13,775,827.9,762.1,812,4.77 %,"235,195.00","187,311,739.80"
HRL,2025-10-12,800,801,768.4,775,-3.91 %,"301,357.00","234,630,961.50"
HRL,2025-10-09,820,850,805.5,806.5,0.31 %,"255,111.00","209,319,192.10"
HRL,2025-10-08,837.5,837.5,795,804,-2.08 %,"219,914.00","177,160,985.40"
HRL,2025-10-07,863,863,821,821.1,-4.74 %,"151,015.00","126,167,077.50"
HRL,2025-09-28,860,872,853.1,862,0.82 %,"90,595.00","77,861,427.70"
HRL,2025-09-25,886.3,886.3,855,855,-1.61 %,"132,240.00","113,820,288.70"
HRL,2025-09-24,890,895,868,869,-2.36 %,"152,233.00","133,757,947.00"
HRL,2025-09-23,875,902,860.7,890,1.77 %,"177,381.00","157,251,416.50"
HRL,2025-09-21,860.5,898.6,822,874.55,-0.39 %,"563,832.00","482,681,640.60"
HRL,2025-09-18,965,965,878,878,-9.99 %,"19,092.00","17,060,801.00"
HRL,2025-09-08,1000,1000,970,975.49,-1.46 %,"223,843.00","219,239,472.40"
HRL,2025-09-07,971,1004,971,989.9,-0.06 %,"130,818.00","130,039,139.80"
HRL,2025-09-04,974,1004.9,974,990.49,-0.27 %,"178,942.00","176,902,910.10"
HRL,2025-09-03,1019.5,1019.5,990.1,993.13,-0.64 %,"250,403.00","249,459,561.20"
HRL,2025-09-02,1033,1033,998.1,999.52,-1.31 %,"200,017.00","201,103,408.10"
HRL,2025-09-01,1010,1019.3,1001,1012.82,0.36 %,"175,677.00","177,692,280.60"
HRL,2025-08-31,1034,1035,1008,1009.23,-2.23 %,"283,986.00","288,825,494.50"
HRL,2025-08-28,1056,1074.8,1030,1032.21,-2.17 %,"578,159.00","606,949,761.00"
HRL,2025-08-27,1031.1,1058,997,1055.08,4.36 %,"629,062.00","654,274,255.70"
HRL,2025-08-26,997.3,1012.9,991,1010.98,1.40 %,"216,172.00","217,112,874.10"
HRL,2025-08-25,964,1003,958,997.02,3.36 %,"236,887.00","233,954,226.70"
HRL,2025-08-24,970.9,989.8,963,964.61,-0.98 %,"240,400.00","233,573,494.20"
HRL,2025-08-21,985,994,972,974.2,-1.24 %,"245,689.00","240,950,301.60"
HRL,2025-08-20,990,1001,983.5,986.48,-0.73 %,"219,785.00","217,695,123.70"
HRL,2025-08-19,983,1017,983,993.73,-0.83 %,"170,459.00","170,387,649.80"
HRL,2025-08-18,1005,1014.9,1000,1002.09,-0.44 %,"139,176.00","139,750,451.60"
HRL,2025-08-17,1015,1024,1003,1006.52,-0.05 %,"349,385.00","354,525,499.20"
HRL,2025-08-14,995,1014.7,995,1007.01,1.05 %,"225,114.00","226,599,308.00"
HRL,2025-08-13,1020.5,1020.5,995,996.51,-0.40 %,"160,318.00","160,441,252.10"
HRL,2025-08-12,990,1020,990,1000.51,-0.00 %,"238,506.00","239,687,207.10"
HRL,2025-08-11,1017,1025,995,1000.54,-1.37 %,"425,130.00","428,329,922.50"
