Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
JBBL,2025-09-18,320,320,300,309,-5.04 %,"1,502.00","461,596.20"
JBBL,2025-09-08,329,331,325,325.4,-1.56 %,"33,068.00","10,806,849.90"
JBBL,2025-09-07,326,338,324.6,330.56,0.54 %,"34,875.00","11,512,073.60"
JBBL,2025-09-04,330,333,326,328.78,-0.11 %,"26,039.00","8,537,269.70"
JBBL,2025-09-03,327.1,333,327.1,329.15,-0.42 %,"40,374.00","13,341,509.40"
JBBL,2025-09-02,335,335,329,330.53,-0.48 %,"26,056.00","8,626,851.00"
JBBL,2025-09-01,332,334,326.4,332.12,0.21 %,"50,710.00","16,752,714.80"
JBBL,2025-08-31,337,337,330.3,331.43,-1.49 %,"40,901.00","13,568,446.30"
JBBL,2025-08-28,345,352.9,336,336.45,-3.23 %,"70,948.00","24,300,853.60"
JBBL,2025-08-27,334,348.5,332,347.68,4.76 %,"91,779.00","31,399,416.90"
JBBL,2025-08-26,332.7,335,330,331.87,-0.22 %,"29,434.00","9,748,569.90"
JBBL,2025-08-25,332,334.5,326.2,332.6,0.95 %,"43,032.00","14,190,662.10"
JBBL,2025-08-24,332,335.8,328.5,329.46,-0.87 %,"49,961.00","16,516,700.30"
JBBL,2025-08-21,342.6,342.6,331.4,332.34,-1.06 %,"90,878.00","30,422,477.10"
JBBL,2025-08-20,333.5,345,333.5,335.9,-1.28 %,"37,274.00","12,576,744.10"
JBBL,2025-08-19,332.1,347.6,332.1,340.24,0.41 %,"45,143.00","15,444,312.80"
JBBL,2025-08-18,331.4,342.9,331.4,338.86,0.22 %,"70,200.00","23,824,082.70"
JBBL,2025-08-17,345,345,337,338.13,-2.20 %,"114,324.00","38,962,978.00"
JBBL,2025-08-14,353.4,353.4,345,345.75,-0.23 %,"58,889.00","20,494,894.50"
JBBL,2025-08-13,358.6,358.6,346,346.53,-1.45 %,"73,865.00","25,863,998.10"
JBBL,2025-08-12,362.1,362.1,348,351.63,-0.95 %,"81,813.00","28,711,024.50"
JBBL,2025-08-11,355.1,369.3,354,355.02,-2.00 %,"82,198.00","29,640,017.50"
