Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
JFL,2025-12-11,410,420,410,415.1,-0.46 %,"7,274.00","3,022,461.60"
JFL,2025-12-10,420,424.9,417,417,-0.71 %,"2,750.00","1,151,438.00"
JFL,2025-12-09,422,422.5,418,420,-0.24 %,"7,732.00","3,239,566.30"
JFL,2025-12-08,429,429,416.2,421,-0.50 %,"14,382.00","6,028,719.20"
JFL,2025-12-07,424,430,423,423.1,-1.58 %,"8,709.00","3,712,836.70"
JFL,2025-12-03,420,433,420,429.9,1.85 %,"21,554.00","9,241,268.70"
JFL,2025-12-02,430,430,420,422.1,-0.02 %,"7,680.00","3,239,329.00"
JFL,2025-12-01,424,425,421.1,422.2,-0.26 %,"11,359.00","4,807,807.10"
JFL,2025-11-30,424,432.9,423.1,423.3,-0.87 %,"13,043.00","5,571,601.50"
JFL,2025-11-27,430,436,426.5,427,-1.39 %,"10,665.00","4,578,276.60"
JFL,2025-11-26,430,438.6,429,433,-0.46 %,"9,297.00","4,029,038.00"
JFL,2025-11-25,438,438,428.4,435,1.16 %,"7,553.00","3,257,681.50"
JFL,2025-11-24,435.5,435.5,428,430,0.70 %,"11,961.00","5,156,728.50"
JFL,2025-11-23,430.4,430.4,425,427,1.18 %,"4,856.00","2,079,993.70"
JFL,2025-11-20,424,431.9,421,422,-0.71 %,"5,796.00","2,462,700.60"
JFL,2025-11-19,430,435,425,425,-1.21 %,"2,839.00","1,214,011.30"
JFL,2025-11-18,437.9,438.2,425.1,430.2,0.09 %,"5,883.00","2,532,513.60"
JFL,2025-11-17,430,433,424,429.8,0.42 %,"5,636.00","2,410,599.70"
JFL,2025-11-16,424,434,424,428,-0.70 %,"3,876.00","1,661,053.80"
JFL,2025-11-13,430,438,428,431,0.23 %,"5,929.00","2,563,111.80"
JFL,2025-11-12,440,445,430,430,-1.60 %,"7,252.00","3,141,311.60"
JFL,2025-11-11,433,441,432.2,437,0.23 %,"4,658.00","2,027,064.00"
JFL,2025-11-10,440,440,436,436,-0.46 %,"5,161.00","2,254,152.70"
JFL,2025-11-09,450,450,437,438,-3.74 %,"8,853.00","3,914,394.20"
JFL,2025-11-06,462,468.9,453.1,455,0.44 %,"21,500.00","9,888,526.00"
JFL,2025-11-05,444,454,438.6,453,2.03 %,"9,979.00","4,493,233.50"
JFL,2025-11-04,453.7,465,439,444,-0.22 %,"11,729.00","5,270,303.60"
JFL,2025-11-03,456,457,438.1,445,-0.67 %,"12,152.00","5,445,464.40"
JFL,2025-11-02,423,450,423,448,4.87 %,"20,824.00","9,203,088.30"
JFL,2025-10-30,438,438,426,427.2,-0.65 %,"7,013.00","3,013,337.20"
JFL,2025-10-29,442,450,427,430,-0.92 %,"5,457.00","2,381,076.40"
JFL,2025-10-28,421,434,419,434,5.08 %,"4,790.00","2,049,451.00"
JFL,2025-10-26,418,420,409,413,-1.20 %,"6,948.00","2,861,343.90"
JFL,2025-10-19,412.5,420.1,412.1,418,-0.48 %,"3,359.00","1,392,184.00"
JFL,2025-10-16,420,428.4,416,420,0.00 %,"5,085.00","2,129,968.80"
JFL,2025-10-15,431,432,420,420,-3.23 %,"7,241.00","3,087,714.00"
JFL,2025-10-14,445,445,430,434,-1.36 %,"4,448.00","1,926,034.50"
JFL,2025-10-13,435,444.9,431,440,0.23 %,"6,238.00","2,723,818.90"
JFL,2025-10-12,442.3,442.3,429,439,-0.75 %,"8,964.00","3,871,440.80"
JFL,2025-10-09,448.8,457.6,441,442.3,0.52 %,"7,832.00","3,519,242.30"
JFL,2025-10-08,440.1,449,426,440,-1.79 %,"8,130.00","3,558,696.80"
JFL,2025-10-07,450,459,443,448,-0.88 %,"2,396.00","1,070,825.00"
JFL,2025-09-28,457.8,460,452,452,0.69 %,"2,722.00","1,242,550.00"
JFL,2025-09-25,446,451,446,448.9,-0.69 %,"2,036.00","912,481.00"
JFL,2025-09-24,461,463,449,452,0.00 %,"6,043.00","2,740,907.20"
JFL,2025-09-23,445.7,469,445.7,452,3.19 %,"13,623.00","6,233,904.90"
JFL,2025-09-21,403,441,395,438.02,8.77 %,"22,030.00","9,331,918.00"
JFL,2025-09-18,436,436,402.7,402.7,-9.15 %,"1,531.00","622,876.00"
JFL,2025-09-08,442,445,441,443.26,-0.99 %,"7,414.00","3,280,867.10"
JFL,2025-09-07,455.6,455.6,445.5,447.71,0.22 %,"9,023.00","4,072,593.50"
JFL,2025-09-04,450,451,440.1,446.73,0.25 %,"10,349.00","4,595,281.60"
JFL,2025-09-03,458.7,458.7,443,445.6,-0.97 %,"10,067.00","4,505,719.60"
JFL,2025-09-02,460,465,449.5,449.97,-2.09 %,"20,718.00","9,374,671.70"
JFL,2025-09-01,457,461,456.5,459.59,0.62 %,"9,036.00","4,142,081.40"
JFL,2025-08-31,465,465.9,456,456.77,-2.41 %,"13,361.00","6,157,653.20"
JFL,2025-08-28,480,485,467,468.03,-1.88 %,"10,725.00","5,074,284.00"
JFL,2025-08-27,465,479.9,461,476.99,2.66 %,"9,444.00","4,462,386.30"
JFL,2025-08-26,465,470.9,464,464.64,-0.09 %,"11,089.00","5,163,392.40"
JFL,2025-08-25,470,470,462,465.06,-0.06 %,"8,860.00","4,113,215.40"
JFL,2025-08-24,477.9,477.9,465,465.32,-0.74 %,"6,871.00","3,215,900.30"
JFL,2025-08-21,470,475,466.1,468.78,-0.27 %,"10,365.00","4,866,298.00"
JFL,2025-08-20,476,479.1,469,470.05,-1.11 %,"17,249.00","8,141,673.30"
JFL,2025-08-19,478,480,471.1,475.31,-0.40 %,"11,179.00","5,322,267.20"
JFL,2025-08-18,477,479.5,471.2,477.21,0.24 %,"14,750.00","7,019,921.00"
JFL,2025-08-17,470,495,469,476.09,-0.43 %,"17,471.00","8,393,335.90"
JFL,2025-08-14,490,490,475.1,478.13,-1.18 %,"14,544.00","6,981,077.70"
JFL,2025-08-13,487,495.9,482.5,483.83,-0.49 %,"12,160.00","5,927,705.00"
JFL,2025-08-12,505,505,485.5,486.21,-1.83 %,"18,776.00","9,155,362.00"
JFL,2025-08-11,502,510,494,495.28,-1.35 %,"15,757.00","7,863,351.70"
JFL,2025-08-07,505,506.9,500,502.08,0.68 %,"18,411.00","9,246,614.10"
JFL,2025-08-06,500.5,510,495.1,498.67,-1.19 %,"16,159.00","8,109,896.80"
JFL,2025-08-05,515,518,504,504.69,-1.35 %,"13,025.00","6,601,894.80"
JFL,2025-08-04,524,525,507,511.6,-1.42 %,"29,175.00","14,947,140.00"
JFL,2025-08-03,526.7,532,518,518.95,-0.68 %,"43,992.00","22,957,284.70"
JFL,2025-07-31,517,535,510,522.51,1.08 %,"56,093.00","29,377,242.10"
JFL,2025-07-30,539.8,539.8,515,516.93,-2.34 %,"29,418.00","15,350,250.70"
JFL,2025-07-29,536,546,526,529.33,-1.22 %,"37,778.00","20,271,419.80"
JFL,2025-07-28,520,539.9,511,535.86,2.28 %,"49,460.00","25,869,658.70"
JFL,2025-07-27,543,543,520.2,523.92,-3.36 %,"69,716.00","37,013,141.70"
JFL,2025-07-24,552.1,558,535,542.14,0.15 %,"62,857.00","34,051,029.30"
JFL,2025-07-23,520.9,552.8,515,541.33,5.91 %,"125,596.00","66,804,511.20"
JFL,2025-07-22,508.9,517,501,511.13,1.53 %,"64,085.00","32,726,120.20"
JFL,2025-07-21,502,510,499,503.43,0.15 %,"47,909.00","24,099,769.50"
JFL,2025-07-20,520,524,500,502.66,-2.72 %,"68,856.00","35,400,156.80"
JFL,2025-07-17,500,520,500,516.72,2.55 %,"50,424.00","25,987,250.80"
JFL,2025-07-16,513,513.1,503,503.87,0.15 %,"32,977.00","16,756,096.10"
JFL,2025-07-15,502,510,500,503.12,2.09 %,"27,666.00","13,963,854.80"
JFL,2025-07-14,500,507,492,492.84,-1.94 %,"15,816.00","7,875,979.40"
JFL,2025-07-13,506.4,523,501.1,502.6,1.22 %,"32,541.00","16,566,509.30"
JFL,2025-07-10,495,507.9,495,496.55,-0.66 %,"25,062.00","12,524,066.30"
JFL,2025-07-09,501,505,495.6,499.86,-0.40 %,"14,175.00","7,069,682.30"
JFL,2025-07-08,494,509.9,485.1,501.89,1.40 %,"32,916.00","16,474,753.30"
JFL,2025-07-07,519,521,492.1,494.96,-4.36 %,"40,462.00","20,325,242.40"
JFL,2025-07-06,494.1,535.5,494.1,517.52,4.91 %,"90,353.00","46,465,234.40"
JFL,2025-07-03,475,504,468,493.32,5.19 %,"83,872.00","41,278,117.40"
JFL,2025-07-02,457,474.3,457,469,1.98 %,"17,696.00","8,281,613.00"
JFL,2025-07-01,468,468,456,459.88,0.17 %,"10,045.00","4,615,578.30"
JFL,2025-06-30,465.1,468,458.1,459.09,-0.39 %,"4,718.00","2,177,862.40"
JFL,2025-06-29,454,464,451.1,460.9,1.12 %,"12,295.00","5,643,929.50"
JFL,2025-06-26,468,468,455,455.79,-0.67 %,"13,707.00","6,270,179.30"
JFL,2025-06-25,462,462,455.5,458.88,-0.45 %,"10,044.00","4,609,995.60"
JFL,2025-06-24,467,475,460,460.95,-1.08 %,"8,484.00","3,924,219.10"
JFL,2025-06-23,460,471,458.1,465.99,1.02 %,"13,932.00","6,489,419.00"
JFL,2025-06-22,469,469,460,461.3,-0.21 %,"12,078.00","5,593,835.70"
JFL,2025-06-19,465,472,461.1,462.27,-0.72 %,"17,906.00","8,325,726.60"
JFL,2025-06-18,481.4,481.4,463.1,465.64,-1.35 %,"19,597.00","9,169,787.00"
JFL,2025-06-17,466,484.4,466,472.01,-0.64 %,"16,223.00","7,679,920.40"
JFL,2025-06-16,476,485,471,475.05,-0.18 %,"17,315.00","8,241,678.20"
JFL,2025-06-15,485,490,475,475.93,-1.41 %,"17,024.00","8,149,491.00"
JFL,2025-06-12,470.5,494,469.3,482.75,0.82 %,"27,658.00","13,467,378.10"
JFL,2025-06-11,500,501,477,478.83,-2.35 %,"25,481.00","12,462,223.60"
JFL,2025-06-10,467,492,460,490.37,6.91 %,"45,709.00","22,052,110.30"
JFL,2025-06-09,448,465,448,458.66,0.54 %,"9,127.00","4,193,306.20"
JFL,2025-06-08,470,470,455,456.18,-1.30 %,"18,127.00","8,311,547.40"
JFL,2025-06-05,472,472,460,462.2,-0.21 %,"16,298.00","7,563,104.20"
JFL,2025-06-04,466,475,460.1,463.17,-1.30 %,"10,351.00","4,804,145.60"
JFL,2025-06-03,478,479,469,469.26,-1.19 %,"8,815.00","4,158,674.40"
JFL,2025-06-02,477.7,483,470,474.92,1.40 %,"9,427.00","4,486,677.20"
JFL,2025-05-28,484,484,465,468.38,-1.30 %,"14,354.00","6,751,845.70"
JFL,2025-05-27,477.9,482,468.5,474.53,-0.71 %,"7,785.00","3,703,293.50"
JFL,2025-05-26,487.5,495,477,477.93,-0.05 %,"10,890.00","5,259,023.60"
JFL,2025-05-25,490,490,476,478.19,-1.16 %,"7,619.00","3,660,568.30"
JFL,2025-05-22,483,496.9,482.2,483.79,-1.25 %,"14,162.00","6,917,673.70"
JFL,2025-05-21,497.8,514.8,489,489.9,0.36 %,"39,551.00","19,678,598.70"
JFL,2025-05-20,476,490,470,488.12,2.44 %,"17,814.00","8,602,276.50"
JFL,2025-05-19,475.5,479,467,476.48,2.13 %,"12,207.00","5,796,243.50"
JFL,2025-05-18,463.5,481.4,463.5,466.55,-0.82 %,"10,473.00","4,930,639.40"
JFL,2025-05-15,470,485,469.5,470.39,-1.18 %,"10,715.00","5,071,590.00"
JFL,2025-05-14,475,500.1,465.5,476.02,-0.53 %,"27,625.00","13,315,376.60"
JFL,2025-05-13,480.1,486,475.1,478.56,-1.79 %,"17,717.00","8,497,966.60"
JFL,2025-05-11,510,511,485,487.3,-2.79 %,"45,106.00","22,352,452.00"
JFL,2025-05-08,485.6,515,461,501.29,5.28 %,"61,914.00","30,591,314.90"
JFL,2025-05-07,435,478,435,476.15,8.99 %,"42,330.00","19,403,423.90"
JFL,2025-05-06,445,445,435,436.87,-0.32 %,"17,891.00","7,835,447.90"
JFL,2025-05-05,449,450,437,438.27,-1.86 %,"20,076.00","8,864,860.20"
JFL,2025-05-04,457.2,465,445,446.57,-0.39 %,"18,301.00","8,236,734.20"
JFL,2025-04-30,469.6,469.6,447,448.3,-2.64 %,"20,143.00","9,125,314.60"
JFL,2025-04-29,464,469,460,460.46,-0.76 %,"15,494.00","7,166,191.60"
JFL,2025-04-28,479.7,480,463,463.97,-1.35 %,"27,385.00","12,854,832.70"
JFL,2025-04-27,460.6,484,460.6,470.33,0.07 %,"34,245.00","16,057,874.90"
JFL,2025-04-24,477.5,479,450,469.98,-3.53 %,"89,512.00","42,010,161.50"
JFL,2025-04-23,500,500,485,487.16,-1.53 %,"26,933.00","13,191,167.30"
JFL,2025-04-22,491,499,491,494.72,-0.80 %,"26,888.00","13,302,476.00"
JFL,2025-04-21,504,506.8,495,498.69,-0.53 %,"21,215.00","10,615,423.80"
JFL,2025-04-20,516,516,500,501.33,-1.11 %,"28,441.00","14,340,496.60"
JFL,2025-04-17,509,513,502,506.95,0.35 %,"42,656.00","21,626,520.20"
JFL,2025-04-16,507,516,501.6,505.16,-0.46 %,"16,253.00","8,213,323.50"
JFL,2025-04-15,505,513.9,505,507.51,1.15 %,"24,907.00","12,682,410.10"
JFL,2025-04-13,502,511,500,501.76,-1.10 %,"32,583.00","16,450,857.00"
JFL,2025-04-10,521,521,505,507.33,-1.09 %,"24,043.00","12,221,083.00"
JFL,2025-04-09,513,521,510.2,512.92,0.35 %,"21,868.00","11,231,103.30"
JFL,2025-04-08,510,513,500,511.12,1.18 %,"18,398.00","9,315,556.40"
JFL,2025-04-07,511.2,515.8,503.8,505.14,-1.74 %,"23,480.00","11,888,588.60"
JFL,2025-04-03,525.2,532.2,511,514.07,-1.82 %,"25,057.00","13,031,769.10"
