Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
KBL,2025-12-11,179,179.9,177.7,179,-0.28 %,"130,691.00","23,343,229.30"
KBL,2025-12-10,181,181,178,179.5,0.28 %,"91,697.00","16,391,728.70"
KBL,2025-12-09,179,180.9,178.5,179,0.00 %,"136,155.00","24,409,291.10"
KBL,2025-12-08,178.6,181.7,178.3,179,-0.67 %,"71,849.00","12,895,379.90"
KBL,2025-12-07,180,181.5,179,180.2,0.11 %,"66,743.00","12,001,816.00"
KBL,2025-12-03,185,185,180,180,-1.64 %,"203,507.00","36,817,419.80"
KBL,2025-12-02,182.2,185,182.2,183,-0.81 %,"104,348.00","19,155,327.10"
KBL,2025-12-01,185,186.9,183,184.5,-0.75 %,"108,321.00","19,972,041.00"
KBL,2025-11-30,191,192,185.5,185.9,-2.16 %,"193,793.00","36,315,354.40"
KBL,2025-11-27,188,191,184,190,2.21 %,"264,626.00","49,941,633.40"
KBL,2025-11-26,183,193,182,185.9,1.58 %,"161,850.00","30,009,274.60"
KBL,2025-11-25,185.5,186,182.1,183,-1.35 %,"111,113.00","20,404,685.80"
KBL,2025-11-24,181,186.5,181,185.5,2.66 %,"180,214.00","33,126,722.40"
KBL,2025-11-23,178,181,177.1,180.7,2.38 %,"137,485.00","24,663,778.70"
KBL,2025-11-20,176.5,178.9,176,176.5,-0.56 %,"82,544.00","14,609,274.30"
KBL,2025-11-19,179.2,180.8,177.5,177.5,-1.11 %,"87,117.00","15,536,238.20"
KBL,2025-11-18,179.9,182,179,179.5,0.28 %,"86,784.00","15,622,198.30"
KBL,2025-11-17,178,187,178,179,0.28 %,"124,259.00","22,348,090.70"
KBL,2025-11-16,180,181.5,178,178.5,-0.89 %,"81,940.00","14,647,975.40"
KBL,2025-11-13,178.3,182.5,178.3,180.1,-0.99 %,"148,888.00","26,887,178.40"
KBL,2025-11-12,184,184,180.4,181.9,-0.66 %,"89,467.00","16,252,856.70"
KBL,2025-11-11,183,184,180,183.1,0.88 %,"106,031.00","19,262,382.40"
KBL,2025-11-10,185,185,181.5,181.5,-1.04 %,"69,802.00","12,716,576.40"
KBL,2025-11-09,185,185,182.5,183.4,-1.08 %,"78,332.00","14,345,786.30"
KBL,2025-11-06,189,189,185,185.4,-0.86 %,"95,855.00","17,847,873.30"
KBL,2025-11-05,185.9,188.2,185.2,187,0.59 %,"87,323.00","16,278,332.20"
KBL,2025-11-04,186.3,189,185.5,185.9,-1.06 %,"91,705.00","17,133,123.10"
KBL,2025-11-03,187.3,190.2,187.2,187.9,-0.58 %,"113,644.00","21,431,194.00"
KBL,2025-11-02,190.7,190.7,185,189,1.07 %,"141,890.00","26,866,211.40"
KBL,2025-10-30,186.9,188.7,184,187,0.65 %,"103,557.00","19,359,896.60"
KBL,2025-10-29,187,189,185,185.8,-0.75 %,"107,229.00","20,045,282.60"
KBL,2025-10-28,184,187.9,182,187.2,2.24 %,"99,115.00","18,502,142.90"
KBL,2025-10-26,184,184.6,180.5,183.1,-0.49 %,"67,859.00","12,431,444.20"
KBL,2025-10-19,183,185,180.2,184,1.43 %,"84,453.00","15,503,294.10"
KBL,2025-10-16,183,183,180.2,181.4,-0.11 %,"109,025.00","19,797,804.30"
KBL,2025-10-15,181.3,186,181.3,181.6,-1.84 %,"107,631.00","19,681,908.00"
KBL,2025-10-14,187.9,187.9,184.1,185,-0.80 %,"95,242.00","17,628,836.50"
KBL,2025-10-13,188.7,188.7,180.2,186.5,0.81 %,"117,641.00","21,788,203.30"
KBL,2025-10-12,189.1,189.1,183,185,-2.12 %,"263,293.00","48,705,374.30"
KBL,2025-10-09,191,198.6,186.5,189,0.91 %,"360,402.00","68,492,456.40"
KBL,2025-10-08,189.9,190,185,187.3,-0.69 %,"292,841.00","54,613,071.10"
KBL,2025-10-07,192.1,194,188.1,188.6,-1.77 %,"399,041.00","75,814,977.80"
KBL,2025-09-28,192,193,190,192,0.89 %,"159,082.00","30,390,353.20"
KBL,2025-09-25,190,191,189,190.3,1.44 %,"218,413.00","41,510,094.30"
KBL,2025-09-24,197.3,197.3,186.2,187.6,-3.05 %,"388,127.00","73,533,758.50"
KBL,2025-09-23,192,193.9,189.5,193.5,1.98 %,"329,851.00","63,607,209.10"
KBL,2025-09-21,175.5,192.6,175.5,189.75,6.01 %,"914,036.00","171,968,766.60"
KBL,2025-09-18,190.5,190.5,179,179,-7.91 %,"136,694.00","24,754,146.00"
KBL,2025-09-08,197.3,198,194,194.38,-1.40 %,"245,866.00","48,038,029.80"
KBL,2025-09-07,198.9,198.9,196.6,197.13,-0.27 %,"149,669.00","29,512,594.70"
KBL,2025-09-04,197,199.5,196,197.67,0.05 %,"173,662.00","34,215,263.90"
KBL,2025-09-03,199,201.4,197,197.58,-0.11 %,"175,097.00","34,725,832.00"
KBL,2025-09-02,202,203.8,196.7,197.79,-1.85 %,"338,195.00","67,392,005.20"
KBL,2025-09-01,200.7,203.5,196.7,201.52,2.38 %,"901,547.00","179,547,063.00"
KBL,2025-08-31,200,202,196,196.83,-1.69 %,"423,341.00","83,933,401.10"
KBL,2025-08-28,204,205.4,200,200.22,-1.82 %,"388,024.00","78,202,786.70"
KBL,2025-08-27,205,205,201,203.93,1.42 %,"232,096.00","47,074,870.10"
KBL,2025-08-26,205,205,200.5,201.07,-0.16 %,"137,337.00","27,643,653.50"
KBL,2025-08-25,202,202.4,200,201.39,0.35 %,"155,440.00","31,241,017.60"
KBL,2025-08-24,202.9,203.9,200,200.69,-0.57 %,"223,664.00","44,940,327.70"
KBL,2025-08-21,203,203,201,201.85,-0.14 %,"131,855.00","26,602,141.80"
KBL,2025-08-20,204,204,201,202.14,-0.60 %,"277,004.00","55,925,356.10"
KBL,2025-08-19,203,205,201,203.37,0.85 %,"349,147.00","71,002,535.70"
KBL,2025-08-18,202,204.5,201,201.65,0.11 %,"388,329.00","78,480,525.70"
KBL,2025-08-17,203.1,207,200.9,201.43,-1.71 %,"365,423.00","74,041,981.10"
KBL,2025-08-14,208,208,204,204.94,-0.49 %,"297,938.00","61,105,356.80"
KBL,2025-08-13,208.4,210.5,205.3,205.94,-1.13 %,"238,996.00","49,669,570.60"
KBL,2025-08-12,215.6,215.6,208,208.3,-1.46 %,"317,703.00","66,574,994.20"
KBL,2025-08-11,218,219.9,210.1,211.39,-2.18 %,"352,633.00","75,660,945.90"
KBL,2025-08-07,219.3,223.6,214.2,216.09,0.50 %,"963,631.00","208,034,263.00"
KBL,2025-08-06,220,220,213,215.01,-0.41 %,"198,297.00","42,734,383.00"
KBL,2025-08-05,224.8,224.8,215,215.89,-2.07 %,"286,139.00","62,510,198.50"
KBL,2025-08-04,221.6,222,216,220.45,1.43 %,"355,001.00","77,684,858.70"
KBL,2025-08-03,221,221,217,217.35,-1.40 %,"482,644.00","105,454,370.40"
KBL,2025-07-31,222.1,225,220,220.44,-1.25 %,"598,713.00","132,976,815.10"
KBL,2025-07-30,226.9,231,223,223.24,-1.60 %,"656,795.00","148,080,364.80"
KBL,2025-07-29,227.8,232.5,223.4,226.87,1.54 %,"1,521,165.00","348,689,627.10"
KBL,2025-07-28,226,226,219,223.42,0.53 %,"687,491.00","151,857,942.30"
KBL,2025-07-27,227,230,221.5,222.25,-1.66 %,"697,754.00","156,949,846.70"
KBL,2025-07-24,230,231,224,226.01,-1.17 %,"542,864.00","122,893,455.20"
KBL,2025-07-23,230,233.5,223,228.69,0.86 %,"1,025,484.00","235,168,144.20"
KBL,2025-07-22,223.7,230.5,218,226.75,3.38 %,"1,358,885.00","303,514,865.40"
KBL,2025-07-21,218,221,215.2,219.33,0.99 %,"530,961.00","115,676,892.60"
KBL,2025-07-20,225,225,216.8,217.19,-2.07 %,"1,127,481.00","250,115,854.10"
KBL,2025-07-17,224,226,220.1,221.77,0.91 %,"684,458.00","152,579,157.70"
KBL,2025-07-16,223,224,219,219.77,-0.19 %,"620,350.00","137,561,996.80"
KBL,2025-07-15,215.9,221,214,220.19,2.71 %,"581,356.00","126,622,702.70"
KBL,2025-07-14,221,221.5,213.6,214.39,-2.70 %,"713,970.00","154,628,242.20"
KBL,2025-07-13,223,230,219.5,220.34,0.78 %,"980,734.00","218,063,007.30"
KBL,2025-07-10,215,221.3,212.6,218.63,2.98 %,"833,972.00","181,822,177.90"
KBL,2025-07-09,206.2,213,206,212.31,2.18 %,"238,016.00","49,976,935.90"
KBL,2025-07-08,209.9,209.9,206.2,207.78,-0.51 %,"103,472.00","21,491,376.50"
KBL,2025-07-07,214.1,214.1,208.6,208.84,-0.54 %,"319,414.00","67,118,717.80"
KBL,2025-07-06,208,212.5,208,209.98,-0.32 %,"319,123.00","67,199,196.80"
KBL,2025-07-03,212,213,209.3,210.65,-0.95 %,"198,287.00","41,849,414.80"
KBL,2025-07-02,208,213.1,208,212.67,1.33 %,"326,145.00","68,714,596.00"
KBL,2025-07-01,209,211,206,209.88,0.76 %,"181,826.00","37,908,902.10"
KBL,2025-06-30,210.3,210.3,204.8,208.29,0.98 %,"252,146.00","52,234,744.80"
KBL,2025-06-29,200.1,207.3,200,206.26,2.92 %,"254,031.00","51,784,147.50"
KBL,2025-06-26,203,204.5,200,200.4,-0.61 %,"148,171.00","29,839,838.00"
KBL,2025-06-25,203.9,203.9,201,201.64,-0.17 %,"155,468.00","31,449,702.00"
KBL,2025-06-24,203.8,205.7,201.6,201.99,0.11 %,"127,679.00","25,984,787.30"
KBL,2025-06-23,202,203.9,199,201.77,-0.06 %,"232,134.00","46,590,696.10"
KBL,2025-06-22,203.3,205,200,201.89,-0.87 %,"258,603.00","52,200,832.40"
KBL,2025-06-19,207,207,202.1,203.66,-0.43 %,"218,001.00","44,370,217.30"
KBL,2025-06-18,205,206,204,204.53,-0.10 %,"177,913.00","36,442,821.00"
KBL,2025-06-17,207,208.3,204,204.73,-0.72 %,"209,207.00","42,932,568.70"
KBL,2025-06-16,202,208,202,206.21,1.00 %,"258,987.00","53,407,876.20"
KBL,2025-06-15,203,207,203,204.17,-0.98 %,"395,249.00","81,042,379.90"
KBL,2025-06-12,201.5,209,201.5,206.2,0.32 %,"628,944.00","129,418,855.40"
KBL,2025-06-11,213,213,204.9,205.54,-2.91 %,"790,228.00","163,900,913.80"
KBL,2025-06-10,209,214.2,207.4,211.71,1.68 %,"311,581.00","65,647,919.90"
KBL,2025-06-09,209,211,207.5,208.22,-0.62 %,"205,988.00","43,014,912.70"
KBL,2025-06-08,210,217,208,209.52,-1.60 %,"496,424.00","104,179,633.90"
KBL,2025-06-05,214,223.1,210,212.93,-0.30 %,"553,708.00","119,361,852.60"
KBL,2025-06-04,213.5,214.9,210,213.57,0.00 %,"380,707.00","80,795,911.10"
KBL,2025-06-03,225.9,225.9,212.3,213.56,-3.58 %,"513,600.00","110,955,675.00"
KBL,2025-06-02,226.5,231,219.7,221.5,-0.26 %,"800,057.00","179,183,465.60"
KBL,2025-05-28,214.1,224,213,222.07,3.02 %,"985,045.00","216,074,148.60"
