Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
KDL,2025-09-18,973.4,973.4,954,954,-3.95 %,40.00,"38,354.00"
KDL,2025-09-08,1016.2,1020,985,993.2,-2.27 %,"1,075.00","1,081,977.00"
KDL,2025-09-07,1018,1032,1011.1,1016.22,-0.22 %,655.00,"667,300.50"
KDL,2025-09-04,1031,1031.1,1000,1018.41,-2.09 %,"3,670.00","3,723,439.70"
KDL,2025-09-03,1050,1055,1038,1040.1,-1.31 %,"2,257.00","2,361,847.00"
KDL,2025-09-02,1070,1070,1052.1,1053.91,-1.20 %,"1,689.00","1,784,551.10"
KDL,2025-09-01,1068,1072,1057,1066.72,0.21 %,908.00,"964,651.70"
KDL,2025-08-31,1082.05,1082.05,1063.2,1064.47,-1.62 %,"1,775.00","1,894,985.80"
KDL,2025-08-28,1080.1,1108.8,1080.1,1082.05,-0.47 %,"2,791.00","3,048,285.00"
KDL,2025-08-27,1089,1110,1068.2,1087.15,-0.26 %,"3,055.00","3,290,704.80"
KDL,2025-08-26,1070.6,1101.9,1070.6,1089.93,0.89 %,"2,578.00","2,801,250.30"
KDL,2025-08-25,1070,1085,1063.1,1080.3,0.64 %,"1,030.00","1,108,577.00"
KDL,2025-08-24,1080,1088,1070,1073.48,-0.65 %,"1,717.00","1,848,359.70"
KDL,2025-08-21,1100,1110,1078,1080.49,-1.85 %,"1,295.00","1,409,237.00"
KDL,2025-08-20,1085,1132,1075,1100.83,0.99 %,"3,834.00","4,216,768.10"
KDL,2025-08-19,1100,1100,1085.2,1090,-0.41 %,"1,410.00","1,540,811.00"
KDL,2025-08-18,1100,1100,1088,1094.5,-0.62 %,"2,216.00","2,421,431.80"
KDL,2025-08-17,1096,1102.9,1083,1101.3,0.94 %,"1,403.00","1,537,055.10"
KDL,2025-08-14,1085,1100,1080,1091.07,0.97 %,"3,463.00","3,768,271.80"
KDL,2025-08-13,1080,1100,1079,1080.55,-0.50 %,"1,416.00","1,534,215.00"
KDL,2025-08-12,1079,1099,1079,1085.98,-0.73 %,"2,303.00","2,506,905.50"
KDL,2025-08-11,1095.1,1100.1,1090,1094,-1.83 %,"2,580.00","2,827,107.80"
KDL,2025-08-07,1093,1121.9,1091.1,1114.38,1.85 %,"1,183.00","1,311,193.70"
KDL,2025-08-06,1100,1115,1080,1094.12,-1.33 %,"2,870.00","3,157,661.00"
KDL,2025-08-05,1097,1140,1097,1108.92,-0.87 %,"5,853.00","6,482,164.50"
KDL,2025-08-04,1112,1120,1098,1118.63,0.95 %,"3,240.00","3,588,639.00"
KDL,2025-08-03,1117.1,1140,1100,1108.07,-1.80 %,"6,083.00","6,776,068.30"
KDL,2025-07-31,1140,1155,1115,1128.36,-1.09 %,"4,309.00","4,881,507.00"
KDL,2025-07-30,1175,1175.2,1135,1140.76,-2.83 %,"6,066.00","7,025,544.50"
KDL,2025-07-29,1160,1179.8,1160,1174,1.44 %,"7,176.00","8,394,541.40"
KDL,2025-07-28,1129.4,1168,1129.4,1157.37,0.44 %,"7,628.00","8,758,908.40"
KDL,2025-07-27,1179,1185,1150,1152.35,-0.78 %,"6,848.00","7,979,536.80"
KDL,2025-07-24,1155.2,1185,1155.2,1161.37,-1.42 %,"6,065.00","7,073,570.40"
KDL,2025-07-23,1192,1194.5,1165,1178.11,-1.23 %,"7,716.00","9,084,838.60"
KDL,2025-07-22,1165,1200,1155,1192.77,1.82 %,"8,901.00","10,513,129.60"
KDL,2025-07-21,1146,1180,1145,1171.46,0.29 %,"4,875.00","5,640,349.60"
KDL,2025-07-20,1161,1195,1150,1168.07,-1.24 %,"10,133.00","11,860,613.20"
KDL,2025-07-17,1180,1190,1130,1182.77,2.21 %,"7,125.00","8,380,405.80"
KDL,2025-07-16,1100.3,1193.4,1100.3,1157.21,3.22 %,"5,300.00","6,067,781.00"
