Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
LICN,2025-09-18,820.0,820.0,773.2,773.2,-7.49 %,830.00,"676,262.00",0.0
LICN,2025-09-08,832.0,848.0,832.0,835.8,-1.10 %,"6,640.00","5,559,742.50",0.0
LICN,2025-09-07,862.6,862.6,842.0,845.1,-0.07 %,"6,139.00","5,195,537.40",0.0
LICN,2025-09-04,855.1,855.1,845.0,845.71,-1.11 %,"8,153.00","6,915,564.60",0.0
LICN,2025-09-03,861.0,865.0,855.1,855.19,-1.00 %,"4,590.00","3,944,612.40",0.0
LICN,2025-09-02,856.0,869.0,856.0,863.79,0.48 %,"6,097.00","5,269,636.80",0.0
LICN,2025-09-01,865.0,868.9,858.1,859.66,-0.69 %,"4,745.00","4,084,338.90",0.0
LICN,2025-08-31,865.0,879.0,865.0,865.59,-0.34 %,"4,727.00","4,095,398.20",0.0
LICN,2025-08-28,879.9,879.9,868.0,868.52,-0.61 %,"7,791.00","6,795,294.10",0.0
LICN,2025-08-27,870.0,877.0,866.1,873.81,1.37 %,"8,884.00","7,734,274.90",0.0
LICN,2025-08-26,865.0,867.5,860.0,861.96,-0.15 %,"4,930.00","4,251,978.40",0.0
LICN,2025-08-25,859.0,869.5,853.0,863.27,0.40 %,"5,078.00","4,377,114.60",0.0
LICN,2025-08-24,850.2,874.9,850.2,859.81,-0.42 %,"7,902.00","6,794,383.70",0.0
LICN,2025-08-21,866.0,870.0,848.7,863.46,-0.31 %,"16,610.00","14,210,860.70",0.0
LICN,2025-08-20,867.0,875.0,866.0,866.11,0.02 %,"4,674.00","4,054,947.40",0.0
LICN,2025-08-19,871.9,875.0,865.0,865.97,-0.16 %,"6,723.00","5,836,281.70",0.0
LICN,2025-08-18,855.3,870.9,855.1,867.34,-0.02 %,"7,477.00","6,479,640.40",0.0
LICN,2025-08-17,870.0,874.0,866.5,867.48,0.01 %,"12,066.00","10,493,562.30",0.0
LICN,2025-08-14,868.6,878.9,866.0,867.41,-0.14 %,"12,051.00","10,476,841.40",0.0
LICN,2025-08-13,865.2,880.0,860.1,868.66,-0.14 %,"8,826.00","7,698,485.90",2.0
LICN,2025-08-12,873.0,890.0,868.0,869.85,-1.71 %,"19,009.00","16,571,515.80",2.0
LICN,2025-08-11,908.0,909.0,876.0,884.96,-0.77 %,"10,882.00","9,661,106.50",2.0
LICN,2025-08-07,900.0,900.0,885.1,891.86,0.04 %,"11,459.00","10,207,165.90",2.0
LICN,2025-08-06,890.0,909.9,888.0,891.51,-0.45 %,"15,389.00","13,744,571.00",2.0
LICN,2025-08-05,919.0,920.0,895.0,895.57,-0.89 %,"17,668.00","15,917,229.20",2.0
LICN,2025-08-04,924.0,924.0,900.0,903.62,-0.36 %,"17,156.00","15,556,088.10",2.0
LICN,2025-08-03,938.0,938.0,903.0,906.88,-1.48 %,"17,692.00","16,114,945.20",2.0
