Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
LLBS,2025-12-11,1033.9,1033.9,1033.9,1033.9,-2.00 %,"50.00","51,695.00"
LLBS,2025-12-10,960.5,1055,960,1055,8.76 %,"4,048.00","3,944,324.00"
LLBS,2025-12-09,980,982,963,970,-1.24 %,"1,088.00","1,058,709.00"
LLBS,2025-12-08,1000,1000,981,982.2,-1.88 %,"472.00","465,157.00"
LLBS,2025-12-07,995,1001,985,1001,-0.40 %,"677.00","668,130.60"
LLBS,2025-12-03,1006,1006,986,1005,-2.04 %,"470.00","468,393.00"
LLBS,2025-12-02,1050,1050,1014.3,1025.9,-2.30 %,"227.00","233,095.00"
LLBS,2025-12-01,1010,1050,986.2,1050,3.96 %,"2,933.00","2,947,563.00"
LLBS,2025-11-30,980,1036,980,1010,1.20 %,"3,216.00","3,257,261.20"
LLBS,2025-11-27,1024,1024,976,998,-1.67 %,"363.00","362,422.00"
LLBS,2025-11-26,995,1014.9,971,1014.9,2.21 %,"1,771.00","1,761,127.60"
LLBS,2025-11-25,996,1015,974.9,993,-0.30 %,"532.00","525,257.40"
LLBS,2025-11-24,977,1017,951,996,3.88 %,"2,607.00","2,541,500.70"
LLBS,2025-11-23,938,958.8,920,958.8,4.22 %,"2,567.00","2,412,831.30"
LLBS,2025-11-20,929.9,935,920,920,-3.04 %,"781.00","719,849.10"
LLBS,2025-11-19,933,948.8,913,948.8,-0.13 %,"503.00","464,018.90"
LLBS,2025-11-18,920,955.7,920,950,1.39 %,"171.00","162,001.00"
LLBS,2025-11-17,935,937.3,918.6,937,1.96 %,"2,199.00","2,055,945.00"
LLBS,2025-11-16,900,919,900,919,1.96 %,"275.00","250,577.80"
LLBS,2025-11-13,898,920,898,901.3,-1.60 %,"368.00","332,546.80"
LLBS,2025-11-12,925,926.6,911.4,916,-1.51 %,"400.00","366,510.00"
LLBS,2025-11-11,930,948,930,930,-1.60 %,"545.00","510,638.00"
LLBS,2025-11-10,961,961,945.1,945.1,-1.55 %,"678.00","649,579.90"
LLBS,2025-11-09,971,971,960,960,-1.13 %,"90.00","86,452.00"
LLBS,2025-11-06,975,975,970.2,971,-1.02 %,"1,768.00","1,716,823.00"
LLBS,2025-11-05,990,990,960.1,981,-0.90 %,"210.00","203,743.20"
LLBS,2025-11-04,997,1005.7,975.1,989.9,-1.01 %,"638.00","628,601.00"
LLBS,2025-11-03,1020,1020,1000,1000,-3.47 %,"140.00","142,121.00"
LLBS,2025-11-02,990,1055.7,990,1036,4.23 %,"1,524.00","1,567,926.80"
LLBS,2025-10-30,979,994,959.5,994,1.95 %,"1,236.00","1,215,082.90"
LLBS,2025-10-29,940,1016,940,975,1.67 %,"1,102.00","1,072,481.00"
LLBS,2025-10-28,917,975,907.5,959,3.57 %,"1,468.00","1,381,395.00"
LLBS,2025-10-26,927,927,908.5,925.9,1.86 %,"280.00","254,744.00"
LLBS,2025-10-19,892.5,914.9,865,909,3.89 %,"1,041.00","918,438.90"
LLBS,2025-10-16,905,905,875,875,-3.88 %,"1,186.00","1,058,486.00"
LLBS,2025-10-15,920,920,910.3,910.3,-1.99 %,"285.00","260,804.00"
LLBS,2025-10-14,917.1,928.8,910,928.8,-0.02 %,"1,493.00","1,363,948.60"
LLBS,2025-10-13,948.6,986.8,929,929,-0.11 %,"730.00","686,009.20"
LLBS,2025-10-12,948,948,930,930,-3.63 %,"613.00","571,615.40"
LLBS,2025-10-09,977.1,977.1,950.7,965,0.73 %,"967.00","923,884.70"
LLBS,2025-10-08,960,965.2,941.1,958,-0.73 %,"1,059.00","1,003,825.40"
LLBS,2025-10-07,982,982,965,965,-2.82 %,"582.00","563,398.70"
LLBS,2025-09-28,986,993,975,993,1.53 %,"330.00","324,026.00"
LLBS,2025-09-25,985.5,985.5,975,978,0.31 %,"237.00","231,394.00"
LLBS,2025-09-24,994.1,994.1,975,975,-1.92 %,"424.00","413,965.00"
LLBS,2025-09-23,997.7,1000,990,994.1,1.37 %,"717.00","714,569.50"
LLBS,2025-09-21,969,1019,925,980.69,-0.74 %,"1,384.00","1,332,070.50"
LLBS,2025-09-18,971,988,971,988,0.41 %,20.00,"19,590.00"
LLBS,2025-09-08,989,1005,927,984,-0.51 %,"2,625.00","2,506,108.60"
LLBS,2025-09-07,990,1005,989,989,-0.26 %,740.00,"736,012.00"
LLBS,2025-09-04,981.2,995,981.2,991.61,-0.24 %,"1,914.00","1,885,875.30"
LLBS,2025-09-03,980,999.6,980,994,-0.60 %,778.00,"772,891.10"
LLBS,2025-09-02,1006.1,1010,1000,1000,-0.66 %,"1,770.00","1,775,779.00"
LLBS,2025-09-01,982,1033,982,1006.65,0.56 %,650.00,"653,510.60"
LLBS,2025-08-31,1019,1020,1000,1001.05,-3.30 %,"4,381.00","4,425,410.50"
LLBS,2025-08-28,1082,1082,1035,1035.18,-2.42 %,920.00,"959,099.90"
LLBS,2025-08-27,1049,1060.8,1040,1060.8,1.65 %,486.00,"509,973.50"
LLBS,2025-08-26,1045,1049,1030,1043.57,-0.70 %,"1,200.00","1,245,590.00"
LLBS,2025-08-25,1045,1059,1045,1050.88,0.56 %,752.00,"787,971.00"
LLBS,2025-08-24,1073,1073,1040,1045,-1.77 %,630.00,"663,557.00"
LLBS,2025-08-21,1032,1071,1021.2,1063.82,1.06 %,"1,926.00","1,993,835.40"
LLBS,2025-08-20,1080,1080,1040,1052.61,-0.67 %,"1,298.00","1,368,817.00"
LLBS,2025-08-19,1037,1070,1037,1059.76,2.20 %,"1,629.00","1,722,168.20"
LLBS,2025-08-18,1035.1,1050,1022,1036.9,0.67 %,"2,263.00","2,344,304.50"
LLBS,2025-08-17,1065,1065,1030,1030,-2.73 %,"1,724.00","1,788,856.30"
LLBS,2025-08-14,1075.01,1093,1055,1058.91,-1.50 %,913.00,"969,824.00"
LLBS,2025-08-13,1100,1101.6,1073,1075.01,-0.91 %,"1,161.00","1,265,088.40"
LLBS,2025-08-12,1133,1154,1081.2,1084.87,-6.14 %,"3,126.00","3,437,993.70"
LLBS,2025-08-11,1203,1203,1136,1155.82,-2.13 %,954.00,"1,107,699.00"
LLBS,2025-08-07,1205,1205,1180,1181.01,-1.25 %,"4,087.00","4,851,283.10"
LLBS,2025-08-06,1184,1199,1178.4,1195.97,2.10 %,"3,412.00","4,061,698.20"
LLBS,2025-08-05,1176,1198,1150,1171.35,1.53 %,"2,340.00","2,731,246.00"
LLBS,2025-08-04,1170,1201,1140,1153.7,-0.14 %,"2,265.00","2,633,520.40"
LLBS,2025-08-03,1166,1180,1151,1155.35,-1.35 %,"1,296.00","1,502,745.50"
LLBS,2025-07-31,1183,1206,1165.5,1171.19,-0.99 %,"2,977.00","3,520,011.20"
LLBS,2025-07-30,1220,1225,1171.5,1182.89,-4.63 %,"6,667.00","8,018,214.90"
LLBS,2025-07-29,1216,1280,1216,1240.35,1.31 %,"6,596.00","8,276,649.70"
LLBS,2025-07-28,1248,1248,1210,1224.31,-1.81 %,"6,002.00","7,342,013.40"
