Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
MANDU,2025-09-18,830.1,830.1,782.1,782.1,-5.85 %,260.00,"205,107.00",0.0
MANDU,2025-09-08,831.0,837.4,830.0,830.7,-1.22 %,615.00,"512,534.50",0.0
MANDU,2025-09-07,846.3,850.0,840.0,840.97,-1.63 %,"2,166.00","1,825,700.00",0.0
MANDU,2025-09-04,860.0,860.0,846.4,854.9,-0.60 %,"1,056.00","900,572.50",0.0
MANDU,2025-09-03,840.0,862.0,840.0,860.04,1.42 %,"2,878.00","2,440,368.50",0.0
MANDU,2025-09-02,855.0,855.0,846.0,848.04,-1.06 %,"1,327.00","1,126,504.00",0.0
MANDU,2025-09-01,845.0,860.0,845.0,857.1,0.99 %,"2,288.00","1,946,590.90",0.0
MANDU,2025-08-31,851.5,856.0,845.0,848.7,-0.23 %,"2,263.00","1,921,909.90",0.0
MANDU,2025-08-28,861.0,861.0,850.0,850.69,-1.23 %,"5,276.00","4,495,600.20",0.0
MANDU,2025-08-27,869.0,869.0,847.0,861.25,0.83 %,"1,942.00","1,657,113.60",0.0
MANDU,2025-08-26,860.0,867.5,851.6,854.15,0.42 %,"2,214.00","1,890,089.60",0.0
MANDU,2025-08-25,849.0,857.0,836.1,850.55,0.10 %,"3,353.00","2,832,954.40",0.0
MANDU,2025-08-24,844.0,855.0,843.6,849.66,0.06 %,"6,587.00","5,591,159.10",0.0
MANDU,2025-08-21,850.0,862.0,848.0,849.14,-0.73 %,"4,504.00","3,838,775.90",0.0
MANDU,2025-08-20,862.0,879.0,855.0,855.35,-0.79 %,"10,689.00","9,158,946.50",0.0
MANDU,2025-08-19,876.0,876.0,859.0,862.19,-0.44 %,"10,837.00","9,339,378.50",0.0
MANDU,2025-08-18,855.5,870.0,855.5,866.02,-0.47 %,"5,249.00","4,535,292.10",0.0
MANDU,2025-08-17,878.0,883.0,868.0,870.08,-2.11 %,"4,414.00","3,857,771.60",0.0
MANDU,2025-08-14,875.1,895.0,875.1,888.82,0.22 %,"2,379.00","2,118,402.10",0.0
MANDU,2025-08-13,890.0,900.0,882.0,886.91,-0.21 %,"2,449.00","2,176,908.00",0.0
MANDU,2025-08-12,901.0,901.0,887.0,888.8,-1.39 %,"3,108.00","2,765,246.00",0.0
MANDU,2025-08-11,903.0,915.0,895.0,901.29,-0.19 %,"7,417.00","6,713,585.70",0.0
MANDU,2025-08-07,895.1,910.0,895.1,903.0,-0.12 %,"3,484.00","3,139,476.20",0.0
MANDU,2025-08-06,900.0,906.0,891.0,904.07,-0.33 %,"4,241.00","3,824,090.30",0.0
MANDU,2025-08-05,916.0,916.3,905.0,907.02,-0.47 %,"2,347.00","2,130,065.80",0.0
MANDU,2025-08-04,905.0,920.0,902.2,911.3,0.36 %,"4,151.00","3,776,624.90",0.0
MANDU,2025-08-03,905.0,919.0,895.0,908.02,-0.22 %,"15,735.00","14,281,543.20",0.0
MANDU,2025-07-31,911.0,926.0,900.0,910.03,-0.97 %,"10,879.00","9,912,046.40",0.0
MANDU,2025-07-30,932.0,946.0,902.5,918.99,-2.68 %,"9,335.00","8,676,097.10",0.0
MANDU,2025-07-29,940.0,955.0,938.1,944.34,0.82 %,"5,521.00","5,207,501.80",0.0
MANDU,2025-07-28,948.9,951.0,933.0,936.69,-1.50 %,"7,318.00","6,854,851.80",0.0
MANDU,2025-07-27,944.0,970.0,943.0,951.0,0.94 %,"14,645.00","13,967,565.30",0.0
MANDU,2025-07-24,934.9,948.0,932.0,942.11,0.77 %,"14,121.00","13,288,860.80",0.0
MANDU,2025-07-23,948.2,948.2,927.0,934.95,0.55 %,"8,194.00","7,648,536.40",0.0
MANDU,2025-07-22,921.1,935.0,921.0,929.86,1.67 %,"6,013.00","5,583,234.20",0.0
MANDU,2025-07-21,912.0,920.0,902.0,914.58,-0.37 %,"5,194.00","4,745,426.50",0.0
MANDU,2025-07-20,934.0,934.0,910.0,918.01,0.20 %,"8,527.00","7,854,796.30",0.0
MANDU,2025-07-17,910.0,933.0,900.0,916.14,1.40 %,"9,580.00","8,775,014.50",0.0
MANDU,2025-07-16,920.0,920.0,900.0,903.53,-0.19 %,"2,576.00","2,326,918.80",0.0
MANDU,2025-07-15,881.1,918.0,881.1,905.25,1.04 %,"4,159.00","3,773,276.50",0.0
MANDU,2025-07-14,909.0,910.0,893.1,895.96,-2.29 %,"3,586.00","3,227,116.90",0.0
MANDU,2025-07-13,950.0,969.0,912.0,916.94,-1.59 %,"7,316.00","6,803,716.50",0.0
MANDU,2025-07-10,885.0,945.0,866.6,931.78,6.76 %,"25,343.00","23,265,226.10",0.0
MANDU,2025-07-09,865.6,879.9,865.6,872.78,0.43 %,"3,772.00","3,289,949.70",0.0
MANDU,2025-07-08,865.0,883.3,865.0,869.04,-1.21 %,"1,150.00","1,003,679.00",0.0
MANDU,2025-07-07,882.0,885.0,860.7,879.67,0.27 %,"3,081.00","2,692,755.50",0.0
MANDU,2025-07-06,860.2,885.3,860.2,877.28,1.93 %,"7,647.00","6,709,658.10",0.0
MANDU,2025-07-03,850.2,874.0,850.2,860.65,-0.30 %,"5,066.00","4,377,442.00",0.0
