Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
MBL,2025-12-11,213.7,217,213.7,215,0.00 %,"27,848.00","5,996,896.50"
MBL,2025-12-10,215,217,214,215,0.19 %,"21,989.00","4,718,632.40"
MBL,2025-12-09,218,218,214.2,214.6,-0.51 %,"26,879.00","5,790,172.10"
MBL,2025-12-08,215,219,215,215.7,-1.06 %,"60,375.00","13,105,815.60"
MBL,2025-12-07,217,218,215.1,218,-0.46 %,"21,567.00","4,669,634.30"
MBL,2025-12-03,216.4,222.9,216.4,219,-0.82 %,"62,950.00","13,859,073.70"
MBL,2025-12-02,218.1,220.9,218.1,220.8,0.18 %,"28,172.00","6,197,076.70"
MBL,2025-12-01,213.7,222.2,213.7,220.4,1.10 %,"40,773.00","8,931,250.70"
MBL,2025-11-30,221.1,225,218,218,-3.11 %,"87,998.00","19,393,588.70"
MBL,2025-11-27,224.8,226,216,225,2.09 %,"94,398.00","21,139,804.10"
MBL,2025-11-26,215,221,215,220.4,0.64 %,"51,219.00","11,215,969.20"
MBL,2025-11-25,220,220,215.5,219,-0.36 %,"37,960.00","8,260,967.50"
MBL,2025-11-24,217.9,219.9,214,219.8,1.76 %,"39,851.00","8,663,018.50"
MBL,2025-11-23,210,216,209,216,3.35 %,"44,255.00","9,382,685.20"
MBL,2025-11-20,209,210.5,208.5,209,-1.18 %,"26,114.00","5,455,760.40"
MBL,2025-11-19,212,212,208.3,211.5,1.20 %,"23,280.00","4,877,315.00"
MBL,2025-11-18,209,211.6,208.6,209,-0.14 %,"12,200.00","2,559,970.30"
MBL,2025-11-17,211.4,211.4,208.7,209.3,-0.99 %,"17,522.00","3,672,833.10"
MBL,2025-11-16,210,211.4,207.2,211.4,1.10 %,"24,218.00","5,061,905.40"
MBL,2025-11-13,210,211.3,208,209.1,-0.52 %,"9,261.00","1,937,307.50"
MBL,2025-11-12,209,211,207.5,210.2,0.57 %,"22,187.00","4,642,111.40"
MBL,2025-11-11,210,210,208.4,209,-0.85 %,"73,583.00","15,376,420.60"
MBL,2025-11-10,208.4,212.4,208.4,210.8,0.33 %,"26,768.00","5,610,633.20"
MBL,2025-11-09,215,215,210.1,210.1,-2.28 %,"41,341.00","8,733,357.00"
MBL,2025-11-06,214.7,218,214.7,215,-0.46 %,"110,546.00","23,857,758.60"
MBL,2025-11-05,213.7,216,213.7,216,0.00 %,"41,370.00","8,881,947.80"
MBL,2025-11-04,220,221.8,213,216,-1.59 %,"93,461.00","20,195,309.90"
MBL,2025-11-03,213.2,220,213.2,219.5,1.15 %,"46,374.00","10,100,309.80"
MBL,2025-11-02,217.2,219.9,213,217,1.88 %,"22,977.00","4,993,222.70"
MBL,2025-10-30,211.2,215,211,213,0.95 %,"51,282.00","10,929,442.00"
MBL,2025-10-29,214,218,210.7,211,-1.36 %,"54,234.00","11,624,367.60"
MBL,2025-10-28,211.5,214,211,213.9,2.10 %,"35,182.00","7,468,901.90"
MBL,2025-10-26,205.4,210.9,205,209.5,1.16 %,"9,781.00","2,042,814.90"
MBL,2025-10-19,208,212,207,207.1,-1.10 %,"57,148.00","11,874,441.60"
