Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
MDB,2025-12-11,566,570.8,560,570.8,1.03 %,"9,796.00","5,512,286.50"
MDB,2025-12-10,569.8,575,564,565,0.12 %,"7,429.00","4,211,672.10"
MDB,2025-12-09,580.3,580.3,563.7,564.3,-0.83 %,"6,000.00","3,410,179.20"
MDB,2025-12-08,573,573,555,569,0.89 %,"27,373.00","15,286,632.00"
MDB,2025-12-07,578,578,564,564,-2.42 %,"17,067.00","9,740,064.30"
MDB,2025-12-03,573,583,571,578,0.87 %,"22,728.00","13,122,467.90"
MDB,2025-12-02,573,573,564,573,1.96 %,"14,320.00","8,135,363.60"
MDB,2025-12-01,573,579.9,560,562,-1.75 %,"15,124.00","8,596,868.90"
MDB,2025-11-30,588,593.7,571,572,-1.74 %,"11,428.00","6,625,646.70"
MDB,2025-11-27,581.5,590,580,582.1,-0.17 %,"11,515.00","6,728,983.00"
MDB,2025-11-26,590,590,580,583.1,-1.17 %,"8,223.00","4,812,075.10"
MDB,2025-11-25,590.2,595,574.1,590,0.00 %,"19,207.00","11,252,162.20"
MDB,2025-11-24,573,594,573,590,3.33 %,"18,633.00","10,946,700.90"
MDB,2025-11-23,563,573.9,563,571,1.96 %,"9,053.00","5,164,726.50"
MDB,2025-11-20,559,566.9,559,560,-0.73 %,"5,271.00","2,954,180.60"
MDB,2025-11-19,570.5,574.9,562.5,564.1,-1.00 %,"5,336.00","3,022,790.70"
MDB,2025-11-18,567,583.9,567,569.8,1.21 %,"4,184.00","2,388,376.60"
MDB,2025-11-17,560,563.9,557,563,1.17 %,"2,986.00","1,674,330.50"
MDB,2025-11-16,555,562,555,556.5,-0.27 %,"4,040.00","2,261,392.50"
MDB,2025-11-13,555.1,564.3,553,558,-1.06 %,"6,730.00","3,769,251.40"
MDB,2025-11-12,560,565,556,564,0.71 %,"12,811.00","7,158,855.00"
MDB,2025-11-11,560,570,560,560,-0.05 %,"5,143.00","2,885,650.00"
MDB,2025-11-10,566,570,560.2,560.3,-1.01 %,"5,629.00","3,167,895.00"
MDB,2025-11-09,579,580,565,566,-4.07 %,"17,425.00","9,901,762.90"
MDB,2025-11-06,595,597,589,590,-0.03 %,"21,344.00","12,634,022.10"
MDB,2025-11-05,580,592.5,580,590.2,1.58 %,"20,664.00","12,148,966.00"
MDB,2025-11-04,590,592,575.2,581,-0.68 %,"20,197.00","11,770,234.90"
MDB,2025-11-03,596,602,585,585,-1.85 %,"22,079.00","13,034,263.30"
MDB,2025-11-02,572,602.8,570,596,4.20 %,"17,004.00","9,994,447.40"
MDB,2025-10-30,560,576,560,572,2.29 %,"8,254.00","4,715,170.40"
MDB,2025-10-29,570,579,555,559.2,-0.14 %,"22,806.00","12,953,081.90"
MDB,2025-10-28,544,560.9,542,560,4.87 %,"10,818.00","5,986,119.00"
MDB,2025-10-26,535,540,530.5,534,-0.74 %,"1,461.00","783,376.00"
MDB,2025-10-19,545,548,535,538,-0.37 %,"4,366.00","2,370,439.00"
MDB,2025-10-16,555,555,535,540,-3.74 %,"34,584.00","18,781,955.10"
MDB,2025-10-15,565,569,561,561,-1.23 %,"14,692.00","8,281,594.90"
MDB,2025-10-14,585,585,568,568,-2.07 %,"12,623.00","7,236,923.60"
MDB,2025-10-13,571.9,584.5,566,580,1.40 %,"14,280.00","8,215,270.20"
MDB,2025-10-12,582,587.2,552,572,-3.39 %,"45,161.00","25,692,751.10"
MDB,2025-10-09,596.7,620,590,592.1,1.21 %,"29,592.00","17,755,191.80"
