Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
MLBBL,2025-09-21,1477.0,1500.0,1412.0,1496.27,3.26 %,"2,505.00","3,650,418.70",0.0
MLBBL,2025-09-18,1439.7,1449.0,1418.0,1449.0,-1.36 %,125.00,"180,044.00",0.0
MLBBL,2025-09-08,1451.0,1480.0,1451.0,1469.0,-0.12 %,"1,564.00","2,283,002.00",0.0
MLBBL,2025-09-07,1490.0,1499.0,1470.0,1470.79,-0.70 %,"1,081.00","1,602,308.40",0.0
MLBBL,2025-09-04,1482.0,1490.0,1476.0,1481.13,-1.21 %,"3,438.00","5,094,164.70",0.0
MLBBL,2025-09-03,1503.1,1529.0,1490.0,1499.26,-1.37 %,"2,724.00","4,093,068.20",0.0
MLBBL,2025-09-02,1501.1,1555.0,1501.1,1520.1,-0.33 %,903.00,"1,375,826.20",0.0
MLBBL,2025-09-01,1510.1,1540.0,1510.1,1525.09,-0.08 %,981.00,"1,498,640.30",0.0
MLBBL,2025-08-31,1521.2,1550.5,1521.2,1526.26,-1.05 %,"2,225.00","3,414,547.60",0.0
MLBBL,2025-08-28,1590.0,1590.0,1541.0,1542.42,-2.93 %,"3,005.00","4,691,398.40",0.0
MLBBL,2025-08-27,1551.1,1598.0,1551.1,1588.93,0.58 %,"3,208.00","5,091,778.90",0.0
MLBBL,2025-08-26,1551.1,1595.0,1551.1,1579.77,0.18 %,"2,880.00","4,548,003.50",0.0
MLBBL,2025-08-25,1543.0,1590.0,1543.0,1577.01,4.25 %,"12,581.00","19,790,759.00",0.0
MLBBL,2025-08-24,1491.0,1569.7,1491.0,1512.76,-0.57 %,"1,449.00","2,202,010.30",0.0
MLBBL,2025-08-20,1515.0,1545.0,1515.0,1522.82,-0.86 %,"1,750.00","2,671,334.60",0.0
MLBBL,2025-08-19,1512.0,1550.0,1512.0,1536.09,0.18 %,"2,026.00","3,118,019.00",0.0
MLBBL,2025-08-18,1530.0,1559.0,1530.0,1533.39,-0.68 %,"2,283.00","3,512,615.30",0.0
MLBBL,2025-08-17,1550.0,1581.0,1541.0,1543.89,-0.91 %,"2,141.00","3,323,702.50",0.0
MLBBL,2025-08-14,1550.0,1609.0,1550.0,1558.01,-1.33 %,"3,573.00","5,588,653.00",0.0
MLBBL,2025-08-13,1551.0,1621.8,1551.0,1579.0,0.69 %,"2,108.00","3,321,014.00",0.0
MLBBL,2025-08-12,1554.2,1585.0,1554.2,1568.13,-1.11 %,"1,506.00","2,369,913.10",0.0
MLBBL,2025-08-11,1591.7,1647.5,1583.0,1585.81,-2.36 %,"5,013.00","8,030,266.00",0.0
MLBBL,2025-08-07,1657.0,1683.0,1617.0,1624.08,-0.03 %,"19,484.00","32,154,103.90",0.0
MLBBL,2025-08-06,1580.0,1632.0,1578.0,1624.53,3.41 %,"8,601.00","13,951,829.70",0.0
MLBBL,2025-08-05,1550.0,1621.0,1550.0,1570.94,0.10 %,"4,752.00","7,569,509.00",0.0
MLBBL,2025-08-04,1571.0,1602.0,1515.0,1569.36,-0.14 %,"2,969.00","4,616,757.20",0.0
MLBBL,2025-08-03,1617.0,1617.0,1570.0,1571.56,-0.92 %,"6,156.00","9,748,723.20",0.0
MLBBL,2025-04-15,1506.0,1560.0,1506.0,1544.92,3.25 %,"2,809.00","4,290,337.70",0.0
MLBBL,2025-04-13,1490.0,1549.9,1490.0,1496.25,0.05 %,"3,741.00","5,636,502.30",0.0
MLBBL,2025-04-10,1511.0,1515.8,1486.1,1495.55,-1.00 %,"1,647.00","2,468,941.00",0.0
