Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
MNBBL,2025-09-18,430.0,433.5,416.1,426.0,-2.66 %,"35,074.00","14,960,517.00",2.0
MNBBL,2025-09-08,450.0,450.0,436.0,437.63,-1.06 %,"86,081.00","37,704,918.60",0.0
MNBBL,2025-09-07,450.6,450.6,436.0,442.34,0.12 %,"49,580.00","21,993,289.90",0.0
MNBBL,2025-09-04,449.0,449.0,439.0,441.83,0.05 %,"52,967.00","23,393,411.80",0.0
MNBBL,2025-09-03,448.9,448.9,440.0,441.6,-0.98 %,"70,192.00","31,041,319.70",0.0
MNBBL,2025-09-02,455.0,455.0,445.0,445.96,-0.24 %,"68,583.00","30,705,648.40",0.0
MNBBL,2025-09-01,450.4,450.4,438.0,447.02,1.22 %,"107,160.00","47,549,255.80",0.0
MNBBL,2025-08-31,445.0,449.0,440.1,441.63,-1.56 %,"101,462.00","44,872,676.30",0.0
MNBBL,2025-08-28,465.0,465.0,446.2,448.65,-2.63 %,"199,228.00","90,705,316.80",0.0
MNBBL,2025-08-27,449.0,477.0,441.1,460.75,3.59 %,"260,167.00","118,949,304.20",0.0
MNBBL,2025-08-26,440.0,450.0,436.1,444.8,1.49 %,"59,396.00","26,343,557.20",0.0
MNBBL,2025-08-25,433.1,440.0,429.6,438.27,0.85 %,"119,543.00","51,852,291.60",0.0
MNBBL,2025-08-24,445.0,450.0,433.5,434.58,-2.38 %,"176,784.00","77,347,444.30",0.0
MNBBL,2025-08-21,447.0,456.0,444.0,445.17,-1.37 %,"123,854.00","55,496,500.00",0.0
MNBBL,2025-08-20,459.0,462.0,449.0,451.37,-1.48 %,"131,958.00","60,159,843.60",0.0
MNBBL,2025-08-19,462.0,469.3,456.0,458.15,0.05 %,"250,783.00","116,116,960.70",0.0
MNBBL,2025-08-18,457.0,464.0,452.0,457.92,0.10 %,"139,748.00","64,120,808.30",0.0
MNBBL,2025-08-17,452.0,467.5,447.1,457.44,2.92 %,"416,950.00","191,361,859.50",0.0
MNBBL,2025-08-14,448.0,448.0,438.0,444.48,1.17 %,"122,383.00","54,308,458.80",0.0
MNBBL,2025-08-13,431.0,443.0,430.1,439.34,0.51 %,"104,667.00","46,028,419.60",0.0
MNBBL,2025-08-12,440.0,440.0,430.0,437.11,-0.26 %,"155,224.00","67,809,960.70",0.0
MNBBL,2025-08-11,450.0,450.0,435.2,438.23,-0.97 %,"140,512.00","62,088,796.60",0.0
MNBBL,2025-08-07,436.0,448.0,436.0,442.51,0.10 %,"107,167.00","47,618,512.30",0.0
MNBBL,2025-08-06,440.1,446.7,440.1,442.08,-0.60 %,"93,452.00","41,481,852.00",0.0
MNBBL,2025-08-05,453.1,464.1,443.8,444.77,-2.26 %,"151,966.00","68,139,111.20",0.0
MNBBL,2025-08-04,455.0,462.6,442.1,455.07,0.28 %,"259,399.00","117,362,365.70",0.0
MNBBL,2025-08-03,465.0,466.0,451.3,453.8,-2.41 %,"256,685.00","117,740,961.70",0.0
MNBBL,2025-07-31,470.0,480.0,463.0,465.01,-2.22 %,"406,806.00","191,189,594.60",0.0
MNBBL,2025-07-30,488.0,490.1,474.0,475.58,-2.85 %,"335,832.00","161,308,128.10",0.0
MNBBL,2025-07-29,501.1,501.1,483.0,489.55,-0.36 %,"364,259.00","178,267,906.90",0.0
MNBBL,2025-07-28,475.1,503.0,471.0,491.32,1.44 %,"542,936.00","266,473,996.20",0.0
MNBBL,2025-07-27,469.9,498.7,469.9,484.35,2.24 %,"575,276.00","278,641,141.00",0.0
