Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
MSHL,2025-09-18,883.8,895.0,877.1,877.1,-2.74 %,510.00,"455,041.00",2.0
MSHL,2025-09-08,890.0,905.0,890.0,901.83,0.81 %,"6,189.00","5,579,414.50",2.0
MSHL,2025-09-07,891.1,900.0,891.0,894.55,-0.78 %,"3,619.00","3,228,940.70",2.0
MSHL,2025-09-04,892.0,907.4,889.0,901.55,-0.05 %,"2,371.00","2,125,468.50",2.0
MSHL,2025-09-03,892.0,909.9,892.0,902.04,-0.86 %,"9,998.00","9,014,026.00",2.0
MSHL,2025-09-02,935.3,935.3,895.0,909.9,-0.78 %,"2,155.00","1,949,924.70",2.0
MSHL,2025-09-01,920.0,925.0,916.0,917.04,-0.25 %,"2,513.00","2,310,909.10",2.0
MSHL,2025-08-31,920.5,955.0,918.0,919.38,1.87 %,"7,844.00","7,269,987.60",2.0
MSHL,2025-08-28,905.0,915.0,900.5,902.48,-1.44 %,568.00,"514,258.00",2.0
MSHL,2025-08-27,930.0,930.0,909.3,915.71,0.31 %,"2,127.00","1,940,051.70",0.0
MSHL,2025-08-26,900.0,935.1,891.0,912.92,1.54 %,"6,293.00","5,788,067.50",0.0
MSHL,2025-08-25,891.1,912.0,891.1,899.09,-0.99 %,510.00,"458,734.00",0.0
MSHL,2025-08-24,883.3,917.0,883.3,908.05,0.97 %,"1,690.00","1,532,029.00",0.0
MSHL,2025-08-21,895.0,900.0,882.2,899.34,0.48 %,"1,097.00","980,020.00",0.0
MSHL,2025-08-20,895.8,909.9,888.7,895.0,-0.09 %,"2,628.00","2,368,147.40",0.0
MSHL,2025-08-19,875.0,897.0,875.0,895.78,1.77 %,606.00,"540,149.00",0.0
MSHL,2025-08-18,888.0,894.2,877.0,880.19,0.40 %,560.00,"494,260.40",0.0
MSHL,2025-08-17,889.9,908.0,872.5,876.72,-0.50 %,"2,586.00","2,282,886.80",0.0
MSHL,2025-08-14,898.0,898.0,880.1,881.15,-0.05 %,"4,517.00","3,981,864.40",0.0
MSHL,2025-08-13,878.0,897.0,877.4,881.57,-1.53 %,"2,249.00","1,987,216.10",0.0
MSHL,2025-08-12,891.3,909.9,891.2,895.24,-0.89 %,"1,357.00","1,215,927.20",0.0
MSHL,2025-08-11,915.0,916.0,903.2,903.28,0.65 %,"3,639.00","3,305,849.90",0.0
MSHL,2025-08-07,895.0,910.0,887.0,897.49,0.30 %,"3,482.00","3,119,459.20",0.0
MSHL,2025-08-06,900.0,910.0,893.2,894.82,-1.56 %,"2,421.00","2,178,693.50",0.0
MSHL,2025-08-05,901.3,918.0,901.3,909.0,-0.70 %,"7,779.00","7,054,685.50",0.0
MSHL,2025-08-04,910.1,922.0,905.1,915.39,-0.26 %,"2,260.00","2,068,706.50",0.0
MSHL,2025-08-03,915.0,932.0,911.0,917.8,-0.48 %,"4,098.00","3,756,336.60",0.0
MSHL,2025-07-31,910.0,932.0,910.0,922.19,0.10 %,"3,106.00","2,869,205.30",0.0
MSHL,2025-07-30,918.2,935.0,905.0,921.26,0.09 %,"14,614.00","13,481,870.90",0.0
MSHL,2025-07-29,910.1,930.0,910.1,920.39,0.47 %,"3,694.00","3,410,817.50",0.0
MSHL,2025-07-28,920.0,920.0,903.0,916.1,-0.72 %,"2,564.00","2,339,853.70",0.0
MSHL,2025-07-27,913.0,947.5,903.0,922.79,2.11 %,"7,883.00","7,239,642.00",0.0
MSHL,2025-07-24,915.0,925.0,898.0,903.75,-0.98 %,"3,976.00","3,603,972.00",0.0
MSHL,2025-07-23,935.0,935.0,903.0,912.66,-0.45 %,"2,453.00","2,235,265.80",0.0
MSHL,2025-07-22,904.0,946.5,904.0,916.79,1.75 %,"1,899.00","1,740,333.00",0.0
MSHL,2025-07-21,914.5,920.0,852.0,901.0,-1.86 %,"4,528.00","4,064,205.40",0.0
MSHL,2025-07-20,953.7,953.7,916.1,918.04,-1.81 %,"5,079.00","4,751,028.60",0.0
MSHL,2025-07-17,935.0,950.0,903.1,935.0,1.97 %,"5,623.00","5,223,452.00",0.0
MSHL,2025-07-16,861.0,933.3,861.0,916.96,4.41 %,"55,351.00","49,849,274.70",0.0
MSHL,2025-07-15,867.0,888.0,867.0,878.27,-0.51 %,"1,040.00","915,167.20",0.0
MSHL,2025-07-14,866.0,919.0,849.3,882.75,1.87 %,"2,719.00","2,393,659.40",0.0
MSHL,2025-07-13,888.4,888.4,862.9,866.55,-1.10 %,"2,619.00","2,295,074.30",0.0
MSHL,2025-07-10,855.1,880.0,855.1,876.23,1.24 %,"2,070.00","1,807,162.20",0.0
MSHL,2025-07-09,867.0,870.0,855.0,865.46,1.22 %,"5,460.00","4,682,378.60",0.0
