Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
NABIL,11/6/2025,515,517,506.7,507.3,-1.13%,"46,224.00","23,608,561.10"
NABIL,11/5/2025,513,516.9,508,513.1,0.39%,"27,044.00","13,853,498.00"
NABIL,11/4/2025,515,517.9,511.1,511.1,-0.39%,"27,560.00","14,170,430.60"
NABIL,11/3/2025,515,517,510.1,513.1,0.39%,"32,079.00","16,515,996.30"
NABIL,11/2/2025,516.1,516.1,508,511.1,1.01%,"33,330.00","17,040,192.60"
NABIL,10/30/2025,503.1,512,503.1,506,-0.20%,"37,178.00","18,886,889.10"
NABIL,10/29/2025,509,516.3,507,507,-0.39%,"51,578.00","26,340,988.30"
NABIL,10/28/2025,505.3,510,505,509,0.73%,"49,884.00","25,341,556.50"
NABIL,10/26/2025,508,508,503,505.3,-0.51%,"32,708.00","16,536,001.60"
NABIL,10/19/2025,512,512,506,507.9,-0.22%,"38,379.00","19,552,540.90"
NABIL,10/16/2025,517.9,517.9,506,509,0.06%,"37,341.00","18,987,148.50"
NABIL,10/15/2025,518,518,507,508.7,-0.25%,"38,107.00","19,392,773.30"
NABIL,10/14/2025,518.5,518.5,510,510,0.00%,"31,168.00","15,920,085.60"
NABIL,10/13/2025,519.9,520,506,510,-0.10%,"53,374.00","27,268,268.70"
NABIL,10/12/2025,530.2,530.2,505,510.5,-1.81%,"65,413.00","33,410,328.40"
NABIL,10/9/2025,523.9,544,514,519.9,1.15%,"43,284.00","22,572,450.20"
NABIL,10/8/2025,523,523,505,514,-1.34%,"78,401.00","39,999,289.50"
NABIL,10/7/2025,530,530,512.6,521,-1.14%,"48,977.00","25,450,439.70"
NABIL,9/28/2025,524,528,521,527,1.04%,"30,997.00","16,269,472.50"
NABIL,9/25/2025,523,524.9,516,521.6,-0.08%,"28,626.00","14,946,270.30"
NABIL,9/24/2025,525,528,515,522,-0.29%,"59,254.00","30,932,259.00"
NABIL,9/23/2025,516.9,525,513,523.5,2.61%,"55,373.00","28,777,561.90"
NABIL,9/21/2025,474,514,474,510.18,5.63%,"122,490.00","61,735,387.90"
NABIL,9/18/2025,502.9,502.9,471,483,-5.88%,"16,660.00","8,052,975.00"
NABIL,9/8/2025,515,515,510,513.15,-0.33%,"42,962.00","21,964,392.80"
NABIL,9/7/2025,507.3,517.8,507.3,514.87,-0.52%,"25,831.00","13,310,474.80"
NABIL,9/4/2025,528,528,515,517.58,-0.44%,"40,199.00","20,749,919.00"
NABIL,9/3/2025,520,529,519,519.88,-0.74%,"34,096.00","17,740,832.00"
NABIL,9/2/2025,538.2,538.2,523.3,523.75,-0.74%,"34,983.00","18,405,010.20"
NABIL,9/1/2025,531.2,531.2,518,527.66,1.31%,"42,334.00","22,222,760.80"
NABIL,8/31/2025,535,536.9,520,520.84,-1.52%,"66,938.00","35,271,776.50"
NABIL,8/28/2025,532,538.9,527,528.86,-0.94%,"83,641.00","44,571,924.60"
NABIL,8/27/2025,539.9,539.9,526.5,533.87,0.85%,"64,476.00","34,175,100.60"
NABIL,8/26/2025,514.5,533,514.5,529.35,1.30%,"67,932.00","35,900,524.60"
NABIL,8/25/2025,512,525,509,522.58,1.76%,"81,167.00","41,935,363.20"
NABIL,8/24/2025,520,520,513,513.56,-0.88%,"72,676.00","37,383,957.50"
NABIL,8/21/2025,524.9,524.9,517.3,518.14,-0.13%,"38,427.00","19,925,528.20"
NABIL,8/20/2025,518,521,517,518.81,0.00%,"43,704.00","22,666,843.80"
NABIL,8/19/2025,525,525,518,518.81,-0.03%,"44,459.00","23,102,548.60"
NABIL,8/18/2025,520,524,517,518.95,-0.43%,"48,703.00","25,313,878.10"
NABIL,8/17/2025,525,528,519,521.21,-0.50%,"63,880.00","33,327,526.40"
NABIL,8/14/2025,524.1,526.5,523.1,523.82,0.04%,"47,263.00","24,778,523.10"
NABIL,8/13/2025,523,524.9,522,523.63,-0.23%,"50,014.00","26,191,841.40"
NABIL,8/12/2025,530,534.5,524.2,524.86,-0.27%,"79,172.00","41,718,059.20"
NABIL,8/11/2025,533,534,525,526.3,-0.20%,"69,423.00","36,644,323.00"
NABIL,8/7/2025,534.9,534.9,525.6,527.36,0.27%,"63,502.00","33,510,621.60"
NABIL,8/6/2025,530,530,523,525.93,-0.34%,"48,952.00","25,755,132.80"
NABIL,8/5/2025,517.5,540,517.5,527.73,-0.05%,"91,553.00","48,640,299.20"
NABIL,8/4/2025,524.4,532,519,527.97,0.68%,"103,313.00","54,318,530.10"
NABIL,8/3/2025,536,538,522.5,524.4,-2.25%,"166,184.00","87,771,702.40"
NABIL,7/31/2025,540.1,548.2,535,536.48,-1.60%,"110,940.00","59,709,752.80"
NABIL,7/30/2025,550.7,555,545,545.18,-0.61%,"115,662.00","63,522,477.00"
NABIL,7/29/2025,547,552,545,548.55,1.50%,"142,244.00","78,087,885.10"
NABIL,7/28/2025,545.5,547,536,540.43,-1.35%,"183,214.00","98,869,241.30"
NABIL,7/27/2025,550,554,545.1,547.84,-0.04%,"147,629.00","81,220,703.60"
NABIL,7/24/2025,552,556,547.1,548.08,-0.60%,"95,913.00","52,752,517.70"
NABIL,7/23/2025,543.6,562,543.6,551.41,-0.58%,"132,486.00","73,160,306.90"
NABIL,7/22/2025,545.2,555.5,545.2,554.63,1.73%,"172,337.00","94,837,467.60"
NABIL,7/21/2025,550,554,540,545.21,-0.83%,"126,936.00","69,339,704.90"
NABIL,7/20/2025,550,560,548,549.77,0.20%,"233,008.00","129,064,235.30"
NABIL,7/17/2025,545,554,542.2,548.66,1.35%,"192,877.00","106,084,134.40"
NABIL,7/16/2025,530,543.6,530,541.37,2.18%,"260,180.00","140,412,352.70"
NABIL,7/15/2025,524,530,515,529.8,1.45%,"136,308.00","71,047,008.50"
NABIL,7/14/2025,538,538,521.1,522.22,-2.53%,"165,976.00","87,288,350.20"
NABIL,7/13/2025,521.3,537.5,521.3,535.77,4.81%,"270,279.00","143,508,273.30"
NABIL,7/10/2025,503,522,500,511.17,2.44%,"264,663.00","134,931,549.60"
NABIL,7/9/2025,500,500,495.2,499.01,0.72%,"42,721.00","21,258,926.60"
NABIL,7/8/2025,500,500,493,495.46,-0.32%,"33,006.00","16,372,932.90"
NABIL,7/7/2025,500,503,496.3,497.07,-0.76%,"36,175.00","18,021,743.10"
NABIL,7/6/2025,506,506.8,499.1,500.89,0.54%,"64,130.00","32,160,033.70"
NABIL,7/3/2025,491.1,500,490,498.22,0.66%,"91,180.00","45,234,332.10"
NABIL,7/2/2025,494.5,495.8,491,494.96,0.64%,"55,089.00","27,202,962.40"
NABIL,7/1/2025,496.4,496.4,491,491.79,0.00%,"35,495.00","17,476,977.90"
NABIL,6/30/2025,490.1,493.1,490.1,491.81,0.41%,"37,425.00","18,421,945.10"
NABIL,6/29/2025,482,490,482,489.82,0.80%,"40,790.00","19,855,309.40"
NABIL,6/26/2025,486,488.5,485.1,485.95,-0.06%,"33,097.00","16,101,679.80"
NABIL,6/25/2025,488,488.9,481,486.24,-0.22%,"24,807.00","12,047,864.20"
NABIL,6/24/2025,489,493,483.2,487.3,-0.01%,"54,280.00","26,444,244.90"
NABIL,6/23/2025,489.9,489.9,485,487.35,-0.34%,"30,576.00","14,888,929.00"
NABIL,6/22/2025,493,493,485,488.99,-0.01%,"47,834.00","23,346,142.00"
NABIL,6/19/2025,494.8,494.8,487,489.04,-0.19%,"78,016.00","38,171,293.10"
NABIL,6/18/2025,490,492,488,489.97,0.20%,"44,689.00","21,873,393.40"
NABIL,6/17/2025,490,492,487.1,488.99,-0.33%,"36,559.00","17,876,245.80"
NABIL,6/16/2025,497,497,489,490.59,-0.03%,"48,455.00","23,792,554.90"
NABIL,6/15/2025,495,495,490,490.73,0.26%,"43,276.00","21,256,612.50"
NABIL,6/12/2025,493,493,488.3,489.44,-0.18%,"53,316.00","26,126,194.50"
NABIL,6/11/2025,495,495,490,490.34,-0.29%,"39,951.00","19,627,959.60"
NABIL,6/10/2025,494.9,494.9,490,491.77,0.17%,"38,403.00","18,891,832.90"
NABIL,6/9/2025,489.9,494.9,489,490.93,0.26%,"29,647.00","14,585,465.20"
NABIL,6/8/2025,490,495,489,489.65,-0.55%,"50,694.00","24,865,295.40"
NABIL,6/5/2025,498,498,489,492.37,0.26%,"47,113.00","23,160,435.10"
NABIL,6/4/2025,499,499,490,491.11,-1.27%,"48,051.00","23,650,135.00"
NABIL,6/3/2025,505.9,505.9,495,497.45,-0.66%,"54,808.00","27,320,373.90"
NABIL,6/2/2025,510.4,510.4,500.1,500.78,0.07%,"73,634.00","37,032,517.50"
NABIL,5/28/2025,501.9,501.9,494,500.42,0.79%,"66,059.00","32,927,625.30"
NABIL,5/27/2025,498,498.1,493.6,496.48,-0.32%,"33,750.00","16,728,470.20"
NABIL,5/26/2025,506.6,516,496.1,498.07,0.27%,"87,620.00","43,957,960.70"
NABIL,5/25/2025,509.5,510,495,496.75,-0.56%,"108,411.00","54,020,885.70"
NABIL,5/22/2025,499.5,503,494.6,499.55,1.08%,"71,455.00","35,662,859.30"
NABIL,5/21/2025,497.9,527,492.5,494.21,1.24%,"91,325.00","45,723,449.60"
NABIL,5/20/2025,482.6,489,481,488.16,1.16%,"43,243.00","20,974,647.60"
NABIL,5/19/2025,488,488,479.9,482.58,0.43%,"42,039.00","20,293,353.50"
NABIL,5/18/2025,483,485,479,480.49,-0.34%,"37,266.00","17,902,061.60"
NABIL,5/15/2025,485,486,481.5,482.11,-0.36%,"47,247.00","22,844,525.90"
NABIL,5/14/2025,490,490,482,483.85,-0.73%,"25,028.00","12,122,585.60"
NABIL,5/13/2025,488,493.6,481,487.41,0.36%,"65,061.00","31,585,532.70"
NABIL,5/11/2025,490,490,484.5,485.65,0.62%,"44,892.00","21,799,860.50"
NABIL,5/8/2025,490,490,480.5,482.64,-0.14%,"54,724.00","26,424,061.90"
NABIL,5/7/2025,477,485,474.1,483.31,1.34%,"66,388.00","31,828,953.00"
NABIL,5/6/2025,478,484,475.1,476.94,-0.27%,"39,968.00","19,059,469.10"
NABIL,5/5/2025,478,481,477,478.25,-0.01%,"39,597.00","18,946,454.80"
NABIL,5/4/2025,480,487.4,477,478.32,0.03%,"44,594.00","21,378,606.20"
NABIL,4/30/2025,480,487,478,478.18,-0.68%,"49,915.00","23,920,163.40"
NABIL,4/29/2025,480,488,480,481.45,0.03%,"29,998.00","14,451,570.20"
NABIL,4/28/2025,485.3,487.9,480.6,481.3,-0.76%,"45,746.00","22,048,192.70"
NABIL,4/27/2025,490,490,483.2,485.01,-0.18%,"50,578.00","24,578,874.70"
NABIL,4/24/2025,483,489.9,483,485.87,-0.18%,"30,597.00","14,863,308.90"
NABIL,4/23/2025,487,488,482,486.77,-0.20%,"65,014.00","31,491,464.60"
NABIL,4/22/2025,490,494,485,487.76,-0.63%,"31,332.00","15,266,150.50"
NABIL,4/21/2025,494.9,495,490,490.87,-0.25%,"49,104.00","24,161,003.30"
NABIL,4/20/2025,500,501.2,490,492.09,-0.46%,"79,228.00","39,103,117.80"
NABIL,4/17/2025,490.8,495.6,489,494.38,1.04%,"54,656.00","26,922,513.40"
NABIL,4/16/2025,497,497,488,489.31,0.28%,"43,376.00","21,240,560.50"
NABIL,4/15/2025,496,496,486,487.96,0.20%,"62,586.00","30,517,392.00"
NABIL,4/13/2025,495.6,495.6,484.1,486.97,0.21%,"44,237.00","21,506,720.90"
NABIL,4/10/2025,491,492.4,484,485.97,-0.06%,"30,292.00","14,717,797.10"
NABIL,4/9/2025,494,494,483.2,486.27,0.33%,"26,187.00","12,744,525.00"
NABIL,4/8/2025,485,486,478,484.65,-0.48%,"38,820.00","18,746,522.30"
NABIL,4/7/2025,490,497,482,486.97,-0.36%,"46,130.00","22,422,636.00"
NABIL,4/3/2025,491,494,486.1,488.73,0.72%,"42,041.00","20,602,284.70"
NABIL,4/2/2025,494.2,494.2,484,485.26,0.14%,"36,189.00","17,575,535.20"
NABIL,4/1/2025,490,493,483,484.56,-0.29%,"37,377.00","18,155,530.10"
NABIL,3/30/2025,485,492,484,485.96,0.18%,"52,866.00","25,868,427.10"
NABIL,3/27/2025,490.9,490.9,480,485.09,0.79%,"38,210.00","18,513,985.20"
NABIL,3/26/2025,485,485,477,481.31,0.25%,"49,757.00","23,916,849.50"
NABIL,3/25/2025,485,485,478,480.13,-0.81%,"78,144.00","37,494,028.20"
NABIL,3/24/2025,484.5,486,476.5,484.03,0.29%,"54,964.00","26,524,696.80"
NABIL,3/23/2025,488,488,482,482.62,-0.96%,"48,632.00","23,544,363.10"
NABIL,3/20/2025,489,490,487,487.31,-0.33%,"36,716.00","17,908,359.70"
NABIL,3/19/2025,495,496,487,488.9,-0.51%,"49,272.00","24,118,449.00"
NABIL,3/18/2025,499.8,499.8,488,491.4,0.29%,"28,929.00","14,222,960.90"
NABIL,3/17/2025,491.1,498,486,490,-0.22%,"41,530.00","20,417,432.30"
NABIL,3/16/2025,494.9,494.9,485,491.1,0.02%,"71,238.00","34,682,594.90"
NABIL,3/12/2025,494,494,489,491,0.00%,"39,132.00","19,204,640.20"
NABIL,3/11/2025,492,495,486.1,491,0.00%,"45,903.00","22,559,000.90"
NABIL,3/10/2025,496,500,490,491,-0.81%,"44,625.00","21,979,031.80"
NABIL,3/9/2025,498,502,493,495,-0.62%,"53,038.00","26,380,628.30"
NABIL,3/5/2025,509.5,509.5,498.5,499,-1.58%,"66,686.00","33,396,397.30"
NABIL,3/4/2025,520,520,504,507,-1.55%,"116,499.00","59,229,782.70"
NABIL,3/3/2025,523,529.2,515,515,-0.77%,"110,922.00","57,782,578.40"
