Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
NADEP,2025-12-11,775,775,758,767,-0.26 %,"1,316.00","1,000,399.00"
NADEP,2025-12-10,756.5,770,756.5,769,0.65 %,"1,401.00","1,069,855.30"
NADEP,2025-12-09,764,765.6,764,764,0.00 %,"1,855.00","1,418,037.00"
NADEP,2025-12-08,760,771,756,764,0.53 %,"1,165.00","885,610.00"
NADEP,2025-12-07,770,784,758,760,-1.58 %,"1,259.00","967,858.00"
NADEP,2025-12-03,760.1,787,760.1,772.2,-0.01 %,"2,617.00","2,024,562.20"
NADEP,2025-12-02,788.9,788.9,772.2,772.3,-0.52 %,"2,877.00","2,225,023.30"
NADEP,2025-12-01,794,794,771,776.3,-0.84 %,"1,538.00","1,198,924.60"
NADEP,2025-11-30,810,814,782.9,782.9,-3.94 %,"3,666.00","2,918,438.00"
NADEP,2025-11-27,810,820,785,815,1.88 %,"5,024.00","4,052,914.00"
NADEP,2025-11-26,775,800,765,800,1.39 %,"3,010.00","2,362,695.80"
NADEP,2025-11-25,775,800.7,761,789,0.51 %,"2,433.00","1,896,276.70"
NADEP,2025-11-24,760,785,751,785,3.29 %,"5,330.00","4,118,415.40"
NADEP,2025-11-23,759,766,740,760,2.01 %,"3,484.00","2,630,252.90"
NADEP,2025-11-20,740,745,726.8,745,0.68 %,"1,142.00","837,466.00"
NADEP,2025-11-19,738,752.7,727,740,-1.20 %,"1,597.00","1,179,994.00"
NADEP,2025-11-18,742.5,749,735.1,749,0.88 %,"870.00","645,891.50"
NADEP,2025-11-17,740,754.8,725,742.5,1.56 %,"1,228.00","907,537.00"
NADEP,2025-11-16,734.1,754.9,720,731.1,-2.39 %,"1,334.00","985,953.00"
NADEP,2025-11-13,737.1,749,737,749,0.27 %,"139.00","103,138.00"
NADEP,2025-11-12,742,756.9,742,747,-1.19 %,"1,078.00","801,056.20"
NADEP,2025-11-11,740,775,740,756,1.46 %,"742.00","556,350.80"
NADEP,2025-11-10,750.1,762.9,740,745.1,-2.47 %,"2,167.00","1,627,969.50"
NADEP,2025-11-09,760,769,745.2,764,-0.61 %,"2,792.00","2,105,970.90"
NADEP,2025-11-06,740,768.7,740,768.7,2.90 %,"3,268.00","2,473,534.20"
NADEP,2025-11-05,761,762,734,747,-0.01 %,"1,044.00","777,324.00"
NADEP,2025-11-04,765,765,745.8,747.1,-2.34 %,"1,730.00","1,297,267.50"
NADEP,2025-11-03,778,778,765,765,-1.92 %,"2,746.00","2,105,765.30"
NADEP,2025-11-02,760,790.5,760,780,0.65 %,"3,880.00","3,022,566.50"
NADEP,2025-10-30,745,775,744.1,775,2.11 %,"2,147.00","1,644,871.20"
NADEP,2025-10-29,743,768,738,759,2.15 %,"3,610.00","2,709,147.60"
NADEP,2025-10-28,719,743,705,743,5.39 %,"2,683.00","1,935,167.50"
NADEP,2025-10-26,705,706,696,705,-1.81 %,"999.00","702,468.70"
NADEP,2025-10-19,710,718,707,718,1.13 %,"635.00","451,420.00"
