Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
NBL,2025-09-18,242,244,225.5,230,-6.58 %,"10,094.00","2,375,472.80"
NBL,2025-09-08,250,250,245,246.21,-1.02 %,"97,229.00","24,015,758.80"
NBL,2025-09-07,247.2,251,247.2,248.75,-0.26 %,"51,355.00","12,809,281.10"
NBL,2025-09-04,253.8,253.8,248,249.39,-0.11 %,"51,030.00","12,688,514.90"
NBL,2025-09-03,245.7,252,245.7,249.66,-0.39 %,"52,153.00","13,026,443.70"
NBL,2025-09-02,256.6,256.6,250,250.64,-0.40 %,"63,455.00","15,908,196.70"
NBL,2025-09-01,255.3,255.3,249.5,251.65,0.53 %,"57,926.00","14,537,901.70"
NBL,2025-08-31,255,255,250,250.33,-1.09 %,"68,942.00","17,281,786.90"
NBL,2025-08-28,257.7,257.7,252,253.1,-0.78 %,"76,661.00","19,433,399.30"
NBL,2025-08-27,256.5,256.5,250.7,255.1,1.41 %,"65,291.00","16,592,563.10"
NBL,2025-08-26,252.1,256.9,249.9,251.55,-0.95 %,"121,734.00","30,604,238.80"
NBL,2025-08-25,254,257.4,251,253.97,-0.17 %,"79,112.00","19,984,992.30"
NBL,2025-08-24,257,259,254,254.41,-0.47 %,"63,502.00","16,210,565.70"
NBL,2025-08-21,255.1,257.8,254.7,255.6,-0.23 %,"78,750.00","20,115,996.50"
NBL,2025-08-20,261.9,261.9,255,256.2,-0.57 %,"50,722.00","12,992,782.70"
NBL,2025-08-19,259,263,256,257.68,0.98 %,"73,873.00","19,031,701.80"
NBL,2025-08-18,255,258,254,255.17,-0.36 %,"121,852.00","31,155,661.60"
NBL,2025-08-17,265,265,254,256.1,-3.80 %,"303,542.00","78,432,295.50"
NBL,2025-08-14,282,282,265.1,266.21,-5.91 %,"604,541.00","162,756,587.10"
NBL,2025-08-13,282.1,287,282.1,282.92,-0.05 %,"51,029.00","14,498,962.60"
NBL,2025-08-12,286.36,292,282.1,283.06,-1.15 %,"81,177.00","23,145,510.88"
NBL,2025-08-11,295,297,285,286.36,-1.62 %,"170,746.00","49,715,615.50"
NBL,2025-08-07,291.9,292,284.5,291.08,1.63 %,"69,186.00","19,979,658.80"
NBL,2025-08-06,290,290,285,286.4,-0.78 %,"78,848.00","22,620,301.80"
NBL,2025-08-05,293.7,296.9,287.6,288.66,-0.62 %,"130,957.00","38,240,709.10"
NBL,2025-08-04,289.1,294,284.5,290.45,1.67 %,"175,445.00","50,796,553.90"
NBL,2025-08-03,294,295,285.1,285.69,-2.74 %,"211,773.00","61,091,436.60"
NBL,2025-07-31,301.9,302,293,293.73,-1.22 %,"176,466.00","51,999,828.10"
NBL,2025-07-30,306,306,296,297.35,-1.20 %,"203,460.00","60,962,704.90"
NBL,2025-07-29,299,305,299,300.97,0.80 %,"238,261.00","72,026,901.90"
NBL,2025-07-28,302,305,294.1,298.59,-1.07 %,"328,841.00","97,984,195.80"
NBL,2025-07-27,307,313,301,301.81,-1.65 %,"356,925.00","109,171,996.40"
NBL,2025-07-24,309,312,305.1,306.87,-0.36 %,"311,637.00","95,733,211.30"
NBL,2025-07-23,298.6,308.7,298.6,307.98,1.10 %,"500,647.00","153,450,110.10"
NBL,2025-07-22,300,305,298.1,304.64,2.38 %,"465,110.00","140,631,718.10"
NBL,2025-07-21,303.4,303.4,294.4,297.57,0.03 %,"263,231.00","78,276,633.30"
NBL,2025-07-20,305.6,305.9,296,297.48,-0.73 %,"542,284.00","163,395,415.00"
NBL,2025-07-17,297.2,302,295,299.67,2.82 %,"695,151.00","208,368,076.10"
NBL,2025-07-16,285,294.1,285,291.44,3.41 %,"563,881.00","164,043,858.80"
NBL,2025-07-15,282,283.9,278.5,281.82,1.00 %,"236,540.00","66,464,132.00"
NBL,2025-07-14,290,290,278,279.02,-2.44 %,"308,795.00","87,004,649.50"
NBL,2025-07-13,276,288.5,276,286.01,5.69 %,"482,585.00","136,694,986.20"
NBL,2025-07-10,268,279,267.1,270.62,2.32 %,"419,163.00","113,965,843.20"
NBL,2025-07-09,258.1,266,258.1,264.49,1.41 %,"173,834.00","45,647,298.70"
NBL,2025-07-08,265,265,258,260.8,-0.69 %,"132,874.00","34,686,215.50"
NBL,2025-07-07,268.8,268.8,261.1,262.6,-0.38 %,"93,279.00","24,487,748.70"
NBL,2025-07-06,263,265.9,261,263.61,-0.22 %,"98,430.00","25,943,884.60"
NBL,2025-07-03,265,265,260.2,264.19,0.27 %,"105,995.00","27,940,113.00"
NBL,2025-07-02,264,264,256,263.47,1.66 %,"143,208.00","37,362,613.10"
NBL,2025-07-01,254,260,251.5,259.18,2.04 %,"136,286.00","34,879,962.20"
NBL,2025-06-30,253,256,252,254.01,0.13 %,"49,558.00","12,581,957.50"
NBL,2025-06-29,254,254.5,249.3,253.68,0.97 %,"53,614.00","13,486,063.10"
NBL,2025-06-26,251,253,249,251.24,-0.22 %,"36,629.00","9,196,244.40"
NBL,2025-06-25,253.8,253.8,250,251.79,0.38 %,"50,371.00","12,639,988.10"
NBL,2025-06-24,250,254,250,250.84,0.43 %,"56,057.00","14,098,516.10"
NBL,2025-06-23,248.2,251.9,243.5,249.77,-0.18 %,"77,761.00","19,243,694.10"
NBL,2025-06-22,253,254,250,250.21,-0.89 %,"61,740.00","15,484,094.40"
NBL,2025-06-19,258,258,252,252.46,-0.68 %,"61,113.00","15,504,841.80"
NBL,2025-06-18,253,259.8,253,254.2,-0.90 %,"52,122.00","13,286,221.90"
NBL,2025-06-17,251,258.9,251,256.5,1.03 %,"86,380.00","21,969,378.40"
NBL,2025-06-16,253,254.5,248.1,253.88,1.05 %,"82,514.00","20,854,991.30"
NBL,2025-06-15,252.6,258,251,251.25,1.44 %,"71,050.00","17,917,738.60"
NBL,2025-06-12,251,251.8,247,247.69,-0.91 %,"121,500.00","30,206,188.50"
NBL,2025-06-11,257,257,249,249.97,-1.24 %,"83,338.00","20,908,843.60"
NBL,2025-06-10,252,258.9,250,253.11,-0.39 %,"52,009.00","13,189,595.50"
NBL,2025-06-09,253.7,255,251.6,254.1,0.98 %,"40,214.00","10,178,135.20"
NBL,2025-06-08,257.9,257.9,251.3,251.63,-1.31 %,"56,199.00","14,186,852.00"
NBL,2025-06-05,260,260,253.4,254.98,-0.56 %,"85,324.00","21,774,768.90"
NBL,2025-06-04,251.6,258,250.6,256.42,1.39 %,"71,892.00","18,303,386.20"
NBL,2025-06-03,261,261,251.9,252.91,-2.48 %,"78,403.00","19,969,186.20"
NBL,2025-06-02,266.5,266.5,258,259.35,-0.76 %,"136,484.00","35,587,678.40"
NBL,2025-05-28,260,261.9,255,261.34,1.35 %,"91,049.00","23,583,737.10"
NBL,2025-05-27,255.1,258.9,255,257.87,-0.38 %,"42,778.00","11,001,132.70"
NBL,2025-05-26,262.8,270.9,258,258.85,0.43 %,"111,561.00","29,179,778.50"
NBL,2025-05-25,260,262,256.1,257.73,-0.15 %,"83,685.00","21,662,814.30"
NBL,2025-05-22,255.3,260,250.4,258.11,2.82 %,"140,892.00","36,239,600.50"
NBL,2025-05-21,257.7,268,250,251.03,-0.67 %,"118,997.00","30,498,105.60"
NBL,2025-05-20,246.9,254.5,244.4,252.72,1.79 %,"54,752.00","13,684,856.20"
NBL,2025-05-19,247,250,245,248.27,1.69 %,"66,815.00","16,522,175.50"
NBL,2025-05-18,245,245.2,243,244.15,0.08 %,"43,123.00","10,526,863.80"
NBL,2025-05-15,244,246.8,243,243.95,-0.49 %,"50,001.00","12,205,275.70"
NBL,2025-05-14,245.2,247.7,244.2,245.15,-0.31 %,"59,340.00","14,546,629.00"
