Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NICL,2025-09-18,578.0,578.0,549.0,549.0,-5.87 %,80.00,"45,516.00",0.5
NICL,2025-09-08,584.3,596.5,575.0,583.23,-0.80 %,"8,637.00","4,991,848.10",0.5
NICL,2025-09-07,595.0,599.0,585.0,587.93,-2.06 %,"9,643.00","5,701,355.30",0.5
NICL,2025-09-04,598.5,603.0,598.0,600.29,0.04 %,"4,716.00","2,830,659.80",2.0
NICL,2025-09-03,603.82,607.0,600.0,600.02,-0.63 %,"4,221.00","2,541,743.40",2.0
NICL,2025-09-02,600.0,608.0,595.1,603.82,0.44 %,"2,313.00","1,397,196.60",2.0
NICL,2025-09-01,600.0,615.0,600.0,601.18,0.15 %,"6,074.00","3,653,667.60",2.0
NICL,2025-08-31,611.1,614.7,600.0,600.29,-1.57 %,"6,767.00","4,101,608.90",1.0
NICL,2025-08-28,620.1,620.2,606.0,609.88,-1.27 %,"12,171.00","7,468,494.20",1.0
NICL,2025-08-27,601.0,620.0,601.0,617.7,1.52 %,"12,802.00","7,869,016.90",1.0
NICL,2025-08-26,605.0,615.0,604.0,608.46,-0.46 %,"3,682.00","2,240,088.00",1.0
NICL,2025-08-25,600.0,613.5,600.0,611.25,1.61 %,"7,592.00","4,613,816.70",1.0
NICL,2025-08-24,606.0,610.0,600.0,601.55,-0.64 %,"10,968.00","6,596,841.00",1.0
NICL,2025-08-21,604.0,606.9,602.0,605.4,0.22 %,"5,445.00","3,286,221.80",1.0
NICL,2025-08-20,601.0,610.0,601.0,604.07,0.04 %,"3,663.00","2,214,271.50",1.0
NICL,2025-08-19,601.2,613.9,601.2,603.82,-0.03 %,"10,214.00","6,191,685.80",1.0
NICL,2025-08-18,602.0,610.0,601.0,604.03,0.11 %,"5,583.00","3,368,681.00",1.0
NICL,2025-08-17,604.0,610.0,603.0,603.38,0.39 %,"4,744.00","2,864,885.50",1.0
NICL,2025-08-14,610.0,613.0,599.0,601.01,-0.00 %,"10,670.00","6,425,354.70",1.0
NICL,2025-08-13,600.0,613.0,600.0,601.02,-0.92 %,"16,909.00","10,198,801.00",1.0
NICL,2025-08-12,624.0,624.0,600.0,606.62,-0.85 %,"17,421.00","10,609,044.50",1.0
NICL,2025-08-11,625.0,634.0,610.0,611.79,-1.84 %,"14,778.00","9,133,998.80",1.0
NICL,2025-08-07,633.0,633.0,612.8,623.25,0.41 %,"9,837.00","6,121,116.00",1.0
NICL,2025-08-06,620.0,625.0,619.0,620.73,-0.96 %,"12,463.00","7,750,630.20",1.0
NICL,2025-08-05,647.7,651.6,625.1,626.76,-1.89 %,"15,347.00","9,681,811.00",1.0
NICL,2025-08-04,643.03,650.0,625.1,638.83,-0.65 %,"26,326.00","16,742,652.50",1.0
NICL,2025-08-03,671.0,671.0,637.0,643.03,-2.41 %,"12,648.00","8,171,326.00",1.0
NICL,2025-07-31,664.08,664.08,651.2,658.91,-0.78 %,"19,157.00","12,652,979.10",1.0
NICL,2025-07-30,670.1,674.9,664.0,664.08,-1.15 %,"26,382.00","17,551,691.10",1.0
NICL,2025-07-29,671.1,680.7,666.1,671.82,0.65 %,"36,009.00","24,305,674.70",1.0
NICL,2025-07-28,672.0,675.0,662.0,667.46,-1.73 %,"28,954.00","19,336,616.50",1.0
NICL,2025-07-27,690.0,692.0,672.2,679.22,-0.14 %,"42,994.00","29,125,843.60",1.0
NICL,2025-07-24,680.1,685.0,673.3,680.17,-0.23 %,"25,166.00","17,070,778.10",1.0
NICL,2025-07-23,690.0,699.9,665.0,681.77,-1.24 %,"27,394.00","18,652,304.70",1.0
NICL,2025-07-22,683.0,691.9,670.0,690.32,3.05 %,"40,689.00","27,782,483.40",1.0
