Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NIL,2025-09-18,660.0,660.0,634.0,634.0,-5.86 %,33.00,"21,310.00",2.0
NIL,2025-09-08,694.4,694.4,672.0,673.46,-1.08 %,"5,441.00","3,673,772.80",2.0
NIL,2025-09-07,683.0,695.3,678.0,680.8,-0.13 %,"8,801.00","5,997,963.00",2.0
NIL,2025-09-04,674.0,685.9,674.0,681.71,-0.08 %,"6,642.00","4,512,979.50",2.0
NIL,2025-09-03,688.0,691.0,680.0,682.25,-0.97 %,"12,090.00","8,289,421.00",2.0
NIL,2025-09-02,690.0,703.5,688.2,688.96,-0.50 %,"8,339.00","5,761,791.50",2.0
NIL,2025-09-01,695.0,700.0,692.0,692.45,-0.26 %,"6,650.00","4,627,043.20",2.0
NIL,2025-08-31,701.0,706.0,694.0,694.26,-1.47 %,"8,347.00","5,822,683.50",2.0
NIL,2025-08-28,711.0,725.0,700.1,704.6,-0.90 %,"8,168.00","5,780,902.80",2.0
NIL,2025-08-27,698.0,714.0,695.2,711.0,1.46 %,"10,102.00","7,136,296.60",2.0
NIL,2025-08-26,699.69,707.0,699.1,700.76,0.15 %,"7,841.00","5,509,916.90",2.0
NIL,2025-08-25,692.0,702.0,692.0,699.69,-0.01 %,"7,234.00","5,050,664.20",0.0
NIL,2025-08-24,695.0,711.9,695.0,699.73,0.24 %,"6,193.00","4,327,598.30",0.0
NIL,2025-08-21,695.0,705.0,695.0,698.05,-0.12 %,"5,131.00","3,587,772.40",0.0
NIL,2025-08-20,720.0,720.0,698.0,698.89,-1.54 %,"9,622.00","6,743,075.10",0.0
NIL,2025-08-19,711.0,720.0,709.0,709.82,1.09 %,"12,123.00","8,625,313.40",0.0
NIL,2025-08-18,703.0,710.0,702.0,702.2,-0.86 %,"15,776.00","11,105,955.20",0.0
NIL,2025-08-17,704.2,715.0,690.0,708.31,0.58 %,"35,317.00","24,733,850.90",0.0
NIL,2025-08-14,709.4,709.5,703.0,704.2,-0.63 %,"7,752.00","5,464,835.40",2.0
NIL,2025-08-13,712.0,712.0,701.4,708.67,-0.11 %,"5,729.00","4,036,085.30",2.0
NIL,2025-08-12,706.1,713.0,704.0,709.47,-0.57 %,"12,797.00","9,050,407.40",2.0
NIL,2025-08-11,720.0,728.0,700.0,713.51,-0.64 %,"23,304.00","16,564,257.50",2.0
NIL,2025-08-07,719.0,722.0,713.0,718.09,0.70 %,"15,453.00","11,081,072.40",2.0
NIL,2025-08-06,708.0,717.0,708.0,713.08,-0.20 %,"30,753.00","21,825,644.30",2.0
NIL,2025-08-05,726.1,735.0,713.5,714.53,-1.63 %,"33,144.00","23,787,717.30",2.0
NIL,2025-08-04,730.0,733.9,715.1,726.4,-0.28 %,"22,303.00","16,176,585.60",2.0
NIL,2025-08-03,736.0,743.0,719.6,728.45,-1.66 %,"44,625.00","32,616,693.90",2.0
NIL,2025-07-31,750.0,755.0,730.0,740.72,-0.70 %,"40,300.00","29,777,643.10",2.0
NIL,2025-07-30,760.0,762.0,734.1,745.92,-0.11 %,"25,452.00","19,010,613.70",2.0
NIL,2025-07-29,750.0,765.0,745.0,746.77,0.26 %,"42,728.00","32,148,971.70",2.0
NIL,2025-07-28,754.28,754.28,737.0,744.86,-1.25 %,"32,599.00","24,178,447.20",2.0
