Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
NLG,2025-09-18,773.7,773.7,711,711,-9.93 %,"1,272.00","928,232.00"
NLG,2025-09-08,810,810,785,789.4,-2.58 %,"22,976.00","18,303,491.80"
NLG,2025-09-07,810.1,820,805.7,810.34,-0.98 %,"9,033.00","7,332,686.70"
NLG,2025-09-04,829.5,829.5,810,818.38,0.23 %,"14,726.00","12,053,713.10"
NLG,2025-09-03,815.69,839.7,815,816.5,0.10 %,"21,361.00","17,589,913.50"
NLG,2025-09-02,818.1,832.8,810,815.69,-1.21 %,"33,536.00","27,409,615.30"
NLG,2025-09-01,817.1,840,817.1,825.71,-0.60 %,"19,114.00","15,793,350.10"
NLG,2025-08-31,854.9,854.9,828.1,830.67,-1.61 %,"24,821.00","20,832,379.40"
NLG,2025-08-28,818,867,818,844.26,3.19 %,"160,606.00","135,843,124.00"
NLG,2025-08-27,802.3,820,802.3,818.17,1.31 %,"16,249.00","13,229,713.60"
NLG,2025-08-26,822.8,824.2,803.5,807.6,-0.06 %,"8,847.00","7,153,210.50"
NLG,2025-08-25,800.1,818,793,808.09,0.66 %,"18,591.00","14,906,344.30"
NLG,2025-08-24,808.5,815,799.1,802.77,-0.28 %,"9,997.00","8,057,829.50"
NLG,2025-08-21,803.7,816.9,803.6,805,-0.49 %,"8,977.00","7,242,344.00"
NLG,2025-08-20,812.1,827,806.2,808.93,-1.00 %,"14,697.00","11,987,048.60"
NLG,2025-08-19,829.9,829.9,815,817.06,-0.35 %,"8,387.00","6,868,315.20"
NLG,2025-08-18,817.9,825,805.5,819.93,1.83 %,"9,020.00","7,364,117.20"
NLG,2025-08-17,825,825,805,805.17,-0.99 %,"13,039.00","10,581,467.10"
NLG,2025-08-14,816,820,805.1,813.21,-0.18 %,"18,834.00","15,326,361.30"
NLG,2025-08-13,801.4,825,801.4,814.64,-0.38 %,"7,211.00","5,902,389.60"
NLG,2025-08-12,832.14,849,813,817.74,-1.73 %,"27,871.00","23,001,954.80"
NLG,2025-08-11,860,865,830,832.14,-1.97 %,"18,671.00","15,673,482.60"
NLG,2025-08-07,822.3,872,822.3,848.83,1.16 %,"25,427.00","21,688,585.50"
NLG,2025-08-06,842.3,859.1,837,839.07,-1.55 %,"29,535.00","24,923,083.10"
NLG,2025-08-05,853.3,880,845.1,852.32,-2.09 %,"24,309.00","20,917,055.10"
