Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NLIC,2025-09-18,753.8,755.0,702.0,710.0,-7.69 %,"6,199.00","4,539,146.10",0.0
NLIC,2025-09-08,770.0,773.8,768.0,769.14,-0.44 %,"29,144.00","22,431,647.10",0.0
NLIC,2025-09-07,773.0,785.0,770.0,772.56,-0.06 %,"25,042.00","19,394,227.60",0.0
NLIC,2025-09-04,783.0,783.0,770.0,772.99,-0.33 %,"20,374.00","15,746,552.50",0.0
NLIC,2025-09-03,780.0,781.9,775.0,775.56,-0.37 %,"23,410.00","18,193,815.10",0.0
NLIC,2025-09-02,793.5,793.5,765.0,778.47,0.06 %,"24,136.00","18,796,711.70",0.0
NLIC,2025-09-01,792.9,792.9,775.0,778.02,0.08 %,"31,178.00","24,254,151.50",0.0
NLIC,2025-08-31,785.0,785.0,775.5,777.42,-0.85 %,"34,590.00","26,907,194.10",0.0
NLIC,2025-08-28,777.9,797.0,777.9,784.06,-1.13 %,"31,371.00","24,742,285.20",0.3
NLIC,2025-08-27,777.0,795.0,774.0,793.03,2.42 %,"48,265.00","37,904,606.50",0.3
NLIC,2025-08-26,778.0,780.0,772.0,774.3,-0.01 %,"14,440.00","11,192,039.30",0.3
NLIC,2025-08-25,783.0,783.0,769.0,774.37,0.42 %,"22,542.00","17,484,565.40",0.3
NLIC,2025-08-24,789.0,789.0,770.0,771.15,-0.69 %,"34,020.00","26,371,509.80",0.3
NLIC,2025-08-21,791.0,791.0,774.0,776.54,-0.92 %,"32,162.00","25,003,572.20",0.0
NLIC,2025-08-20,777.0,789.0,776.1,783.74,-0.08 %,"31,104.00","24,359,985.30",0.0
NLIC,2025-08-19,785.13,797.0,782.3,784.4,-0.09 %,"30,770.00","24,249,479.70",0.0
NLIC,2025-08-18,799.0,799.0,781.2,785.13,0.11 %,"47,364.00","37,169,841.30",0.0
NLIC,2025-08-17,784.15,797.0,783.8,784.24,0.01 %,"27,400.00","21,604,112.30",0.0
NLIC,2025-08-14,784.0,785.0,780.0,784.15,0.13 %,"21,252.00","16,621,156.10",0.0
NLIC,2025-08-13,791.0,792.0,780.3,783.1,-0.80 %,"36,172.00","28,444,901.00",0.0
NLIC,2025-08-12,790.0,799.0,786.0,789.41,-0.86 %,"44,308.00","35,056,511.90",0.0
NLIC,2025-08-11,820.0,820.0,793.0,796.24,-1.01 %,"63,294.00","50,657,822.90",0.0
NLIC,2025-08-07,799.0,813.0,798.1,804.39,0.81 %,"61,381.00","49,416,973.40",0.0
NLIC,2025-08-06,810.0,810.0,790.1,797.95,-0.88 %,"82,685.00","66,283,814.90",0.0
NLIC,2025-08-05,820.83,828.0,803.6,805.04,-1.92 %,"59,141.00","48,109,113.20",0.0
NLIC,2025-08-04,814.0,829.0,810.1,820.83,0.96 %,"68,297.00","55,886,514.80",0.0
NLIC,2025-08-03,830.0,839.0,810.9,813.0,-2.88 %,"111,935.00","92,311,761.70",0.0
NLIC,2025-07-31,845.0,853.0,835.1,837.11,-1.72 %,"97,674.00","82,313,046.30",0.0
NLIC,2025-07-30,865.0,872.2,850.2,851.74,-1.19 %,"92,056.00","79,007,196.10",0.0
NLIC,2025-07-29,870.7,880.0,857.3,862.0,0.95 %,"102,028.00","88,321,881.90",0.0
NLIC,2025-07-28,862.94,862.94,840.2,853.86,-1.05 %,"187,974.00","159,622,244.30",0.0
NLIC,2025-07-27,872.1,890.0,860.0,862.94,-1.06 %,"200,942.00","175,670,549.50",0.0
NLIC,2025-07-24,872.1,877.4,867.0,872.19,-0.21 %,"119,207.00","104,089,923.70",0.0
NLIC,2025-07-23,874.0,884.0,866.1,874.02,-0.06 %,"174,862.00","152,884,592.50",0.0
NLIC,2025-07-22,835.0,876.0,832.8,874.58,5.00 %,"232,215.00","200,167,070.40",0.0
NLIC,2025-07-21,850.0,850.0,821.5,832.93,-0.06 %,"126,300.00","104,937,457.20",0.0
