Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NRIC,2025-09-18,1599.3,1599.3,1468.7,1468.7,-10.00 %,"2,922.00","4,296,724.40",0.0
NRIC,2025-09-08,1650.0,1678.0,1616.0,1631.86,-2.19 %,"187,293.00","306,857,604.80",0.0
NRIC,2025-09-07,1685.0,1695.0,1660.0,1668.44,0.62 %,"163,248.00","274,645,200.30",0.0
NRIC,2025-09-04,1660.0,1677.0,1630.0,1658.08,-0.35 %,"213,812.00","353,570,151.70",2.0
NRIC,2025-09-03,1660.0,1686.0,1660.0,1663.88,-0.11 %,"156,818.00","261,586,238.00",2.0
NRIC,2025-09-02,1641.1,1842.0,1641.1,1665.64,-0.53 %,"135,080.00","227,045,814.30",2.0
NRIC,2025-09-01,1634.0,1700.0,1634.0,1674.55,0.45 %,"168,071.00","280,823,184.50",2.0
NRIC,2025-08-31,1665.0,1708.0,1655.0,1667.07,-1.35 %,"270,397.00","454,645,364.10",2.0
NRIC,2025-08-28,1735.0,1743.0,1671.0,1689.84,-2.43 %,"384,160.00","654,403,822.10",2.0
NRIC,2025-08-27,1685.0,1738.0,1669.0,1731.89,2.74 %,"294,510.00","505,276,277.00",2.0
NRIC,2025-08-26,1647.5,1688.0,1640.0,1685.72,2.32 %,"293,532.00","489,578,224.70",2.0
NRIC,2025-08-25,1575.0,1652.0,1552.2,1647.5,5.10 %,"475,871.00","769,677,951.80",2.0
NRIC,2025-08-24,1584.0,1590.0,1555.2,1567.57,0.28 %,"155,938.00","244,772,317.70",2.0
NRIC,2025-08-21,1601.0,1601.0,1540.0,1563.17,-0.41 %,"127,600.00","200,959,623.30",2.0
NRIC,2025-08-20,1535.8,1599.0,1535.8,1569.66,0.17 %,"158,629.00","250,979,240.70",2.0
NRIC,2025-08-19,1575.0,1588.0,1555.3,1567.06,0.32 %,"90,210.00","141,472,152.40",2.0
NRIC,2025-08-18,1584.0,1599.9,1555.0,1561.99,-1.30 %,"138,590.00","217,528,831.80",2.0
NRIC,2025-08-17,1593.0,1632.0,1573.0,1582.61,-0.69 %,"321,323.00","516,702,201.90",2.0
NRIC,2025-08-14,1569.9,1602.0,1530.8,1593.55,3.53 %,"297,810.00","471,713,298.00",2.0
NRIC,2025-08-13,1554.0,1557.9,1532.0,1539.16,0.02 %,"118,995.00","183,770,361.60",2.0
NRIC,2025-08-12,1560.0,1577.9,1532.0,1538.87,-0.94 %,"172,139.00","267,755,293.80",2.0
NRIC,2025-08-11,1530.0,1583.0,1525.0,1553.4,2.24 %,"236,341.00","366,053,235.60",2.0
NRIC,2025-08-07,1463.0,1537.0,1463.0,1519.31,1.85 %,"150,518.00","228,748,515.00",2.0
NRIC,2025-08-06,1454.0,1520.0,1454.0,1491.75,0.56 %,"126,020.00","189,088,734.30",2.0
NRIC,2025-08-05,1550.0,1550.0,1482.0,1483.42,-3.25 %,"139,609.00","209,036,887.50",2.0
NRIC,2025-08-04,1530.0,1555.0,1490.0,1533.22,0.15 %,"208,060.00","316,275,424.30",2.0
NRIC,2025-08-03,1615.0,1615.0,1515.0,1530.85,-4.87 %,"478,882.00","753,964,865.90",2.0
NRIC,2025-07-31,1660.0,1691.0,1592.5,1609.19,-1.20 %,"462,490.00","753,513,588.40",2.0
NRIC,2025-07-30,1629.0,1665.0,1602.0,1628.79,1.69 %,"331,806.00","543,576,033.70",0.0
NRIC,2025-07-29,1585.0,1630.0,1565.0,1601.66,2.75 %,"353,764.00","569,214,189.70",0.0
NRIC,2025-07-28,1581.0,1601.0,1550.0,1558.78,-2.03 %,"256,169.00","402,449,976.20",0.0
NRIC,2025-07-27,1600.0,1605.0,1583.0,1591.1,-0.49 %,"532,878.00","850,214,145.90",0.0
NRIC,2025-07-24,1587.0,1600.0,1560.2,1598.96,0.76 %,"304,317.00","483,257,682.70",0.0
