Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NTC,2025-09-18,809.1,820.0,762.5,808.0,-2.12 %,"3,839.00","3,033,919.70",0.0
NTC,2025-09-08,825.0,835.0,825.0,825.52,0.09 %,"20,280.00","16,770,476.60",0.0
NTC,2025-09-07,839.0,840.0,824.0,824.74,-1.76 %,"69,008.00","57,252,441.80",0.0
NTC,2025-09-04,845.0,858.0,835.0,839.51,-0.73 %,"31,682.00","26,576,163.50",0.0
NTC,2025-09-03,850.0,850.0,844.2,845.66,0.18 %,"7,306.00","6,185,948.70",0.0
NTC,2025-09-02,859.8,859.8,843.1,844.1,0.13 %,"23,696.00","20,014,912.80",0.0
NTC,2025-09-01,865.2,865.2,840.0,843.03,-0.62 %,"29,413.00","24,852,190.40",0.0
NTC,2025-08-31,851.5,852.0,845.1,848.27,-0.12 %,"23,673.00","20,072,605.30",0.0
NTC,2025-08-28,868.8,868.8,848.7,849.32,-0.32 %,"38,036.00","32,350,190.50",0.0
NTC,2025-08-27,867.3,867.3,849.1,852.06,0.20 %,"47,731.00","40,618,227.20",0.0
NTC,2025-08-26,866.6,866.6,849.9,850.34,-0.07 %,"17,137.00","14,577,926.90",0.0
NTC,2025-08-25,849.0,859.0,849.0,850.91,-0.14 %,"20,148.00","17,138,223.10",0.0
NTC,2025-08-24,850.0,863.0,848.0,852.12,0.20 %,"14,313.00","12,187,201.80",0.0
NTC,2025-08-21,864.9,864.9,850.0,850.4,-0.28 %,"22,531.00","19,172,712.70",0.0
NTC,2025-08-20,853.0,860.0,850.1,852.79,-0.00 %,"12,368.00","10,542,998.10",0.0
NTC,2025-08-19,865.0,885.0,850.0,852.81,0.15 %,"15,746.00","13,458,226.50",0.0
NTC,2025-08-18,849.0,855.0,849.0,851.52,0.22 %,"15,830.00","13,480,026.40",0.0
NTC,2025-08-17,858.6,870.0,848.1,849.61,-3.02 %,"62,678.00","53,479,068.90",0.0
NTC,2025-08-14,882.0,882.0,873.0,876.08,0.17 %,"9,640.00","8,439,227.20",0.0
NTC,2025-08-13,873.1,882.0,865.3,874.58,0.18 %,"12,725.00","11,142,625.45",0.0
NTC,2025-08-12,871.0,885.0,871.0,872.99,-0.50 %,"11,154.00","9,767,464.80",0.0
NTC,2025-08-11,885.3,895.0,875.0,877.37,-0.35 %,"23,274.00","20,497,922.40",0.0
NTC,2025-08-07,883.0,888.0,879.0,880.49,0.04 %,"19,454.00","17,143,710.00",0.0
NTC,2025-08-06,897.1,897.1,873.0,880.16,0.07 %,"13,624.00","11,982,440.30",0.0
NTC,2025-08-05,895.0,904.0,879.0,879.54,-1.20 %,"31,485.00","27,777,081.60",0.0
NTC,2025-08-04,907.9,907.9,880.0,890.26,-0.26 %,"27,496.00","24,371,199.20",0.0
NTC,2025-08-03,910.0,910.0,891.0,892.57,-1.87 %,"42,015.00","37,608,115.30",0.0
NTC,2025-07-31,914.0,920.0,900.1,909.61,-0.71 %,"28,517.00","25,975,319.00",0.0
NTC,2025-07-30,932.0,938.0,912.0,916.16,-1.43 %,"43,237.00","39,949,145.90",0.0
NTC,2025-07-29,891.5,932.0,891.5,929.41,2.17 %,"73,341.00","67,732,982.50",0.0
NTC,2025-07-28,909.1,910.0,898.0,909.64,0.05 %,"52,222.00","47,136,301.00",0.0
NTC,2025-07-27,896.6,930.0,896.6,909.17,-0.62 %,"45,350.00","41,543,840.70",0.0
