Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
NUBL,2025-09-18,744.9,744.9,744.9,744.9,-2.00 %,100.00,"74,490.00",0.0
NUBL,2025-09-08,767.0,767.0,750.0,760.09,-1.24 %,"10,827.00","8,211,324.70",0.0
NUBL,2025-09-07,765.0,775.0,761.2,769.61,-0.56 %,"9,305.00","7,158,999.50",0.0
NUBL,2025-09-04,774.1,775.0,767.0,773.93,0.03 %,"12,751.00","9,839,228.40",0.0
NUBL,2025-09-03,770.0,781.0,770.0,773.71,0.40 %,"11,320.00","8,766,887.20",0.0
NUBL,2025-09-02,771.2,775.0,770.0,770.65,-0.34 %,"19,954.00","15,381,719.50",0.0
NUBL,2025-09-01,779.0,779.0,770.0,773.25,-0.58 %,"9,954.00","7,699,317.90",0.0
NUBL,2025-08-31,783.0,790.4,777.1,777.73,-1.44 %,"21,258.00","16,709,378.40",0.0
NUBL,2025-08-28,787.0,802.7,787.0,789.1,-1.73 %,"18,404.00","14,619,224.80",0.0
NUBL,2025-08-27,800.9,805.0,796.2,803.03,0.86 %,"34,680.00","27,826,982.50",0.0
NUBL,2025-08-26,805.0,808.0,796.0,796.18,-0.19 %,"32,095.00","25,696,456.20",0.0
NUBL,2025-08-25,800.6,815.0,788.1,797.72,1.63 %,"53,031.00","42,320,253.30",0.0
NUBL,2025-08-24,799.0,805.8,776.0,784.93,-0.67 %,"22,075.00","17,519,673.60",0.0
NUBL,2025-08-21,795.0,800.0,785.0,790.2,0.36 %,"18,024.00","14,275,458.40",0.0
NUBL,2025-08-20,795.0,795.0,780.1,787.33,-0.02 %,"81,093.00","63,536,640.70",0.0
NUBL,2025-08-19,788.0,797.0,787.2,787.5,-0.29 %,"14,565.00","11,508,217.00",0.0
NUBL,2025-08-18,789.8,795.0,778.0,789.79,1.56 %,"35,541.00","28,039,376.20",0.0
NUBL,2025-08-17,778.0,790.0,771.0,777.63,1.54 %,"32,135.00","25,097,378.50",0.0
NUBL,2025-08-14,773.0,782.0,764.0,765.82,-0.23 %,"9,902.00","7,596,336.80",0.0
NUBL,2025-08-13,769.1,782.0,764.0,767.58,-0.09 %,"13,652.00","10,516,234.50",0.0
NUBL,2025-08-12,785.0,785.0,765.3,768.3,-1.42 %,"11,820.00","9,079,596.10",0.0
NUBL,2025-08-11,790.0,799.0,779.0,779.36,-1.31 %,"22,611.00","17,733,100.20",0.0
NUBL,2025-08-07,801.9,801.9,788.0,789.68,0.35 %,"19,920.00","15,810,442.90",0.0
NUBL,2025-08-06,779.1,796.5,770.1,786.89,1.34 %,"17,735.00","13,915,793.50",0.0
NUBL,2025-08-05,775.0,787.0,771.2,776.5,-0.29 %,"22,704.00","17,687,883.90",0.0
NUBL,2025-08-04,791.9,792.0,771.1,778.72,-0.29 %,"30,670.00","23,908,071.80",0.0
NUBL,2025-08-03,783.2,802.0,779.1,780.96,-2.24 %,"43,362.00","34,288,860.80",0.0
NUBL,2025-07-31,790.0,811.0,790.0,798.85,0.51 %,"57,085.00","45,647,786.10",0.0
NUBL,2025-07-30,808.1,814.8,792.0,794.77,-2.79 %,"43,834.00","35,192,112.70",0.0
NUBL,2025-07-29,819.1,835.3,810.0,817.61,1.81 %,"43,756.00","36,039,342.50",0.0
