Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
OHL,2025-12-11,710,710,697.1,705,0.00 %,"20,156.00","14,110,035.80"
OHL,2025-12-10,703,705,696,705,0.56 %,"7,041.00","4,932,170.60"
OHL,2025-12-09,703,713,701.1,701.1,-0.69 %,"4,744.00","3,337,190.40"
OHL,2025-12-08,700,710,700,706,-0.51 %,"3,154.00","2,228,450.70"
OHL,2025-12-07,701,709.6,693.1,709.6,1.08 %,"2,833.00","1,977,093.20"
OHL,2025-12-03,701.7,733,700,702,-1.96 %,"26,492.00","18,752,333.60"
OHL,2025-12-02,705,716.9,702.1,716,0.01 %,"4,699.00","3,326,142.50"
OHL,2025-12-01,701.7,729,700,715.9,-0.01 %,"7,693.00","5,455,025.40"
OHL,2025-11-30,746,750,701,716,-3.37 %,"18,576.00","13,494,487.80"
OHL,2025-11-27,709,752,709,741,2.49 %,"23,303.00","17,187,993.50"
OHL,2025-11-26,690,723.9,690,723,3.15 %,"13,267.00","9,382,735.00"
OHL,2025-11-25,686.1,705,686.1,700.9,0.14 %,"8,430.00","5,904,907.80"
OHL,2025-11-24,675.3,729,675.3,699.9,1.58 %,"9,180.00","6,389,368.40"
OHL,2025-11-23,683,694,680,689,0.88 %,"2,468.00","1,700,371.20"
OHL,2025-11-20,689,689,669.2,683,-0.87 %,"8,185.00","5,518,083.30"
OHL,2025-11-19,684.1,709.5,671,689,-1.29 %,"5,010.00","3,437,666.80"
OHL,2025-11-18,690,717.8,677,698,-0.85 %,"12,334.00","8,468,968.90"
OHL,2025-11-17,691.9,733,678.1,704,-0.28 %,"7,464.00","5,115,955.90"
OHL,2025-11-16,684.8,711.9,676.2,706,1.04 %,"8,018.00","5,498,439.30"
OHL,2025-11-13,705,714,678,698.7,-0.89 %,"8,942.00","6,144,737.80"
OHL,2025-11-12,701.3,715.3,690,705,-1.48 %,"5,364.00","3,740,898.00"
OHL,2025-11-11,693.7,736,693.1,715.6,1.10 %,"8,862.00","6,317,195.40"
OHL,2025-11-10,689,729,689,707.8,0.68 %,"5,169.00","3,636,407.80"
OHL,2025-11-09,696,717,689.9,703,-0.13 %,"14,739.00","10,225,503.20"
OHL,2025-11-06,710,720.4,703.9,703.9,-1.83 %,"6,390.00","4,532,885.60"
OHL,2025-11-05,718,720,692,717,-0.07 %,"4,340.00","3,051,500.00"
OHL,2025-11-04,710.1,730,706,717.5,-0.90 %,"8,983.00","6,447,004.00"
OHL,2025-11-03,720,731.9,700,724,2.27 %,"10,281.00","7,398,401.20"
OHL,2025-11-02,696.1,719.8,696,707.9,-0.27 %,"9,114.00","6,445,124.20"
OHL,2025-10-30,700,709.9,686.1,709.8,2.45 %,"5,571.00","3,892,108.90"
OHL,2025-10-29,700,710,686.2,692.8,-2.26 %,"8,902.00","6,198,166.20"
OHL,2025-10-28,662,735,662,708.8,5.79 %,"11,685.00","8,167,951.70"
OHL,2025-10-26,660,670,633.1,670,0.60 %,"5,160.00","3,321,410.80"
OHL,2025-10-19,670,670,642,666,-0.60 %,"6,645.00","4,327,300.00"
OHL,2025-10-16,661.5,687,654.1,670,-0.74 %,"3,984.00","2,639,132.10"
OHL,2025-10-15,667.4,682.9,667.4,675,-0.88 %,"4,941.00","3,345,274.80"
OHL,2025-10-14,667.4,681,655.1,681,0.00 %,"2,135.00","1,428,536.60"
OHL,2025-10-13,674,681,650,681,1.79 %,"9,608.00","6,402,198.50"
OHL,2025-10-12,681.1,683,657,669,-3.74 %,"11,805.00","7,879,714.20"
OHL,2025-10-09,693.6,721,676.8,695,2.21 %,"9,903.00","6,851,802.40"
OHL,2025-10-08,703,705,674.1,680,-3.27 %,"10,654.00","7,275,764.30"
OHL,2025-10-07,725,725,697,703,-3.03 %,"6,429.00","4,516,560.30"
OHL,2025-09-28,725,739,718,725,-1.09 %,"3,737.00","2,710,087.90"
OHL,2025-09-25,734,735.1,716.4,733,0.27 %,"21,898.00","15,809,355.20"
OHL,2025-09-24,732,741,721,731,-0.20 %,"5,725.00","4,149,280.00"
OHL,2025-09-23,718,742.9,718,732.5,1.97 %,"16,384.00","11,901,503.20"
OHL,2025-09-21,700,745,687.2,718.36,2.62 %,"15,364.00","10,889,695.50"
OHL,2025-09-18,759.3,759.3,700,700,-9.64 %,"1,120.00","794,971.00"
OHL,2025-09-08,780,795.6,772.7,774.7,-0.40 %,"12,982.00","10,115,101.70"
OHL,2025-09-07,792.5,800,777,777.85,-3.70 %,"17,799.00","13,967,122.70"
OHL,2025-09-04,808,825,791,807.76,-1.53 %,"16,140.00","12,930,371.90"
OHL,2025-09-03,834.2,840,818.4,820.33,-2.81 %,"21,458.00","17,752,694.60"
OHL,2025-09-02,860,860,844,844.05,-0.58 %,"2,847.00","2,408,111.30"
OHL,2025-09-01,847,855,844.7,849.01,0.44 %,"8,438.00","7,159,574.00"
OHL,2025-08-31,859.74,865.1,844.1,845.32,-1.68 %,"19,712.00","16,817,180.50"
