Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
PCBL,2025-09-18,244.0,244.0,226.0,234.0,-5.89 %,"9,387.00","2,194,213.00",0.0
PCBL,2025-09-08,254.9,256.0,246.1,248.64,-1.42 %,"57,987.00","14,458,474.50",0.0
PCBL,2025-09-07,256.7,256.7,250.0,252.21,0.18 %,"31,916.00","8,058,345.90",0.0
PCBL,2025-09-04,255.0,255.0,250.4,251.76,-0.58 %,"47,924.00","12,072,348.20",0.0
PCBL,2025-09-03,250.1,257.0,250.1,253.23,-0.31 %,"43,599.00","11,051,700.40",0.0
PCBL,2025-09-02,259.1,259.1,252.5,254.03,-0.00 %,"58,899.00","14,972,458.00",0.0
PCBL,2025-09-01,256.0,256.0,249.0,254.04,1.06 %,"98,334.00","24,867,453.00",0.0
PCBL,2025-08-31,258.0,258.0,251.0,251.38,-1.46 %,"51,024.00","12,926,846.50",0.0
PCBL,2025-08-28,258.0,261.5,255.0,255.1,-2.09 %,"59,344.00","15,255,041.00",0.0
PCBL,2025-08-27,261.3,261.3,255.3,260.54,1.68 %,"67,388.00","17,452,851.80",0.0
PCBL,2025-08-26,253.1,258.8,253.1,256.23,-0.59 %,"25,994.00","6,646,208.30",0.0
PCBL,2025-08-25,258.8,259.0,254.1,257.76,0.57 %,"31,787.00","8,154,253.50",0.0
PCBL,2025-08-24,257.0,258.8,255.0,256.29,0.62 %,"44,751.00","11,451,533.30",0.0
PCBL,2025-08-21,253.1,257.5,251.0,254.71,-0.08 %,"88,099.00","22,432,928.70",0.0
PCBL,2025-08-20,258.0,258.0,254.1,254.91,-0.16 %,"60,011.00","15,307,940.10",0.0
PCBL,2025-08-19,257.9,259.5,254.6,255.31,-0.11 %,"45,727.00","11,746,700.00",0.0
PCBL,2025-08-18,254.1,258.3,253.2,255.6,0.38 %,"112,884.00","28,843,134.30",0.0
PCBL,2025-08-17,253.8,264.1,252.0,254.64,1.56 %,"143,307.00","36,714,400.10",0.0
PCBL,2025-08-14,250.0,253.0,249.0,250.74,-0.50 %,"70,525.00","17,654,432.80",0.0
PCBL,2025-08-13,250.2,254.5,250.0,252.0,-0.66 %,"93,571.00","23,546,945.20",0.0
PCBL,2025-08-12,256.0,257.9,253.5,253.68,-0.77 %,"64,430.00","16,460,729.90",0.0
PCBL,2025-08-11,262.0,263.5,254.8,255.66,-1.05 %,"89,338.00","23,090,938.90",0.0
PCBL,2025-08-07,260.0,262.0,256.0,258.37,1.01 %,"115,608.00","29,756,682.30",0.0
PCBL,2025-08-06,258.29,262.9,253.1,255.79,-1.82 %,"97,353.00","25,043,115.42",0.0
PCBL,2025-08-05,264.0,274.4,260.0,260.53,-0.61 %,"153,765.00","40,648,183.30",0.0
PCBL,2025-08-04,259.0,270.3,256.0,262.13,0.27 %,"235,063.00","61,118,828.40",0.0
PCBL,2025-08-03,269.0,269.0,259.0,261.43,-2.98 %,"137,076.00","35,985,852.50",0.0
PCBL,2025-07-31,270.1,273.5,266.2,269.47,-1.28 %,"121,170.00","32,660,249.80",0.0
PCBL,2025-07-30,284.0,284.0,271.3,272.96,-2.06 %,"111,218.00","30,644,945.70",0.0
PCBL,2025-07-29,274.0,284.0,274.0,278.71,0.36 %,"157,172.00","44,085,545.00",0.0
PCBL,2025-07-28,275.1,279.5,270.6,277.72,-0.16 %,"154,451.00","42,378,225.20",0.0
PCBL,2025-07-27,281.0,283.0,276.0,278.16,-0.60 %,"162,297.00","45,362,224.90",0.0
PCBL,2025-07-24,280.0,281.0,276.5,279.85,0.08 %,"134,872.00","37,616,460.30",0.0
PCBL,2025-07-23,277.0,283.0,275.1,279.63,-0.66 %,"154,567.00","43,077,524.40",0.0
PCBL,2025-07-22,276.0,288.5,276.0,281.49,1.97 %,"200,146.00","56,218,146.80",0.0
PCBL,2025-07-21,279.0,280.9,275.0,276.04,-0.08 %,"241,586.00","66,907,841.80",0.0
PCBL,2025-07-20,280.0,290.0,274.4,276.27,-3.17 %,"345,519.00","97,761,864.60",0.0
PCBL,2025-07-17,276.0,286.0,276.0,285.32,3.26 %,"318,486.00","90,230,414.40",0.0
