Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
PRIN,2025-12-11,660.1,673,660.1,668,0.30 %,"4,819.00","3,204,341.60"
PRIN,2025-12-10,681,681,662.7,666,-0.45 %,"4,657.00","3,092,187.80"
PRIN,2025-12-09,661.7,669.8,661.2,669,-0.19 %,"6,250.00","4,151,570.20"
PRIN,2025-12-08,674,675,670,670.3,-0.70 %,"4,337.00","2,912,640.70"
PRIN,2025-12-07,676,677.9,673,675,-1.03 %,"6,423.00","4,337,939.50"
PRIN,2025-12-03,696.7,696.7,666,682,-0.16 %,"11,949.00","8,082,660.60"
PRIN,2025-12-02,689.4,689.4,680,683.1,-0.28 %,"7,770.00","5,300,520.30"
PRIN,2025-12-01,695,695,679,685,0.29 %,"18,594.00","12,765,717.00"
PRIN,2025-11-30,685,700,681.1,683,0.12 %,"22,462.00","15,463,029.50"
PRIN,2025-11-27,690,690,679,682.2,0.32 %,"9,834.00","6,700,865.40"
PRIN,2025-11-26,690,695,679,680,-1.02 %,"15,315.00","10,485,748.10"
PRIN,2025-11-25,688,688,674.4,687,1.39 %,"29,400.00","19,980,816.40"
PRIN,2025-11-24,674,715,671,677.6,2.36 %,"54,914.00","37,356,117.50"
PRIN,2025-11-23,650,680,650,662,2.16 %,"16,993.00","11,363,213.60"
PRIN,2025-11-20,664.9,664.9,646.1,648,-1.23 %,"7,730.00","5,023,187.10"
PRIN,2025-11-19,674.7,674.7,656.1,656.1,-1.00 %,"6,735.00","4,431,967.90"
PRIN,2025-11-18,653,663.9,653,662.7,1.35 %,"4,426.00","2,922,519.50"
PRIN,2025-11-17,660,660,637.3,653.9,0.77 %,"9,289.00","6,026,247.40"
PRIN,2025-11-16,662,662,641.2,648.9,-0.63 %,"6,350.00","4,095,290.40"
PRIN,2025-11-13,651,654.9,644,653,-0.31 %,"2,308.00","1,504,411.50"
PRIN,2025-11-12,653,663,648.9,655,0.31 %,"20,910.00","13,662,865.30"
PRIN,2025-11-11,661.9,661.9,646.3,653,0.46 %,"7,467.00","4,847,145.70"
PRIN,2025-11-10,655,655,637,650,1.04 %,"10,183.00","6,577,204.20"
PRIN,2025-11-09,656,665,643.3,643.3,-3.26 %,"13,183.00","8,556,550.10"
PRIN,2025-11-06,664.1,675,660,665,-0.45 %,"19,384.00","12,864,359.50"
PRIN,2025-11-05,678,678,660.4,668,0.30 %,"3,322.00","2,202,916.40"
PRIN,2025-11-04,675,678.5,658,666,-1.33 %,"7,822.00","5,198,417.80"
PRIN,2025-11-03,690,695,668,675,-1.32 %,"12,244.00","8,252,732.30"
PRIN,2025-11-02,660,684,660,684,4.22 %,"44,450.00","29,872,388.70"
PRIN,2025-10-30,670,670,636,656.3,-0.12 %,"18,507.00","11,982,810.50"
PRIN,2025-10-29,673,683.7,657,657.1,-0.44 %,"2,667.00","1,771,807.40"
PRIN,2025-10-28,642,693,634.1,660,3.46 %,"7,386.00","4,794,931.80"
PRIN,2025-10-26,630.1,640,630,637.9,-0.33 %,"2,205.00","1,400,971.00"
