Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
RAWA,2025-12-11,747,747,723.5,729.9,-0.55 %,"704.00","511,329.00"
RAWA,2025-12-10,701.2,742.5,701.2,733.9,2.63 %,"5,226.00","3,816,551.90"
RAWA,2025-12-09,738.6,738.6,710,715.1,-1.26 %,"2,430.00","1,737,243.30"
RAWA,2025-12-08,715,724.2,700.7,724.2,2.43 %,"1,631.00","1,160,015.00"
RAWA,2025-12-07,719,725,705.3,707,-3.42 %,"2,052.00","1,471,351.00"
RAWA,2025-12-03,705,747,701,732,3.74 %,"2,202.00","1,571,988.70"
RAWA,2025-12-02,695,720,695,705.6,0.44 %,"1,122.00","797,161.10"
RAWA,2025-12-01,702.1,715,701,702.5,-1.47 %,"970.00","682,210.00"
RAWA,2025-11-30,711.1,725,711.1,713,-1.66 %,"726.00","518,467.30"
RAWA,2025-11-27,727.2,755.9,713.2,725,-2.29 %,"967.00","696,441.10"
RAWA,2025-11-26,718.4,742,709,742,1.23 %,"510.00","367,002.40"
RAWA,2025-11-25,714.5,743,703.5,733,0.55 %,"2,810.00","2,029,534.80"
RAWA,2025-11-24,710,729.3,710,729,1.25 %,"1,656.00","1,192,694.00"
RAWA,2025-11-23,703.1,720,703.1,720,0.70 %,"1,850.00","1,317,302.00"
RAWA,2025-11-20,705.4,718,700,715,-0.56 %,"1,158.00","822,238.10"
RAWA,2025-11-19,700,719,691.1,719,1.27 %,"1,795.00","1,256,667.80"
RAWA,2025-11-18,700,715,699,710,1.28 %,"659.00","464,384.00"
RAWA,2025-11-17,705,710,692,701,-0.57 %,"335.00","235,103.00"
RAWA,2025-11-16,713.9,713.9,701.6,705,0.71 %,"360.00","255,128.00"
RAWA,2025-11-13,701.1,701.2,700,700,-1.41 %,"680.00","476,259.00"
RAWA,2025-11-12,704.6,710,704.6,710,-1.24 %,"159.00","112,508.00"
RAWA,2025-11-11,708.6,718.9,695,718.9,-0.57 %,"401.00","283,787.00"
RAWA,2025-11-10,710,723,702,723,1.08 %,"481.00","339,925.00"
RAWA,2025-11-09,744.3,789.6,702.4,715.3,-1.99 %,"339.00","248,861.40"
RAWA,2025-11-06,739.9,739.9,711,729.8,-0.56 %,"1,598.00","1,144,508.70"
RAWA,2025-11-05,737.9,737.9,700,733.9,-0.69 %,"1,649.00","1,185,211.10"
