Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,sentiment
RBCL,2025-09-08,16000.0,16000.0,15810.0,15885.95,-0.94 %,399.00,"6,333,540.00",0.0
RBCL,2025-09-07,16249.0,16249.0,15930.2,16037.36,0.22 %,412.00,"6,606,593.60",0.0
RBCL,2025-09-04,15850.0,16250.0,15850.0,16002.31,0.94 %,"1,626.00","26,179,395.00",0.0
RBCL,2025-09-03,15800.5,15890.0,15715.0,15852.6,0.34 %,633.00,"10,010,250.00",0.0
RBCL,2025-09-02,15800.0,15810.0,15731.0,15798.46,-0.14 %,510.00,"8,054,521.00",0.0
RBCL,2025-09-01,15699.0,15950.0,15666.0,15821.1,1.42 %,"1,275.00","20,215,714.50",0.0
RBCL,2025-08-31,15699.0,15699.0,15550.0,15600.0,-0.55 %,371.00,"5,787,948.00",0.0
RBCL,2025-08-28,15800.0,15800.0,15645.0,15686.91,-0.60 %,335.00,"5,263,994.00",0.0
RBCL,2025-08-27,15547.0,15799.0,15547.0,15781.45,1.33 %,135.00,"2,121,373.00",0.0
RBCL,2025-08-26,15425.0,15588.0,15425.0,15574.5,0.51 %,204.00,"3,170,117.20",0.0
RBCL,2025-08-25,15375.0,15501.0,15350.0,15494.77,0.45 %,399.00,"6,160,769.00",0.0
RBCL,2025-08-24,15401.0,15489.5,15400.0,15426.0,-0.22 %,"1,085.00","16,730,617.00",0.0
RBCL,2025-08-21,15450.0,15480.0,15420.0,15460.75,-0.15 %,115.00,"1,776,755.00",0.0
RBCL,2025-08-20,15500.0,15500.0,15452.0,15484.16,-0.10 %,157.00,"2,431,210.00",0.0
RBCL,2025-08-19,15648.0,15650.0,15500.0,15500.06,0.02 %,170.00,"2,640,403.00",0.0
RBCL,2025-08-18,15499.9,15499.9,15497.0,15497.0,1.79 %,30.00,"464,968.00",0.0
RBCL,2025-08-17,15252.0,15252.0,15200.0,15225.0,-1.14 %,57.00,"867,690.00",0.0
RBCL,2025-08-14,15400.0,15450.0,15400.0,15400.0,0.10 %,90.00,"1,386,552.00",0.0
RBCL,2025-08-13,15600.0,15688.5,15385.0,15385.0,0.03 %,100.00,"1,553,730.00",0.0
RBCL,2025-08-12,15750.0,15900.0,15310.0,15380.91,-1.34 %,"1,610.00","25,415,114.00",0.0
RBCL,2025-08-11,15846.0,15848.0,15503.0,15589.22,-1.33 %,230.00,"3,596,955.00",0.0
RBCL,2025-08-07,15724.36,15815.1,15724.36,15799.0,0.47 %,250.00,"3,948,571.00",0.0
RBCL,2025-08-06,15711.0,15900.0,15650.0,15724.36,-0.72 %,654.00,"10,288,915.00",0.0
RBCL,2025-08-05,15934.61,16001.0,15766.0,15838.66,-0.60 %,171.00,"2,712,029.90",0.0
RBCL,2025-08-04,16005.0,16120.0,15905.0,15934.61,-1.09 %,638.00,"10,195,612.10",0.0
RBCL,2025-08-03,16599.0,16599.0,16100.0,16110.33,-2.94 %,810.00,"13,182,379.80",0.0
RBCL,2025-07-31,16131.0,16900.0,16125.0,16599.15,1.88 %,"1,578.00","26,117,474.00",0.0
RBCL,2025-07-30,16597.0,16597.0,16271.0,16292.46,-0.36 %,688.00,"11,221,106.00",0.0
RBCL,2025-07-29,16299.0,16490.0,16056.0,16350.73,2.04 %,"1,202.00","19,608,287.30",0.0
RBCL,2025-07-28,16000.0,16295.0,15999.0,16024.46,-0.71 %,533.00,"8,556,014.00",0.0
RBCL,2025-07-27,16200.0,16499.0,16100.0,16138.57,0.80 %,855.00,"13,932,775.50",0.0
RBCL,2025-07-24,16001.0,16400.0,16001.0,16010.26,0.21 %,781.00,"12,643,799.00",0.0
RBCL,2025-07-23,16297.0,16299.0,15900.0,15975.94,-0.18 %,430.00,"6,890,079.00",0.0
RBCL,2025-07-22,15351.0,16320.0,15351.0,16005.03,2.70 %,"1,525.00","24,453,823.10",0.0
RBCL,2025-07-21,15400.0,15798.0,15250.0,15583.66,0.61 %,386.00,"6,032,666.00",0.0
RBCL,2025-07-20,15201.0,15700.0,15200.0,15488.69,0.49 %,725.00,"11,216,233.40",0.0
RBCL,2025-07-17,15212.0,15425.0,15150.0,15413.68,2.01 %,854.00,"13,100,738.00",0.0
RBCL,2025-07-16,14867.0,15355.1,14866.0,15110.0,1.03 %,548.00,"8,308,531.00",0.0
RBCL,2025-07-15,14652.0,14980.0,14652.0,14956.0,1.57 %,280.00,"4,184,143.00",0.0
RBCL,2025-07-14,14990.0,14990.0,14710.0,14725.33,-1.85 %,160.00,"2,364,089.00",0.0
RBCL,2025-07-13,15100.0,15300.0,15000.0,15002.82,-0.24 %,350.00,"5,286,912.00",0.0
RBCL,2025-07-10,14999.0,15100.0,14830.1,15039.0,0.71 %,583.00,"8,735,201.00",0.0
RBCL,2025-07-09,14800.0,14995.0,14800.0,14933.11,0.87 %,250.00,"3,728,879.00",0.0
RBCL,2025-07-08,14790.0,14805.0,14789.0,14804.0,0.09 %,320.00,"4,735,339.00",0.0
RBCL,2025-07-07,14612.0,14790.0,14612.0,14790.0,0.26 %,281.00,"4,140,043.70",0.0
RBCL,2025-07-06,14650.0,14775.0,14650.0,14751.33,-0.45 %,350.00,"5,155,435.00",0.0
RBCL,2025-07-03,14600.0,14848.0,14600.0,14818.09,0.81 %,355.00,"5,249,859.00",0.0
RBCL,2025-07-02,14600.0,14700.0,14501.0,14699.71,1.03 %,381.00,"5,567,331.00",0.0
RBCL,2025-07-01,14454.0,14679.0,14403.0,14550.0,0.65 %,150.00,"2,170,851.00",0.0
RBCL,2025-06-30,14555.0,14600.0,14451.0,14455.55,-0.68 %,200.00,"2,897,987.00",0.0
RBCL,2025-06-29,14500.0,14555.0,14403.0,14555.0,0.06 %,155.00,"2,239,461.00",0.0
RBCL,2025-06-26,14460.0,14675.0,14450.0,14546.66,0.01 %,110.00,"1,595,460.00",0.0
RBCL,2025-06-25,14507.0,14695.0,14460.0,14545.1,0.12 %,200.00,"2,900,774.00",0.0
RBCL,2025-06-24,14600.0,14600.0,14505.0,14527.5,-0.57 %,135.00,"1,960,227.00",0.0
RBCL,2025-06-23,14510.0,14660.0,14500.0,14610.43,0.37 %,203.00,"2,961,193.00",0.0
RBCL,2025-06-22,14555.0,14620.0,14546.0,14556.25,0.08 %,440.00,"6,411,176.00",0.0
RBCL,2025-06-19,14530.0,14799.0,14530.0,14544.0,0.13 %,213.00,"3,104,584.80",0.0
RBCL,2025-06-18,14613.0,14615.0,14512.0,14525.0,-1.15 %,131.00,"1,910,320.00",0.0
RBCL,2025-06-17,14600.0,14770.0,14481.0,14694.28,0.19 %,369.00,"5,417,395.00",0.0
RBCL,2025-06-16,14607.0,14710.0,14607.0,14666.0,0.05 %,109.00,"1,593,810.80",0.0
RBCL,2025-06-15,14600.0,14943.0,14600.0,14658.42,1.11 %,360.00,"5,304,789.00",0.0
