Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
RHPL,2025-12-11,277,280,275.7,275.7,-0.51%,"22,699.00","6,286,394.90"
RHPL,2025-12-10,278.5,280.5,275.2,277.1,-1.21%,"19,656.00","5,452,804.00"
RHPL,2025-12-09,280,284.2,276,280.5,0.61%,"31,645.00","8,845,452.90"
RHPL,2025-12-08,275.3,291,275.3,278.8,0.32%,"47,159.00","13,228,375.40"
RHPL,2025-12-07,285,286,276,277.9,-2.15%,"63,048.00","17,636,454.10"
RHPL,2025-12-03,295,318,284,284,-2.07%,"79,463.00","23,105,953.50"
RHPL,2025-12-02,267,293.7,267,290,8.61%,"267,129.00","76,260,296.10"
RHPL,2025-12-01,266,269,266,267,-0.78%,"11,818.00","3,163,262.90"
RHPL,2025-11-30,268.4,274.4,268,269.1,-0.99%,"49,404.00","13,390,201.90"
RHPL,2025-11-27,271.8,271.8,267.6,271.8,1.61%,"26,525.00","7,140,025.80"
RHPL,2025-11-26,269,270,267.2,267.5,-0.89%,"26,721.00","7,169,987.40"
RHPL,2025-11-25,267,270,266,269.9,0.04%,"18,530.00","4,970,162.70"
RHPL,2025-11-24,260.4,272.7,260.3,269.8,1.77%,"27,482.00","7,407,670.10"
RHPL,2025-11-23,256,270,255.9,265.1,1.57%,"56,051.00","14,875,491.60"
RHPL,2025-11-20,260,268.2,260,261,-0.76%,"31,113.00","8,182,556.90"
RHPL,2025-11-19,270.3,272,262,263,-0.75%,"27,455.00","7,312,575.40"
RHPL,2025-11-18,270.3,270.3,265,265,0.00%,"13,141.00","3,508,953.00"
RHPL,2025-11-17,264.1,269.6,263.9,265,-1.12%,"17,655.00","4,687,630.30"
RHPL,2025-11-16,268,269,264,268,0.00%,"30,974.00","8,231,544.30"
RHPL,2025-11-13,266,272,263,268,0.75%,"25,836.00","6,929,898.30"
RHPL,2025-11-12,272,273,265,266,-2.56%,"26,637.00","7,151,377.00"
RHPL,2025-11-11,268.7,274,265.6,273,3.61%,"77,314.00","20,931,754.10"
RHPL,2025-11-10,264,270,262.2,263.5,-0.94%,"13,628.00","3,601,205.50"
RHPL,2025-11-09,265,269,264,266,-0.78%,"14,975.00","3,985,393.00"
RHPL,2025-11-06,268,274,267,268.1,-0.33%,"92,412.00","24,924,475.90"
RHPL,2025-11-05,268,272,266.3,269,-0.37%,"11,165.00","2,985,822.60"
RHPL,2025-11-04,268.3,274.9,268.3,270,-0.74%,"46,274.00","12,544,390.40"
RHPL,2025-11-03,271,276,270,272,-0.58%,"23,804.00","6,469,237.40"
RHPL,2025-11-02,273.9,277.4,270,273.6,0.59%,"29,470.00","8,072,915.00"
RHPL,2025-10-30,268,273.3,262.7,272,2.60%,"16,624.00","4,461,847.30"
RHPL,2025-10-29,267,275.1,265,265.1,-0.60%,"36,274.00","9,777,860.50"
RHPL,2025-10-28,253.1,267.2,253.1,266.7,4.59%,"24,309.00","6,385,141.00"
RHPL,2025-10-26,260,260.1,254.8,255,-2.71%,"21,714.00","5,578,240.10"
RHPL,2025-10-19,262.3,267,252.3,262.1,-0.08%,"27,773.00","7,208,668.80"
RHPL,2025-10-16,264.4,267.9,262,262.3,-0.38%,"20,532.00","5,415,930.20"
RHPL,2025-10-15,268,294,263,263.3,-3.20%,"85,915.00","23,105,982.40"
RHPL,2025-10-14,278.4,282.5,269,272,-4.23%,"19,838.00","5,434,517.40"
RHPL,2025-10-13,265.6,285,265.6,284,4.80%,"22,599.00","6,173,166.10"
RHPL,2025-10-12,274,275,262.4,271,-2.52%,"50,930.00","13,630,278.90"
RHPL,2025-10-09,275.5,286.6,275,278,2.92%,"32,407.00","9,043,975.90"
RHPL,2025-10-08,277,282,267.9,270.1,-3.19%,"55,103.00","14,999,034.00"
RHPL,2025-10-07,292,294.9,277,279,-3.79%,"38,857.00","10,923,940.60"
RHPL,2025-09-28,284.1,293.9,284.1,290,0.69%,"11,456.00","3,308,279.30"
RHPL,2025-09-25,287,295.9,282.2,288,0.17%,"26,050.00","7,544,095.30"
RHPL,2025-09-24,293,295,287.3,287.5,-1.88%,"20,820.00","6,059,344.30"
RHPL,2025-09-23,292.7,294.6,282,293,2.08%,"33,433.00","9,721,683.00"
RHPL,2025-09-21,273,291.7,263.7,287.02,3.06%,"75,381.00","20,991,836.00"
RHPL,2025-09-18,278.5,278.5,278.5,278.5,-1.98 %,110.00,"30,635.00"
RHPL,2025-09-08,281.3,290,281.3,284.14,-1.01 %,"23,581.00","6,697,805.70"
RHPL,2025-09-07,288,313.8,286,287.04,-0.35 %,"26,840.00","7,787,848.90"
RHPL,2025-09-04,289,312,281,288.04,0.20 %,"54,615.00","15,519,097.60"
RHPL,2025-09-03,295,295,286,287.46,-1.73 %,"43,562.00","12,585,257.30"
RHPL,2025-09-02,295,295,291.3,292.51,-0.58 %,"25,041.00","7,321,673.60"
RHPL,2025-09-01,293,299.6,289,294.21,0.14 %,"70,467.00","20,779,745.60"
RHPL,2025-08-31,309.3,309.3,289.1,293.79,-3.14 %,"117,699.00","34,930,892.70"
RHPL,2025-08-28,309,314.5,302.9,303.3,-1.64 %,"76,689.00","23,385,838.70"
RHPL,2025-08-27,307,310,305,308.35,-0.04 %,"49,325.00","15,163,837.20"
RHPL,2025-08-26,310.9,310.9,305,308.48,1.19 %,"26,629.00","8,167,246.10"
RHPL,2025-08-25,308.2,309,303,304.85,-1.41 %,"68,119.00","20,781,250.30"
RHPL,2025-08-24,321,350,307,309.22,-3.80 %,"118,203.00","37,017,456.70"
RHPL,2025-08-21,316,328,315,321.43,2.86 %,"242,616.00","78,409,649.20"
RHPL,2025-08-20,308,321.3,300,312.48,2.42 %,"289,894.00","88,237,130.80"
RHPL,2025-08-19,302.9,309,302.9,305.09,0.48 %,"27,556.00","8,457,775.20"
RHPL,2025-08-18,306.9,306.9,298,303.63,0.89 %,"45,508.00","13,719,789.90"
RHPL,2025-08-17,308,309.5,300.5,300.95,-1.85 %,"54,635.00","16,576,994.70"
RHPL,2025-08-14,309,310.7,304.2,306.61,-0.97 %,"43,209.00","13,272,174.40"
RHPL,2025-08-13,310,312,307.5,309.61,0.04 %,"30,399.00","9,401,197.40"
RHPL,2025-08-12,315,318,308,309.49,-1.68 %,"74,327.00","23,062,568.40"
RHPL,2025-08-11,324.1,328.9,314,314.78,-3.47 %,"120,082.00","38,192,828.60"
RHPL,2025-08-07,325.3,331,319.7,326.1,-0.88 %,"105,565.00","34,388,545.10"
RHPL,2025-08-06,332,333,326.4,328.99,-0.18 %,"38,047.00","12,520,856.00"
RHPL,2025-08-05,326,337.6,326,329.59,-0.91 %,"37,546.00","12,420,690.80"
RHPL,2025-08-04,336,340,331,332.62,-1.23 %,"45,035.00","15,023,641.10"
RHPL,2025-08-03,338,342,335,336.77,-0.43 %,"37,640.00","12,762,344.50"
RHPL,2025-07-31,333,369,331.1,338.23,0.59 %,"70,370.00","23,636,270.80"
RHPL,2025-07-30,340.2,345,335.1,336.26,-2.34 %,"79,591.00","26,922,012.10"
RHPL,2025-07-29,349.9,349.9,341,344.33,0.35 %,"98,376.00","33,808,310.60"
RHPL,2025-07-28,349,349,339,343.13,-1.08 %,"110,689.00","38,010,020.60"
RHPL,2025-07-27,351,353.4,345,346.88,-0.67 %,"219,063.00","76,488,149.20"
RHPL,2025-07-24,346.2,358,346.2,349.21,-0.21 %,"180,795.00","63,473,251.90"
RHPL,2025-07-23,350,358,347,349.96,-1.49 %,"77,387.00","27,163,240.40"
RHPL,2025-07-22,353.9,357,347.1,355.24,1.58 %,"108,005.00","38,206,924.40"
RHPL,2025-07-21,349.1,355,348,349.71,-0.81 %,"80,973.00","28,365,461.20"
RHPL,2025-07-20,342.9,369.1,342.9,352.57,0.77 %,"190,758.00","68,125,661.40"
RHPL,2025-07-17,339.9,367,335,349.88,4.02 %,"159,366.00","54,696,263.70"
RHPL,2025-07-16,337.4,339.6,333,336.35,-0.10 %,"100,988.00","33,940,252.00"
RHPL,2025-07-15,331,338,330,336.7,1.05 %,"33,425.00","11,154,238.50"
RHPL,2025-07-14,325,339,320,333.19,2.75 %,"118,461.00","39,077,425.50"
RHPL,2025-07-13,335,339.9,319,324.26,-3.25 %,"171,693.00","55,979,580.40"
RHPL,2025-07-10,344,348,333,335.14,-3.38 %,"163,896.00","55,407,887.40"
RHPL,2025-07-09,343.7,354,342,346.87,-1.08 %,"112,633.00","39,093,852.90"
RHPL,2025-07-08,362.1,362.1,345,350.65,-5.08 %,"338,492.00","119,014,210.10"
RHPL,2025-07-07,369.1,375,365.6,369.41,-0.21 %,"58,426.00","21,588,168.10"
RHPL,2025-07-06,375,375,369.2,370.17,-1.05 %,"53,892.00","20,002,267.40"
RHPL,2025-07-03,380.1,386,373,374.08,-1.29 %,"61,086.00","23,055,670.20"
RHPL,2025-07-02,379.9,380,374,378.96,1.17 %,"36,158.00","13,628,451.60"
RHPL,2025-07-01,366.3,375.8,366.3,374.58,1.47 %,"64,333.00","23,974,220.60"
RHPL,2025-06-30,376,376,366,369.15,-0.08 %,"39,605.00","14,664,346.50"
RHPL,2025-06-29,370,376,363,369.45,-0.25 %,"87,551.00","32,353,056.30"
RHPL,2025-06-26,375.2,380,369.6,370.39,-1.78 %,"106,550.00","39,674,267.80"
RHPL,2025-06-25,380.4,384,372.8,377.12,1.10 %,"34,131.00","12,850,133.00"
RHPL,2025-06-24,387,387.9,372,373.03,-1.91 %,"85,103.00","32,142,067.60"
RHPL,2025-06-23,387.8,387.8,377,380.31,-0.03 %,"113,056.00","43,022,588.40"
RHPL,2025-06-22,402.5,403,379,380.43,-5.48 %,"162,185.00","62,416,862.00"
RHPL,2025-06-19,438.3,438.3,402.5,402.5,-10.00 %,"463,525.00","190,196,313.30"
RHPL,2025-06-18,420,457,409,447.2,7.48 %,"442,441.00","188,548,503.40"
RHPL,2025-06-17,415.6,418,398.9,416.07,1.82 %,"116,714.00","47,734,451.60"
RHPL,2025-06-16,422.1,433,407,408.62,-3.18 %,"216,151.00","91,573,759.30"
RHPL,2025-06-15,408,423,408,422.03,3.95 %,"206,304.00","86,329,975.00"
RHPL,2025-06-12,388,420,381.2,406,5.99 %,"284,392.00","115,217,625.10"
RHPL,2025-06-11,380,388,380,383.04,-0.63 %,"63,820.00","24,380,108.60"
RHPL,2025-06-10,380,392.6,380,385.47,0.82 %,"60,039.00","23,295,164.60"
RHPL,2025-06-09,390,390,378,382.34,-1.91 %,"45,826.00","17,540,045.60"
RHPL,2025-06-08,368.1,392,368.1,389.77,5.16 %,"65,412.00","24,988,500.20"
RHPL,2025-06-05,369.1,378,369.1,370.63,-0.61 %,"54,208.00","20,108,599.60"
RHPL,2025-06-04,371.1,376.8,370,372.9,-0.50 %,"28,464.00","10,628,280.60"
RHPL,2025-06-03,377.1,384.9,373,374.77,-1.14 %,"30,414.00","11,431,314.60"
RHPL,2025-06-02,385,386,375,379.08,-0.14 %,"43,809.00","16,613,419.00"
RHPL,2025-05-28,377,383.9,376.1,379.61,0.72 %,"27,455.00","10,413,255.60"
RHPL,2025-05-27,377,384,372,376.89,-0.15 %,"41,395.00","15,681,464.90"
